ID	adj.P.Val	P.Value	Gene.symbol	Gene.title	Gene.ID
7997700	0.01773427	4.59e-05			
8058670	0.01773427	4.62e-05	IKZF2	IKAROS family zinc finger 2	22807
8170187	0.01773427	4.63e-05	CD40LG	CD40 ligand	959
8148280	0.01834323	4.85e-05	SQLE	squalene epoxidase	6713
8121130	0.01926808	5.18e-05			
8100994	0.01926808	5.21e-05	CXCL2	C-X-C motif chemokine ligand 2	2920
8030954	0.01946409	5.32e-05	ZNF137P	zinc finger protein 137, pseudogene	7696
8094638	0.02107299	5.82e-05	WDR19	WD repeat domain 19	57728
8000184	0.02241187	6.28e-05	IGSF6	immunoglobulin superfamily member 6	10261
8113073	0.02241187	6.33e-05	ARRDC3	arrestin domain containing 3	57561
7916986	0.02330257	6.65e-05	NEGR1	neuronal growth regulator 1	257194
7970737	0.02423834	6.99e-05	FLT3	fms related tyrosine kinase 3	2322
7915504	0.02799779	8.16e-05	ELOVL1	ELOVL fatty acid elongase 1	64834
8017186	0.02854505	8.43e-05	HEATR6	HEAT repeat containing 6	63897
7949532	0.02854505	8.49e-05	FOSL1	FOS like 1, AP-1 transcription factor subunit	8061
7957551	0.02857386	8.58e-05	SOCS2	suppressor of cytokine signaling 2	8835
8170390	0.02878608	8.81e-05	IDS	iduronate 2-sulfatase	3423
7896697	0.02878608	8.89e-05			
8117655	0.02878608	8.96e-05	ZSCAN9	zinc finger and SCAN domain containing 9	7746
8014316	0.02878608	9.10e-05	CCL5	C-C motif chemokine ligand 5	6352
7906377	0.02878608	9.13e-05	MNDA	myeloid cell nuclear differentiation antigen	4332
7922137	0.02878608	9.16e-05	NME7	NME/NM23 family member 7	29922
7955217	0.02890648	9.29e-05	SPATS2	spermatogenesis associated serine rich 2	65244
8024518	0.02899428	9.41e-05	ZNF555	zinc finger protein 555	148254
8168531	0.02899428	9.53e-05	GPR174	G protein-coupled receptor 174	84636
7965836	0.02899428	9.58e-05			
7902072	0.02905775	9.75e-05			
8005475	0.02905775	9.78e-05	TRIM16L///TRIM16	tripartite motif containing 16-like///tripartite motif containing 16	147166///10626
8092691	0.02905775	9.87e-05	BCL6	B-cell CLL/lymphoma 6	604
8057677	0.02905775	9.95e-05	SLC40A1	solute carrier family 40 member 1	30061
7932285	0.02987466	1.03e-04	FAM188A	family with sequence similarity 188 member A	80013
7893057	0.0302959	1.07e-04			
7895803	0.0302959	1.07e-04			
8079753	0.0302959	1.08e-04	DAG1	dystroglycan 1	1605
7932407	0.0302959	1.09e-04	ST8SIA6	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 6	338596
8174207	0.0302959	1.09e-04	NXF3	nuclear RNA export factor 3	56000
8073960	0.03038958	1.10e-04	PIM3	Pim-3 proto-oncogene, serine/threonine kinase	415116
8116835	0.03040627	1.11e-04	GCNT2	glucosaminyl (N-acetyl) transferase 2, I-branching enzyme (I blood group)	2651
7911301	0.03086894	1.14e-04	PGBD2	piggyBac transposable element derived 2	267002
7955578	0.03238772	1.21e-04	GRASP	general receptor for phosphoinositides 1 associated scaffold protein	160622
8089448	0.03277024	1.23e-04	DPPA4	developmental pluripotency associated 4	55211
7925954	0.03350552	1.27e-04	NET1	neuroepithelial cell transforming 1	10276
7978407	0.03368444	1.29e-04	PRKD1	protein kinase D1	5587
7968789	0.03368444	1.29e-04	RGCC	regulator of cell cycle	28984
7936463	0.03420982	1.33e-04	ABLIM1	actin binding LIM protein 1	3983
7896470	0.03424844	1.34e-04			
7926223	0.03424844	1.36e-04	CAMK1D	calcium/calmodulin dependent protein kinase ID	57118
8023220	0.03424844	1.37e-04	SMAD7	SMAD family member 7	4092
8140864	0.03424844	1.38e-04	CYP51A1	cytochrome P450 family 51 subfamily A member 1	1595
8156706	0.03424844	1.39e-04	TMOD1	tropomodulin 1	7111
8095819	0.03424844	1.39e-04	FAM47E-STBD1///FAM47E	FAM47E-STBD1 readthrough///family with sequence similarity 47 member E	100631383///100129583
7972021	0.03424844	1.40e-04	TBC1D4	TBC1 domain family member 4	9882
7917954	0.03472693	1.43e-04	FRRS1	ferric chelate reductase 1	391059
8007921	0.03590176	1.49e-04	MYL4	myosin light chain 4	4635
8065569	0.03596036	1.50e-04	BCL2L1	BCL2 like 1	598
7937335	0.03656207	1.54e-04	IFITM1	interferon induced transmembrane protein 1	8519
7906085	0.03656207	1.55e-04	LMNA	lamin A/C	4000
8071061	0.03656207	1.56e-04	TPTEP1	transmembrane phosphatase with tensin homology pseudogene 1	387590
7896577	0.03756227	1.63e-04			
8052233	0.03756227	1.64e-04	CLHC1	clathrin heavy chain linker domain containing 1	130162
8163505	0.03756227	1.64e-04	HDHD3	haloacid dehalogenase like hydrolase domain containing 3	81932
8012475	0.03877892	1.70e-04	MYH10	myosin, heavy chain 10, non-muscle	4628
8148572	0.03944727	1.74e-04	LY6E	lymphocyte antigen 6 complex, locus E	4061
7938485	0.03949009	1.76e-04	MICAL2	microtubule associated monooxygenase, calponin and LIM domain containing 2	9645
8083876	0.03949009	1.78e-04	SKIL	SKI-like proto-oncogene	6498
8163000	0.03949009	1.78e-04			
8106280	0.04018127	1.82e-04	HMGCR	3-hydroxy-3-methylglutaryl-CoA reductase	3156
7972682	0.04018127	1.83e-04	KDELC1	KDEL motif containing 1	79070
8059648	0.04061828	1.87e-04			
8050894	0.04061828	1.89e-04	KIF3C	kinesin family member 3C	3797
7919751	0.04061828	1.89e-04	MCL1	BCL2 family apoptosis regulator	4170
7929574	0.04138787	1.94e-04	DNTT	DNA nucleotidylexotransferase	1791
7917359	0.0418867	1.98e-04	ZNHIT6	zinc finger HIT-type containing 6	54680
7940191	0.0418867	1.99e-04	STX3	syntaxin 3	6809
8034326	0.04194028	2.00e-04			
7922268	0.04220782	2.03e-04	KIFAP3	kinesin associated protein 3	22920
7893706	0.04225224	2.05e-04			
7983638	0.04225224	2.06e-04	DTWD1	DTW domain containing 1	56986
8010050	0.042543	2.09e-04	UBALD2	UBA like domain containing 2	283991
8021301	0.042543	2.10e-04	RAB27B	RAB27B, member RAS oncogene family	5874
7924817	0.04459361	2.21e-04	PRO2012	uncharacterized protein PRO2012	55478
7938890	0.04459361	2.25e-04	PRMT3	protein arginine methyltransferase 3	10196
7954090	0.04459361	2.26e-04	EMP1	epithelial membrane protein 1	2012
8005829	0.04459361	2.26e-04			
8024228	0.04459361	2.26e-04	MIDN	midnolin	90007
7969228	0.0464287	2.39e-04	ALG11///UTP14C	ALG11, alpha-1,2-mannosyltransferase///UTP14, small subunit processome component homolog C (S. cerevisiae)	440138///9724
8038981	0.0464287	2.39e-04	ZNF611	zinc finger protein 611	81856
8138231	0.0464287	2.40e-04	THSD7A	thrombospondin type 1 domain containing 7A	221981
8152962	0.0464287	2.41e-04	LRRC6	leucine rich repeat containing 6	23639
8002381	0.0464287	2.43e-04	COG4	component of oligomeric golgi complex 4	25839
7967322	0.04652955	2.45e-04	HCAR3	hydroxycarboxylic acid receptor 3	8843
8096361	0.04691974	2.48e-04	HERC5	HECT and RLD domain containing E3 ubiquitin protein ligase 5	51191
8073522	0.04756526	2.54e-04	SREBF2	sterol regulatory element binding transcription factor 2	6721
8154227	0.04756526	2.54e-04			
7961365	0.0481957	2.59e-04	MANSC1	MANSC domain containing 1	54682
7963263	0.04880103	2.64e-04			
8072744	0.04957042	2.71e-04	NCF4	neutrophil cytosolic factor 4	4689
7983940	0.04957042	2.71e-04	FAM63B	family with sequence similarity 63 member B	54629
8120269	0.05030004	2.76e-04			
8107518	0.05032557	2.78e-04			
7964631	0.05032557	2.80e-04	FAM19A2	family with sequence similarity 19 member A2, C-C motif chemokine like	338811
8169365	0.05097423	2.85e-04	TMEM164	transmembrane protein 164	84187
7933933	0.05244594	2.95e-04	DNAJC12	DnaJ heat shock protein family (Hsp40) member C12	56521
8040113	0.05244594	2.96e-04	ASAP2	ArfGAP with SH3 domain, ankyrin repeat and PH domain 2	8853
8150962	0.0526863	2.99e-04	TOX	thymocyte selection associated high mobility group box	9760
8162039	0.052822	3.02e-04	C9orf64	chromosome 9 open reading frame 64	84267
7894823	0.052822	3.03e-04			
8080964	0.05316055	3.07e-04	GXYLT2	glucoside xylosyltransferase 2	727936
8117243	0.05327474	3.09e-04	CARMIL1	capping protein regulator and myosin 1 linker 1	55604
7900609	0.05820298	3.41e-04	ERMAP	erythroblast membrane associated protein (Scianna blood group)	114625
8156228	0.05820298	3.42e-04	CTSL	cathepsin L	1514
7902965	0.05820298	3.43e-04	BTBD8	BTB domain containing 8	284697
8048175	0.05863678	3.47e-04	SMARCAL1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a like 1	50485
8004111	0.05878266	3.50e-04	RABEP1	rabaptin, RAB GTPase binding effector protein 1	9135
8060977	0.05878266	3.51e-04	SLX4IP	SLX4 interacting protein	128710
7951422	0.05881491	3.53e-04	MSANTD4	Myb/SANT DNA binding domain containing 4 with coiled-coils	84437
8174594	0.05949086	3.59e-04			
7969835	0.05949086	3.61e-04	PCCA	propionyl-CoA carboxylase alpha subunit	5095
8027292	0.05949086	3.63e-04	ZNF431	zinc finger protein 431	170959
8151223	0.06115523	3.75e-04	SLCO5A1	solute carrier organic anion transporter family member 5A1	81796
8016870	0.06227119	3.83e-04	MRPS23	mitochondrial ribosomal protein S23	51649
8174596	0.06398139	3.96e-04			
7920123	0.06406077	3.98e-04	S100A10	S100 calcium binding protein A10	6281
8148966	0.06411831	4.01e-04	RPL23AP53	ribosomal protein L23a pseudogene 53	644128
8057719	0.06446877	4.05e-04	HIBCH	3-hydroxyisobutyryl-CoA hydrolase	26275
8038824	0.06471092	4.10e-04	SIGLEC10	sialic acid binding Ig like lectin 10	89790
8111524	0.06471092	4.11e-04	UGT3A2	UDP glycosyltransferase family 3 member A2	167127
8122013	0.06471092	4.14e-04	L3MBTL3	l(3)mbt-like 3 (Drosophila)	84456
8120067	0.06471092	4.15e-04	SLC25A27	solute carrier family 25 member 27	9481
8109403	0.06471092	4.17e-04	MFAP3	microfibrillar associated protein 3	4238
7902158	0.06471092	4.18e-04	TCTEX1D1	Tctex1 domain containing 1	200132
8120826	0.06471092	4.22e-04	IRAK1BP1	interleukin 1 receptor associated kinase 1 binding protein 1	134728
8126666	0.06471092	4.23e-04	NFKBIE	NFKB inhibitor epsilon	4794
8058221	0.06471092	4.26e-04	TRAK2	trafficking kinesin protein 2	66008
8103622	0.06471092	4.27e-04	CBR4	carbonyl reductase 4	84869
7957023	0.06471092	4.30e-04	LYZ	lysozyme	4069
7896638	0.06471092	4.32e-04			
8106962	0.06471092	4.35e-04	ARSK	arylsulfatase family member K	153642
8014369	0.06471092	4.36e-04	CCL3	C-C motif chemokine ligand 3	6348
8011415	0.06471092	4.37e-04	P2RX5-TAX1BP3///P2RX5	P2RX5-TAX1BP3 readthrough (NMD candidate)///purinergic receptor P2X 5	100533970///5026
8163509	0.06471092	4.39e-04	ALAD	aminolevulinate dehydratase	210
7898167	0.06471092	4.40e-04	CTRC	chymotrypsin C	11330
8124040	0.06471092	4.41e-04	ATXN1	ataxin 1	6310
8102342	0.06509227	4.47e-04	ELOVL6	ELOVL fatty acid elongase 6	79071
7940237	0.06509227	4.48e-04	MS4A4A	membrane spanning 4-domains A4A	51338
8086341	0.06555516	4.53e-04	XIRP1	xin actin binding repeat containing 1	165904
7921144	0.06563241	4.55e-04	SH2D2A	SH2 domain containing 2A	9047
8123137	0.06634334	4.64e-04	ACAT2	acetyl-CoA acetyltransferase 2	39
8027233	0.06634334	4.67e-04	ZNF101	zinc finger protein 101	94039
8005501	0.06634334	4.68e-04	TVP23C-CDRT4///TVP23C///TVP23B	TVP23C-CDRT4 readthrough///trans-golgi network vesicle protein 23 homolog C (S. cerevisiae)///trans-golgi network vesicle protein 23 homolog B (S. cerevisiae)	100533496///201158///51030
8004671	0.06634334	4.68e-04	KDM6B	lysine demethylase 6B	23135
7900699	0.06634334	4.70e-04	CDC20	cell division cycle 20	991
8046646	0.06807989	4.85e-04	OSBPL6	oxysterol binding protein like 6	114880
8154692	0.06855063	4.90e-04	TEK	TEK receptor tyrosine kinase	7010
8097813	0.06978092	5.01e-04	ARFIP1	ADP ribosylation factor interacting protein 1	27236
8042270	0.06983712	5.05e-04	UGP2	UDP-glucose pyrophosphorylase 2	7360
8069620	0.06983712	5.07e-04	MRPL39	mitochondrial ribosomal protein L39	54148
7987248	0.06983712	5.08e-04	GOLGA8DP///GOLGA8CP///GOLGA8B///GOLGA8A	golgin A8 family member D, pseudogene///golgin A8 family member C, pseudogene///golgin A8 family member B///golgin A8 family member A	100132979///729786///440270///23015
7948612	0.06983712	5.10e-04	FADS1	fatty acid desaturase 1	3992
7895085	0.0700026	5.13e-04			
8046318	0.07040372	5.18e-04	DCAF17	DDB1 and CUL4 associated factor 17	80067
8035935	0.07044119	5.20e-04			
8111533	0.07179899	5.33e-04	LMBRD2	LMBR1 domain containing 2	92255
7907486	0.07257186	5.41e-04	ZBTB37	zinc finger and BTB domain containing 37	84614
8044919	0.07487965	5.60e-04	RALB	RALB Ras like proto-oncogene B	5899
8092418	0.07497134	5.63e-04	ABCC5	ATP binding cassette subfamily C member 5	10057
7922412	0.07497134	5.67e-04	SNORD77	small nucleolar RNA, C/D box 77	692197
7975136	0.07497134	5.67e-04	FUT8	fucosyltransferase 8	2530
7913385	0.07586273	5.76e-04	RAP1GAP	RAP1 GTPase activating protein	5909
8099967	0.07686029	5.86e-04	RBM47	RNA binding motif protein 47	54502
8080621	0.07721335	5.96e-04	CCDC66	coiled-coil domain containing 66	285331
7995292	0.07721335	5.96e-04	SLC6A10PB///SLC6A10P///SLC6A8	solute carrier family 6 member 8 pseudogene///solute carrier family 6 member 10, pseudogene///solute carrier family 6 member 8	653562///386757///6535
8083968	0.07721335	5.96e-04	NLGN1	neuroligin 1	22871
7896131	0.07783476	6.03e-04			
8138277	0.07794991	6.10e-04	VWDE	von Willebrand factor D and EGF domains	221806
8049435	0.07794991	6.13e-04	SH3BP4	SH3 domain binding protein 4	23677
7956097	0.07794991	6.15e-04	SUOX	sulfite oxidase	6821
8089299	0.07794991	6.15e-04	CD47	CD47 molecule	961
8106418	0.07794991	6.17e-04	CRHBP	corticotropin releasing hormone binding protein	1393
8062034	0.07794991	6.18e-04	TP53INP2	tumor protein p53 inducible nuclear protein 2	58476
7943349	0.07881604	6.27e-04	ARHGAP42	Rho GTPase activating protein 42	143872
8178074	0.07933511	6.34e-04	C6orf25	chromosome 6 open reading frame 25	80739
7896713	0.07933511	6.37e-04			
8035083	0.07933511	6.39e-04	CYP4F2	cytochrome P450 family 4 subfamily F member 2	8529
7983650	0.08032951	6.49e-04	SLC27A2	solute carrier family 27 member 2	11001
8082058	0.08079722	6.55e-04	CSTA	cystatin A	1475
8092230	0.08095852	6.60e-04	ZMAT3	zinc finger matrin-type 3	64393
8052526	0.08095852	6.61e-04	XPO1	exportin 1	7514
7896337	0.08159838	6.73e-04			
8042373	0.08159838	6.74e-04	ETAA1	Ewing tumor associated antigen 1	54465
7957386	0.08159838	6.74e-04	ACSS3	acyl-CoA synthetase short-chain family member 3	79611
7958262	0.08383633	6.95e-04	TCP11L2	t-complex 11 like 2	255394
8174051	0.08383633	6.99e-04	BTK	Bruton tyrosine kinase	695
7902043	0.08383633	7.00e-04	DNAJC6	DnaJ heat shock protein family (Hsp40) member C6	9829
8037444	0.08591356	7.20e-04	ZNF235	zinc finger protein 235	9310
7896696	0.08639853	7.27e-04			
7977270	0.08715195	7.36e-04	LOC388022	uncharacterized LOC388022	388022
7978644	0.08715195	7.44e-04	NFKBIA	NFKB inhibitor alpha	4792
7980908	0.08715195	7.46e-04	FBLN5	fibulin 5	10516
7933092	0.08715195	7.46e-04	ZNF248	zinc finger protein 248	57209
8106709	0.08715195	7.50e-04	ATG10	autophagy related 10	83734
7955419	0.08715195	7.51e-04			
7901054	0.08715195	7.51e-04	PLK3	polo like kinase 3	1263
8152664	0.08933482	7.73e-04			
7896641	0.08966502	7.78e-04			
7942596	0.09039272	7.87e-04	SERPINH1	serpin family H member 1	871
8047381	0.09064682	7.92e-04	CFLAR	CASP8 and FADD like apoptosis regulator	8837
7964665	0.09122006	8.00e-04	DPY19L2	dpy-19 like 2	283417
8174513	0.09135675	8.04e-04	CHRDL1	chordin like 1	91851
8012953	0.09202429	8.15e-04	TRIM16	tripartite motif containing 16	10626
8016261	0.09202429	8.20e-04	LOC644172///MAPK8IP1	mitogen-activated protein kinase 8 interacting protein 1 pseudogene///mitogen-activated protein kinase 8 interacting protein 1	644172///9479
8171359	0.09202429	8.23e-04	GPM6B	glycoprotein M6B	2824
8165911	0.09202429	8.30e-04	TBL1X	transducin (beta)-like 1X-linked	6907
8014391	0.09202429	8.33e-04	CCL3L3///CCL3L1///CCL3	C-C motif chemokine ligand 3 like 3///C-C motif chemokine ligand 3 like 1///C-C motif chemokine ligand 3	414062///6349///6348
8014414	0.09202429	8.33e-04	CCL3L3///CCL3L1///CCL3	C-C motif chemokine ligand 3 like 3///C-C motif chemokine ligand 3 like 1///C-C motif chemokine ligand 3	414062///6349///6348
8019731	0.09202429	8.33e-04	CCL3L3///CCL3L1///CCL3	C-C motif chemokine ligand 3 like 3///C-C motif chemokine ligand 3 like 1///C-C motif chemokine ligand 3	414062///6349///6348
8132013	0.09202429	8.33e-04	CHN2	chimerin 2	1124
7952641	0.09202429	8.35e-04	ARHGAP32	Rho GTPase activating protein 32	9743
8051928	0.09202429	8.37e-04	PREPL	prolyl endopeptidase-like	9581
8062041	0.09228458	8.43e-04	ACSS2	acyl-CoA synthetase short-chain family member 2	55902
7894759	0.09400648	8.61e-04			
8025992	0.09487329	8.76e-04	ZNF788	zinc finger family member 788	388507
8160912	0.09487329	8.77e-04	C9orf131	chromosome 9 open reading frame 131	138724
8180311	0.09487329	8.78e-04	DYNC1I2	dynein cytoplasmic 1 intermediate chain 2	1781
8095585	0.09491979	8.81e-04	SLC4A4	solute carrier family 4 member 4	8671
8106573	0.0952345	8.91e-04	THBS4	thrombospondin 4	7060
8166784	0.0952345	8.92e-04	TSPAN7	tetraspanin 7	7102
8065032	0.0952345	8.92e-04	ESF1	ESF1 nucleolar pre-rRNA processing protein homolog	51575
8102415	0.09609676	9.03e-04	CAMK2D	calcium/calmodulin dependent protein kinase II delta	817
8151952	0.09649853	9.10e-04	NIPAL2	NIPA like domain containing 2	79815
8030950	0.09649853	9.16e-04	ZNF701	zinc finger protein 701	55762
8129458	0.09649853	9.16e-04	ARHGAP18	Rho GTPase activating protein 18	93663
8012539	0.09690837	9.23e-04	PIK3R6	phosphoinositide-3-kinase regulatory subunit 6	146850
8050443	0.09740157	9.31e-04	SMC6	structural maintenance of chromosomes 6	79677
7987192	0.09740157	9.33e-04	SLC12A6	solute carrier family 12 member 6	9990
7895176	0.09750063	9.37e-04			
8022326	0.09759428	9.42e-04	MPPE1	metallophosphoesterase 1	65258
8025984	0.09759428	9.44e-04	ZNF844	zinc finger protein 844	284391
7965812	0.09818979	9.53e-04	GNPTAB	N-acetylglucosamine-1-phosphate transferase alpha and beta subunits	79158
8132399	0.09818979	9.57e-04	YAE1D1	Yae1 domain containing 1	57002
8034320	0.09818979	9.63e-04	ZNF433	zinc finger protein 433	163059
7969050	0.09818979	9.65e-04	CYSLTR2	cysteinyl leukotriene receptor 2	57105
8007848	0.09818979	9.73e-04	LOC644172///MAPK8IP1	mitogen-activated protein kinase 8 interacting protein 1 pseudogene///mitogen-activated protein kinase 8 interacting protein 1	644172///9479
8163402	0.09818979	9.78e-04	PTBP3	polypyrimidine tract binding protein 3	9991
8112428	0.09818979	9.82e-04	CD180	CD180 molecule	4064
8143471	0.09818979	9.90e-04	CLEC5A	C-type lectin domain family 5 member A	23601
7908488	0.09818979	9.91e-04	CFHR1	complement factor H related 1	3078
7982187	0.09818979	9.95e-04	APBA2	amyloid beta precursor protein binding family A member 2	321
8136115	0.09818979	9.96e-04	STRIP2	striatin interacting protein 2	57464
8077929	0.09818979	9.99e-04			
7965606	0.09818979	1.00e-03	HAL	histidine ammonia-lyase	3034
7918467	0.09818979	1.00e-03	LRIF1	ligand dependent nuclear receptor interacting factor 1	55791
8147307	0.09818979	1.00e-03	FAM92A1	family with sequence similarity 92 member A1	137392
7903162	0.09818979	1.00e-03	TMEM56-RWDD3///TMEM56	TMEM56-RWDD3 readthrough///transmembrane protein 56	100527978///148534
8144669	0.09818979	1.00e-03	FDFT1///FDFT1	farnesyl-diphosphate farnesyltransferase 1///farnesyl-diphosphate farnesyltransferase 1	2222///2222
