id,type,label,logic,pathway,full_label
hsa:4215,gene,MAP3K3,,path:hsa04010,"MAP3K3, CCM5, MAPKKK3, MEKK3; mitogen-activated protein kinase kinase kinase 3 isoform 2"
fu:132d5437,functional_unit,fu:132d5437,OR,path:hsa04010,
hsa:23542,gene,MAPK8IP2,,path:hsa04010,"MAPK8IP2, IB-2, IB2, JIP2, PRKM8IPL; C-Jun-amino-terminal kinase-interacting protein 2"
hsa:9479,gene,MAPK8IP1,,path:hsa04010,"MAPK8IP1, IB1, JIP-1, JIP1, PRKM8IP; C-Jun-amino-terminal kinase-interacting protein 1"
fu:f909436b,functional_unit,fu:f909436b,OR,path:hsa04010,
hsa:4296,gene,MAP3K11,,path:hsa04010,"MAP3K11, MEKK11, MLK-3, MLK3, PTK1, SPRK; mitogen-activated protein kinase kinase kinase 11"
fu:b3c329bb,functional_unit,fu:b3c329bb,SINGLE,path:hsa04010,
hsa:5609,gene,MAP2K7,,path:hsa04010,"MAP2K7, JNKK2, MAPKK7, MEK, MEK 7, MKK7, PRKMK7, SAPKK-4, SAPKK4; dual specificity mitogen-activated protein kinase kinase 7 isoform 3"
fu:e91d5dca,functional_unit,fu:e91d5dca,SINGLE,path:hsa04010,
hsa:5599,gene,MAPK8,,path:hsa04010,"MAPK8, JNK, JNK-46, JNK1, JNK1A2, JNK21B1/2, PRKM8, SAPK1, SAPK1c; mitogen-activated protein kinase 8 isoform alpha2"
hsa:5601,gene,MAPK9,,path:hsa04010,"MAPK9, JNK-55, JNK2, JNK2A, JNK2ALPHA, JNK2B, JNK2BETA, PRKM9, SAPK, SAPK1a, p54a, p54aSAPK; mitogen-activated protein kinase 9 isoform alpha2"
hsa:5602,gene,MAPK10,,path:hsa04010,"MAPK10, JNK3, JNK3A, PRKM10, SAPK1b, p493F12, p54bSAPK; mitogen-activated protein kinase 10 isoform 1"
fu:6d644b92,functional_unit,fu:6d644b92,OR,path:hsa04010,
hsa:6416,gene,MAP2K4,,path:hsa04010,"MAP2K4, JNKK, JNKK1, MAPKK4, MEK4, MKK4, PRKMK4, SAPKK-1, SAPKK1, SEK1, SERK1, SKK1; dual specificity mitogen-activated protein kinase kinase 4 isoform 1"
fu:570182ed,functional_unit,fu:570182ed,SINGLE,path:hsa04010,
hsa:1398,gene,CRK,,path:hsa04010,"CRK, CRKII, p38; adapter molecule crk isoform a"
hsa:1399,gene,CRKL; crk-like protein,,path:hsa04010,CRKL; crk-like protein
fu:bb600ec1,functional_unit,fu:bb600ec1,OR,path:hsa04010,
hsa:408,gene,ARRB1,,path:hsa04010,"ARRB1, ARB1, ARR1; beta-arrestin-1 isoform A"
hsa:409,gene,ARRB2,,path:hsa04010,"ARRB2, ARB2, ARR2, BARR2; beta-arrestin-2 isoform 1"
fu:feae114b,functional_unit,fu:feae114b,OR,path:hsa04010,
hsa:2122,gene,MECOM,,path:hsa04010,"MECOM, AML1-EVI-1, EVI1, KMT8E, MDS1, MDS1-EVI1, PRDM3, RUSAT2; histone-lysine N-methyltransferase MECOM isoform f"
fu:276852e1,functional_unit,fu:276852e1,SINGLE,path:hsa04010,
hsa:3303,gene,HSPA1A,,path:hsa04010,"HSPA1A, HEL-S-103, HSP70, HSP70-1, HSP70-1A, HSP70-2, HSP70.1, HSP70.2, HSP70I, HSP72, HSPA1; heat shock 70 kDa protein 1A"
hsa:3304,gene,HSPA1B,,path:hsa04010,"HSPA1B, HSP70-1, HSP70-1B, HSP70-2, HSP70.1, HSP70.2, HSP72, HSPA1, HSX70; heat shock 70 kDa protein 1B"
hsa:3305,gene,HSPA1L,,path:hsa04010,"HSPA1L, HSP70-1L, HSP70-HOM, HSP70T, hum70t; heat shock 70 kDa protein 1-like"
hsa:3310,gene,HSPA6,,path:hsa04010,"HSPA6, HSP70B'; heat shock 70 kDa protein 6"
hsa:3312,gene,HSPA8,,path:hsa04010,"HSPA8, HEL-33, HEL-S-72p, HSC54, HSC70, HSC71, HSP71, HSP73, HSPA10, LAP-1, LAP1, NIP71; heat shock cognate 71 kDa protein isoform 1"
fu:0b6ac087,functional_unit,fu:0b6ac087,OR,path:hsa04010,
hsa:3727,gene,JUND,,path:hsa04010,"JUND, AP-1; transcription factor JunD isoform JunD-FL"
fu:df6e49cb,functional_unit,fu:df6e49cb,SINGLE,path:hsa04010,
hsa:2353,gene,FOS,,path:hsa04010,"FOS, AP-1, C-FOS, p55; protein c-Fos"
hsa:3725,gene,JUN,,path:hsa04010,"JUN, AP-1, AP1, c-Jun, cJUN, p39; transcription factor Jun"
fu:b00b8bb9,functional_unit,fu:b00b8bb9,OR,path:hsa04010,
hsa:4775,gene,NFATC3,,path:hsa04010,"NFATC3, NF-AT4c, NFAT4, NFATX, n339260; nuclear factor of activated T-cells, cytoplasmic 3 isoform 1"
fu:dc32a5ad,functional_unit,fu:dc32a5ad,SINGLE,path:hsa04010,
hsa:4772,gene,NFATC1,,path:hsa04010,"NFATC1, NF-ATC, NF-ATc1.2, NFAT2, NFATc; nuclear factor of activated T-cells, cytoplasmic 1 isoform F"
fu:c3c044c2,functional_unit,fu:c3c044c2,SINGLE,path:hsa04010,
hsa:5530,gene,PPP3CA,,path:hsa04010,"PPP3CA, ACCIID, CALN, CALNA, CALNA1, CCN1, CNA1, DEE91, IECEE, IECEE1, PPP2B; protein phosphatase 3 catalytic subunit alpha isoform 1"
hsa:5532,gene,PPP3CB,,path:hsa04010,"PPP3CB, CALNA2, CALNB, CNA2, PP2Bbeta; serine/threonine-protein phosphatase 2B catalytic subunit beta isoform isoform b"
hsa:5533,gene,PPP3CC,,path:hsa04010,"PPP3CC, CALNA3, CNA3, PP2Bgamma; serine/threonine-protein phosphatase 2B catalytic subunit gamma isoform isoform 2"
hsa:5534,gene,PPP3R1,,path:hsa04010,"PPP3R1, CALNB1, CNB, CNB1; calcineurin subunit B type 1"
hsa:5535,gene,PPP3R2,,path:hsa04010,"PPP3R2, PPP3RL; calcineurin subunit B type 2"
fu:b7c942f2,functional_unit,fu:b7c942f2,OR,path:hsa04010,
hsa:23162,gene,MAPK8IP3,,path:hsa04010,"MAPK8IP3, JIP-3, JIP3, JSAP1, NEDBA, SYD2, syd; C-Jun-amino-terminal kinase-interacting protein 3 isoform 1"
fu:70e28caf,functional_unit,fu:70e28caf,SINGLE,path:hsa04010,
hsa:2316,gene,FLNA,,path:hsa04010,"FLNA, ABP-280, ABPX, CSBS, CVD1, FGS2, FLN, FLN-A, FLN1, FMD, MNS, NHBP, OPD, OPD1, OPD2, XLVD, XMVD; filamin-A isoform 2"
fu:eafed3d4,functional_unit,fu:eafed3d4,SINGLE,path:hsa04010,
hsa:4214,gene,MAP3K1,,path:hsa04010,"MAP3K1, MAPKKK1, MEKK, MEKK 1, MEKK1, SRXY6; mitogen-activated protein kinase kinase kinase 1"
fu:51a2cf1c,functional_unit,fu:51a2cf1c,SINGLE,path:hsa04010,
hsa:1326,gene,MAP3K8,,path:hsa04010,"MAP3K8, AURA2, COT, EST, ESTF, MEKK8, TPL2, Tpl-2, c-COT; mitogen-activated protein kinase kinase kinase 8"
fu:c677775a,functional_unit,fu:c677775a,SINGLE,path:hsa04010,
hsa:11184,gene,MAP4K1,,path:hsa04010,"MAP4K1, HPK1; mitogen-activated protein kinase kinase kinase kinase 1 isoform 2"
fu:67c2c532,functional_unit,fu:67c2c532,SINGLE,path:hsa04010,
hsa:8491,gene,MAP4K3,,path:hsa04010,"MAP4K3, GLK, MAPKKKK3, MEKKK 3, MEKKK3, RAB8IPL1; mitogen-activated protein kinase kinase kinase kinase 3 isoform 1"
fu:d5da61b1,functional_unit,fu:d5da61b1,SINGLE,path:hsa04010,
fu:4a93f607,functional_unit,fu:4a93f607,SINGLE,path:hsa04010,
hsa:6722,gene,SRF,,path:hsa04010,"SRF, MCM1; serum response factor isoform 1"
fu:64350fe1,functional_unit,fu:64350fe1,SINGLE,path:hsa04010,
hsa:4609,gene,MYC,,path:hsa04010,"MYC, MRTL, MYCC, bHLHe39, c-Myc; myc proto-oncogene protein isoform 1"
fu:660a73fe,functional_unit,fu:660a73fe,SINGLE,path:hsa04010,
fu:43f29145,functional_unit,fu:43f29145,SINGLE,path:hsa04010,
fu:d5e2f306,functional_unit,fu:d5e2f306,SINGLE,path:hsa04010,
fu:43e2fdc4,functional_unit,fu:43e2fdc4,SINGLE,path:hsa04010,
hsa:27330,gene,RPS6KA6,,path:hsa04010,"RPS6KA6, PP90RSK4, RSK-4, RSK4, S6K-alpha-6, p90RSK6; ribosomal protein S6 kinase alpha-6 isoform 2"
hsa:6195,gene,RPS6KA1,,path:hsa04010,"RPS6KA1, HU-1, MAPKAPK1, MAPKAPK1A, RSK, RSK1, p90Rsk; ribosomal protein S6 kinase alpha-1 isoform a"
hsa:6196,gene,RPS6KA2,,path:hsa04010,"RPS6KA2, HU-2, MAPKAPK1C, RSK, RSK3, S6K-alpha, S6K-alpha2, p90-RSK3, p90RSK2, pp90RSK3; ribosomal protein S6 kinase alpha-2 isoform a"
hsa:6197,gene,RPS6KA3,,path:hsa04010,"RPS6KA3, CLS, HU-3, ISPK-1, MAPKAPK1B, MRX19, RSK, RSK2, S6K-alpha3, XLID19, p90-RSK2, pp90RSK2; ribosomal protein S6 kinase alpha-3 isoform 1"
fu:b87822b1,functional_unit,fu:b87822b1,OR,path:hsa04010,
hsa:2872,gene,MKNK2,,path:hsa04010,"MKNK2, GPRK7, MNK2; MAP kinase-interacting serine/threonine-protein kinase 2 isoform 2"
hsa:8569,gene,MKNK1,,path:hsa04010,"MKNK1, MNK1; MAP kinase-interacting serine/threonine-protein kinase 1 isoform 1"
fu:5a1f69b8,functional_unit,fu:5a1f69b8,OR,path:hsa04010,
hsa:125467750,gene,EFNA4-EFNA3; EFNA4-EFNA3 protein precursor,,path:hsa04010,EFNA4-EFNA3; EFNA4-EFNA3 protein precursor
hsa:1435,gene,CSF1,,path:hsa04010,"CSF1, CSF-1, MCSF, PG-M-CSF; macrophage colony-stimulating factor 1 isoform a precursor"
hsa:1942,gene,EFNA1,,path:hsa04010,"EFNA1, B61, ECKLG, EFL1, EPLG1, GMAN, LERK-1, LERK1, TNFAIP4; ephrin-A1 isoform a precursor"
hsa:1943,gene,EFNA2,,path:hsa04010,"EFNA2, ELF-1, EPLG6, HEK7-L, LERK-6, LERK6; ephrin-A2 precursor"
hsa:1944,gene,EFNA3,,path:hsa04010,"EFNA3, EFL2, EPLG3, Ehk1-L, LERK3; ephrin-A3 precursor"
hsa:1945,gene,EFNA4,,path:hsa04010,"EFNA4, EFL4, EPLG4, LERK-4, LERK4; ephrin-A4 isoform a precursor"
hsa:1946,gene,EFNA5,,path:hsa04010,"EFNA5, AF1, EFL5, EPLG7, GLC1M, LERK7, RAGS; ephrin-A5 isoform 1 precursor"
hsa:1950,gene,EGF,,path:hsa04010,"EGF, HOMG4, URG; pro-epidermal growth factor isoform 1 preproprotein"
hsa:2069,gene,EREG,,path:hsa04010,"EREG, EPR, ER, Ep; proepiregulin preproprotein"
hsa:2246,gene,FGF1,,path:hsa04010,"FGF1, AFGF, ECGF, ECGF-beta, ECGFA, ECGFB, FGF-1, FGF-alpha, FGFA, GLIO703, HBGF-1, HBGF1; fibroblast growth factor 1 isoform 1 precursor"
hsa:2247,gene,FGF2,,path:hsa04010,"FGF2, BFGF, FGF-2, FGFB, HBGF-2; fibroblast growth factor 2 isoform 34 kDa"
hsa:2248,gene,FGF3,,path:hsa04010,"FGF3, HBGF-3, INT2; fibroblast growth factor 3 precursor"
hsa:2249,gene,FGF4,,path:hsa04010,"FGF4, FGF-4, HBGF-4, HST, HST-1, HSTF-1, HSTF1, K-FGF, KFGF, SRTD22; fibroblast growth factor 4 precursor"
hsa:2250,gene,FGF5,,path:hsa04010,"FGF5, HBGF-5, Smag-82, TCMGLY; fibroblast growth factor 5 isoform 1 precursor"
hsa:2251,gene,FGF6,,path:hsa04010,"FGF6, HBGF-6, HST2; fibroblast growth factor 6 precursor"
hsa:2252,gene,FGF7,,path:hsa04010,"FGF7, HBGF-7, KGF; fibroblast growth factor 7 precursor"
hsa:2253,gene,FGF8,,path:hsa04010,"FGF8, AIGF, FGF-8, HBGF-8, HH6, KAL6; fibroblast growth factor 8 isoform E precursor"
hsa:2254,gene,FGF9,,path:hsa04010,"FGF9, FGF-9, GAF, HBFG-9, HBGF-9, SYNS3; fibroblast growth factor 9 precursor"
hsa:2255,gene,FGF10,,path:hsa04010,"FGF10, LADD3; fibroblast growth factor 10 precursor"
hsa:2277,gene,VEGFD,,path:hsa04010,"VEGFD, FIGF, VEGF-D; vascular endothelial growth factor D preproprotein"
hsa:2323,gene,FLT3LG,,path:hsa04010,"FLT3LG, FL, FLG3L, FLT3L, IMD125; fms-related tyrosine kinase 3 ligand isoform 1 precursor"
hsa:26281,gene,FGF20,,path:hsa04010,"FGF20, FGF-20, RHDA2; fibroblast growth factor 20"
hsa:26291,gene,FGF21; fibroblast growth factor 21 precursor,,path:hsa04010,FGF21; fibroblast growth factor 21 precursor
hsa:2668,gene,GDNF,,path:hsa04010,"GDNF, ATF, ATF1, ATF2, HFB1-GDNF, HSCR3; glial cell line-derived neurotrophic factor isoform 1 preproprotein"
hsa:27006,gene,FGF22; fibroblast growth factor 22 isoform 1 precursor,,path:hsa04010,FGF22; fibroblast growth factor 22 isoform 1 precursor
hsa:284,gene,ANGPT1,,path:hsa04010,"ANGPT1, AGP1, AGPT, AGPT-1, ANG1, HAE5; angiopoietin-1 isoform 1 precursor"
hsa:285,gene,ANGPT2,,path:hsa04010,"ANGPT2, AGPT2, ANG2, LMPHM10; angiopoietin-2 isoform a precursor"
hsa:3082,gene,HGF,,path:hsa04010,"HGF, DFNB39, F-TCF, HGFB, HPTA, SF; hepatocyte growth factor isoform 1 preproprotein"
hsa:3479,gene,IGF1,,path:hsa04010,"IGF1, IGF, IGF-I, IGFI, MGF; insulin-like growth factor 1 isoform 3 preproprotein"
hsa:3481,gene,IGF2,,path:hsa04010,"IGF2, C11orf43, GRDF, IGF-II, PP9974, SRS3; insulin-like growth factor 2 isoform 1 preproprotein"
hsa:3630,gene,INS,,path:hsa04010,"INS, IDDM, IDDM1, IDDM2, ILPR, IRDN, MODY10, PNDM4; insulin preproprotein"
hsa:374,gene,AREG,,path:hsa04010,"AREG, AR, AREGB, CRDGF, SDGF; amphiregulin preproprotein"
hsa:4254,gene,KITLG,,path:hsa04010,"KITLG, DCUA, DFNA69, FPH2, FPHH, KL-1, Kitl, MGF, SCF, SF, SHEP7, SLF, WS2F; kit ligand isoform b precursor"
hsa:4803,gene,NGF,,path:hsa04010,"NGF, Beta-NGF, HSAN5, NGFB; beta-nerve growth factor precursor"
hsa:4902,gene,NRTN,,path:hsa04010,"NRTN, NTN; neurturin preproprotein"
hsa:4908,gene,NTF3,,path:hsa04010,"NTF3, HDNF, NGF-2, NGF2, NT-3, NT3; neurotrophin-3 isoform 2 preproprotein"
hsa:4909,gene,NTF4,,path:hsa04010,"NTF4, GLC10, GLC1O, NT-4, NT-4/5, NT-5, NT4, NT5, NTF5; neurotrophin-4 preproprotein"
hsa:51378,gene,ANGPT4,,path:hsa04010,"ANGPT4, ANG3, ANG4; angiopoietin-4 isoform 1 precursor"
hsa:5154,gene,PDGFA,,path:hsa04010,"PDGFA, PDGF-A, PDGF1; platelet-derived growth factor subunit A isoform 1 preproprotein"
hsa:5155,gene,PDGFB,,path:hsa04010,"PDGFB, IBGC5, PDGF-2, PDGF2, SIS, SSV, c-sis; platelet-derived growth factor subunit B isoform 1 preproprotein"
hsa:5228,gene,PGF,,path:hsa04010,"PGF, D12S1900, PGFL, PIGF, PLGF, PlGF-2, SHGC-10760; placenta growth factor isoform 2 precursor"
hsa:56034,gene,PDGFC,,path:hsa04010,"PDGFC, FALLOTEIN, SCDGF; platelet-derived growth factor C precursor"
hsa:5623,gene,PSPN,,path:hsa04010,"PSPN, PSP; persephin preproprotein"
hsa:627,gene,BDNF,,path:hsa04010,"BDNF, ANON2, BULN2; neurotrophic factor BDNF precursor form isoform a preproprotein"
hsa:7039,gene,TGFA,,path:hsa04010,"TGFA, TFGA; protransforming growth factor alpha isoform 1 preproprotein"
hsa:7422,gene,VEGFA,,path:hsa04010,"VEGFA, L-VEGF, MVCD1, VEGF, VPF; vascular endothelial growth factor A, long form isoform b"
hsa:7423,gene,VEGFB,,path:hsa04010,"VEGFB, VEGFL, VRF; vascular endothelial growth factor B isoform VEGFB-186 precursor"
hsa:7424,gene,VEGFC,,path:hsa04010,"VEGFC, Flt4-L, LMPH1D, LMPHM4, VRP; vascular endothelial growth factor C preproprotein"
hsa:80310,gene,PDGFD,,path:hsa04010,"PDGFD, IEGF, MSTP036, SCDGF-B, SCDGFB; platelet-derived growth factor D isoform 1 precursor"
hsa:8074,gene,FGF23,,path:hsa04010,"FGF23, ADHR, FGFN, HFTC2, HPDR2, HYPF, PHPTC; fibroblast growth factor 23 precursor"
hsa:8817,gene,FGF18,,path:hsa04010,"FGF18, FGF-18, ZFGF5; fibroblast growth factor 18 precursor"
hsa:8822,gene,FGF17,,path:hsa04010,"FGF17, FGF-13, FGF-17, HH20; fibroblast growth factor 17 isoform 1 precursor"
hsa:8823,gene,FGF16,,path:hsa04010,"FGF16, FGF-16, MF4; fibroblast growth factor 16"
hsa:9048,gene,ARTN,,path:hsa04010,"ARTN, ART, ENOVIN, EVN, NBN; artemin isoform 1 preproprotein"
hsa:9965,gene,FGF19; fibroblast growth factor 19 precursor,,path:hsa04010,FGF19; fibroblast growth factor 19 precursor
fu:346ae89a,functional_unit,fu:346ae89a,OR,path:hsa04010,
hsa:8717,gene,TRADD,,path:hsa04010,"TRADD, Hs.89862; tumor necrosis factor receptor type 1-associated DEATH domain protein"
fu:cf10c0cc,functional_unit,fu:cf10c0cc,SINGLE,path:hsa04010,
hsa:4615,gene,MYD88,,path:hsa04010,"MYD88, IMD68, MYD88D, WM1; myeloid differentiation primary response protein MyD88 isoform 2"
fu:b660a1ba,functional_unit,fu:b660a1ba,SINGLE,path:hsa04010,
hsa:3654,gene,IRAK1,,path:hsa04010,"IRAK1, IRAK, pelle; interleukin-1 receptor-associated kinase 1 isoform 1"
hsa:51135,gene,IRAK4,,path:hsa04010,"IRAK4, IMD67, IPD1, IRAK-4, NY-REN-64, REN64; interleukin-1 receptor-associated kinase 4 isoform a"
fu:dd221e0c,functional_unit,fu:dd221e0c,OR,path:hsa04010,
hsa:369,gene,ARAF,,path:hsa04010,"ARAF, A-RAF, ARAF1, PKS2, RAFA1; serine/threonine-protein kinase A-Raf isoform 1"
fu:b4078acf,functional_unit,fu:b4078acf,SINGLE,path:hsa04010,
fu:f4ddeb79,functional_unit,fu:f4ddeb79,SINGLE,path:hsa04010,
fu:307a059d,functional_unit,fu:307a059d,AND,path:hsa04010,
fu:c6833f6c,functional_unit,fu:c6833f6c,AND,path:hsa04010,
