#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ADCY1	ADCY7	9606.ENSP00000297323	9606.ENSP00000501053	0	0	0.087	0.831	0	0	0.500	0.432	0.718
ADCY1	GNAI2	9606.ENSP00000297323	9606.ENSP00000312999	0	0	0	0	0.055	0.131	0.650	0.279	0.765
ADCY1	GNAI1	9606.ENSP00000297323	9606.ENSP00000497260	0	0	0	0	0.055	0.131	0.650	0.381	0.798
ADCY1	GNAI3	9606.ENSP00000297323	9606.ENSP00000358867	0	0	0	0	0.055	0.131	0.650	0.545	0.852
ADCY1	ADCY3	9606.ENSP00000297323	9606.ENSP00000384484	0	0	0	0.811	0	0	0.900	0.137	0.910
ADCY1	PRKCD	9606.ENSP00000297323	9606.ENSP00000331602	0	0	0	0	0.057	0	0.900	0.172	0.915
ADCY1	PRKACA	9606.ENSP00000297323	9606.ENSP00000309591	0	0	0	0	0	0.096	0.900	0.478	0.948
ADCY1	PRKACB	9606.ENSP00000297323	9606.ENSP00000359719	0	0	0	0	0	0.096	0.900	0.488	0.949
ADCY1	PRKACG	9606.ENSP00000297323	9606.ENSP00000366488	0	0	0	0	0	0.096	0.900	0.626	0.963
ADCY1	CALML3	9606.ENSP00000297323	9606.ENSP00000315299	0	0	0	0	0	0.046	0.900	0.758	0.974
ADCY1	CALML4	9606.ENSP00000297323	9606.ENSP00000419081	0	0	0	0	0	0.045	0.900	0.765	0.975
ADCY1	CALML6	9606.ENSP00000297323	9606.ENSP00000304643	0	0	0	0	0	0.045	0.900	0.763	0.975
ADCY1	CALML5	9606.ENSP00000297323	9606.ENSP00000369689	0	0	0	0	0	0.046	0.900	0.769	0.976
ADCY1	GNAS	9606.ENSP00000297323	9606.ENSP00000360141	0	0	0	0	0.059	0.258	0.900	0.734	0.979
ADCY2	MAPK1	9606.ENSP00000342952	9606.ENSP00000215832	0	0	0	0	0.054	0.094	0	0.429	0.468
ADCY2	GRM1	9606.ENSP00000342952	9606.ENSP00000282753	0	0	0	0	0.109	0	0	0.468	0.506
ADCY2	ADCY8	9606.ENSP00000342952	9606.ENSP00000286355	0	0	0	0.851	0.118	0	0.500	0.170	0.602
ADCY2	CALM3	9606.ENSP00000342952	9606.ENSP00000291295	0	0	0	0	0	0.046	0.650	0.297	0.745
ADCY2	ADCY9	9606.ENSP00000342952	9606.ENSP00000294016	0	0	0	0.713	0.062	0.153	0.500	0.242	0.658
ADCY2	CALML6	9606.ENSP00000342952	9606.ENSP00000304643	0	0	0	0	0	0.045	0.650	0.226	0.718
ADCY2	PRKACA	9606.ENSP00000342952	9606.ENSP00000309591	0	0	0	0	0	0.096	0.650	0.590	0.859
ADCY2	ADCY6	9606.ENSP00000342952	9606.ENSP00000311405	0	0	0.074	0.864	0	0.534	0.500	0.107	0.781
ADCY2	ADCY4	9606.ENSP00000342952	9606.ENSP00000312126	0	0	0.061	0.956	0	0	0.500	0.065	0.522
ADCY2	GNAI2	9606.ENSP00000342952	9606.ENSP00000312999	0	0	0	0	0.055	0.131	0.650	0.262	0.759
ADCY2	CALML3	9606.ENSP00000342952	9606.ENSP00000315299	0	0	0	0	0	0.046	0.650	0.293	0.743
ADCY2	PRKCD	9606.ENSP00000342952	9606.ENSP00000331602	0	0	0	0	0.067	0	0.900	0.117	0.910
ADCY2	PLCB1	9606.ENSP00000342952	9606.ENSP00000338185	0	0	0	0	0.111	0	0	0.460	0.500
ADCY2	POMC	9606.ENSP00000342952	9606.ENSP00000384092	0	0	0	0	0	0	0	0.508	0.508
ADCY2	ADCY7	9606.ENSP00000342952	9606.ENSP00000501053	0	0	0.064	0.949	0	0	0.500	0.068	0.525
ADCY2	ADCY3	9606.ENSP00000342952	9606.ENSP00000384484	0	0	0	0.828	0	0	0.500	0.185	0.575
ADCY2	AKT2	9606.ENSP00000342952	9606.ENSP00000375892	0	0	0	0	0	0.061	0.650	0.081	0.671
ADCY2	AKT1	9606.ENSP00000342952	9606.ENSP00000451828	0	0	0	0	0	0.061	0.650	0.183	0.708
ADCY2	AKT3	9606.ENSP00000342952	9606.ENSP00000500582	0	0	0	0	0	0.061	0.650	0.207	0.716
ADCY2	CALML5	9606.ENSP00000342952	9606.ENSP00000369689	0	0	0	0	0.042	0.046	0.650	0.275	0.737
ADCY2	CALML4	9606.ENSP00000342952	9606.ENSP00000419081	0	0	0	0	0	0.045	0.650	0.279	0.738
ADCY2	PRKACG	9606.ENSP00000342952	9606.ENSP00000366488	0	0	0	0	0.042	0.096	0.650	0.316	0.764
ADCY2	GNAI3	9606.ENSP00000342952	9606.ENSP00000358867	0	0	0	0	0.055	0.131	0.650	0.305	0.773
ADCY2	GNAI1	9606.ENSP00000342952	9606.ENSP00000497260	0	0	0	0	0.055	0.131	0.650	0.327	0.780
ADCY2	PRKACB	9606.ENSP00000342952	9606.ENSP00000359719	0	0	0	0	0	0.096	0.650	0.363	0.781
ADCY2	ADCY5	9606.ENSP00000342952	9606.ENSP00000419361	0	0	0.066	0.871	0.084	0.653	0.500	0.379	0.891
ADCY2	GNAS	9606.ENSP00000342952	9606.ENSP00000360141	0	0	0	0	0.059	0.699	0.900	0.319	0.978
ADCY3	MAPK1	9606.ENSP00000384484	9606.ENSP00000215832	0	0	0	0	0.061	0.094	0	0.445	0.487
ADCY3	MAPK3	9606.ENSP00000384484	9606.ENSP00000263025	0	0	0	0	0.060	0.094	0	0.477	0.516
ADCY3	ADCY8	9606.ENSP00000384484	9606.ENSP00000286355	0	0	0	0.851	0	0	0.900	0.178	0.914
ADCY3	CALM3	9606.ENSP00000384484	9606.ENSP00000291295	0	0	0	0	0.044	0.046	0.900	0.472	0.945
ADCY3	ADCY9	9606.ENSP00000384484	9606.ENSP00000294016	0	0	0	0.706	0.069	0.124	0.900	0.278	0.933
ADCY3	CALML6	9606.ENSP00000384484	9606.ENSP00000304643	0	0	0	0	0	0.045	0.900	0.431	0.940
ADCY3	PRKACA	9606.ENSP00000384484	9606.ENSP00000309591	0	0	0	0	0	0.096	0.900	0.674	0.968
ADCY3	ADCY6	9606.ENSP00000384484	9606.ENSP00000311405	0	0	0.087	0.830	0.042	0	0.900	0.185	0.919
ADCY3	ADCY4	9606.ENSP00000384484	9606.ENSP00000312126	0	0	0.077	0.819	0.055	0	0.500	0.192	0.600
ADCY3	GNAI2	9606.ENSP00000384484	9606.ENSP00000312999	0	0	0	0	0.055	0.131	0.650	0.243	0.753
ADCY3	CALML3	9606.ENSP00000384484	9606.ENSP00000315299	0	0	0	0	0	0.046	0.900	0.452	0.943
ADCY3	PRKCD	9606.ENSP00000384484	9606.ENSP00000331602	0	0	0	0	0.064	0	0.900	0.069	0.905
ADCY3	GNAI3	9606.ENSP00000384484	9606.ENSP00000358867	0	0	0	0	0.055	0.131	0.650	0.265	0.760
ADCY3	PRKACB	9606.ENSP00000384484	9606.ENSP00000359719	0	0	0	0	0	0.096	0.900	0.465	0.947
ADCY3	GNAS	9606.ENSP00000384484	9606.ENSP00000360141	0	0	0	0	0.059	0.258	0.900	0.352	0.948
ADCY3	PRKACG	9606.ENSP00000384484	9606.ENSP00000366488	0	0	0	0	0	0.096	0.900	0.453	0.946
ADCY3	CALML5	9606.ENSP00000384484	9606.ENSP00000369689	0	0	0	0	0	0.046	0.900	0.446	0.942
ADCY3	AKT2	9606.ENSP00000384484	9606.ENSP00000375892	0	0	0	0	0	0.061	0.650	0.081	0.671
ADCY3	POMC	9606.ENSP00000384484	9606.ENSP00000384092	0	0	0	0	0	0	0	0.554	0.554
ADCY3	ADCY7	9606.ENSP00000384484	9606.ENSP00000501053	0	0	0.074	0.825	0.049	0	0.500	0.159	0.580
ADCY3	ADCY5	9606.ENSP00000384484	9606.ENSP00000419361	0	0	0.077	0.845	0	0	0.500	0.174	0.585
ADCY3	AKT3	9606.ENSP00000384484	9606.ENSP00000500582	0	0	0	0	0	0.061	0.650	0.141	0.693
ADCY3	AKT1	9606.ENSP00000384484	9606.ENSP00000451828	0	0	0	0	0.059	0.061	0.650	0.211	0.723
ADCY3	GNAI1	9606.ENSP00000384484	9606.ENSP00000497260	0	0	0	0	0.055	0.131	0.650	0.290	0.768
ADCY3	CALML4	9606.ENSP00000384484	9606.ENSP00000419081	0	0	0	0	0	0.045	0.900	0.464	0.944
ADCY4	ADCY8	9606.ENSP00000312126	9606.ENSP00000286355	0	0	0.076	0.836	0.054	0	0.900	0.451	0.945
ADCY4	GNAQ	9606.ENSP00000312126	9606.ENSP00000286548	0	0	0	0	0.045	0	0	0.458	0.460
ADCY4	CALM3	9606.ENSP00000312126	9606.ENSP00000291295	0	0	0	0	0	0.046	0.650	0.374	0.773
ADCY4	ADCY9	9606.ENSP00000312126	9606.ENSP00000294016	0	0	0	0.731	0.062	0.271	0.500	0.272	0.717
ADCY4	CALML6	9606.ENSP00000312126	9606.ENSP00000304643	0	0	0	0	0	0.045	0.650	0.330	0.756
ADCY4	PRKACA	9606.ENSP00000312126	9606.ENSP00000309591	0	0	0	0	0	0.096	0.650	0.409	0.796
ADCY4	ADCY6	9606.ENSP00000312126	9606.ENSP00000311405	0	0	0.091	0.858	0.050	0.417	0.900	0.151	0.949
ADCY4	AKT3	9606.ENSP00000312126	9606.ENSP00000500582	0	0	0	0	0	0.061	0.650	0.081	0.671
ADCY4	AKT2	9606.ENSP00000312126	9606.ENSP00000375892	0	0	0	0	0	0.061	0.650	0.094	0.676
ADCY4	AKT1	9606.ENSP00000312126	9606.ENSP00000451828	0	0	0	0	0	0.061	0.650	0.162	0.700
ADCY4	GNAI3	9606.ENSP00000312126	9606.ENSP00000358867	0	0	0	0	0.055	0.131	0.650	0.185	0.734
ADCY4	GNAI1	9606.ENSP00000312126	9606.ENSP00000497260	0	0	0	0	0.055	0.131	0.650	0.230	0.749
ADCY4	GNAI2	9606.ENSP00000312126	9606.ENSP00000312999	0	0	0	0	0.062	0.131	0.650	0.242	0.755
ADCY4	CALML3	9606.ENSP00000312126	9606.ENSP00000315299	0	0	0	0	0.049	0.046	0.650	0.368	0.772
ADCY4	CALML5	9606.ENSP00000312126	9606.ENSP00000369689	0	0	0	0	0	0.046	0.650	0.373	0.772
ADCY4	CALML4	9606.ENSP00000312126	9606.ENSP00000419081	0	0	0	0	0	0.045	0.650	0.392	0.779
ADCY4	ADCY7	9606.ENSP00000312126	9606.ENSP00000501053	0	0	0.071	0.938	0	0.271	0.500	0.427	0.780
ADCY4	PRKACG	9606.ENSP00000312126	9606.ENSP00000366488	0	0	0	0	0	0.096	0.650	0.398	0.792
ADCY4	PRKACB	9606.ENSP00000312126	9606.ENSP00000359719	0	0	0	0	0	0.096	0.650	0.402	0.794
ADCY4	ADCY5	9606.ENSP00000312126	9606.ENSP00000419361	0	0	0.082	0.853	0.044	0.417	0.500	0.457	0.835
ADCY4	PRKCD	9606.ENSP00000312126	9606.ENSP00000331602	0	0	0	0	0.087	0	0.900	0.073	0.908
ADCY4	GNAS	9606.ENSP00000312126	9606.ENSP00000360141	0	0	0	0	0.059	0.409	0.900	0.262	0.953
ADCY5	MAPK3	9606.ENSP00000419361	9606.ENSP00000263025	0	0	0	0	0.059	0.094	0	0.398	0.442
ADCY5	ADCY8	9606.ENSP00000419361	9606.ENSP00000286355	0	0	0.070	0.865	0.099	0	0.500	0.409	0.719
ADCY5	CALM3	9606.ENSP00000419361	9606.ENSP00000291295	0	0	0	0	0.067	0.046	0.650	0.542	0.838
ADCY5	ADCY9	9606.ENSP00000419361	9606.ENSP00000294016	0	0	0	0.675	0.062	0.124	0.500	0.629	0.827
ADCY5	CALML6	9606.ENSP00000419361	9606.ENSP00000304643	0	0	0	0	0	0.045	0.650	0.500	0.818
ADCY5	PRKACA	9606.ENSP00000419361	9606.ENSP00000309591	0	0	0	0	0.042	0.096	0.650	0.951	0.983
ADCY5	ADCY6	9606.ENSP00000419361	9606.ENSP00000311405	0	0	0.056	0.968	0.062	0	0.900	0.602	0.960
ADCY5	GNAI2	9606.ENSP00000419361	9606.ENSP00000312999	0	0	0	0	0.055	0.131	0.900	0.289	0.933
ADCY5	CALML3	9606.ENSP00000419361	9606.ENSP00000315299	0	0	0	0	0	0.046	0.650	0.518	0.825
ADCY5	PRKCD	9606.ENSP00000419361	9606.ENSP00000331602	0	0	0	0	0.057	0	0.900	0.158	0.913
ADCY5	PLCB1	9606.ENSP00000419361	9606.ENSP00000338185	0	0	0	0	0.111	0	0	0.686	0.709
ADCY5	GNAI3	9606.ENSP00000419361	9606.ENSP00000358867	0	0	0	0	0.055	0.131	0.900	0.280	0.933
ADCY5	PRKACB	9606.ENSP00000419361	9606.ENSP00000359719	0	0	0	0	0.058	0.096	0.650	0.924	0.974
ADCY5	GNAS	9606.ENSP00000419361	9606.ENSP00000360141	0	0	0	0	0.059	0.470	0.900	0.680	0.981
ADCY5	PRKACG	9606.ENSP00000419361	9606.ENSP00000366488	0	0	0	0	0	0.096	0.650	0.924	0.973
ADCY5	PLCB4	9606.ENSP00000419361	9606.ENSP00000367762	0	0	0	0	0.111	0	0	0.453	0.494
ADCY5	CALML5	9606.ENSP00000419361	9606.ENSP00000369689	0	0	0	0	0	0.046	0.650	0.518	0.825
ADCY5	AKT2	9606.ENSP00000419361	9606.ENSP00000375892	0	0	0	0	0	0.061	0.650	0.314	0.755
ADCY5	ESR1	9606.ENSP00000419361	9606.ENSP00000405330	0	0	0	0	0.044	0	0	0.424	0.425
ADCY5	CALML4	9606.ENSP00000419361	9606.ENSP00000419081	0	0	0	0	0	0.045	0.650	0.525	0.827
ADCY5	AKT3	9606.ENSP00000419361	9606.ENSP00000500582	0	0	0	0	0	0.061	0.650	0.188	0.709
ADCY5	AKT1	9606.ENSP00000419361	9606.ENSP00000451828	0	0	0	0	0	0.061	0.650	0.264	0.737
ADCY5	ADCY7	9606.ENSP00000419361	9606.ENSP00000501053	0	0	0.076	0.852	0	0.417	0.500	0.373	0.808
ADCY5	GNAI1	9606.ENSP00000419361	9606.ENSP00000497260	0	0	0	0	0.072	0.353	0.900	0.341	0.955
ADCY6	EGFR	9606.ENSP00000311405	9606.ENSP00000275493	0	0	0	0	0.120	0	0	0.463	0.507
ADCY6	ADCY8	9606.ENSP00000311405	9606.ENSP00000286355	0	0	0.066	0.871	0	0	0.900	0.138	0.912
ADCY6	CALM3	9606.ENSP00000311405	9606.ENSP00000291295	0	0	0	0	0	0.046	0.650	0.518	0.825
ADCY6	ADCY9	9606.ENSP00000311405	9606.ENSP00000294016	0	0	0	0.693	0.076	0.124	0.900	0.544	0.958
ADCY6	NOS3	9606.ENSP00000311405	9606.ENSP00000297494	0	0	0	0	0	0	0	0.447	0.447
ADCY6	CALML6	9606.ENSP00000311405	9606.ENSP00000304643	0	0	0	0	0	0.045	0.650	0.499	0.818
ADCY6	PRKACA	9606.ENSP00000311405	9606.ENSP00000309591	0	0	0	0	0	0.096	0.650	0.596	0.861
ADCY6	AKT2	9606.ENSP00000311405	9606.ENSP00000375892	0	0	0	0	0.043	0.061	0.650	0.097	0.678
ADCY6	AKT3	9606.ENSP00000311405	9606.ENSP00000500582	0	0	0	0	0	0.061	0.650	0.121	0.685
ADCY6	ITPR2	9606.ENSP00000311405	9606.ENSP00000370744	0	0	0	0	0.056	0.063	0	0.730	0.740
ADCY6	ADCY7	9606.ENSP00000311405	9606.ENSP00000501053	0	0	0.094	0.849	0	0.417	0.500	0.157	0.747
ADCY6	AKT1	9606.ENSP00000311405	9606.ENSP00000451828	0	0	0	0	0.064	0.061	0.650	0.279	0.748
ADCY6	CALML3	9606.ENSP00000311405	9606.ENSP00000315299	0	0	0	0	0	0.046	0.650	0.518	0.825
ADCY6	CALML5	9606.ENSP00000311405	9606.ENSP00000369689	0	0	0	0	0	0.046	0.650	0.518	0.825
ADCY6	CALML4	9606.ENSP00000311405	9606.ENSP00000419081	0	0	0	0	0	0.045	0.650	0.525	0.827
ADCY6	PRKACG	9606.ENSP00000311405	9606.ENSP00000366488	0	0	0	0	0	0.096	0.650	0.596	0.861
ADCY6	PRKACB	9606.ENSP00000311405	9606.ENSP00000359719	0	0	0	0	0	0.096	0.650	0.598	0.861
ADCY6	PRKCD	9606.ENSP00000311405	9606.ENSP00000331602	0	0	0	0	0.059	0	0.900	0.069	0.904
ADCY6	GNAI3	9606.ENSP00000311405	9606.ENSP00000358867	0	0	0	0	0.055	0.131	0.900	0.240	0.929
ADCY6	GNAI2	9606.ENSP00000311405	9606.ENSP00000312999	0	0	0	0	0.055	0.131	0.900	0.263	0.931
ADCY6	GNAI1	9606.ENSP00000311405	9606.ENSP00000497260	0	0	0	0	0.071	0.131	0.900	0.304	0.936
ADCY6	GNAS	9606.ENSP00000311405	9606.ENSP00000360141	0	0	0	0	0.059	0.571	0.900	0.362	0.970
ADCY7	ADCY8	9606.ENSP00000501053	9606.ENSP00000286355	0	0	0.072	0.832	0.054	0	0.500	0.164	0.584
ADCY7	CALM3	9606.ENSP00000501053	9606.ENSP00000291295	0	0	0	0	0	0.046	0.650	0.358	0.767
ADCY7	ADCY9	9606.ENSP00000501053	9606.ENSP00000294016	0	0	0.106	0.703	0.074	0.271	0.500	0.297	0.749
ADCY7	CALML6	9606.ENSP00000501053	9606.ENSP00000304643	0	0	0	0	0	0.045	0.650	0.331	0.756
ADCY7	PRKACA	9606.ENSP00000501053	9606.ENSP00000309591	0	0	0	0	0	0.096	0.650	0.414	0.798
ADCY7	GNAI2	9606.ENSP00000501053	9606.ENSP00000312999	0	0	0	0	0.069	0.131	0.650	0.242	0.757
ADCY7	CALML3	9606.ENSP00000501053	9606.ENSP00000315299	0	0	0	0	0	0.046	0.650	0.352	0.765
ADCY7	PRKCD	9606.ENSP00000501053	9606.ENSP00000331602	0	0	0	0	0.119	0	0.900	0.150	0.918
ADCY7	PLCB1	9606.ENSP00000501053	9606.ENSP00000338185	0	0	0	0	0.087	0	0	0.400	0.429
ADCY7	GNAI3	9606.ENSP00000501053	9606.ENSP00000358867	0	0	0	0	0.055	0.131	0.650	0.200	0.739
ADCY7	PRKACB	9606.ENSP00000501053	9606.ENSP00000359719	0	0	0	0	0	0.096	0.650	0.420	0.800
ADCY7	GNAS	9606.ENSP00000501053	9606.ENSP00000360141	0	0	0	0	0.059	0.409	0.900	0.232	0.951
ADCY7	PRKACG	9606.ENSP00000501053	9606.ENSP00000366488	0	0	0	0	0	0.096	0.650	0.407	0.796
ADCY7	CALML5	9606.ENSP00000501053	9606.ENSP00000369689	0	0	0	0	0	0.046	0.650	0.533	0.830
ADCY7	AKT2	9606.ENSP00000501053	9606.ENSP00000375892	0	0	0	0	0	0.061	0.650	0.107	0.681
ADCY7	CALML4	9606.ENSP00000501053	9606.ENSP00000419081	0	0	0	0	0.047	0.045	0.650	0.395	0.781
ADCY7	AKT1	9606.ENSP00000501053	9606.ENSP00000451828	0	0	0	0	0	0.061	0.650	0.195	0.712
ADCY7	GNAI1	9606.ENSP00000501053	9606.ENSP00000497260	0	0	0	0	0.055	0.131	0.650	0.460	0.824
ADCY7	AKT3	9606.ENSP00000501053	9606.ENSP00000500582	0	0	0	0	0	0.061	0.650	0.126	0.688
ADCY8	POMC	9606.ENSP00000286355	9606.ENSP00000384092	0	0	0	0	0	0	0	0.535	0.535
ADCY8	AKT2	9606.ENSP00000286355	9606.ENSP00000375892	0	0	0	0	0	0.061	0.650	0.081	0.671
ADCY8	ADCY9	9606.ENSP00000286355	9606.ENSP00000294016	0	0	0	0.692	0.062	0.124	0.500	0.302	0.675
ADCY8	CREB1	9606.ENSP00000286355	9606.ENSP00000387699	0	0	0	0	0	0	0.500	0.437	0.706
ADCY8	AKT3	9606.ENSP00000286355	9606.ENSP00000500582	0	0	0	0	0.062	0.061	0.650	0.200	0.720
ADCY8	AKT1	9606.ENSP00000286355	9606.ENSP00000451828	0	0	0	0	0	0.061	0.650	0.225	0.723
ADCY8	GNAI2	9606.ENSP00000286355	9606.ENSP00000312999	0	0	0	0	0.055	0.131	0.650	0.301	0.772
ADCY8	GNAI1	9606.ENSP00000286355	9606.ENSP00000497260	0	0	0	0	0.071	0.131	0.650	0.347	0.791
ADCY8	GNAI3	9606.ENSP00000286355	9606.ENSP00000358867	0	0	0	0	0.055	0.131	0.650	0.625	0.877
ADCY8	PRKCD	9606.ENSP00000286355	9606.ENSP00000331602	0	0	0	0	0.057	0	0.900	0.090	0.906
ADCY8	GNAS	9606.ENSP00000286355	9606.ENSP00000360141	0	0	0	0	0.059	0.258	0.900	0.364	0.949
ADCY8	PRKACB	9606.ENSP00000286355	9606.ENSP00000359719	0	0	0	0	0	0.096	0.900	0.543	0.955
ADCY8	PRKACA	9606.ENSP00000286355	9606.ENSP00000309591	0	0	0	0	0	0.096	0.900	0.708	0.971
ADCY8	PRKACG	9606.ENSP00000286355	9606.ENSP00000366488	0	0	0	0	0	0.096	0.900	0.819	0.982
ADCY8	CALML6	9606.ENSP00000286355	9606.ENSP00000304643	0	0	0	0	0	0.045	0.900	0.931	0.992
ADCY8	CALML3	9606.ENSP00000286355	9606.ENSP00000315299	0	0	0	0	0	0.059	0.900	0.933	0.993
ADCY8	CALML5	9606.ENSP00000286355	9606.ENSP00000369689	0	0	0	0	0.042	0.059	0.900	0.933	0.993
ADCY8	CALML4	9606.ENSP00000286355	9606.ENSP00000419081	0	0	0	0	0	0.045	0.900	0.934	0.993
ADCY8	CALM3	9606.ENSP00000286355	9606.ENSP00000291295	0	0	0	0	0.058	0.059	0.900	0.957	0.995
ADCY9	MAPK1	9606.ENSP00000294016	9606.ENSP00000215832	0	0	0	0	0	0.094	0	0.440	0.471
ADCY9	GRM1	9606.ENSP00000294016	9606.ENSP00000282753	0	0	0	0	0	0	0	0.411	0.411
ADCY9	CALM3	9606.ENSP00000294016	9606.ENSP00000291295	0	0	0	0	0	0.045	0.650	0.418	0.788
ADCY9	PLCB1	9606.ENSP00000294016	9606.ENSP00000338185	0	0	0	0	0	0	0	0.443	0.443
ADCY9	AKT2	9606.ENSP00000294016	9606.ENSP00000375892	0	0	0	0	0.042	0.061	0.650	0.109	0.682
ADCY9	AKT3	9606.ENSP00000294016	9606.ENSP00000500582	0	0	0	0	0.042	0.061	0.650	0.115	0.684
ADCY9	AKT1	9606.ENSP00000294016	9606.ENSP00000451828	0	0	0	0	0.049	0.061	0.650	0.170	0.706
ADCY9	GNAI1	9606.ENSP00000294016	9606.ENSP00000497260	0	0	0	0	0.050	0.131	0.650	0.220	0.744
ADCY9	GNAI3	9606.ENSP00000294016	9606.ENSP00000358867	0	0	0	0	0.050	0.131	0.650	0.240	0.751
ADCY9	CALML6	9606.ENSP00000294016	9606.ENSP00000304643	0	0	0	0	0	0.045	0.650	0.385	0.776
ADCY9	CALML4	9606.ENSP00000294016	9606.ENSP00000419081	0	0	0	0	0	0.045	0.650	0.385	0.776
ADCY9	CALML5	9606.ENSP00000294016	9606.ENSP00000369689	0	0	0	0	0	0.045	0.650	0.411	0.785
ADCY9	CALML3	9606.ENSP00000294016	9606.ENSP00000315299	0	0	0	0	0	0.045	0.650	0.410	0.785
ADCY9	GNAI2	9606.ENSP00000294016	9606.ENSP00000312999	0	0	0	0	0.050	0.131	0.650	0.619	0.875
ADCY9	PRKCD	9606.ENSP00000294016	9606.ENSP00000331602	0	0	0	0	0	0	0.900	0.164	0.912
ADCY9	PRKACG	9606.ENSP00000294016	9606.ENSP00000366488	0	0	0	0	0	0.096	0.900	0.500	0.950
ADCY9	PRKACA	9606.ENSP00000294016	9606.ENSP00000309591	0	0	0	0	0.047	0.096	0.900	0.491	0.950
ADCY9	PRKACB	9606.ENSP00000294016	9606.ENSP00000359719	0	0	0	0	0	0.096	0.900	0.514	0.952
ADCY9	GNAS	9606.ENSP00000294016	9606.ENSP00000360141	0	0	0	0	0	0.792	0.900	0.407	0.986
AKT1	FKBP4	9606.ENSP00000451828	9606.ENSP00000001008	0	0	0	0	0.060	0.045	0	0.912	0.914
AKT1	CREB3L3	9606.ENSP00000451828	9606.ENSP00000078445	0	0	0	0	0.055	0	0.650	0.222	0.720
AKT1	KRT14	9606.ENSP00000451828	9606.ENSP00000167586	0	0	0	0	0.051	0.097	0	0.401	0.441
AKT1	MAPK1	9606.ENSP00000451828	9606.ENSP00000215832	0	0	0	0.593	0.118	0.110	0.900	0.872	0.988
AKT1	SOS2	9606.ENSP00000451828	9606.ENSP00000216373	0	0	0	0	0.073	0.084	0	0.567	0.601
AKT1	MMP2	9606.ENSP00000451828	9606.ENSP00000219070	0	0	0	0	0.055	0	0	0.844	0.846
AKT1	PIK3R2	9606.ENSP00000451828	9606.ENSP00000222254	0	0	0	0	0.128	0.093	0.900	0.677	0.971
AKT1	HBEGF	9606.ENSP00000451828	9606.ENSP00000230990	0	0	0	0	0.068	0	0	0.581	0.592
AKT1	CTSD	9606.ENSP00000451828	9606.ENSP00000236671	0	0	0	0	0.072	0.060	0	0.454	0.482
AKT1	RARA	9606.ENSP00000451828	9606.ENSP00000254066	0	0	0	0	0.134	0.525	0	0.475	0.765
AKT1	KRAS	9606.ENSP00000451828	9606.ENSP00000256078	0	0	0	0	0.076	0.110	0	0.893	0.904
AKT1	PIK3R3	9606.ENSP00000451828	9606.ENSP00000262741	0	0	0	0	0.051	0.093	0.900	0.610	0.962
AKT1	MAP2K2	9606.ENSP00000451828	9606.ENSP00000262948	0	0	0	0.630	0.157	0.161	0	0.471	0.593
AKT1	MAPK3	9606.ENSP00000451828	9606.ENSP00000263025	0	0	0	0.587	0.266	0.110	0.900	0.432	0.957
