ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title	Gene.ID
225462_at	2.90e-06	5.56e-07	5.93	5.696299	1.0784382	TMEM128	transmembrane protein 128	85013
203041_s_at	2.90e-06	5.56e-07	5.93	5.696165	1.5655887	LAMP2	lysosomal associated membrane protein 2	3920
226995_at	2.90e-06	5.56e-07	5.93	5.696116	0.9631457	LOC642852	uncharacterized LOC642852	642852
226405_s_at	2.91e-06	5.57e-07	5.93	5.693654	0.9640245	ARRDC1	arrestin domain containing 1	92714
244447_at	2.92e-06	5.60e-07	-5.93	5.688267	-1.5130889			
226771_at	2.92e-06	5.60e-07	5.93	5.688234	1.9801013	ATP8B2	ATPase phospholipid transporting 8B2	57198
221734_at	2.92e-06	5.60e-07	5.93	5.688041	1.8791803	PRRC1	proline rich coiled-coil 1	133619
229858_at	2.92e-06	5.61e-07	5.93	5.687838	1.7018925			
240434_at	2.92e-06	5.61e-07	-5.93	5.686987	-0.5655946			
202541_at	2.93e-06	5.62e-07	5.93	5.684755	1.1015481	AIMP1	aminoacyl tRNA synthetase complex interacting multifunctional protein 1	9255
207827_x_at	2.93e-06	5.63e-07	-5.93	5.684141	-0.6723992	SNCA	synuclein alpha	6622
230438_at	2.93e-06	5.63e-07	-5.93	5.683783	-1.5305972	TBX15	T-box 15	6913
225431_x_at	2.94e-06	5.64e-07	-5.93	5.682336	-1.4512482	PM20D2	peptidase M20 domain containing 2	135293
212301_at	2.94e-06	5.65e-07	5.93	5.680776	0.6989439	RTF1	RTF1 homolog, Paf1/RNA polymerase II complex component	23168
222701_s_at	2.94e-06	5.65e-07	5.93	5.679575	1.2238226	CHCHD7	coiled-coil-helix-coiled-coil-helix domain containing 7	79145
214014_at	2.95e-06	5.66e-07	-5.93	5.678377	-1.0962678	CDC42EP2	CDC42 effector protein 2	10435
243314_at	2.95e-06	5.66e-07	-5.93	5.678371	-0.7402166			
212726_at	2.95e-06	5.66e-07	5.93	5.677422	0.9023753	PHF2	PHD finger protein 2	5253
204993_at	2.96e-06	5.68e-07	-5.93	5.674616	-0.7346448	GNAZ	G protein subunit alpha z	2781
213011_s_at	2.96e-06	5.68e-07	5.93	5.674441	0.6960915	TPI1	triosephosphate isomerase 1	7167
1558996_at	2.96e-06	5.68e-07	5.93	5.67388	1.3650955	FOXP1	forkhead box P1	27086
1564907_s_at	2.96e-06	5.69e-07	-5.93	5.672632	-0.4782787	SNHG4///MATR3	small nucleolar RNA host gene 4///matrin 3	724102///9782
204012_s_at	2.96e-06	5.70e-07	5.93	5.671963	1.0594576	LCMT2	leucine carboxyl methyltransferase 2	9836
204303_s_at	2.96e-06	5.70e-07	-5.93	5.670737	-2.1073958	CTIF	cap binding complex dependent translation initiation factor	9811
222436_s_at	2.97e-06	5.72e-07	5.93	5.66733	0.9531368	RNF103-CHMP3///CHMP3///RNF103	RNF103-CHMP3 readthrough///charged multivesicular body protein 3///ring finger protein 103	100526767///51652///7844
219239_s_at	2.98e-06	5.73e-07	5.93	5.666804	1.2818844	ZNF654	zinc finger protein 654	55279
238097_at	2.98e-06	5.73e-07	-5.93	5.665855	-0.7453808	GAS6-AS1	GAS6 antisense RNA 1	650669
213352_at	2.99e-06	5.75e-07	5.92	5.662665	1.3623893	TMCC1	transmembrane and coiled-coil domain family 1	23023
209486_at	2.99e-06	5.75e-07	5.92	5.662384	0.7170928	UTP3	UTP3, small subunit processome component homolog (S. cerevisiae)	57050
206861_s_at	2.99e-06	5.76e-07	5.92	5.660468	1.2922395	CGGBP1	CGG triplet repeat binding protein 1	8545
217788_s_at	2.99e-06	5.76e-07	5.92	5.660422	0.9236466	GALNT2	polypeptide N-acetylgalactosaminyltransferase 2	2590
211432_s_at	2.99e-06	5.77e-07	-5.92	5.659813	-1.6797598	TYRO3	TYRO3 protein tyrosine kinase	7301
225988_at	3.00e-06	5.78e-07	5.92	5.657986	1.1701166	HERC4	HECT and RLD domain containing E3 ubiquitin protein ligase 4	26091
216770_at	3.00e-06	5.79e-07	-5.92	5.656483	-0.6165979			
1556318_s_at	3.00e-06	5.79e-07	5.92	5.656006	1.1923926	CAND1	cullin associated and neddylation dissociated 1	55832
217823_s_at	3.01e-06	5.79e-07	5.92	5.655192	1.6257141	UBE2J1	ubiquitin conjugating enzyme E2 J1	51465
203689_s_at	3.01e-06	5.80e-07	5.92	5.654825	0.9444025	FMR1	fragile X mental retardation 1	2332
212652_s_at	3.01e-06	5.80e-07	5.92	5.653228	0.9283762	SNX4	sorting nexin 4	8723
217742_s_at	3.02e-06	5.82e-07	5.92	5.651375	1.6993319	WAC	WW domain containing adaptor with coiled-coil	51322
200810_s_at	3.02e-06	5.83e-07	-5.92	5.648314	-0.8954633	CIRBP	cold inducible RNA binding protein	1153
208730_x_at	3.03e-06	5.84e-07	-5.92	5.64679	-0.8346374	RAB2A	RAB2A, member RAS oncogene family	5862
201954_at	3.05e-06	5.88e-07	5.92	5.640862	0.9238976	ARPC1B	actin related protein 2/3 complex subunit 1B	10095
224946_s_at	3.05e-06	5.88e-07	5.92	5.64033	1.0385559	CCDC115	coiled-coil domain containing 115	84317
208773_s_at	3.05e-06	5.89e-07	5.92	5.638014	0.8838647	ANKHD1-EIF4EBP3///ANKHD1	ANKHD1-EIF4EBP3 readthrough///ankyrin repeat and KH domain containing 1	404734///54882
226631_at	3.06e-06	5.90e-07	5.92	5.636576	1.0560528	METTL10	methyltransferase like 10	399818
219451_at	3.06e-06	5.91e-07	-5.92	5.634804	-1.3290244	MSRB2	methionine sulfoxide reductase B2	22921
224921_at	3.07e-06	5.92e-07	5.92	5.633874	0.6794875	SCAMP2	secretory carrier membrane protein 2	10066
221861_at	3.07e-06	5.94e-07	-5.91	5.630991	-1.498132	ARRB1	arrestin beta 1	408
209035_at	3.08e-06	5.94e-07	5.91	5.630268	2.0323382	MDK	midkine (neurite growth-promoting factor 2)	4192
223501_at	3.08e-06	5.96e-07	5.91	5.627547	2.0482712	TNFSF13B	tumor necrosis factor superfamily member 13b	10673
219288_at	3.08e-06	5.96e-07	5.91	5.627417	1.9650444	C3orf14	chromosome 3 open reading frame 14	57415
222664_at	3.08e-06	5.96e-07	5.91	5.627322	1.5270614	KCTD15	potassium channel tetramerization domain containing 15	79047
204902_s_at	3.08e-06	5.96e-07	-5.91	5.626914	-0.57689	ATG4B	autophagy related 4B cysteine peptidase	23192
202783_at	3.08e-06	5.96e-07	5.91	5.62641	1.3546366	NNT	nicotinamide nucleotide transhydrogenase	23530
225996_at	3.09e-06	5.97e-07	5.91	5.625016	2.5946768	LONRF2	LON peptidase N-terminal domain and ring finger 2	164832
202789_at	3.09e-06	5.98e-07	-5.91	5.624038	-0.9996357	PLCG1	phospholipase C gamma 1	5335
210020_x_at	3.09e-06	5.98e-07	-5.91	5.623852	-1.9185546	CALML3	calmodulin like 3	810
225131_at	3.09e-06	5.98e-07	5.91	5.623148	1.4781332	ZRANB1	zinc finger RANBP2-type containing 1	54764
233454_at	3.10e-06	6.00e-07	-5.91	5.6199	-0.4385753	POLN	DNA polymerase nu	353497
234643_x_at	3.11e-06	6.01e-07	-5.91	5.618461	-0.6380313			
225496_s_at	3.11e-06	6.02e-07	5.91	5.617632	2.4182995	SYTL2	synaptotagmin like 2	54843
219656_at	3.12e-06	6.05e-07	-5.91	5.612667	-1.0966792	PCDH12	protocadherin 12	51294
213461_at	3.13e-06	6.06e-07	5.91	5.611051	1.5464378	NUDT21	nudix hydrolase 21	11051
59631_at	3.13e-06	6.06e-07	-5.91	5.61044	-0.7402116	TXNRD3NB///TXNRD3	thioredoxin reductase 3 neighbor///thioredoxin reductase 3	645840///114112
224925_at	3.16e-06	6.12e-07	5.91	5.600761	2.1140232	PREX1	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1	57580
211968_s_at	3.17e-06	6.13e-07	5.90	5.598753	1.1473171	HSP90AA1	heat shock protein 90 alpha family class A member 1	3320
208950_s_at	3.17e-06	6.13e-07	-5.90	5.598607	-0.9404094	ALDH7A1	aldehyde dehydrogenase 7 family member A1	501
201927_s_at	3.17e-06	6.14e-07	5.90	5.597829	1.2283878	PKP4	plakophilin 4	8502
203584_at	3.18e-06	6.16e-07	5.90	5.594469	1.3724721	EMC2	ER membrane protein complex subunit 2	9694
204975_at	3.18e-06	6.16e-07	5.90	5.594203	1.4018631	EMP2	epithelial membrane protein 2	2013
215548_s_at	3.18e-06	6.17e-07	5.90	5.593645	1.3148761	SCFD1	sec1 family domain containing 1	23256
224821_at	3.18e-06	6.17e-07	-5.90	5.593152	-1.2200636	ABHD14B	abhydrolase domain containing 14B	84836
217408_at	3.18e-06	6.17e-07	-5.90	5.59276	-0.7110856	MRPS18B	mitochondrial ribosomal protein S18B	28973
221503_s_at	3.18e-06	6.17e-07	5.90	5.592515	2.3860461	KPNA3	karyopherin subunit alpha 3	3839
1554105_at	3.19e-06	6.20e-07	5.90	5.588738	1.6809237	TMEM185A	transmembrane protein 185A	84548
223828_s_at	3.20e-06	6.21e-07	-5.90	5.586501	-3.0780022	LGALS12	galectin 12	85329
208459_s_at	3.21e-06	6.22e-07	5.90	5.584574	1.2812173	XPO7	exportin 7	23039
1556794_at	3.21e-06	6.23e-07	-5.90	5.583828	-2.6478931			
240781_x_at	3.21e-06	6.23e-07	-5.90	5.58285	-0.5047689	DCUN1D1	defective in cullin neddylation 1 domain containing 1	54165
225655_at	3.22e-06	6.26e-07	5.90	5.578433	2.1508761	UHRF1	ubiquitin like with PHD and ring finger domains 1	29128
221276_s_at	3.22e-06	6.26e-07	5.90	5.578347	1.7927475	SYNC	syncoilin, intermediate filament protein	81493
203937_s_at	3.22e-06	6.26e-07	-5.90	5.577909	-0.5101712	TAF1C	TATA-box binding protein associated factor, RNA polymerase I subunit C	9013
1556202_at	3.24e-06	6.29e-07	5.90	5.574112	1.6409456	SRGAP2	SLIT-ROBO Rho GTPase activating protein 2	23380
213064_at	3.24e-06	6.29e-07	5.90	5.573581	1.0703738	ZC3H14	zinc finger CCCH-type containing 14	79882
217950_at	3.24e-06	6.29e-07	-5.90	5.573493	-0.8646305	NOSIP	nitric oxide synthase interacting protein	51070
214965_at	3.24e-06	6.31e-07	-5.90	5.571148	-1.0998539	SPATA2L	spermatogenesis associated 2 like	124044
209000_s_at	3.25e-06	6.32e-07	5.90	5.568935	1.7228642	SEPT8	septin 8	23176
207824_s_at	3.26e-06	6.34e-07	5.89	5.565515	1.8334335	MAZ	MYC associated zinc finger protein	4150
204611_s_at	3.27e-06	6.37e-07	-5.89	5.561488	-0.6015733	PPP2R5B	protein phosphatase 2 regulatory subunit B'beta	5526
240550_at	3.28e-06	6.38e-07	-5.89	5.559114	-0.7693528			
1562612_at	3.29e-06	6.39e-07	-5.89	5.557733	-0.6783106			
202696_at	3.29e-06	6.40e-07	5.89	5.557254	1.6523453	OXSR1	oxidative stress responsive 1	9943
1554933_at	3.30e-06	6.42e-07	-5.89	5.554293	-0.5512134	PSIP1	PC4 and SFRS1 interacting protein 1	11168
244462_at	3.30e-06	6.43e-07	5.89	5.552825	0.7988106	ZNF224	zinc finger protein 224	7767
222891_s_at	3.31e-06	6.44e-07	-5.89	5.550824	-3.3269393	BCL11A	B-cell CLL/lymphoma 11A	53335
1554599_x_at	3.31e-06	6.44e-07	5.89	5.55032	2.757263	LIG3	DNA ligase 3	3980
217856_at	3.31e-06	6.45e-07	5.89	5.549256	1.8058229	RBM8A	RNA binding motif protein 8A	9939
201227_s_at	3.32e-06	6.46e-07	-5.89	5.547698	-0.5568292	NDUFB8	NADH:ubiquinone oxidoreductase subunit B8	4714
236292_at	3.32e-06	6.47e-07	5.89	5.546185	1.3067329	RNF130	ring finger protein 130	55819
221991_at	3.32e-06	6.47e-07	-5.89	5.545373	-1.3582308	NXPH3	neurexophilin 3	11248
203300_x_at	3.33e-06	6.48e-07	5.89	5.543811	2.2828639	AP1S2	adaptor related protein complex 1 sigma 2 subunit	8905
206848_at	3.33e-06	6.49e-07	5.89	5.542558	1.9113817	COX20	COX20, cytochrome c oxidase assembly factor	116228
210218_s_at	3.34e-06	6.51e-07	5.89	5.539711	1.925811	SP100	SP100 nuclear antigen	6672
205842_s_at	3.35e-06	6.53e-07	5.89	5.536443	2.2172774	JAK2	Janus kinase 2	3717
238067_at	3.35e-06	6.54e-07	5.88	5.535139	1.1316046	TBC1D8B	TBC1 domain family member 8B	54885
225217_s_at	3.36e-06	6.56e-07	5.88	5.532181	1.597277	BRPF3	bromodomain and PHD finger containing 3	27154
219980_at	3.37e-06	6.57e-07	5.88	5.531406	1.0776515	ABHD18	abhydrolase domain containing 18	80167
202793_at	3.37e-06	6.58e-07	5.88	5.530093	1.0186531	LPCAT3	lysophosphatidylcholine acyltransferase 3	10162
220724_at	3.37e-06	6.59e-07	-5.88	5.528419	-0.796829	CWH43	cell wall biogenesis 43 C-terminal homolog	80157
212248_at	3.39e-06	6.63e-07	5.88	5.522475	1.1381151	MTDH	metadherin	92140
203267_s_at	3.40e-06	6.63e-07	5.88	5.521969	1.8362913	DRG2	developmentally regulated GTP binding protein 2	1819
238912_x_at	3.40e-06	6.64e-07	-5.88	5.520405	-0.5840587	C9orf85	chromosome 9 open reading frame 85	138241
228122_at	3.40e-06	6.64e-07	5.88	5.520351	1.0315289	CCDC66	coiled-coil domain containing 66	285331
223491_at	3.41e-06	6.67e-07	5.88	5.516352	1.2491079	COMMD2	COMM domain containing 2	51122
209510_at	3.41e-06	6.67e-07	5.88	5.516327	1.142172	RNF139	ring finger protein 139	11236
218462_at	3.41e-06	6.67e-07	5.88	5.51605	0.9326482	RPF1	ribosome production factor 1 homolog	80135
236635_at	3.42e-06	6.68e-07	-5.88	5.514677	-2.341972	ZNF667	zinc finger protein 667	63934
216290_x_at	3.42e-06	6.68e-07	-5.88	5.513914	-0.6697213			
1558250_s_at	3.42e-06	6.70e-07	5.88	5.511984	1.4030665			
213842_x_at	3.42e-06	6.70e-07	-5.88	5.511843	-0.590838	NSUN5P2///NSUN5P1	NOP2/Sun RNA methyltransferase family member 5 pseudogene 2///NOP2/Sun RNA methyltransferase family member 5 pseudogene 1	260294///155400
214691_x_at	3.43e-06	6.70e-07	5.88	5.51112	1.9636323	FAM63B	family with sequence similarity 63 member B	54629
222041_at	3.43e-06	6.71e-07	-5.88	5.509558	-1.1319693	OVCA2///DPH1	ovarian tumor suppressor candidate 2///diphthamide biosynthesis 1	124641///1801
211991_s_at	3.43e-06	6.72e-07	5.88	5.508491	1.8767795	HLA-DPA1	major histocompatibility complex, class II, DP alpha 1	3113
215698_at	3.44e-06	6.74e-07	5.88	5.506191	1.6172342	KDM5A	lysine demethylase 5A	5927
222586_s_at	3.45e-06	6.74e-07	5.88	5.504931	1.4237918	OSBPL11	oxysterol binding protein like 11	114885
203971_at	3.45e-06	6.75e-07	5.88	5.503908	1.0191939	SLC31A1	solute carrier family 31 member 1	1317
201911_s_at	3.45e-06	6.76e-07	5.87	5.502112	1.2844714	FARP1	FERM, ARH/RhoGEF and pleckstrin domain protein 1	10160
217466_x_at	3.46e-06	6.77e-07	5.87	5.501348	0.7613093	SNORA64///RPS2	small nucleolar RNA, H/ACA box 64///ribosomal protein S2	26784///6187
230731_x_at	3.46e-06	6.77e-07	-5.87	5.500867	-0.4316791	ZDHHC8	zinc finger DHHC-type containing 8	29801
229682_at	3.46e-06	6.78e-07	-5.87	5.499162	-0.593509	MAPRE3	microtubule associated protein RP/EB family member 3	22924
212928_at	3.46e-06	6.79e-07	5.87	5.498718	1.2777961	TSPYL4	TSPY like 4	23270
207983_s_at	3.47e-06	6.80e-07	5.87	5.49751	1.9887559	STAG2	stromal antigen 2	10735
212588_at	3.47e-06	6.80e-07	5.87	5.497446	2.3087343	PTPRC	protein tyrosine phosphatase, receptor type C	5788
1554637_a_at	3.48e-06	6.83e-07	5.87	5.493205	0.9858999	CBFA2T2	CBFA2/RUNX1 translocation partner 2	9139
239251_at	3.48e-06	6.83e-07	5.87	5.492393	1.5116184			
201236_s_at	3.49e-06	6.84e-07	5.87	5.491354	2.1263369	BTG2	BTG anti-proliferation factor 2	7832
223049_at	3.49e-06	6.84e-07	5.87	5.491178	0.9076325	GRB2	growth factor receptor bound protein 2	2885
205554_s_at	3.49e-06	6.85e-07	-5.87	5.489603	-1.2878697	DNASE1L3	deoxyribonuclease 1 like 3	1776
237199_at	3.51e-06	6.89e-07	-5.87	5.484115	-1.018236			
203127_s_at	3.51e-06	6.89e-07	5.87	5.483517	1.8286271	SPTLC2	serine palmitoyltransferase long chain base subunit 2	9517
208672_s_at	3.51e-06	6.90e-07	5.87	5.482798	0.5408003	SRSF3	serine and arginine rich splicing factor 3	6428
213105_s_at	3.52e-06	6.91e-07	-5.87	5.481421	-0.8870348	TSR3	TSR3, acp transferase ribosome maturation factor	115939
212750_at	3.53e-06	6.92e-07	-5.87	5.479433	-1.61644	PPP1R16B	protein phosphatase 1 regulatory subunit 16B	26051
1569652_at	3.54e-06	6.96e-07	5.87	5.474569	1.8849588	MLLT3	MLLT3, super elongation complex subunit	4300
218736_s_at	3.55e-06	6.97e-07	-5.87	5.472733	-2.2634411	PALMD	palmdelphin	54873
239274_at	3.55e-06	6.97e-07	5.87	5.472595	1.2926031			
212332_at	3.55e-06	6.98e-07	5.87	5.471734	1.8727258	RBL2	RB transcriptional corepressor like 2	5934
225427_s_at	3.55e-06	6.98e-07	5.87	5.471611	0.9958283	NAXE	NAD(P)HX epimerase	128240
1567913_at	3.56e-06	6.99e-07	-5.86	5.469262	-1.5651531			
1558504_at	3.56e-06	7.00e-07	-5.86	5.467711	-1.1390823	GTF2IP12	general transcription factor IIi pseudogene 12	101926918
211627_x_at	3.57e-06	7.02e-07	-5.86	5.465103	-0.8409709	ESR1	estrogen receptor 1	2099
213923_at	3.59e-06	7.06e-07	5.86	5.459422	1.0693524	RAP2B	RAP2B, member of RAS oncogene family	5912
213908_at	3.60e-06	7.08e-07	-5.86	5.457246	-0.9139165	WHAMMP2///WHAMMP3	WAS protein homolog associated with actin, golgi membranes and microtubules pseudogene 2///WAS protein homolog associated with actin, golgi membranes and microtubules pseudogene 3	440253///339005
207238_s_at	3.61e-06	7.09e-07	5.86	5.455164	2.648065	PTPRC	protein tyrosine phosphatase, receptor type C	5788
215667_x_at	3.62e-06	7.11e-07	5.86	5.452168	0.6922087	PMS2P9///PMS2P5	PMS1 homolog 2, mismatch repair system component pseudogene 9///PMS1 homolog 2, mismatch repair system component pseudogene 5	100132832///5383
223140_s_at	3.62e-06	7.12e-07	5.86	5.450919	1.3841779	DHX36	DEAH-box helicase 36	170506
218226_s_at	3.62e-06	7.13e-07	5.86	5.450311	0.8950326	NDUFB4	NADH:ubiquinone oxidoreductase subunit B4	4710
243751_at	3.62e-06	7.13e-07	5.86	5.449335	1.8022912	CHD2	chromodomain helicase DNA binding protein 2	1106
209896_s_at	3.64e-06	7.17e-07	5.86	5.444589	1.6669121	PTPN11	protein tyrosine phosphatase, non-receptor type 11	5781
228226_s_at	3.65e-06	7.19e-07	-5.86	5.441272	-1.0821934	ZNF775	zinc finger protein 775	285971
1556129_at	3.65e-06	7.19e-07	-5.86	5.441167	-0.6530848	LOC642533	uncharacterized LOC642533	642533
211696_x_at	3.66e-06	7.21e-07	-5.85	5.43937	-3.3432246	HBB	hemoglobin subunit beta	3043
201527_at	3.66e-06	7.21e-07	5.85	5.439171	0.9877049	LOC101927180///ATP6V1F	V-type proton ATPase subunit F pseudogene///ATPase H+ transporting V1 subunit F	101927180///9296
204372_s_at	3.68e-06	7.25e-07	-5.85	5.433748	-0.5766993	KHSRP	KH-type splicing regulatory protein	8570
1555993_at	3.68e-06	7.26e-07	5.85	5.432658	2.6737517	CACNA1D	calcium voltage-gated channel subunit alpha1 D	776
201890_at	3.69e-06	7.27e-07	5.85	5.430587	2.850468	RRM2	ribonucleotide reductase regulatory subunit M2	6241
212904_at	3.69e-06	7.28e-07	-5.85	5.430013	-0.5401461	LRRC47	leucine rich repeat containing 47	57470
241671_x_at	3.69e-06	7.28e-07	-5.85	5.429782	-0.8073809	CASC15	cancer susceptibility candidate 15 (non-protein coding)	401237
229376_at	3.70e-06	7.29e-07	-5.85	5.427765	-0.825196	PROX1	prospero homeobox 1	5629
209060_x_at	3.71e-06	7.31e-07	5.85	5.424881	1.4667956	NCOA3	nuclear receptor coactivator 3	8202
213698_at	3.71e-06	7.31e-07	5.85	5.424762	1.7691279	TMEM35B///ZMYM6	transmembrane protein 35B///zinc finger MYM-type containing 6	100506144///9204
225366_at	3.71e-06	7.32e-07	5.85	5.424693	1.5203	PGM2	phosphoglucomutase 2	55276
221269_s_at	3.71e-06	7.32e-07	5.85	5.424237	1.1957117	SH3BGRL3	SH3 domain binding glutamate rich protein like 3	83442
226322_at	3.71e-06	7.32e-07	-5.85	5.424196	-3.2619884	TMTC1	transmembrane and tetratricopeptide repeat containing 1	83857
213470_s_at	3.72e-06	7.33e-07	5.85	5.42216	2.2783797	HNRNPH1	heterogeneous nuclear ribonucleoprotein H1 (H)	3187
201973_s_at	3.72e-06	7.35e-07	5.85	5.420628	0.6932944	CCZ1B///CCZ1	CCZ1 homolog B, vacuolar protein trafficking and biogenesis associated///CCZ1 homolog, vacuolar protein trafficking and biogenesis associated	221960///51622
226387_at	3.72e-06	7.35e-07	5.85	5.420612	0.7858174	RSBN1L	round spermatid basic protein 1 like	222194
202641_at	3.72e-06	7.35e-07	5.85	5.419989	1.0265197	ARL3	ADP ribosylation factor like GTPase 3	403
214047_s_at	3.72e-06	7.35e-07	5.85	5.419868	0.8201629	MBD4	methyl-CpG binding domain 4, DNA glycosylase	8930
230737_s_at	3.73e-06	7.38e-07	-5.85	5.416285	-1.2933439	SVIL-AS1///PTCHD3P1	SVIL antisense RNA 1///patched domain containing 3 pseudogene 1	102724316///387647
1553474_at	3.74e-06	7.39e-07	-5.85	5.414459	-0.7315999	LOC100288966	POTE ankyrin domain family member D-like	100288966
212532_s_at	3.74e-06	7.39e-07	5.85	5.414171	1.4658325	LSM12	LSM12 homolog	124801
203800_s_at	3.75e-06	7.42e-07	5.85	5.411218	0.9523857	MRPS14	mitochondrial ribosomal protein S14	63931
1561545_at	3.76e-06	7.43e-07	-5.85	5.40902	-0.4869758	EPN2-AS1	EPN2 antisense RNA 1	100874018
231240_at	3.76e-06	7.43e-07	5.85	5.408955	3.9031727	DIO2	deiodinase, iodothyronine, type II	1734
212440_at	3.77e-06	7.45e-07	5.84	5.406679	1.1376266	SNRNP27	small nuclear ribonucleoprotein U4/U6.U5 subunit 27	11017
218998_at	3.77e-06	7.45e-07	5.84	5.406349	0.8501372	FAM206A	family with sequence similarity 206 member A	54942
223234_at	3.78e-06	7.47e-07	5.84	5.40392	1.27349	MAD2L2	MAD2 mitotic arrest deficient-like 2 (yeast)	10459
203024_s_at	3.78e-06	7.47e-07	5.84	5.403914	0.6100098	C5orf15	chromosome 5 open reading frame 15	56951
226023_at	3.78e-06	7.47e-07	-5.84	5.40342	-0.8886554	MAP2K7	mitogen-activated protein kinase kinase 7	5609
241968_at	3.78e-06	7.48e-07	5.84	5.403305	1.2605328	ABHD18	abhydrolase domain containing 18	80167
216960_s_at	3.78e-06	7.49e-07	-5.84	5.401062	-0.9784815	ZNF133	zinc finger protein 133	7692
227531_at	3.80e-06	7.53e-07	5.84	5.396412	0.9684322	CLOCK	clock circadian regulator	9575
206445_s_at	3.80e-06	7.53e-07	5.84	5.395758	1.4518925	PRMT1	protein arginine methyltransferase 1	3276
204108_at	3.81e-06	7.55e-07	5.84	5.393745	0.9823194	NFYA	nuclear transcription factor Y subunit alpha	4800
226321_at	3.81e-06	7.56e-07	5.84	5.392553	0.8514861	LYSMD3	LysM domain containing 3	116068
212611_at	3.82e-06	7.57e-07	-5.84	5.391147	-1.203735	DTX4	deltex E3 ubiquitin ligase 4	23220
223028_s_at	3.82e-06	7.57e-07	5.84	5.391018	1.4997599	SNX9	sorting nexin 9	51429
225648_at	3.82e-06	7.57e-07	5.84	5.390832	1.0979648	STK35	serine/threonine kinase 35	140901
1558142_at	3.82e-06	7.57e-07	-5.84	5.39056	-0.8661374	TNRC6B	trinucleotide repeat containing 6B	23112
202332_at	3.82e-06	7.58e-07	-5.84	5.389597	-0.695006	LOC400927-CSNK1E///CSNK1E	LOC400927-CSNK1E readthrough///casein kinase 1 epsilon	102800317///1454
221934_s_at	3.83e-06	7.59e-07	5.84	5.388776	1.4654185	DALRD3	DALR anticodon binding domain containing 3	55152
1554021_a_at	3.84e-06	7.62e-07	5.84	5.384089	0.8827047	ZNF12	zinc finger protein 12	7559
226503_at	3.84e-06	7.62e-07	5.84	5.38398	1.2681939	RIF1	replication timing regulatory factor 1	55183
202182_at	3.84e-06	7.62e-07	-5.84	5.383839	-1.0352619	KAT2A	lysine acetyltransferase 2A	2648
242217_s_at	3.85e-06	7.64e-07	5.84	5.381608	1.0795059	FBRS	fibrosin	64319
207332_s_at	3.85e-06	7.65e-07	5.84	5.380583	1.9512854	TFRC	transferrin receptor	7037
238018_at	3.86e-06	7.65e-07	-5.84	5.380029	-2.0545222	FAM150B	family with sequence similarity 150 member B	285016
209105_at	3.86e-06	7.66e-07	5.84	5.379371	1.2842756	NCOA1	nuclear receptor coactivator 1	8648
228311_at	3.86e-06	7.66e-07	-5.84	5.379085	-1.0015383	BCL6B	B-cell CLL/lymphoma 6B	255877
238715_at	3.86e-06	7.67e-07	-5.84	5.377717	-0.8351422	LOC646014	uncharacterized LOC646014	646014
216241_s_at	3.88e-06	7.71e-07	5.83	5.372202	1.0120063	TCEA1	transcription elongation factor A1	6917
241520_x_at	3.88e-06	7.72e-07	-5.83	5.371807	-0.5586584			
235076_at	3.88e-06	7.72e-07	-5.83	5.371732	-1.1130678	CALCOCO2	calcium binding and coiled-coil domain 2	10241
231947_at	3.88e-06	7.72e-07	-5.83	5.371459	-1.5921447	MYCT1	myc target 1	80177
204240_s_at	3.89e-06	7.74e-07	5.83	5.368772	1.7457295	SMC2	structural maintenance of chromosomes 2	10592
203842_s_at	3.92e-06	7.78e-07	-5.83	5.363243	-0.6857837	MAPRE3	microtubule associated protein RP/EB family member 3	22924
225856_at	3.92e-06	7.79e-07	5.83	5.362851	1.43238	CLOCK	clock circadian regulator	9575
226669_at	3.92e-06	7.81e-07	5.83	5.360648	1.0534235	USP42	ubiquitin specific peptidase 42	84132
237310_at	3.93e-06	7.81e-07	-5.83	5.360249	-0.9698984			
225729_at	3.93e-06	7.81e-07	-5.83	5.360147	-0.6599008	C6orf89	chromosome 6 open reading frame 89	221477
206636_at	3.93e-06	7.81e-07	5.83	5.359517	1.4597395	RASA2	RAS p21 protein activator 2	5922
217055_x_at	3.96e-06	7.88e-07	-5.83	5.350872	-0.5707977	SLC1A2	solute carrier family 1 member 2	6506
202205_at	3.96e-06	7.89e-07	5.83	5.350348	1.1210007	VASP	vasodilator-stimulated phosphoprotein	7408
209043_at	3.97e-06	7.90e-07	5.83	5.349167	1.3192541	PAPSS1	3'-phosphoadenosine 5'-phosphosulfate synthase 1	9061
213387_at	3.97e-06	7.90e-07	5.83	5.34901	0.8985424	ATAD2B	ATPase family, AAA domain containing 2B	54454
218146_at	3.97e-06	7.90e-07	5.83	5.348826	0.6008214	GLT8D1	glycosyltransferase 8 domain containing 1	55830
225887_at	3.98e-06	7.92e-07	5.83	5.345723	2.0344843	PROSER1	proline and serine rich 1	80209
209012_at	3.98e-06	7.93e-07	5.83	5.344846	1.6110262	TRIO	trio Rho guanine nucleotide exchange factor	7204
238812_at	3.98e-06	7.94e-07	5.83	5.344137	1.4637403			
200845_s_at	3.99e-06	7.94e-07	-5.83	5.343262	-0.8594216	PRDX6	peroxiredoxin 6	9588
