MeSH Disease Term source	MeSH Disease Term target	symptom similarity score
Klinefelter Syndrome	Amino Acid Metabolism, Inborn Errors	0.879916
Klinefelter Syndrome	Fibromatosis, Gingival	0.859049
Klinefelter Syndrome	Chromosome Aberrations	0.906221
Klinefelter Syndrome	Craniosynostoses	0.874852
Klinefelter Syndrome	Xeroderma Pigmentosum	0.850459
Klinefelter Syndrome	Chromosome Breakage	0.883855
Klinefelter Syndrome	Cri-du-Chat Syndrome	0.855394
Magnesium Deficiency	Rickets	0.930342
Fragile X Syndrome	Chromosome Disorders	0.902268
Fragile X Syndrome	Amino Acid Metabolism, Inborn Errors	0.885827
Fragile X Syndrome	Klinefelter Syndrome	0.91404
Fragile X Syndrome	Chromosome Breakage	0.877917
Hyperglycemia	Hyperlipidemias	0.879178
Hyperglycemia	Obesity	0.866684
Hyperglycemia	Metabolic Diseases	0.898297
Hyperglycemia	Glucose Intolerance	0.918439
Hyperglycemia	Metabolic Syndrome X	0.888138
Hyperglycemia	Diabetes Mellitus	0.9032
Hyperglycemia	Hyperinsulinism	0.906921
Hyperglycemia	Insulin Resistance	0.881306
Hyperglycemia	Hypertriglyceridemia	0.884034
Hyperglycemia	Dyslipidemias	0.869207
Nephrocalcinosis	Dent Disease	0.957523
Nephrocalcinosis	Nephrolithiasis	0.955794
Coronary Disease	Coronary Stenosis	0.869782
Coronary Disease	Coronary Restenosis	0.877266
Neuromuscular Diseases	Muscular Diseases	0.85663
Neuromuscular Diseases	Muscular Dystrophies	0.877687
Neuromuscular Diseases	Muscular Atrophy	0.854791
Color Vision Defects	Leber Congenital Amaurosis	0.862798
Werner Syndrome	DNA Repair-Deficiency Disorders	0.864892
Arrhythmias, Cardiac	Sick Sinus Syndrome	0.857815
Arrhythmias, Cardiac	Long QT Syndrome	0.856832
Arrhythmias, Cardiac	Torsades de Pointes	0.886575
Arrhythmias, Cardiac	Tachycardia	0.954636
Arrhythmias, Cardiac	Heart Block	0.912102
Arrhythmias, Cardiac	Death, Sudden, Cardiac	0.924242
Arrhythmias, Cardiac	Tachycardia, Ventricular	0.888033
Arrhythmias, Cardiac	Ventricular Fibrillation	0.92535
Arrhythmias, Cardiac	Bundle-Branch Block	0.953066
Spinocerebellar Ataxias	Myoclonic Epilepsies, Progressive	0.850783
Lymphoproliferative Disorders	Immunologic Deficiency Syndromes	0.858919
Hallermann's Syndrome	Fibromatosis, Gingival	0.860928
Hypertension	Hypertrophy, Left Ventricular	0.924357
Hypertension	Diabetes Mellitus, Type 2	0.940996
Hypertension	Hyperuricemia	0.918647
Duodenal Ulcer	Stomach Ulcer	0.928334
Glomerulonephritis, Membranoproliferative	Nephrotic Syndrome	0.985657
Glomerulonephritis, Membranoproliferative	Lecithin Acyltransferase Deficiency	0.982269
Glomerulonephritis, Membranoproliferative	Immune Complex Diseases	0.950177
Glomerulonephritis, Membranoproliferative	Hematuria	0.945331
Leukocytosis	Neutropenia	0.884805
Leukocytosis	Agranulocytosis	0.86759
Down Syndrome	Chromosome Disorders	0.88125
Down Syndrome	Abnormalities, Multiple	0.861212
Down Syndrome	Klinefelter Syndrome	0.868426
Down Syndrome	Chromosome Aberrations	0.851692
Down Syndrome	Craniosynostoses	0.869653
Down Syndrome	Polydactyly	0.871984
Down Syndrome	Cri-du-Chat Syndrome	0.939509
Down Syndrome	Developmental Disabilities	0.861931
Adrenal Hyperplasia, Congenital	46, XY Disorders of Sex Development	0.878912
Adrenal Hyperplasia, Congenital	Antley-Bixler Syndrome Phenotype	0.878912
Psoriasis	Urticaria	0.870382
Hyperbilirubinemia	Crigler-Najjar Syndrome	0.87645
Hyperbilirubinemia	Gilbert Disease	0.905013
Hyperbilirubinemia	Hyperbilirubinemia, Hereditary	0.924712
Optic Atrophy, Hereditary, Leber	Optic Atrophies, Hereditary	0.869612
Schizophrenia	Psychoses, Substance-Induced	0.864438
Schizophrenia	Lewy Body Disease	0.866296
Nephritis, Interstitial	Nephrotic Syndrome	0.964763
Nephritis, Interstitial	Immune Complex Diseases	0.895983
Corneal Opacity	Eye Abnormalities	0.851057
Pulmonary Alveolar Proteinosis	Pulmonary Fibrosis	0.924197
