"biotid","substrate_name","substrate_cid","substrate_inchikey","substrate_inchi","enzyme","reaction_type","biotransformation_type","biosystem","prod_name","prod_cid","prod_inchikey","prod_inchi","reference"
"BIOTID00011","(R)-3,4-Methylenedioxymethamphetamine","667458","SHXWCVYOXRDMCX-MRVPVSSYSA-N","InChI=1S/C11H15NO2/c1-8(12-2)5-9-3-4-10-11(6-9)14-7-13-10/h3-4,6,8,12H,5,7H2,1-2H3/t8-/m1/s1","CYP1A2; CYP2D6","Methylenedioxy ring opening","Human Phase I","Human","N-Methyl-3,4- dihydroxyamphetamine","67851484","NTCPGTZTPGFNOM-SSDOTTSWSA-N","InChI=1S/C10H15NO2/c1-7(11-2)5-8-3-4-9(12)10(13)6-8/h3-4,6-7,11-13H,5H2,1-2H3/t7-/m1/s1","Brown, C.M. et al. (2008); Cytochromes P450: A Structure-Based Summary of Biotransformations Using Representative Substrates; Drug Metabolism Reviews, 40:1, 1-100, DOI:10.1080/03602530701836662; PMID:18259985"
"BIOTID00012","(R)-3,4-Methylenedioxymethamphetamine","667458","SHXWCVYOXRDMCX-MRVPVSSYSA-N","InChI=1S/C11H15NO2/c1-8(12-2)5-9-3-4-10-11(6-9)14-7-13-10/h3-4,6,8,12H,5,7H2,1-2H3/t8-/m1/s1","CYP2D6 (major); CYP1A2; CYP2B6; CYP3A4","N-dealkylation of acyclic secondary amine","Human Phase I","Human","3,4-Methylenedioxymethamphetamine","3046161","NGBBVGZWCFBOGO-SSDOTTSWSA-N","InChI=1S/C10H13NO2/c1-7(11)4-8-2-3-9-10(5-8)13-6-12-9/h2-3,5,7H,4,6,11H2,1H3/t7-/m1/s1","Zanger, U.M. and Klein, K. (2013); Pharmacogenetics of cytochrome P450 2B6 (CYP2B6): advances on polymorphisms, mechanisms, and clinical relevance; Front Genet. 2013; 4: 24.; DOI:10.3389/fgene.2013.00024|Wang and Zhou; Current Medicinal Chemistry, 2009 Vol. 16, No. 31; PMID:19754423"
"BIOTID00013","(4R)-5-(methoxycarbonyl)-2,6-dimethyl-4-(3-nitrophenyl)-1,4-dihydropyridine-3-carboxylic acid","748472","JPXPPUOCSLMCHK-CQSZACIVSA-N","InChI=1S/C16H16N2O6/c1-8-12(15(19)20)14(13(9(2)17-8)16(21)24-3)10-5-4-6-11(7-10)18(22)23/h4-7,14,17H,1-3H3,(H,19,20)/t14-/m1/s1","CYP2C19;CYP2D6;CYP2E1;CYP3A4","Dehydrogenation","Human Phase I","Human","OPC-13463","9996712","BXLPPWLKFWCWOY-UHFFFAOYSA-N","InChI=1S/C16H14N2O6/c1-8-12(15(19)20)14(13(9(2)17-8)16(21)24-3)10-5-4-6-11(7-10)18(22)23/h4-7H,1-3H3,(H,19,20)","PMID:9929520"
"BIOTID00014","Homo-Tienilic Alcohol","3282572","UGJUNCJBZLALDV-UHFFFAOYSA-N","InChI=1S/C14H12Cl2O3S/c15-12-9(14(18)11-3-1-8-20-11)4-5-10(13(12)16)19-7-2-6-17/h1,3-5,8,17H,2,6-7H2","CYP2C8;CYP2C9;CYP2C19","Aliphatic Hydroxylation","Human Phase I","Human","NULL","NULL","AQKYWBULJQYLJP-UHFFFAOYSA-N","InChI=1S/C14H12Cl2O4S/c15-12-8(14(19)10-4-5-11(18)21-10)2-3-9(13(12)16)20-7-1-6-17/h2-5,17-18H,1,6-7H2","PMID:10387023"
"BIOTID00015","Homo-Tienilic Alcohol","3282572","UGJUNCJBZLALDV-UHFFFAOYSA-N","InChI=1S/C14H12Cl2O3S/c15-12-9(14(18)11-3-1-8-20-11)4-5-10(13(12)16)19-7-2-6-17/h1,3-5,8,17H,2,6-7H2","CYP2C8;CYP2C9;CYP2C19","O-Demethylation","Human Phase I","Human","NULL","9970501","PPDIALCNVFLTST-UHFFFAOYSA-N","InChI=1S/C11H6Cl2O2S/c12-9-6(3-4-7(14)10(9)13)11(15)8-2-1-5-16-8/h1-5,14H","PMID:10387023"
"BIOTID00016","(R)-1-(4-Methoxyphenyl)propan-2-amine","6951129","NEGYEDYHPHMHGK-MRVPVSSYSA-N","InChI=1S/C10H15NO/c1-8(11)7-9-3-5-10(12-2)6-4-9/h3-6,8H,7,11H2,1-2H3/t8-/m1/s1","CYP2D6","O-Demethylation","Human Phase I","Human","NULL","12234986","GIKNHHRFLCDOEU-SSDOTTSWSA-N","InChI=1S/C9H13NO/c1-7(10)6-8-2-4-9(11)5-3-8/h2-5,7,11H,6,10H2,1H3/t7-/m1/s1","PMID:10456690"
"BIOTID00017","1-Methyl-10-alpha-methoxy-9,10-dihydrolysergol","9796365","LVXVIPZBNJSUKL-NJAPINKUSA-N","InChI=1S/C18H24N2O2/c1-19-10-13-7-16-18(22-3,8-12(11-21)9-20(16)2)14-5-4-6-15(19)17(13)14/h4-6,10,12,16,21H,7-9,11H2,1-3H3/t12-,16-,18+/m1/s1","CYP2D6","N-Demethylation","Human Phase I","Human","MDL","597497","JGQZSBLQHCTAJF-UHFFFAOYSA-N","InChI=1S/C17H22N2O2/c1-19-9-11(10-20)7-17(21-2)13-4-3-5-14-16(13)12(8-18-14)6-15(17)19/h3-5,8,11,15,18,20H,6-7,9-10H2,1-2H3","PMID:8971425"
"BIOTID00018","(S)-2-(2,6-Dichlorobenzamido)-3-(2',6'-dimethoxy-[1,1'-biphenyl]-4-yl)propanoic acid","9912743","DRSJLVGDSNWQBI-SFHVURJKSA-N","InChI=1S/C24H21Cl2NO5/c1-31-19-7-4-8-20(32-2)21(19)15-11-9-14(10-12-15)13-18(24(29)30)27-23(28)22-16(25)5-3-6-17(22)26/h3-12,18H,13H2,1-2H3,(H,27,28)(H,29,30)/t18-/m0/s1","CYP2C9","O-Desmethylation","Human Phase I","Human","NULL","NULL","PHONWYGCWSCOCC-UHFFFAOYSA-N","InChI=1S/C23H19Cl2NO5/c1-31-19-7-3-6-18(27)20(19)14-10-8-13(9-11-14)12-17(23(29)30)26-22(28)21-15(24)4-2-5-16(21)25/h2-11,17,27H,12H2,1H3,(H,26,28)(H,29,30)","PMID:15855725"
"BIOTID00019","Rabeprazole (rabeprazole_thioether)","9949996","BSXAHDOWMOSVAP-UHFFFAOYSA-N","InChI=1S/C18H21N3O2S/c1-13-16(19-9-8-17(13)23-11-5-10-22-2)12-24-18-20-14-6-3-4-7-15(14)21-18/h3-4,6-9H,5,10-12H2,1-2H3,(H,20,21)","CYP1A2;CYP2A6;CYP2C9;CYP2C19;CYP2D6;CYP2E1;CYP3A4","S-OXIDATION","Human Phase I","Human","Rabeprazole","5029","YREYEVIYCVEVJK-UHFFFAOYSA-N","InChI=1S/C18H21N3O3S/c1-13-16(19-9-8-17(13)24-11-5-10-23-2)12-25(22)18-20-14-6-3-4-7-15(14)21-18/h3-4,6-9H,5,10-12H2,1-2H3,(H,20,21)","PMID:16389533"
"BIOTID00020","Rabeprazole (rabeprazole_thioether)","9949996","BSXAHDOWMOSVAP-UHFFFAOYSA-N","InChI=1S/C18H21N3O2S/c1-13-16(19-9-8-17(13)23-11-5-10-22-2)12-24-18-20-14-6-3-4-7-15(14)21-18/h3-4,6-9H,5,10-12H2,1-2H3,(H,20,21)","CYP1A2;CYP2A6;CYP2B6;CYP2C9;CYP2C19;CYP2D6;CYP2E1;CYP3A4","O-Desmethylation","Human Phase I","Human","Desmethylrabeprazole-thioether","15166260","WKTPBAPTLLDMKZ-UHFFFAOYSA-N","InChI=1S/C17H19N3O2S/c1-12-15(18-8-7-16(12)22-10-4-9-21)11-23-17-19-13-5-2-3-6-14(13)20-17/h2-3,5-8,21H,4,9-11H2,1H3,(H,19,20)","PMID:16389533"
"BIOTID00021","Dehydroxyzyleuton","10104880","CKVDCQYUEYONIA-ZETCQYMHSA-N","InChI=1S/C11H12N2OS/c1-7(13-11(12)14)10-6-8-4-2-3-5-9(8)15-10/h2-7H,1H3,(H3,12,13,14)/t7-/m0/s1","CYP3A4","Thiohene S-oxidation","Human Phase I","Human","Dehydroxyzyleuton sulfoxide","NULL","KGUIRZVMBWMQQZ-RWNHWRGESA-N","InChI=1S/C11H12N2O2S/c1-7(13-11(12)14)10-6-8-4-2-3-5-9(8)16(10)15/h2-7H,1H3,(H3,12,13,14)/t7-,16?/m0/s1","Zhou, S.F. et al. (2009); Substrates, Inducers, Inhibitors and Structure-Activity Relationships of Human Cytochrome P450 2C9 and Implications in Drug Development; Current Medicinal Chemistry, 2009, 16, 3480-3675"
"BIOTID00022","Dehydroxyzyleuton","10104880","CKVDCQYUEYONIA-ZETCQYMHSA-N","InChI=1S/C11H12N2OS/c1-7(13-11(12)14)10-6-8-4-2-3-5-9(8)15-10/h2-7H,1H3,(H3,12,13,14)/t7-/m0/s1","CYP1A2; CYP2C9","Aromatic hydroxylation of fused benzene ring","Human Phase I","Human","(1S)â€1â€(6â€hydroxyâ€1â€benzothiophenâ€2â€yl)ethylurea","NULL","QAVLMIJBDWRSOJ-LURJTMIESA-N","InChI=1S/C11H12N2O2S/c1-6(13-11(12)15)9-4-7-2-3-8(14)5-10(7)16-9/h2-6,14H,1H3,(H3,12,13,15)/t6-/m0/s1","Zhou, S.F. et al. (2009); Substrates, Inducers, Inhibitors and Structure-Activity Relationships of Human Cytochrome P450 2C9 and Implications in Drug Development; Current Medicinal Chemistry, 2009, 16, 3480-3675"
"BIOTID00023","(2R,3S)-2-((R)-1-(3,5-Bis(trifluoromethyl)phenyl)ethoxy)-3-(4-fluorophenyl)morpholine","10113945","AFBDSAJOMZYQAI-CNOZUTPLSA-N","InChI=1S/C20H18F7NO2/c1-11(13-8-14(19(22,23)24)10-15(9-13)20(25,26)27)30-18-17(28-6-7-29-18)12-2-4-16(21)5-3-12/h2-5,8-11,17-18,28H,6-7H2,1H3/t11-,17+,18-/m1/s1","CYP3A4","Dehydrogenation","Human Phase I","Human","aprepitant_M2","NULL","LAWNGOQIFZBYOQ-UHFFFAOYSA-N","InChI=1S/C20H16F7NO2/c1-11(13-8-14(19(22,23)24)10-15(9-13)20(25,26)27)30-18-17(28-6-7-29-18)12-2-4-16(21)5-3-12/h2-6,8-11,17-18H,7H2,1H3","PMID:15304427"
"BIOTID00024","2-Methoxy-5-trifluoromethoxybenzylamine","23192118","JGFONUZHXXBGTF-UHFFFAOYSA-N","InChI=1S/C9H10F3NO2/c1-14-8-3-2-7(4-6(8)5-13)15-9(10,11)12/h2-4H,5,13H2,1H3","CYP1A2;CYP2A6;CYP2B6;CYP2C8;CYP2C9;CYP2C19;CYP2D6;CYP2E1;CYP3A4","O-Demethylation","Human Phase I","Human","CP-919,230","11694142","NIJPYMIFXMKSQQ-UHFFFAOYSA-N","InChI=1S/C8H8F3NO2/c9-8(10,11)14-6-1-2-7(13)5(3-6)4-12/h1-3,13H,4,12H2","PMID:17965517"
"BIOTID00025","3-(furan-2-ylmethyl)-1,7,8-trimethylpurine-2,6-dione","102123094","VACPENDPPYPFPY-UHFFFAOYSA-N","InChI=1S/C13H14N4O3/c1-8-14-11-10(15(8)2)12(18)16(3)13(19)17(11)7-9-5-4-6-20-9/h4-6H,7H2,1-3H3","CYP1A2","Aliphatic Hydroxylation","Human Phase I","Human","NULL","NULL","VQJXXSJFJDVJED-UHFFFAOYSA-N","InChI=1S/C13H14N4O4/c1-7-14-11-10(15(7)2)12(19)16(3)13(20)17(11)5-9-4-8(18)6-21-9/h4,6,18H,5H2,1-3H3","PMID:9585555"
"BIOTID00026","3-(furan-2-ylmethyl)-1,7,8-trimethylpurine-2,6-dione","102123094","VACPENDPPYPFPY-UHFFFAOYSA-N","InChI=1S/C13H14N4O3/c1-8-14-11-10(15(8)2)12(18)16(3)13(19)17(11)7-9-5-4-6-20-9/h4-6H,7H2,1-3H3","CYP1A2","Aliphatic Hydroxylation","Human Phase I","Human","NULL","NULL","GDDPKUCTHHNKKK-UHFFFAOYSA-N","InChI=1S/C13H14N4O4/c1-7-14-11-10(15(7)2)12(19)16(3)13(20)17(11)6-9-8(18)4-5-21-9/h4-5,18H,6H2,1-3H3","PMID:9585555"
"BIOTID00027","3-(furan-2-ylmethyl)-1,7,8-trimethylpurine-2,6-dione","102123094","VACPENDPPYPFPY-UHFFFAOYSA-N","InChI=1S/C13H14N4O3/c1-8-14-11-10(15(8)2)12(18)16(3)13(19)17(11)7-9-5-4-6-20-9/h4-6H,7H2,1-3H3","CYP1A2","Aliphatic Hydroxylation","Human Phase I","Human","NULL","NULL","BKDFYXRQPYHFRL-UHFFFAOYSA-N","InChI=1S/C13H14N4O4/c1-7-14-11-10(15(7)2)12(19)16(3)13(20)17(11)6-8-4-5-9(18)21-8/h4-5,18H,6H2,1-3H3","PMID:9585555"
"BIOTID00028","3-(furan-2-ylmethyl)-1,7,8-trimethylpurine-2,6-dione","102123094","VACPENDPPYPFPY-UHFFFAOYSA-N","InChI=1S/C13H14N4O3/c1-8-14-11-10(15(8)2)12(18)16(3)13(19)17(11)7-9-5-4-6-20-9/h4-6H,7H2,1-3H3","CYP1A2","Aliphatic Hydroxylation","Human Phase I","Human","NULL","NULL","XEQINVKPXLRNDE-UHFFFAOYSA-N","InChI=1S/C13H14N4O4/c1-15-9(7-18)14-11-10(15)12(19)16(2)13(20)17(11)6-8-4-3-5-21-8/h3-5,18H,6-7H2,1-2H3","PMID:9585555"
"BIOTID00029","3-(cyclohexylmethyl)-1,7,8-trimethylpurine-2,6-dione","102123104","ARGFHYICTJBMFD-UHFFFAOYSA-N","InChI=1S/C15H22N4O2/c1-10-16-13-12(17(10)2)14(20)18(3)15(21)19(13)9-11-7-5-4-6-8-11/h11H,4-9H2,1-3H3","CYP1A2","Aliphatic Hydroxylation","Human Phase I","Human","NULL","NULL","QJYDMSYDZAXBOV-UHFFFAOYSA-N","InChI=1S/C15H22N4O3/c1-9-16-13-12(17(9)2)14(21)18(3)15(22)19(13)8-10-5-4-6-11(20)7-10/h10-11,20H,4-8H2,1-3H3","PMID:9585555"
"BIOTID00030","3-(cyclohexylmethyl)-1,7,8-trimethylpurine-2,6-dione","102123104","ARGFHYICTJBMFD-UHFFFAOYSA-N","InChI=1S/C15H22N4O2/c1-10-16-13-12(17(10)2)14(20)18(3)15(21)19(13)9-11-7-5-4-6-8-11/h11H,4-9H2,1-3H3","CYP1A2","Aliphatic Hydroxylation","Human Phase I","Human","NULL","NULL","GGSFCOBRZLNYNO-UHFFFAOYSA-N","InChI=1S/C15H22N4O3/c1-10-16-13-12(19(10)9-20)14(21)17(2)15(22)18(13)8-11-6-4-3-5-7-11/h11,20H,3-9H2,1-2H3","PMID:9585555"
"BIOTID00031","3-(cyclohexylmethyl)-1,7,8-trimethylpurine-2,6-dione","102123104","ARGFHYICTJBMFD-UHFFFAOYSA-N","InChI=1S/C15H22N4O2/c1-10-16-13-12(17(10)2)14(20)18(3)15(21)19(13)9-11-7-5-4-6-8-11/h11H,4-9H2,1-3H3","CYP1A2","Aliphatic Hydroxylation","Human Phase I","Human","NULL","NULL","PCPMKBBRSWHCAD-UHFFFAOYSA-N","InChI=1S/C15H22N4O3/c1-17-11(9-20)16-13-12(17)14(21)18(2)15(22)19(13)8-10-6-4-3-5-7-10/h10,20H,3-9H2,1-2H3","PMID:9585555"
"BIOTID00032","(-)-ethosuximide","6603844","HAPOVYFOVVWLRS-SSDOTTSWSA-N","InChI=1S/C7H11NO2/c1-3-7(2)4-5(9)8-6(7)10/h3-4H2,1-2H3,(H,8,9,10)/t7-/m1/s1","CYP2E1;CYP3A4","Alphatic Hydroxylation","Human Phase I","Human","NULL","54520268","YPHULFCUFXXVGD-UHFFFAOYSA-N","InChI=1S/C7H11NO3/c1-4(9)7(2)3-5(10)8-6(7)11/h4,9H,3H2,1-2H3,(H,8,10,11)","PMID:12637244"
"BIOTID00033","(-)-etodolac","667528","NNYBQONXHNTVIJ-QGZVFWFLSA-N","InChI=1S/C17H21NO3/c1-3-11-6-5-7-12-13-8-9-21-17(4-2,10-14(19)20)16(13)18-15(11)12/h5-7,18H,3-4,8-10H2,1-2H3,(H,19,20)/t17-/m1/s1","CYP2C9","Aromatic hydroxylation of fused benzene ring","Human Phase I","Human","6-Hydroxyetodolac","14146232","GQHWDDBALZVXBU-UHFFFAOYSA-N","InChI=1S/C17H21NO4/c1-3-10-7-11(19)8-13-12-5-6-22-17(4-2,9-14(20)21)16(12)18-15(10)13/h7-8,18-19H,3-6,9H2,1-2H3,(H,20,21)","Zhou, S.F. et al. (2009); Substrates, Inducers, Inhibitors and Structure-Activity Relationships of Human Cytochrome P450 2C9 and Implications in Drug Development; Current Medicinal Chemistry, 2009, 16, 3480-3675"
"BIOTID00034","(-)-etodolac","667528","NNYBQONXHNTVIJ-QGZVFWFLSA-N","InChI=1S/C17H21NO3/c1-3-11-6-5-7-12-13-8-9-21-17(4-2,10-14(19)20)16(13)18-15(11)12/h5-7,18H,3-4,8-10H2,1-2H3,(H,19,20)/t17-/m1/s1","CYP2C9","Aromatic hydroxylation of fused benzene ring","Human Phase I","Human","7-Hydroxyetodolac","14112821","LOALFJPXZIHKNH-UHFFFAOYSA-N","InChI=1S/C17H21NO4/c1-3-10-13(19)6-5-11-12-7-8-22-17(4-2,9-14(20)21)16(12)18-15(10)11/h5-6,18-19H,3-4,7-9H2,1-2H3,(H,20,21)","Zhou, S.F. et al. (2009); Substrates, Inducers, Inhibitors and Structure-Activity Relationships of Human Cytochrome P450 2C9 and Implications in Drug Development; Current Medicinal Chemistry, 2009, 16, 3480-3675"
"BIOTID00035","(-)-limonene","439250","XMGQYMWWDOXHJM-SNVBAGLBSA-N","InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4,10H,1,5-7H2,2-3H3/t10-/m1/s1","CYP2C9; CYP2C19","Allylic hydroxylation","Human Phase I","Human","Carveol","7438","BAVONGHXFVOKBV-UHFFFAOYSA-N","InChI=1S/C10H16O/c1-7(2)9-5-4-8(3)10(11)6-9/h4,9-11H,1,5-6H2,2-3H3","Zhou, S.F. et al. (2009); Substrates, Inducers, Inhibitors and Structure-Activity Relationships of Human Cytochrome P450 2C9 and Implications in Drug Development; Current Medicinal Chemistry, 2009, 16, 3480-3675"
"BIOTID00036","(-)-limonene","439250","XMGQYMWWDOXHJM-SNVBAGLBSA-N","InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4,10H,1,5-7H2,2-3H3/t10-/m1/s1","CYP2C9; CYP2C19; CYP3A4","Allylic hydroxylation","Human Phase I","Human","Perillyl alcohol","369312","NDTYTMIUWGWIMO-SNVBAGLBSA-N","InChI=1S/C10H16O/c1-8(2)10-5-3-9(7-11)4-6-10/h3,10-11H,1,4-7H2,2H3/t10-/m1/s1","Zhou, S.F. et al. (2009); Substrates, Inducers, Inhibitors and Structure-Activity Relationships of Human Cytochrome P450 2C9 and Implications in Drug Development; Current Medicinal Chemistry, 2009, 16, 3480-3675"
"BIOTID00037","(-)-pseudococaine","644018","ZPUCINDJVBIVPJ-LXTVHRRPSA-N","InChI=1S/C17H21NO4/c1-18-12-8-9-13(18)15(17(20)21-2)14(10-12)22-16(19)11-6-4-3-5-7-11/h3-7,12-15H,8-10H2,1-2H3/t12-,13+,14-,15-/m1/s1","CYP3A4","N-dealkylation of alicyclic tertiary amine","Human Phase I","Human","Norcocaine","NULL","AYDBLCSLKNTEJL-XJFOESAGSA-N","InChI=1S/C16H19NO4/c1-20-16(19)14-12-8-7-11(17-12)9-13(14)21-15(18)10-5-3-2-4-6-10/h2-6,11-14,17H,7-9H2,1H3/t11-,12+,13-,14-/m1/s1","Rendic, S. et al. (1997); Human Cytochrome P450 Enzymes: A Status Report Summarizing Their Reactions, Substrates, Inducers, and Inhibitors; Drug Metabolism reviews 1997, 29, 413-580|Brone, R.F. et al. (1977); Biological Effects of Cocaine Derivatives I: Improved Systhesis and Pharmacological Evaluation of Norcocaine; J. Pharm. Sci. 1977, 66, 119-120."
