Name,InChIKey,InChI,PubChem_CID,SMILES,Synonym1,Synonym2
coumarin,ZYGHJZDHTFUPRJ-UHFFFAOYSA-N,InChI=1S/C9H6O2/c10-9-6-5-7-3-1-2-4-8(7)11-9/h1-6H,323,c1ccc2c(c1)ccc(=O)o2,,
o-Cresol,QWVGKYWNOKOFNN-UHFFFAOYSA-N,"InChI=1S/C7H8O/c1-6-4-2-3-5-7(6)8/h2-5,8H,1H3",335,Cc1ccccc1O,,
salicylic acid,YGSDEFSMJLZEOE-UHFFFAOYSA-N,"InChI=1S/C7H6O3/c8-6-4-2-1-3-5(6)7(9)10/h1-4,8H,(H,9,10)",338,c1ccc(c(c1)C(=O)O)O,,
Phloroglucinol,QCDYQQDYXPDABM-UHFFFAOYSA-N,"InChI=1S/C6H6O3/c7-4-1-5(8)3-6(9)2-4/h1-3,7-9H",359,c1c(cc(cc1O)O)O,,
4-aminophenol,PLIKAWJENQZMHA-UHFFFAOYSA-N,"InChI=1S/C6H7NO/c7-5-1-3-6(8)4-2-5/h1-4,8H,7H2",403,c1cc(ccc1N)O,,
Dihydroquercetin,CXQWRCVTCMQVQX-UHFFFAOYSA-N,"InChI=1S/C15H12O7/c16-7-4-10(19)12-11(5-7)22-15(14(21)13(12)20)6-1-2-8(17)9(18)3-6/h1-5,14-19,21H",471,c1cc(c(cc1C1C(C(=O)c2c(cc(cc2O1)O)O)O)O)O,,
"3,4-dihydroxyphenylacetic acid",CFFZDZCDUFSOFZ-UHFFFAOYSA-N,"InChI=1S/C8H8O4/c9-6-2-1-5(3-7(6)10)4-8(11)12/h1-3,9-10H,4H2,(H,11,12)",547,c1cc(c(cc1CC(=O)O)O)O,,
Diethyl phosphorothioate,UCQFCFPECQILOL-UHFFFAOYSA-N,"InChI=1S/C4H11O4P/c1-3-7-9(5,6)8-4-2/h3-4H2,1-2H3,(H,5,6)",654,CCOP(=O)(O)OCC,Diethyl phosphate,
Diethyl thiophosphate,PKUWKAXTAVNIJR-UHFFFAOYSA-N,"InChI=1S/C4H11O3PS/c1-3-6-8(5,9)7-4-2/h3-4H2,1-2H3,(H,5,9)",655,CCOP(=S)(O)OCC,,
Dopamine,VYFYYTLLBUKUHU-UHFFFAOYSA-N,"InChI=1S/C8H11NO2/c9-4-3-6-1-2-7(10)8(11)5-6/h1-2,5,10-11H,3-4,9H2",681,c1cc(c(cc1CCN)O)O,,
ethanol,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",702,CCO,,
Hydroquinone,QIGBRXMKCJKVMJ-UHFFFAOYSA-N,"InChI=1S/C6H6O2/c7-5-1-2-6(8)4-3-5/h1-4,7-8H",785,c1cc(ccc1O)O,,
indole,SIKJAQJRHWYJAI-UHFFFAOYSA-N,"InChI=1S/C8H7N/c1-2-4-8-7(3-1)5-6-9-8/h1-6,9H",798,c1ccc2c(c1)cc[nH]2,,
Indole-3-acetic-acid,SEOVTRFCIGRIMH-UHFFFAOYSA-N,"InChI=1S/C10H9NO2/c12-10(13)5-7-6-11-9-4-2-1-3-8(7)9/h1-4,6,11H,5H2,(H,12,13)",802,c1ccc2c(c1)c(CC(=O)O)c[nH]2,,
melatonin,DRLFMBDRBRZALE-UHFFFAOYSA-N,"InChI=1S/C13H16N2O2/c1-9(16)14-6-5-10-8-15-13-4-3-11(17-2)7-12(10)13/h3-4,7-8,15H,5-6H2,1-2H3,(H,14,16)",896,CC(=NCCc1c[nH]c2ccc(cc12)OC)O,,
N-Acetyl-5-hydroxytryptamine,MVAWJSIDNICKHF-UHFFFAOYSA-N,"InChI=1S/C12H14N2O2/c1-8(15)13-5-4-9-7-14-12-3-2-10(16)6-11(9)12/h2-3,6-7,14,16H,4-5H2,1H3,(H,13,15)",903,CC(=NCCc1c[nH]c2ccc(cc12)O)O,N-Acetyl-5-HT,
acetanilide,FZERHIULMFGESH-UHFFFAOYSA-N,"InChI=1S/C8H9NO/c1-7(10)9-8-5-3-2-4-6-8/h2-6H,1H3,(H,9,10)",904,CC(=Nc1ccccc1)O,,
naphthalene,UFWIBTONFRDIAS-UHFFFAOYSA-N,InChI=1S/C10H8/c1-2-6-10-8-4-3-7-9(10)5-1/h1-8H,931,c1ccc2ccccc2c1,,
Narigenin,FTVWIRXFELQLPI-UHFFFAOYSA-N,"InChI=1S/C15H12O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-6,13,16-18H,7H2",932,c1cc(ccc1C1CC(=O)c2c(cc(cc2O1)O)O)O,,
Nicotine,SNICXCGAKADSCV-UHFFFAOYSA-N,"InChI=1S/C10H14N2/c1-12-7-3-5-10(12)9-4-2-6-11-8-9/h2,4,6,8,10H,3,5,7H2,1H3",942,CN1CCCC1c1cccnc1,,
"N,N-Dimethylaniline",JLTDJTHDQAWBAV-UHFFFAOYSA-N,"InChI=1S/C8H11N/c1-9(2)8-6-4-3-5-7-8/h3-7H,1-2H3",949,CN(C)c1ccccc1,,
4-Nitrophenol,BTJIUGUIPKRLHP-UHFFFAOYSA-N,"InChI=1S/C6H5NO3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H",980,c1cc(ccc1N(=O)=O)O,p-Nitrophenol,
palmitic acid,IPCSVZSSVZVIGE-UHFFFAOYSA-N,"InChI=1S/C16H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h2-15H2,1H3,(H,17,18)",985,CCCCCCCCCCCCCCCC(=O)O,,
parathion,LCCNCVORNKJIRZ-UHFFFAOYSA-N,"InChI=1S/C10H14NO5PS/c1-3-14-17(18,15-4-2)16-10-7-5-9(6-8-10)11(12)13/h5-8H,3-4H2,1-2H3",991,CCOP(=S)(OCC)Oc1ccc(cc1)N(=O)=O,,
Pentachlorophenol,IZUPBVBPLAPZRR-UHFFFAOYSA-N,InChI=1S/C6HCl5O/c7-1-2(8)4(10)6(12)5(11)3(1)9/h12H,992,c1(c(c(c(c(c1Cl)Cl)O)Cl)Cl)Cl,PCP,
phenanthrene,YNPNZTXNASCQKK-UHFFFAOYSA-N,InChI=1S/C14H10/c1-3-7-13-11(5-1)9-10-12-6-2-4-8-14(12)13/h1-10H,995,c1ccc2c(c1)ccc1ccccc21,,
phenol,ISWSIDIOOBJBQZ-UHFFFAOYSA-N,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",996,c1ccc(cc1)O,Phenol,
Phenylacetaldehyde,DTUQWGWMVIHBKE-UHFFFAOYSA-N,"InChI=1S/C8H8O/c9-7-6-8-4-2-1-3-5-8/h1-5,7H,6H2",998,c1ccc(cc1)CC=O,,
2-Phenylacetic acid,WLJVXDMOQOGPHL-UHFFFAOYSA-N,"InChI=1S/C8H8O2/c9-8(10)6-7-4-2-1-3-5-7/h1-5H,6H2,(H,9,10)",999,c1ccc(cc1)CC(=O)O,,
toluene,YXFVVABEGXRONW-UHFFFAOYSA-N,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",1140,Cc1ccccc1,,
Neomenthol,NOOLISFMXDJSKH-UHFFFAOYSA-N,"InChI=1S/C10H20O/c1-7(2)9-5-4-8(3)6-10(9)11/h7-11H,4-6H2,1-3H3",1254,CC(C)C1CCC(C)CC1O,,
1-(3-Chlorophenyl)piperazine,VHFVKMTVMIZMIK-UHFFFAOYSA-N,"InChI=1S/C10H13ClN2/c11-9-2-1-3-10(8-9)13-6-4-12-5-7-13/h1-3,8,12H,4-7H2",1355,c1cc(cc(c1)N1CCNCC1)Cl,m-CPP,1-(3-chlorophenyl)piperazine
"1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine",PLRACCBDVIHHLZ-UHFFFAOYSA-N,"InChI=1S/C12H15N/c1-13-9-7-12(8-10-13)11-5-3-2-4-6-11/h2-7H,8-10H2,1H3",1388,CN1CC=C(CC1)c1ccccc1,,
"1-Hydroxy-6,6-dimethyl-3-pentyl-6a,7,10,10a-tetrahydro-6H-benzo[c]chromene-9-carboxylic acid",OGXXAQFMAFTSRU-UHFFFAOYSA-N,"InChI=1S/C21H28O4/c1-4-5-6-7-13-10-17(22)19-15-12-14(20(23)24)8-9-16(15)21(2,3)25-18(19)11-13/h8,10-11,15-16,22H,4-7,9,12H2,1-3H3,(H,23,24)",1411,CCCCCc1cc(c2C3CC(=CCC3C(C)(C)Oc2c1)C(=O)O)O,,
"2-amino-1-methyl-6-phenylimidazo[4,5-b]pyridine",UQVKZNNCIHJZLS-UHFFFAOYSA-N,"InChI=1S/C13H12N4/c1-17-11-7-10(9-5-3-2-4-6-9)8-15-12(11)16-13(17)14/h2-8H,1H3,(H2,14,15,16)",1530,Cn1c2cc(cnc2[nH]c1=N)c1ccccc1,,
2-aminofluorene,CFRFHWQYWJMEJN-UHFFFAOYSA-N,"InChI=1S/C13H11N/c14-11-5-6-13-10(8-11)7-9-3-1-2-4-12(9)13/h1-6,8H,7,14H2",1539,c1ccc2c(c1)Cc1cc(ccc21)N,,
"N-methyl-3,4methylenedioxyamphetamine ",SHXWCVYOXRDMCX-UHFFFAOYNA-N,"InChI=1S/C11H15NO2/c1-8(12-2)5-9-3-4-10-11(6-9)14-7-13-10/h3-4,6,8,12H,5,7H2,1-2H3",1615,CC(Cc1ccc2c(c1)OCO2)NC,,
"5-(4-Hydroxy-3,5-dimethoxyphenyl)-5a,8,8a,9-tetrahydro-5H-[2]benzofuro[5,6-f][1,3]benzodioxol-6-one",RFDMNXDDRXVJTM-UHFFFAOYSA-N,"InChI=1S/C21H20O7/c1-24-16-5-11(6-17(25-2)20(16)22)18-13-7-15-14(27-9-28-15)4-10(13)3-12-8-26-21(23)19(12)18/h4-7,12,18-19,22H,3,8-9H2,1-2H3",1689,COc1cc(cc(c1O)OC)C1c2cc3c(cc2CC2COC(=O)C12)OCO3,,
rac-4-hydroxynonenal,JVJFIQYAHPMBBX-UHFFFAOYSA-N,"InChI=1S/C9H16O2/c1-2-3-4-6-9(11)7-5-8-10/h5,7-9,11H,2-4,6H2,1H3",1693,CCCCCC(C=CC=O)O,,
4-nonylphenol,IGFHQQFPSIBGKE-UHFFFAOYSA-N,"InChI=1S/C15H24O/c1-2-3-4-5-6-7-8-9-14-10-12-15(16)13-11-14/h10-13,16H,2-9H2,1H3",1752,CCCCCCCCCc1ccc(cc1)O,,
phenytoin,CXOFVDLJLONNDW-UHFFFAOYSA-N,"InChI=1S/C15H12N2O2/c18-13-15(17-14(19)16-13,11-7-3-1-4-8-11)12-9-5-2-6-10-12/h1-10H,(H2,16,17,18,19)",1775,c1ccc(cc1)C1(c2ccccc2)C(=NC(=N1)O)O,,
"n,n-dimethyl-5-methoxytryptamine",ZSTKHSQDNIGFLM-UHFFFAOYSA-N,"InChI=1S/C13H18N2O/c1-15(2)7-6-10-9-14-13-5-4-11(16-3)8-12(10)13/h4-5,8-9,14H,6-7H2,1-3H3",1832,CN(C)CCc1c[nH]c2ccc(cc12)OC,,
5-methoxytryptamine,JTEJPPKMYBDEMY-UHFFFAOYSA-N,"InChI=1S/C11H14N2O/c1-14-9-2-3-11-10(6-9)8(4-5-12)7-13-11/h2-3,6-7,13H,4-5,12H2,1H3",1833,COc1ccc2c(c1)c(CCN)c[nH]2,,
6-Hydroxymelatonin,OMYMRCXOJJZYKE-UHFFFAOYSA-N,"InChI=1S/C13H16N2O3/c1-8(16)14-4-3-9-7-15-11-6-12(17)13(18-2)5-10(9)11/h5-7,15,17H,3-4H2,1-2H3,(H,14,16)",1864,CC(=NCCc1c[nH]c2cc(c(cc12)OC)O)O,,
pinoline,QYMDEOQLJUUNOF-UHFFFAOYSA-N,"InChI=1S/C12H14N2O/c1-15-8-2-3-11-10(6-8)9-4-5-13-7-12(9)14-11/h2-3,6,13-14H,4-5,7H2,1H3",1868,COc1ccc2c(c1)c1CCNCc1[nH]2,,
7-Hydroxyflavanone,SWAJPHCXKPCPQZ-UHFFFAOYSA-N,"InChI=1S/C15H12O3/c16-11-6-7-12-13(17)9-14(18-15(12)8-11)10-4-2-1-3-5-10/h1-8,14,16H,9H2",1890,c1ccc(cc1)C1CC(=O)c2ccc(cc2O1)O,,
tacrine,YLJREFDVOIBQDA-UHFFFAOYSA-N,"InChI=1S/C13H14N2/c14-13-9-5-1-3-7-11(9)15-12-8-4-2-6-10(12)13/h1,3,5,7H,2,4,6,8H2,(H2,14,15)",1935,c1ccc2c(c1)c(=N)c1CCCCc1[nH]2,,
alpha-Hydroxytriazolam,BHUYWUDMVCLHND-UHFFFAOYSA-N,"InChI=1S/C17H12Cl2N4O/c18-10-5-6-14-12(7-10)17(11-3-1-2-4-13(11)19)20-8-15-21-22-16(9-24)23(14)15/h1-7,24H,8-9H2",1963,c1ccc(c(c1)C1=NCc2nnc(CO)n2c2ccc(cc12)Cl)Cl,,
acetaminophen,RZVAJINKPMORJF-UHFFFAOYSA-N,"InChI=1S/C8H9NO2/c1-6(10)9-7-2-4-8(11)5-3-7/h2-5,11H,1H3,(H,9,10)",1983,CC(=Nc1ccc(cc1)O)O,"p-Methoxyacetanilide, O-demethyl-",
Acetachlor,VTNQPKFIQCLBDU-UHFFFAOYSA-N,"InChI=1S/C14H20ClNO2/c1-4-12-8-6-7-11(3)14(12)16(10-18-5-2)13(17)9-15/h6-8H,4-5,9-10H2,1-3H3",1988,CCc1cccc(C)c1N(COCC)C(=O)CCl,,
Afloqualone,VDOSWXIDETXFET-UHFFFAOYSA-N,"InChI=1S/C16H14FN3O/c1-10-4-2-3-5-14(10)20-15(9-17)19-13-7-6-11(18)8-12(13)16(20)21/h2-8H,9,18H2,1H3",2040,Cc1ccccc1n1c(CF)nc2ccc(cc2c1=O)N,,
Alachlor,XCSGPAVHZFQHGE-UHFFFAOYSA-N,"InChI=1S/C14H20ClNO2/c1-4-11-7-6-8-12(5-2)14(11)16(10-18-3)13(17)9-15/h6-8H,4-5,9-10H2,1-3H3",2078,CCc1cccc(CC)c1N(COC)C(=O)CCl,,
albendazole,HXHWSAZORRCQMX-UHFFFAOYSA-N,"InChI=1S/C12H15N3O2S/c1-3-6-18-8-4-5-9-10(7-8)14-11(13-9)15-12(16)17-2/h4-5,7H,3,6H2,1-2H3,(H2,13,14,15,16)",2082,CCCSc1ccc2c(c1)[nH]c(n2)N=C(O)OC,,
alosetron,JSWZEAMFRNKZNL-UHFFFAOYSA-N,"InChI=1S/C17H18N4O/c1-11-13(19-10-18-11)9-21-8-7-15-16(17(21)22)12-5-3-4-6-14(12)20(15)2/h3-6,10H,7-9H2,1-2H3,(H,18,19)",2099,Cc1c(CN2CCc3c(c4ccccc4n3C)C2=O)[nH]cn1,,
alprazolam,VREFGVBLTWBCJP-UHFFFAOYSA-N,"InChI=1S/C17H13ClN4/c1-11-20-21-16-10-19-17(12-5-3-2-4-6-12)14-9-13(18)7-8-15(14)22(11)16/h2-9H,10H2,1H3",2118,Cc1nnc2CN=C(c3ccccc3)c3cc(ccc3n12)Cl,,
theophylline,ZFXYFBGIUFBOJW-UHFFFAOYSA-N,"InChI=1S/C7H8N4O2/c1-10-5-4(8-3-9-5)6(12)11(2)7(10)13/h3H,1-2H3,(H,8,9)",2153,Cn1c2c(c(=O)n(C)c1=O)nc[nH]2,,
amiodarone,IYIKLHRQXLHMJQ-UHFFFAOYSA-N,"InChI=1S/C25H29I2NO3/c1-4-7-11-22-23(18-10-8-9-12-21(18)31-22)24(29)17-15-19(26)25(20(27)16-17)30-14-13-28(5-2)6-3/h8-10,12,15-16H,4-7,11,13-14H2,1-3H3",2157,CCCCc1c(c2ccccc2o1)C(=O)c1cc(c(c(c1)I)OCCN(CC)CC)I,,
amitriptyline,KRMDCWKBEZIMAB-UHFFFAOYSA-N,"InChI=1S/C20H23N/c1-21(2)15-7-12-20-18-10-5-3-8-16(18)13-14-17-9-4-6-11-19(17)20/h3-6,8-12H,7,13-15H2,1-2H3",2160,CN(C)CCC=C1c2ccccc2CCc2ccccc12,,
9-Anthracenecarboxylic acid,XGWFJBFNAQHLEF-UHFFFAOYSA-N,"InChI=1S/C15H10O2/c16-15(17)14-12-7-3-1-5-10(12)9-11-6-2-4-8-13(11)14/h1-9H,(H,16,17)",2201,c1ccc2c(c1)cc1ccccc1c2C(=O)O,,
antipyrine,VEQOALNAAJBPNY-UHFFFAOYSA-N,"InChI=1S/C11H12N2O/c1-9-8-11(14)13(12(9)2)10-6-4-3-5-7-10/h3-8H,1-2H3",2206,Cc1cc(=O)n(c2ccccc2)n1C,,
Aprindine,NZLBHDRPUJLHCE-UHFFFAOYSA-N,"InChI=1S/C22H30N2/c1-3-23(4-2)15-10-16-24(21-13-6-5-7-14-21)22-17-19-11-8-9-12-20(19)18-22/h5-9,11-14,22H,3-4,10,15-18H2,1-2H3",2218,CCN(CC)CCCN(c1ccccc1)C1Cc2ccccc2C1,,
astemizole,GXDALQBWZGODGZ-UHFFFAOYSA-N,"InChI=1S/C28H31FN4O/c1-34-25-12-8-21(9-13-25)14-17-32-18-15-24(16-19-32)30-28-31-26-4-2-3-5-27(26)33(28)20-22-6-10-23(29)11-7-22/h2-13,24H,14-20H2,1H3,(H,30,31)",2247,COc1ccc(cc1)CCN1CCC(CC1)N=c1[nH]c2ccccc2n1Cc1ccc(cc1)F,,
Benzo[a]pyrene,FMMWHPNWAFZXNH-UHFFFAOYSA-N,InChI=1S/C20H12/c1-2-7-17-15(4-1)12-16-9-8-13-5-3-6-14-10-11-18(17)20(16)19(13)14/h1-12H,2336,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,,
bergapten,BGEBZHIAGXMEMV-UHFFFAOYSA-N,"InChI=1S/C12H8O4/c1-14-12-7-2-3-11(13)16-10(7)6-9-8(12)4-5-15-9/h2-6H,1H3",2355,COc1c2ccc(=O)oc2cc2c1cco2,,
Bromazepam,VMIYHDSEFNYJSL-UHFFFAOYSA-N,"InChI=1S/C14H10BrN3O/c15-9-4-5-11-10(7-9)14(17-8-13(19)18-11)12-3-1-2-6-16-12/h1-7H,8H2,(H,18,19)",2441,c1ccnc(c1)C1=NCC(=Nc2ccc(cc12)Br)O,,
bromperidol,RKLNONIVDFXQRX-UHFFFAOYSA-N,"InChI=1S/C21H23BrFNO2/c22-18-7-5-17(6-8-18)21(26)11-14-24(15-12-21)13-1-2-20(25)16-3-9-19(23)10-4-16/h3-10,26H,1-2,11-15H2",2448,C(CC(=O)c1ccc(cc1)F)CN1CCC(CC1)(c1ccc(cc1)Br)O,,
Seratrodast,ZBVKEHDGYSLCCC-UHFFFAOYSA-N,"InChI=1S/C22H26O4/c1-14-15(2)22(26)20(16(3)21(14)25)18(17-10-6-4-7-11-17)12-8-5-9-13-19(23)24/h4,6-7,10-11,18H,5,8-9,12-13H2,1-3H3,(H,23,24)",2449,CC1=C(C)C(=O)C(=C(C)C1=O)C(CCCCCC(=O)O)c1ccccc1,,
brotizolam,UMSGKTJDUHERQW-UHFFFAOYSA-N,"InChI=1S/C15H10BrClN4S/c1-8-19-20-13-7-18-14(9-4-2-3-5-11(9)17)10-6-12(16)22-15(10)21(8)13/h2-6H,7H2,1H3",2451,Cc1nnc2CN=C(c3ccccc3Cl)c3cc(Br)sc3n12,,
caffeine,RYYVLZVUVIJVGH-UHFFFAOYSA-N,"InChI=1S/C8H10N4O2/c1-10-4-9-6-5(10)7(13)12(3)8(14)11(6)2/h4H,1-3H3",2519,Cn1cnc2c1c(=O)n(C)c(=O)n2C,,
Verapamil,SGTNSNPWRIOYBX-UHFFFAOYSA-N,"InChI=1S/C27H38N2O4/c1-20(2)27(19-28,22-10-12-24(31-5)26(18-22)33-7)14-8-15-29(3)16-13-21-9-11-23(30-4)25(17-21)32-6/h9-12,17-18,20H,8,13-16H2,1-7H3",2520,CC(C)C(CCCN(C)CCc1ccc(c(c1)OC)OC)(C#N)c1ccc(c(c1)OC)OC,,
Candesartan,HTQMVQVXFRQIKW-UHFFFAOYSA-N,"InChI=1S/C24H20N6O3/c1-2-33-24-25-20-9-5-8-19(23(31)32)21(20)30(24)14-15-10-12-16(13-11-15)17-6-3-4-7-18(17)22-26-28-29-27-22/h3-13H,2,14H2,1H3,(H,31,32)(H,26,27,28,29)",2541,CCOc1nc2cccc(c2n1Cc1ccc(cc1)c1ccccc1c1n[nH]nn1)C(=O)O,,
carbamazepine,FFGPTBGBLSHEPO-UHFFFAOYSA-N,"InChI=1S/C15H12N2O/c16-15(18)17-13-7-3-1-5-11(13)9-10-12-6-2-4-8-14(12)17/h1-10H,(H2,16,18)",2554,c1ccc2c(c1)C=Cc1ccccc1N2C(=N)O,,
"Carbamazepine 10,11-epoxide ",ZRWWEEVEIOGMMT-UHFFFAOYSA-N,"InChI=1S/C15H12N2O2/c16-15(18)17-11-7-3-1-5-9(11)13-14(19-13)10-6-2-4-8-12(10)17/h1-8,13-14H,(H2,16,18)",2555,c1ccc2c(c1)C1C(c3ccccc3N2C(=N)O)O1,,
Carbofuran,DUEPRVBVGDRKAG-UHFFFAOYSA-N,"InChI=1S/C12H15NO3/c1-12(2)7-8-5-4-6-9(10(8)16-12)15-11(14)13-3/h4-6H,7H2,1-3H3,(H,13,14)",2566,CC1(C)Cc2cccc(c2O1)OC(=NC)O,,
Carvedilol,OGHNVEJMJSYVRP-UHFFFAOYSA-N,"InChI=1S/C24H26N2O4/c1-28-21-10-4-5-11-22(21)29-14-13-25-15-17(27)16-30-23-12-6-9-20-24(23)18-7-2-3-8-19(18)26-20/h2-12,17,25-27H,13-16H2,1H3",2585,COc1ccccc1OCCNCC(COc1cccc2c1c1ccccc1[nH]2)O,,
celecoxib,RZEKVGVHFLEQIL-UHFFFAOYSA-N,"InChI=1S/C17H14F3N3O2S/c1-11-2-4-12(5-3-11)15-10-16(17(18,19)20)22-23(15)13-6-8-14(9-7-13)26(21,24)25/h2-10H,1H3,(H2,21,24,25)",2662,Cc1ccc(cc1)c1cc(C(F)(F)F)nn1c1ccc(cc1)S(=O)(=O)N,,
Chloral hydrate,RNFNDJAIBTYOQL-UHFFFAOYSA-N,"InChI=1S/C2H3Cl3O2/c3-2(4,5)1(6)7/h1,6-7H",2707,C(C(Cl)(Cl)Cl)(O)O,,
chlorpromazine,ZPEIMTDSQAKGNT-UHFFFAOYSA-N,"InChI=1S/C17H19ClN2S/c1-19(2)10-5-11-20-14-6-3-4-7-16(14)21-17-9-8-13(18)12-15(17)20/h3-4,6-9,12H,5,10-11H2,1-2H3",2726,CN(C)CCCN1c2ccccc2Sc2ccc(cc12)Cl,,
chlorpropamide,RKWGIWYCVPQPMF-UHFFFAOYSA-N,"InChI=1S/C10H13ClN2O3S/c1-2-7-12-10(14)13-17(15,16)9-5-3-8(11)4-6-9/h3-6H,2,7H2,1H3,(H2,12,13,14)",2727,CCCN=C(NS(=O)(=O)c1ccc(cc1)Cl)O,,
Chlorpyrifos,SBPBAQFWLVIOKP-UHFFFAOYSA-N,"InChI=1S/C9H11Cl3NO3PS/c1-3-14-17(18,15-4-2)16-9-7(11)5-6(10)8(12)13-9/h5H,3-4H2,1-2H3",2730,CCOP(=S)(OCC)Oc1c(cc(c(Cl)n1)Cl)Cl,,
chlorzoxazone,TZFWDZFKRBELIQ-UHFFFAOYSA-N,"InChI=1S/C7H4ClNO2/c8-4-1-2-6-5(3-4)9-7(10)11-6/h1-3H,(H,9,10)",2733,c1cc2c(cc1Cl)nc(O)o2,,
6-Hydroxychlorzoxazone,AGLXDWOTVQZHIQ-UHFFFAOYSA-N,"InChI=1S/C7H4ClNO3/c8-3-1-4-6(2-5(3)10)12-7(11)9-4/h1-2,10H,(H,9,11)",2734,c1c(c(cc2c1nc(O)o2)O)Cl,,
