Predecessor_CID,Predecessor_Name,Successor_CID,Successor_Name,Transformation,Biosystem,Enzyme,Source_ID,Source,Source_Description,Dataset_DOI,Dataset_Description,Evidence_ID,Evidence_Description
4497,Nimodipine,10431202,Unii-96S4GG1upr,O-Demethylation / Human Phase I,Human,CYP3A4,BIOTID01517,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,PMID:22469047
2355,bergapten,146014903,Unii-3abk64HG9O,Epoxidation / Human Phase I,Human,CYP2D6,BIOTID00299,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,PMID:9665710
5494449,tozasertib,10028135,Unii-1S9W4WJ8WL,N-Oxidation / Human Phase I,Human,CYP3A4,BIOTID01036,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,PMID:17537870
5328779,Tyrphostin B42,154699966,"Tyrphostin B42, 4-O-glucuronide",Aromatic-OH glucuronidation / Human Phase II,Human,UGT1A9,BIOTID01555,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,Wu et al. 2011; Accurate Prediction of Glucuronidation of Structurally Diverse Phenolics by Human UGT1A9 Using Combined Experimental and In Silico Approaches; Pharm Res (2012) 29:1544-1561; DOI 10.1007/s11095-012-0666-z|R(2) http://www.chem.qmul.ac.uk/iubmb/enzyme/EC2/4/1/17.html
5328779,Tyrphostin B42,154699627,"Tyrphostin B42, 3-O-glucuronide",Aromatic-OH glucuronidation / Human Phase II,Human,UGT1A9,BIOTID01554,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,Wu et al. 2011; Accurate Prediction of Glucuronidation of Structurally Diverse Phenolics by Human UGT1A9 Using Combined Experimental and In Silico Approaches; Pharm Res (2012) 29:1544-1561; DOI 10.1007/s11095-012-0666-z|R(2) http://www.chem.qmul.ac.uk/iubmb/enzyme/EC2/4/1/17.html
5610,tyramine,193088,Tyramine glucuronide,O-glucuronidation / Human Phase II,Human,UGT,BIOTID01917,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,http://www.hmdb.ca/metabolites/HMDB0010328
5329099,TSU-68,9949238,TSU-68 metabolite 3,Aromatic hydroxylation of fused benzene ring / Human Phase I,Human,CYP1A1; CYP1A2; CYP2C8,BIOTID01489,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"Wang, B. and Zhou, S.F. (2009); Synthetic and Natural Compounds that Interact with Human Cytochrome P450 1A2 and Implications in Drug Development; Current Medicinal Chemistry; Vol. 16, No. 31; PMID:19754423"
5329099,TSU-68,154699825,TSU-68 metabolite 2,Aromatic hydroxylation of fused benzene ring / Human Phase I,Human,CYP1A1; CYP1A2; CYP2C8,BIOTID01488,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"Wang, B. and Zhou, S.F. (2009); Synthetic and Natural Compounds that Interact with Human Cytochrome P450 1A2 and Implications in Drug Development; Current Medicinal Chemistry; Vol. 16, No. 31; PMID:19754423"
5329099,TSU-68,154699483,TSU-68 metabolite 1,Aromatic hydroxylation of fused benzene ring / Human Phase I,Human,CYP1A2; CYP1A1; CYP2C8,BIOTID01487,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"Wang, B. and Zhou, S.F. (2009); Synthetic and Natural Compounds that Interact with Human Cytochrome P450 1A2 and Implications in Drug Development; Current Medicinal Chemistry; Vol. 16, No. 31; PMID:19754423"
101363929,"4-[(s)-alpha-(trichloromethyl)-4-methoxybenzyl]-1,2-benzenediol",183678,Tris-hydroxy-methoxychlor,O-demethylation / Human Phase I,Human,CYP1A2;CYP2A6;CYP2B6;CYP2C8;CYP2C9;CYP2C19;CYP3A4,BIOTID00174,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,PMID:12167570
76302,Bis-hydroxy-methoxychlor,183678,Tris-hydroxy-methoxychlor,o-Hydroxylation of phenol / Human Phase I,Human,CYP3A4,BIOTID01423,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"Hu, Y. and Kupfer, D. (2002); Metabolism of the Endocrine Disruptor Pesticide-Methoxychlor by Human P450s: Pathways Involving a Novel Catechol Metabolite; Drug Metab Dispos. 2002 Sep;30(9):1035-42."
5587,Tripelennamine,154699868,Tripelennamine N-glucuronide,N-glucuronidation of tertiary aliphatic amine / Human Phase II,Human,UGT1A3,BIOTID01703,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,Green MD et al. (1998); Glucuronidation of amines and other xenobiotics catalyzed by expressed human UDP-glucuronosyltransferase 1A3; Drug Metab Dispos.;26(6):507-12; PMID:9616184
305,Choline,3782034,Trimethylazanium,Lysis of choline to trimethylamine / Human Gut Microbial,Gut microbial environment,EC 4.3.99.4,BIOTID02177,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"Spanogiannopoulos, P. et al. (2016); Nat Rev Microbiol. 2016 Apr;14(5):273-87. DOI:10.1038/nrmicro.2016.17"
9385,"2,2-dichloro-1,1,1-trifluoroethane",65564,Trifluoroacetyl chloride,Oxidation of halotrifluoroethane / Human Phase I,Human,CYP2E1,BIOTID00150,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"Brown, C.M. et al. (2008); Cytochromes P450: A Structure-Based Summary of Biotransformations Using Representative Substrates; Drug Metabolism Reviews, 40:1, 1-100, DOI:10.1080/03602530701836662; PMID:18259985"
3562,Halothane ,61106,Trifluoroacetyl chloride,Oxidation of halotrifluoroethane / Human Phase I,Human,CYP2E1; CYP2A6,BIOTID01189,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"Brown, C.M. et al. (2008); Cytochromes P450: A Structure-Based Summary of Biotransformations Using Representative Substrates; Drug Metabolism Reviews, 40:1, 1-100, DOI:10.1080/03602530701836662; PMID:18259985"
445258,(R)-halothane,6422,trifluoroacetic acid,Oxidation of halotrifluoroethane / Human Phase I,Human,CYP2E1,BIOTID00008,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"Spracklin, D.K. et al (1996); Human reductive halothane metabolism in vitro is catalyzed by cytochrome P450 2A6 and 3A4; Drug Metab Dispos. 1996 Sep;24(9):976-83.|Rendic,S. (2002) Summary of information on human CYP enzymes: human P450 metabolism data, Drug Metabolism Reviews, 34:1-2, 83-448, DOI:10.1081/ DMR-120001392; PMID:11996015|Brown, C.M. et al. (2008); Cytochromes P450: A Structure-Based Summary of Biotransformations Using Representative Substrates; Drug Metabolism Reviews, 40:1, 1-100, DOI:10.1080/03602530701836662; PMID:18259985"
5564,Triclosan,67606152,Triclosan sulfate,Aromatic-OH glucuronidation / Human Phase II,Human,SULT,BIOTID01831,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"Phase II Metabolism in Human Skin: Skin Explants Show Full Coverage for Glucuronidation, Sulfation, N-Acetylation, Catechol Methylation, and Glutathione Conjugation"
6278,Trichloroethane,8259,Trichloroethanol,Aliphatic Hydroxylation / Human Phase I,Human,CYP2E1,BIOTID01266,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,PMID:1664256
638015,retinal,444795,Tretinoin,Aldehyde oxidation / Human Phase I,Human,CYP1A2; CYP1A2; CYP1B1,BIOTID00858,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"Wang, B. and Zhou, S.F. (2009); Synthetic and Natural Compounds that Interact with Human Cytochrome P450 1A2 and Implications in Drug Development; Current Medicinal Chemistry; Vol. 16, No. 31; PMID:19754423"
638015,retinal,444795,Tretinoin,Aliphatic Hydroxylation / Human Phase I,Human,CYP1A2; CYP2C8;CYP2C9;CYP2C19;CYP2D6;CYP3A4,BIOTID00859,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,PMID:10681373;PMID:10681376
5533,trazodone,131770015,Trazodone epoxide,"Epoxidation of 1,2-disubstituted alkene / Human Phase I",Human,CYP3A4,BIOTID01045,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"Wang and Zhou; Synthetic and Natural Compounds that Interact with Human Cytochrome P450 1A2 and Implications in Drug Development; Current Medicinal Chemistry, 2009 Vol. 16, No. 31; PMID:19754426"
853433,trans-isoeugenol,124202102,trans-Isoeugenol-O-glucuronide,O-glucuronidation / Human Phase II,Human,UGT,BIOTID01806,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,http://www.hmdb.ca/metabolites/HMDB0060021
21694,1-nitropyrene,107705,"trans-4,5- Dihydrodiol- 1-nitropyrene","Epoxidation of 1,2-disubstituted alkene / Human Phase I",Human,CYP3A4,BIOTID00120,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,PMID:11525925
854019,cotinine,10219774,trans-3'-hydroxycotinine,Hydroxylation of heteroalicyclic secondary carbon / Human Phase I,Human,CYP2A6,BIOTID00439,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"Oscarson, M; (2001); Genetic Polymorphisms in the Cytochrome P450 2A6 (CYP2A6) Gene: Implications for Interindividual Differences in Nicotine Metabolism; Drug Metabolism and Disposition;  February 2001, 29 (2) 91-95; DMD 29:91-95, 200"
5509,Tolmetin,155656,Tolmetin glucuronide,O-glucuronidation of aliphatic acid / Human Phase II,Human,UGT,BIOTID01795,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,http://www.hmdb.ca/metabolites/HMDB0042044
38409,ticrynafen,154699897,Tienilic acid-s-oxide,Thiophene S-oxidation / Human Phase I,Human,CYP2C8; CYP2C9 (major),BIOTID01021,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"Zhou, S.F. et al. (2009); Substrates, Inducers, Inhibitors and Structure-Activity Relationships of Human Cytochrome P450 2C9 and Implications in Drug Development; Current Medicinal Chemistry, 2009, 16, 3480-3675"
5472,ticlopidine,131750720,Ticlopidine S-oxide,Thiophene S-oxidation / Human Phase I,Human,CYP2C19; CYP2D6,BIOTID01020,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"Zhou, S.F. et al. (2009); Substrates, Inducers, Inhibitors and Structure-Activity Relationships of Human Cytochrome P450 2C9 and Implications in Drug Development; Current Medicinal Chemistry, 2009, 16, 3480-3675"
25201456,Thyroxine,152424,Thyroxine glucuronide,O-glucuronidation / Human Phase II,Human,UGT,BIOTID01948,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,http://www.hmdb.ca/metabolites/HMDB0010326
6989,Thymol,95779,Thymoquinol,p-Hydroxylation of phenol / Human Phase I,Human,CYP1A2; CYP2A6; CYP2D6,BIOTID01483,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"Jaeger, W. and Haeferl, M.; Metabolism of Terpenoids in Animal Models and Humans (Chapter 9) in Handbook of Essential Oils - Science, Technology, and Applications, Second Edition; Edited by K. Husnu Can Baser and Gerhard Buchbauer; CRC Press 2015; pp. 253-279."
