Gene.ID,Gene.symbol,logFC
64651,CSRNP1,-1.14
407018,MIR27A,-1.22
604,BCL6,-1.16
407010,MIR23A,-1.11
153020,RASGEF1B,-1.45
4121,MAN1A1,-2.03
22924,MAPRE3,-1.07
347,APOD,-1.09
91966,CXorf40A,-1.01
5743,PTGS2,-1.19
9314,KLF4,-2.14
384,ARG2,-1.39
57633,LRRN1,-1.94
23764,MAFF,-1.24
338699,ANKRD42,-1.16
5054,SERPINE1,-1.35
80243,PREX2,-1.95
323,APBB2,-1.05
100033413,SNORD116-1,-1.25
4092,SMAD7,-1.4
5593,PRKG2,-1.13
55859,BEX1,-1.28
23670,TMEM2,-1.19
11213,IRAK3,-1.05
1848,DUSP6,-1.12
4783,NFIL3,-1.14
1191,CLU,-1.03
677801,SNORA14A,-1.66
677837,SNORA60,-1.78
1378,CR1,-1.11
5747,PTK2,-1.26
2920,CXCL2,-1
8076,MFAP5,-1.04
3383,ICAM1,-1.24
8793,TNFRSF10D,-1.2
4758,NEU1,-1.04
10644,IGF2BP2,-1.59
94056,SYAP1,-1.31
7852,CXCR4,-1.02
26051,PPP1R16B,-1.11
203102,ADAM32,-1.21
407013,MIR24-2,-1.4
100033435,SNORD116-24,-1
22936,ELL2,-1.04
4291,MLF1,-1.29
2681,GGTA1P,-1.27
1948,EFNB2,-1.08
677771,SCARNA4,-1.47
29951,PDZRN4,-1.2
4929,NR4A2,-1.32
1007,CDH9,-1.78
101954267,RNVU1-15,-1.21
1026,CDKN1A,-1.07
374,AREG,-2.39
26052,DNM3,-1.04
8825,LIN7A,-1.16
677802,SNORA14B,-1.01
7718,ZNF165,-1.38
55422,ZNF331,-1.14
8013,NR4A3,-1.44
6696,SPP1,-1.11
767578,SNORD114-2,-1.11
767579,SNORD114-3,-1.13
