id,logFC,type,logic,pathway
MRO,-4.2408,mRNA,,
NDUFB5,-0.131519,mRNA,,
KIF21A,-0.155501,mRNA,,
SBNO1,-0.757211,mRNA,,
ACVR2A,0.00467504,mRNA,,
GPR27,0.277782,mRNA,,
TCF3,0.149205,mRNA,,
BCL2,-1.84588,mRNA,,
KANK1,-0.146906,mRNA,,
FGF2,0.712201,mRNA,,path:hsa04010
ZNF275,-0.329446,mRNA,,
TMEM135,-0.478136,mRNA,,
GOSR1,-0.185427,mRNA,,
GNB1,0.16672,mRNA,,
PLEKHA1,-0.510106,mRNA,,
AVL9,-0.266915,mRNA,,
HNRNPA2B1,-0.205353,mRNA,,
MTHFR,0.419876,mRNA,,
CHEK1,0.243649,mRNA,,
TBL1XR1,-0.145144,mRNA,,
RASEF,-0.841398,mRNA,,
TAB3,-0.326588,mRNA,,
CPNE1,0.266808,mRNA,,
LRRC57,0.0751429,mRNA,,
LSM11,-0.159387,mRNA,,
RAB3IP,-0.119455,mRNA,,
CBFA2T3,-0.35208,mRNA,,
DICER1,-0.769754,mRNA,,
SMURF1,0.131103,mRNA,,
RASSF5,0.548976,mRNA,,
GNAL,-1.57067,mRNA,,
BSG,0.380331,mRNA,,
UBE2V1,0.0149666,mRNA,,
CCDC80,-0.302732,mRNA,,
CYLD,-0.534478,mRNA,,
ZBTB34,-0.0401275,mRNA,,
SEC61A1,0.178305,mRNA,,
HEYL,0.378444,mRNA,,
TSC22D2,-0.691628,mRNA,,
CPEB3,-0.978149,mRNA,,
WIPI2,0.0483824,mRNA,,
SERBP1,-0.109249,mRNA,,
AKAP11,-0.265871,mRNA,,
CDC37L1,-0.155562,mRNA,,
STX17,-0.287543,mRNA,,
RFK,0.316133,mRNA,,
PDE4D,-0.878996,mRNA,,
BAG4,-0.196305,mRNA,,
BZW1,-0.0568027,mRNA,,
CCNE1,0.335076,mRNA,,
CCNT1,-0.986647,mRNA,,
CCNT2,-0.122915,mRNA,,
TPI1,0.0428666,mRNA,,
SHOC2,-0.269555,mRNA,,
DNAJC10,-0.269983,mRNA,,
ABCB7,0.0285856,mRNA,,
CDV3,-0.460335,mRNA,,
ETNK1,-0.230355,mRNA,,
C21orf62,-0.495075,mRNA,,
MIB1,-0.0209624,mRNA,,
TAOK1,-0.856784,mRNA,,path:hsa04010
RPRD1B,-0.510488,mRNA,,
HAUS3,-0.254557,mRNA,,
DCAF17,-0.972195,mRNA,,
GABARAPL1,-0.470857,mRNA,,
LUZP1,0.174281,mRNA,,
SMAD3,-0.162618,mRNA,,
TKTL1,-0.496051,mRNA,,
VEGFA,-0.610786,mRNA,,path:hsa04010
THRAP3,-0.087324,mRNA,,
CD180,0.171385,mRNA,,
ACTR2,-0.0236828,mRNA,,
ARIH1,-0.128138,mRNA,,
PURA,-0.360597,mRNA,,
MLLT6,-0.0162498,mRNA,,
PSKH1,-0.509574,mRNA,,
YWHAQ,-0.173826,mRNA,,
VPS4A,-0.157617,mRNA,,
RACGAP1,0.0451801,mRNA,,
VCL,0.227135,mRNA,,
SOCS5,-0.157252,mRNA,,
OCRL,-0.349218,mRNA,,
KPNA1,0.170897,mRNA,,
PAFAH1B2,-0.451969,mRNA,,
CCL4,-0.759316,mRNA,,
SNCG,0.688792,mRNA,,
CREG1,-0.376238,mRNA,,
ARHGDIA,0.201071,mRNA,,
MAP4K2,-0.265381,mRNA,,path:hsa04010
RAPH1,-0.606325,mRNA,,
MAFK,0.103718,mRNA,,
ENTPD6,0.0637025,mRNA,,
APP,-0.28577,mRNA,,
SH3BGRL2,0.0513059,mRNA,,
KATNAL1,-0.033525,mRNA,,
GNAT1,0.150711,mRNA,,
ZNF585B,-0.656865,mRNA,,
YTHDC1,-0.400138,mRNA,,
ZNF284,-0.235203,mRNA,,
TSPAN3,0.411049,mRNA,,
LIN54,-0.156043,mRNA,,
CCNL1,-0.508942,mRNA,,
FOXA2,-3.27968,mRNA,,
TFAM,-0.260676,mRNA,,
MET,2.287,mRNA,,path:hsa04010
MAPK9,-0.0238455,mRNA,,path:hsa04010
HGF,-1.41665,mRNA,,path:hsa04010
PAK4,0.0204067,mRNA,,
ZNF394,-0.0302786,mRNA,,
JAG1,0.219686,mRNA,,
CSGALNACT1,-2.26077,mRNA,,
EXTL3,0.0579028,mRNA,,
KIT,-3.29168,mRNA,,path:hsa04010
OXSR1,-0.239233,mRNA,,
HES1,0.35713,mRNA,,
POLA2,0.228019,mRNA,,
PDE11A,-2.57107,mRNA,,
ZNF846,-0.220249,mRNA,,
CHCHD4,0.0123095,mRNA,,
DDI2,-0.682184,mRNA,,
ZNF584,0.130655,mRNA,,
SLC26A2,0.231494,mRNA,,
PODXL,0.284576,mRNA,,
ADAT2,-0.637682,mRNA,,
ANKFY1,0.447459,mRNA,,
CHCHD3,-0.0219723,mRNA,,
CD44,1.18645,mRNA,,
MTA3,-0.110414,mRNA,,
TLK2,-0.208602,mRNA,,
HOXA10,0.549466,mRNA,,
ZBTB20,-0.975649,mRNA,,
CTSC,1.73915,mRNA,,
CLNK,-0.0610276,mRNA,,
NR3C1,-0.533173,mRNA,,
ENAH,0.538445,mRNA,,
LRRC55,0.111397,mRNA,,
CDH11,0.623082,mRNA,,
TCF4,-0.480974,mRNA,,
SRGAP1,-0.105088,mRNA,,
POU2F1,0.0527575,mRNA,,
TRPM3,-2.89314,mRNA,,
SYT6,0.330778,mRNA,,
ATP2B1,-0.424423,mRNA,,
CAMK2G,-0.221165,mRNA,,
PRKAR1A,0.172575,mRNA,,
RUNX2,1.83252,mRNA,,
NTRK2,-0.579938,mRNA,,path:hsa04010
WNK3,-1.20319,mRNA,,
CDH8,0.96619,mRNA,,
POU2F2,-0.400839,mRNA,,
AGAP1,0.19012,mRNA,,
IKZF2,0.769816,mRNA,,
ZNF385D,-0.646403,mRNA,,
ZNF362,0.196429,mRNA,,
PHF13,0.509872,mRNA,,
ALDH1A2,-2.02004,mRNA,,
ST3GAL1,-0.192752,mRNA,,
B4GALNT3,1.31619,mRNA,,
OPN5,0.482101,mRNA,,
ZSCAN22,-0.124949,mRNA,,
BCL9L,0.0382854,mRNA,,
GALNT10,-0.842315,mRNA,,
SFT2D2,-0.162871,mRNA,,
CREB1,-0.225102,mRNA,,
MBNL1,-0.134469,mRNA,,
SEMA4G,0.206579,mRNA,,
PTPRT,-0.651898,mRNA,,
CCR5,-0.307014,mRNA,,
MAPRE2,-0.820698,mRNA,,
SERP1,-0.294284,mRNA,,
USP47,-0.193297,mRNA,,
ZWILCH,0.082853,mRNA,,
PRLR,-0.147816,mRNA,,
ZNF48,0.302794,mRNA,,
AKAP1,-0.386706,mRNA,,
SPIB,-1.04022,mRNA,,
CDX2,-0.114291,mRNA,,
IL11,0.746771,mRNA,,
AKAP13,0.0630915,mRNA,,
DPF3,0.0340874,mRNA,,
ETF1,-0.197354,mRNA,,
AP1S1,0.69945,mRNA,,
GTDC1,-0.0898471,mRNA,,
FARP1,0.344207,mRNA,,
SYNJ2BP,-0.509453,mRNA,,
VN1R1,-0.238477,mRNA,,
BCL7A,0.356086,mRNA,,
BACH2,-0.182436,mRNA,,
MCL1,-0.32434,mRNA,,
LRRC4,1.31303,mRNA,,
WWC2,-0.248997,mRNA,,
SOST,-0.719833,mRNA,,
BDNF,0.0979117,mRNA,,path:hsa04010
USP14,-0.0537714,mRNA,,
MDFI,2.20957,mRNA,,
IPO7,0.0993138,mRNA,,
TXNIP,-0.446299,mRNA,,
ERF,0.0659652,mRNA,,
WDR3,-0.23228,mRNA,,
SERINC3,-0.0256155,mRNA,,
TPPP,-2.52717,mRNA,,
PADI2,0.619941,mRNA,,
ANGPTL2,0.484917,mRNA,,
G3BP2,-0.164374,mRNA,,
ASGR1,-1.27801,mRNA,,
GLP1R,0.4685,mRNA,,
SOX4,1.475,mRNA,,
SP1,-0.0450747,mRNA,,
SPARC,0.889242,mRNA,,
HMGA2,5.83426,mRNA,,
STC2,0.529931,mRNA,,
SGPL1,0.302913,mRNA,,
EFNB2,0.673255,mRNA,,
BMPR1A,-0.736185,mRNA,,
CDH1,-0.209127,mRNA,,
CPT1B,0.62274,mRNA,,
ATF6B,0.0612335,mRNA,,
EFNB1,0.686078,mRNA,,
MUC4,0.885534,mRNA,,
SYNGR1,-1.07067,mRNA,,
CHCHD5,0.117643,mRNA,,
SORCS2,0.381166,mRNA,,
TGFBR1,1.41878,mRNA,,path:hsa04010
SLC39A11,-0.491054,mRNA,,
PLAG1,1.77594,mRNA,,
ELOVL6,0.860822,mRNA,,
CACNG8,0.0348528,mRNA,,path:hsa04010
RAB11FIP4,0.313298,mRNA,,
CDC42,0.0454554,mRNA,,path:hsa04010
MYO18A,-0.339609,mRNA,,
IGFBP2,1.24642,mRNA,,
CYBB,0.508233,mRNA,,
IGFBP5,0.181195,mRNA,,
PPP3R1,0.0243301,mRNA,,path:hsa04010
PLCXD3,-1.28241,mRNA,,
SAMD5,-2.08512,mRNA,,
SMOC1,-1.4201,mRNA,,
WDR89,-0.119986,mRNA,,
ZNF264,-0.120856,mRNA,,
ACBD5,-0.372707,mRNA,,
GPRIN3,-0.550299,mRNA,,
FMNL3,-0.054878,mRNA,,
TRAPPC2,0.183503,mRNA,,
DCAF8,-0.0364313,mRNA,,
SH3GLB1,0.0804068,mRNA,,
GNPTAB,0.292944,mRNA,,
F2RL3,0.355607,mRNA,,
VPS53,0.0285425,mRNA,,
ITGB1,0.399105,mRNA,,
NHLRC3,-0.401846,mRNA,,
SEC16A,-0.00159994,mRNA,,
QSOX1,1.28678,mRNA,,
CNKSR3,-0.692438,mRNA,,
POFUT1,-0.43501,mRNA,,
F2RL1,0.170627,mRNA,,
SERF1A,-0.101309,mRNA,,
IQSEC1,-0.148922,mRNA,,
RABGAP1L,-0.683156,mRNA,,
WDR53,-0.128779,mRNA,,
USP28,0.0182508,mRNA,,
CAMTA1,0.190762,mRNA,,
SAMD12,0.239907,mRNA,,
KLRD1,-0.722374,mRNA,,
KIF6,-1.67824,mRNA,,
PSD3,1.80611,mRNA,,
REST,-0.399399,mRNA,,
MFSD8,-0.224817,mRNA,,
SLC12A6,-0.506494,mRNA,,
RGMB,0.061881,mRNA,,
SOCS7,-0.974509,mRNA,,
OCIAD1,-0.239476,mRNA,,
AGFG2,0.0467424,mRNA,,
TMEM67,-0.604994,mRNA,,
INPP5F,0.42457,mRNA,,
WAC,-0.395874,mRNA,,
WEE1,-0.265821,mRNA,,
PAFAH1B1,-0.313733,mRNA,,
GRK7,-0.206517,mRNA,,
NR2C2,-0.267505,mRNA,,
GAB1,-0.179725,mRNA,,
DUSP18,-0.38147,mRNA,,
ABHD2,-0.39428,mRNA,,
N4BP1,-0.102893,mRNA,,
MTMR3,-0.208377,mRNA,,
ZDHHC20,-0.0142851,mRNA,,
PGM2L1,0.61168,mRNA,,
NCOA3,-0.16472,mRNA,,
UBXN2A,-0.0654842,mRNA,,
PRNP,0.19242,mRNA,,
BTN3A1,0.0855985,mRNA,,
ABHD15,-0.151991,mRNA,,
STAC2,0.866831,mRNA,,
POLQ,0.629307,mRNA,,
DSTYK,-0.0215455,mRNA,,
ZBTB37,-0.916083,mRNA,,
A1CF,-0.0205377,mRNA,,
FHDC1,-1.64205,mRNA,,
AAK1,-1.11739,mRNA,,
MAP3K2,-0.468584,mRNA,,path:hsa04010
RBM12B,-0.557172,mRNA,,
HIP1,0.936419,mRNA,,
CAPRIN2,-0.484828,mRNA,,
ELAVL2,-0.0661757,mRNA,,
DPYSL2,0.0834157,mRNA,,
SLC7A11,-0.100189,mRNA,,
RNF115,0.0346098,mRNA,,
SLK,-0.385101,mRNA,,
PLEKHM1,0.221249,mRNA,,
MLXIP,-0.66439,mRNA,,
FBXO21,0.127299,mRNA,,
TNRC6B,-0.498296,mRNA,,
WSB1,0.324236,mRNA,,
IRAK4,-0.134117,mRNA,,path:hsa04010
GNB5,0.122252,mRNA,,
TLR7,0.351202,mRNA,,
ERGIC2,0.18483,mRNA,,
WDR1,0.130441,mRNA,,
HIF1AN,-0.119762,mRNA,,
FKBP14,-0.205684,mRNA,,
RAB42,-0.354199,mRNA,,
LDLR,0.685661,mRNA,,
BTN3A2,0.12458,mRNA,,
C18orf32,-0.0160366,mRNA,,
DCTN5,-0.208948,mRNA,,
DNAL1,-0.75891,mRNA,,
BCL2L11,-1.09383,mRNA,,
CFL2,-0.563752,mRNA,,
BTF3L4,-0.0181867,mRNA,,
RAB5B,0.0151979,mRNA,,
SLC4A7,0.0160892,mRNA,,
CDK6,-0.572706,mRNA,,
TTPAL,-0.218683,mRNA,,
GTF2H3,-0.353414,mRNA,,
ISCA2,0.497382,mRNA,,
YOD1,-0.238237,mRNA,,
MIXL1,-0.0493656,mRNA,,
PTGES3,-0.0522566,mRNA,,
FBXO31,0.410841,mRNA,,
MFSD2A,0.443937,mRNA,,
ICA1L,0.298634,mRNA,,
ENPP5,-0.160688,mRNA,,
CYCS,-0.663578,mRNA,,
UBFD1,0.431882,mRNA,,
ENTPD7,-0.397937,mRNA,,
NRIP3,0.0568841,mRNA,,
ZNFX1,0.0331967,mRNA,,
GATAD1,-0.216472,mRNA,,
SLC30A1,-0.336207,mRNA,,
C17orf75,-0.13975,mRNA,,
ABCG8,-0.01883,mRNA,,
PANK3,-0.522543,mRNA,,
GPR157,-0.535276,mRNA,,
SLC35F5,-0.302202,mRNA,,
KLHL15,-0.46963,mRNA,,
DDHD1,-0.00859572,mRNA,,
TRIM8,0.316693,mRNA,,
SLCO5A1,-0.351465,mRNA,,
ZNF805,0.138602,mRNA,,
SLC1A5,1.60479,mRNA,,
TRAF3IP2,0.0348885,mRNA,,
ZBED1,-0.0431743,mRNA,,
ZNF347,-0.537267,mRNA,,
SAMD8,-0.224004,mRNA,,
ARL1,-0.0491197,mRNA,,
KCNK6,0.924824,mRNA,,
SPTLC2,0.107152,mRNA,,
VPS26A,0.0228997,mRNA,,
FEZ2,0.0773057,mRNA,,
HMGB3,0.243622,mRNA,,
CHAF1A,0.373599,mRNA,,
MTF1,-0.598036,mRNA,,
MXI1,-0.443559,mRNA,,
LASP1,0.751134,mRNA,,
PVR,-0.122343,mRNA,,
NFAT5,-0.197965,mRNA,,
ZBTB6,-0.294332,mRNA,,
NUDT3,0.416111,mRNA,,
GLO1,-0.09589,mRNA,,
ZBTB25,-0.501166,mRNA,,
BRCA1,-0.231982,mRNA,,
CBX5,-0.199312,mRNA,,
SF3B3,0.128105,mRNA,,
WDR37,-0.478086,mRNA,,
OSTM1,0.0723525,mRNA,,
SPCS1,0.035054,mRNA,,
E2F5,-0.237721,mRNA,,
HMGB1,0.0796319,mRNA,,
ITGA2,2.42653,mRNA,,
JAK1,0.177621,mRNA,,
MSH3,-0.219898,mRNA,,
PPP1R12B,-0.832713,mRNA,,
PPP6C,-0.310168,mRNA,,
RNASEH1,-0.248566,mRNA,,
CCL5,-0.658683,mRNA,,
E2F2,0.594424,mRNA,,
EIF2S1,-0.136934,mRNA,,
KCNMB1,0.792592,mRNA,,
BNIP2,-0.15787,mRNA,,
DUSP2,-0.562012,mRNA,,path:hsa04010
PKNOX1,-0.697426,mRNA,,
WIPF2,-0.167564,mRNA,,
ANKRD13C,-0.238567,mRNA,,
MAPRE3,-0.108909,mRNA,,
MFN1,-0.126678,mRNA,,
KCND3,-1.48843,mRNA,,
ESR1,0.0606573,mRNA,,
ORAI2,0.607662,mRNA,,
YIPF4,-0.0552906,mRNA,,
GINS4,-0.0519205,mRNA,,
PURB,-0.0477086,mRNA,,
ZNF280B,-0.571603,mRNA,,
C15orf40,-0.228327,mRNA,,
CXorf38,-0.514622,mRNA,,
VTI1A,-0.21531,mRNA,,
ANKS4B,0.0166127,mRNA,,
RRN3,-0.0559409,mRNA,,
ZYG11A,-1.05227,mRNA,,
NME6,0.135137,mRNA,,
RUNX3,-0.648091,mRNA,,
RPS6KA5,-2.03313,mRNA,,path:hsa04010
ALDH9A1,-0.564461,mRNA,,
REEP3,0.267565,mRNA,,
AKTIP,-0.0474762,mRNA,,
FBXO48,-0.76155,mRNA,,
COX19,-0.178844,mRNA,,
GPR155,-1.29555,mRNA,,
MUC17,0.0678834,mRNA,,
CRCP,-0.0337738,mRNA,,
MGAT4A,-0.0193007,mRNA,,
ZNF292,-0.483836,mRNA,,
PBX1,-0.228443,mRNA,,
DDAH1,0.588375,mRNA,,
LMBR1,0.150076,mRNA,,
NT5C2,-0.336053,mRNA,,
PHF20L1,-0.689023,mRNA,,
RSF1,-0.267155,mRNA,,
SOX5,-2.20017,mRNA,,
LONRF2,1.69213,mRNA,,
RALGPS2,-0.478903,mRNA,,
HOXA9,-0.568821,mRNA,,
FAM126B,-0.686997,mRNA,,
ANKRD46,-0.824439,mRNA,,
CKAP5,0.135741,mRNA,,
LPGAT1,-0.713014,mRNA,,
ERP44,-0.0751225,mRNA,,
DDHD2,-0.313244,mRNA,,
SATB1,-0.0144638,mRNA,,
PPP1R3B,0.590485,mRNA,,
MDM4,-0.286898,mRNA,,
DNM1L,-0.196577,mRNA,,
NUFIP2,-0.152744,mRNA,,
NFIA,-0.68231,mRNA,,
FMR1,0.120248,mRNA,,
ZNF217,0.616597,mRNA,,
EXOC5,-0.210502,mRNA,,
ATF2,-0.813082,mRNA,,path:hsa04010
THBS1,0.79056,mRNA,,
EIF4EBP2,-0.0657908,mRNA,,
B3GNT5,-0.306102,mRNA,,
SOCS4,-0.294138,mRNA,,
PLAT,0.374876,mRNA,,
OXTR,1.21523,mRNA,,
ATP2B4,0.0876605,mRNA,,
ZNF207,0.124762,mRNA,,
RLIM,-0.126419,mRNA,,
HIGD1A,-0.165414,mRNA,,
AP2B1,0.0577803,mRNA,,
RASSF4,-0.176385,mRNA,,
AP3M1,-0.217501,mRNA,,
ABLIM3,-0.903794,mRNA,,
GDPD5,-0.18511,mRNA,,
FGFR1,-0.338525,mRNA,,path:hsa04010
BCL2L13,-0.00331037,mRNA,,
KIF1B,0.0056196,mRNA,,
ZNRF1,0.188848,mRNA,,
CTNNB1,0.554633,mRNA,,
MAPK8,-0.471185,mRNA,,path:hsa04010
UBE2I,0.534511,mRNA,,
GMEB2,-0.279159,mRNA,,
SH3BP4,-0.45432,mRNA,,
PSMD10,-0.0293779,mRNA,,
SCN4B,-0.999873,mRNA,,
ERC1,-0.274966,mRNA,,
CNNM2,-0.397631,mRNA,,
MEF2C,-0.466186,mRNA,,path:hsa04010
GSR,-0.0239958,mRNA,,
CLEC2D,0.0960209,mRNA,,
CALU,0.13137,mRNA,,
CPD,0.57516,mRNA,,
NFIC,-0.599056,mRNA,,
TBPL1,-0.45681,mRNA,,
TRPS1,-0.534656,mRNA,,
PHLPP2,-0.835542,mRNA,,
RASA1,0.735038,mRNA,,path:hsa04010
ZBTB8B,0.983621,mRNA,,
PPARGC1B,-0.122838,mRNA,,
ZBTB33,0.536389,mRNA,,
SUGT1,-0.0631999,mRNA,,
WASF2,-0.107911,mRNA,,
AHSA1,0.0417655,mRNA,,
CD274,-0.0998643,mRNA,,
NRAS,-0.156599,mRNA,,path:hsa04010
PLXNB1,0.484508,mRNA,,
FLOT2,0.443864,mRNA,,
POU4F2,0.0372693,mRNA,,
ASH1L,-0.533136,mRNA,,
SRD5A3,-0.101397,mRNA,,
ALPK2,-0.35783,mRNA,,
BAX,1.06989,mRNA,,
MAPK14,0.133947,mRNA,,path:hsa04010
PGAM4,-0.315556,mRNA,,
LRTM2,-0.947964,mRNA,,
SSX2IP,-0.121779,mRNA,,
ERBB4,-1.78306,mRNA,,path:hsa04010
POU3F2,-0.0394024,mRNA,,
AMMECR1L,-0.263071,mRNA,,
TIAM1,2.9109,mRNA,,
MAPK10,-0.480979,mRNA,,path:hsa04010
ZNF652,-0.481095,mRNA,,
IQCE,-0.407682,mRNA,,
PTPRF,0.658639,mRNA,,
DYRK3,-0.945602,mRNA,,
STAMBP,-0.0527485,mRNA,,
SLC19A3,-0.503791,mRNA,,
CABYR,0.705338,mRNA,,
CAMKK1,0.490782,mRNA,,
UBN2,-0.561671,mRNA,,
MIDN,0.12273,mRNA,,
AKT3,-0.0729472,mRNA,,path:hsa04010
PRDM16,-1.45901,mRNA,,
LIMS1,-0.713264,mRNA,,
BRD1,-0.310628,mRNA,,
EEF1A1,0.237929,mRNA,,
DKK2,0.208635,mRNA,,
POGZ,-0.188867,mRNA,,
ANKRD28,-0.184955,mRNA,,
PHF21A,-0.0728914,mRNA,,
NDUFS1,-0.260792,mRNA,,
CROT,-0.372906,mRNA,,
C19orf12,-0.00083736,mRNA,,
GPR107,-0.296581,mRNA,,
TNKS2,-0.253834,mRNA,,
NDFIP1,-0.207723,mRNA,,
SIRT1,-0.383186,mRNA,,
SLC30A7,0.0821664,mRNA,,
STMN1,0.759864,mRNA,,path:hsa04010
VANGL1,-1.09544,mRNA,,
PEG10,0.102063,mRNA,,
TNFSF10,-0.385933,mRNA,,
ARID1A,-0.264412,mRNA,,
ZNF236,-0.402148,mRNA,,
KPNA6,0.152607,mRNA,,
RHOA,0.06119,mRNA,,
HNRNPD,-0.122403,mRNA,,
ABLIM1,-0.778041,mRNA,,
DENR,0.0384986,mRNA,,
SNX4,-0.79675,mRNA,,
DDX6,-0.309548,mRNA,,
TCEAL1,-0.29535,mRNA,,
LRP6,-0.612487,mRNA,,
SLC10A7,-0.62694,mRNA,,
PCDHA3,0.609761,mRNA,,
PCDHAC1,0.836249,mRNA,,
BMF,0.47988,mRNA,,
BRWD1,-0.266599,mRNA,,
RBM33,-0.242518,mRNA,,
TMEM183A,-0.0233009,mRNA,,
SELE,-0.995698,mRNA,,
HNRNPA1,0.137227,mRNA,,
SDC4,2.19662,mRNA,,
TMEM101,0.112576,mRNA,,
CKAP2L,0.513895,mRNA,,
VKORC1L1,0.0899091,mRNA,,
MYLK3,-0.379076,mRNA,,
RCOR1,-0.0775525,mRNA,,
RRP15,-0.259554,mRNA,,
MRPS16,0.0853886,mRNA,,
RPL15,0.145995,mRNA,,
SLC39A10,0.824784,mRNA,,
DSC3,2.78244,mRNA,,
CARD8,-0.256694,mRNA,,
ABL1,-0.19548,mRNA,,
PABPC1,0.36174,mRNA,,
CYP1A2,-1.02813,mRNA,,
RPL27A,0.0869173,mRNA,,
ZNF749,-0.396368,mRNA,,
TRAT1,-1.02275,mRNA,,
LGALS3BP,0.321272,mRNA,,
GNAI3,-0.0299785,mRNA,,
TOP3A,-0.0543502,mRNA,,
ZNF131,-0.339544,mRNA,,
TRMT5,-0.347155,mRNA,,
ABCG2,0.439127,mRNA,,
TMCC1,0.208784,mRNA,,
GRB10,0.788612,mRNA,,
SPTBN2,3.51248,mRNA,,
SMAD5,-0.272806,mRNA,,
PPP2R2A,0.0177122,mRNA,,
SMARCA4,0.606839,mRNA,,
MGAT4B,1.06571,mRNA,,
OSBPL10,0.85798,mRNA,,
UBR7,-0.169269,mRNA,,
ZNF714,0.227418,mRNA,,
EIF3I,0.36452,mRNA,,
ZFYVE16,-0.265093,mRNA,,
LUC7L2,-0.32138,mRNA,,
TRIM44,-0.648486,mRNA,,
PGPEP1,0.679992,mRNA,,
WDR6,0.185313,mRNA,,
NLE1,0.108547,mRNA,,
DDX21,-0.378374,mRNA,,
MDM2,0.557349,mRNA,,
