id,type,logic,pathway,logFC
RAPGEF2,gene,,path:hsa04010,-0.508442
RASA2,gene,,path:hsa04010,-0.556066
RRAS2,gene,,path:hsa04010,-0.391859
MRAS,gene,,path:hsa04010,-0.0454231
HRAS,gene,,path:hsa04010,0.531869
KRAS,gene,,path:hsa04010,-0.113046
NRAS,gene,,path:hsa04010,-0.156599
RRAS,gene,,path:hsa04010,0.96998
RASGRP1,gene,,path:hsa04010,-0.127859
RASGRP2,gene,,path:hsa04010,-0.592291
RASGRP4,gene,,path:hsa04010,0.492533
RASGRP3,gene,,path:hsa04010,-0.0383387
SOS1,gene,,path:hsa04010,-0.450636
SOS2,gene,,path:hsa04010,-0.314144
GNA12,gene,,path:hsa04010,-0.0890615
GNG12,gene,,path:hsa04010,-0.0881562
GRB2,gene,,path:hsa04010,0.0841667
CSF1R,gene,,path:hsa04010,0.70339
EGFR,gene,,path:hsa04010,0.0236313
EPHA2,gene,,path:hsa04010,1.00243
ERBB2,gene,,path:hsa04010,0.589685
ERBB3,gene,,path:hsa04010,1.28531
ERBB4,gene,,path:hsa04010,-1.78306
FGFR1,gene,,path:hsa04010,-0.338525
FGFR3,gene,,path:hsa04010,0.908761
FGFR2,gene,,path:hsa04010,-1.32147
FGFR4,gene,,path:hsa04010,-0.786209
FLT1,gene,,path:hsa04010,0.188106
FLT3,gene,,path:hsa04010,-0.71821
FLT4,gene,,path:hsa04010,-0.447092
IGF1R,gene,,path:hsa04010,-0.00738523
INSR,gene,,path:hsa04010,1.01721
KDR,gene,,path:hsa04010,-0.0177677
KIT,gene,,path:hsa04010,-3.29168
MET,gene,,path:hsa04010,2.287
NGFR,gene,,path:hsa04010,1.01727
NTRK1,gene,,path:hsa04010,0.185892
NTRK2,gene,,path:hsa04010,-0.579938
PDGFRA,gene,,path:hsa04010,-2.09843
PDGFRB,gene,,path:hsa04010,0.282091
RET,gene,,path:hsa04010,-0.0855128
TEK,gene,,path:hsa04010,-0.132501
CACNG3,gene,,path:hsa04010,-0.0176603
CACNG2,gene,,path:hsa04010,-0.0906269
CACNG5,gene,,path:hsa04010,-0.0917909
CACNG4,gene,,path:hsa04010,3.27838
CACNA2D3,gene,,path:hsa04010,-1.45905
CACNG8,gene,,path:hsa04010,0.0348528
CACNG7,gene,,path:hsa04010,-0.0198379
CACNG6,gene,,path:hsa04010,0.0323895
CACNA1A,gene,,path:hsa04010,-0.0324239
CACNA1B,gene,,path:hsa04010,-1.89609
CACNA1C,gene,,path:hsa04010,0.820805
CACNA1D,gene,,path:hsa04010,-1.26307
CACNA1E,gene,,path:hsa04010,-0.354463
CACNA1F,gene,,path:hsa04010,-0.191297
CACNA1S,gene,,path:hsa04010,-0.0845072
CACNA2D1,gene,,path:hsa04010,-1.65271
CACNB1,gene,,path:hsa04010,1.31261
CACNB2,gene,,path:hsa04010,-0.029286
CACNB3,gene,,path:hsa04010,0.572901
CACNB4,gene,,path:hsa04010,-1.29079
CACNG1,gene,,path:hsa04010,0.132954
CACNA1I,gene,,path:hsa04010,-1.12258
CACNA1H,gene,,path:hsa04010,-1.15556
CACNA1G,gene,,path:hsa04010,-0.503088
CACNA2D2,gene,,path:hsa04010,0.00925111
CACNA2D4,gene,,path:hsa04010,-0.651172
NR4A1,gene,,path:hsa04010,-1.77694
MAPK7,gene,,path:hsa04010,0.247969
MAP2K5,gene,,path:hsa04010,-0.18463
NLK,gene,,path:hsa04010,-0.219755
CDC25B,gene,,path:hsa04010,0.531958
RPS6KA4,gene,,path:hsa04010,0.530737
RPS6KA5,gene,,path:hsa04010,-2.03313
MAPKAPK3,gene,,path:hsa04010,0.766329
MAPKAPK2,gene,,path:hsa04010,0.276761
ATF4,gene,,path:hsa04010,-0.304745
MEF2C,gene,,path:hsa04010,-0.466186
MAX,gene,,path:hsa04010,0.163815
DDIT3,gene,,path:hsa04010,0.0352708
ELK4,gene,,path:hsa04010,-0.581819
TP53,gene,,path:hsa04010,0.385569
ELK1,gene,,path:hsa04010,0.472703
ATF2,gene,,path:hsa04010,-0.813082
MAPK14,gene,,path:hsa04010,0.133947
MAPK11,gene,,path:hsa04010,0.515832
MAPK13,gene,,path:hsa04010,0.868533
MAPK12,gene,,path:hsa04010,0.755565
PPP5C,gene,,path:hsa04010,0.521548
MAP2K6,gene,,path:hsa04010,-0.940688
MAP2K3,gene,,path:hsa04010,0.266134
PPM1A,gene,,path:hsa04010,-0.197792
AKT3,gene,,path:hsa04010,-0.0729472
AKT1,gene,,path:hsa04010,0.292482
AKT2,gene,,path:hsa04010,-0.367895
TAOK3,gene,,path:hsa04010,-0.232057
TAOK1,gene,,path:hsa04010,-0.856784
TAOK2,gene,,path:hsa04010,0.230473
MAP3K4,gene,,path:hsa04010,-0.520806
HSPB1,gene,,path:hsa04010,0.229732
MAP3K7,gene,,path:hsa04010,-0.148902
MAP3K5,gene,,path:hsa04010,0.557399
MAP3K6,gene,,path:hsa04010,1.39075
MAP3K20,gene,,path:hsa04010,
MAP3K12,gene,,path:hsa04010,0.382182
MAP3K13,gene,,path:hsa04010,-0.112696
MAP3K9,gene,,path:hsa04010,-0.566213
MAP3K10,gene,,path:hsa04010,-0.302835
MAP3K21,gene,,path:hsa04010,
MAP4K2,gene,,path:hsa04010,-0.265381
STK3,gene,,path:hsa04010,0.137627
STK4,gene,,path:hsa04010,-0.2025
ECSIT,gene,,path:hsa04010,-0.516125
TAB2,gene,,path:hsa04010,-0.169146
TAB1,gene,,path:hsa04010,-0.111506
GADD45G,gene,,path:hsa04010,-1.02643
GADD45A,gene,,path:hsa04010,-0.300954
GADD45B,gene,,path:hsa04010,-0.944914
TRAF6,gene,,path:hsa04010,-0.910971
DAXX,gene,,path:hsa04010,-0.0613811
TRAF2,gene,,path:hsa04010,-0.172496
CASP3,gene,,path:hsa04010,0.318576
CD14,gene,,path:hsa04010,0.605686
TGFBR1,gene,,path:hsa04010,1.41878
TGFBR2,gene,,path:hsa04010,-0.327293
FAS,gene,,path:hsa04010,0.935702
IL1R1,gene,,path:hsa04010,-0.311045
IL1RAP,gene,,path:hsa04010,2.08347
TNFRSF1A,gene,,path:hsa04010,0.770027
TGFB1,gene,,path:hsa04010,1.66259
TGFB2,gene,,path:hsa04010,0.861801
TGFB3,gene,,path:hsa04010,-0.173384
IL1A,gene,,path:hsa04010,-0.621843
IL1B,gene,,path:hsa04010,-0.226117
TNF,gene,,path:hsa04010,-0.884273
MAPKAPK5,gene,,path:hsa04010,0.0194002
RAC1,gene,,path:hsa04010,0.248718
RAC2,gene,,path:hsa04010,0.670751
RAC3,gene,,path:hsa04010,-1.02623
CDC42,gene,,path:hsa04010,0.0454554
PAK1,gene,,path:hsa04010,-0.131883
PAK2,gene,,path:hsa04010,0.215621
MAP3K2,gene,,path:hsa04010,-0.468584
MAP3K3,gene,,path:hsa04010,0.0199845
MAPK8IP2,gene,,path:hsa04010,-1.30439
MAPK8IP1,gene,,path:hsa04010,-0.778765
MAP3K11,gene,,path:hsa04010,0.592456
MAP2K7,gene,,path:hsa04010,0.272615
MAPK8,gene,,path:hsa04010,-0.471185
MAPK9,gene,,path:hsa04010,-0.0238455
MAPK10,gene,,path:hsa04010,-0.480979
MAP2K4,gene,,path:hsa04010,0.0298802
CRK,gene,,path:hsa04010,-0.224276
CRKL,gene,,path:hsa04010,-0.145116
ARRB1,gene,,path:hsa04010,0.140166
ARRB2,gene,,path:hsa04010,0.280482
MECOM,gene,,path:hsa04010,0.952231
HSPA1A,gene,,path:hsa04010,-0.750044
HSPA1B,gene,,path:hsa04010,-0.539757
HSPA1L,gene,,path:hsa04010,-0.625452
HSPA6,gene,,path:hsa04010,0.308362
HSPA8,gene,,path:hsa04010,-0.346272
JUND,gene,,path:hsa04010,-0.761136
FOS,gene,,path:hsa04010,-1.85505
JUN,gene,,path:hsa04010,-1.77314
NFATC3,gene,,path:hsa04010,-0.589972
NFATC1,gene,,path:hsa04010,-1.15636
PPP3CA,gene,,path:hsa04010,0.183504
PPP3CB,gene,,path:hsa04010,0.187404
PPP3CC,gene,,path:hsa04010,-0.133756
PPP3R1,gene,,path:hsa04010,0.0243301
PPP3R2,gene,,path:hsa04010,-0.173382
MAPK8IP3,gene,,path:hsa04010,0.162292
FLNA,gene,,path:hsa04010,0.786555
MAP3K1,gene,,path:hsa04010,0.746672
MAP3K8,gene,,path:hsa04010,-1.16864
MAP4K1,gene,,path:hsa04010,0.149178
MAP4K3,gene,,path:hsa04010,-0.402097
SRF,gene,,path:hsa04010,-1.14039
MYC,gene,,path:hsa04010,-0.680166
RPS6KA6,gene,,path:hsa04010,-2.27032
RPS6KA1,gene,,path:hsa04010,-0.0145563
RPS6KA2,gene,,path:hsa04010,0.579583
RPS6KA3,gene,,path:hsa04010,0.451063
MKNK2,gene,,path:hsa04010,0.0741991
MKNK1,gene,,path:hsa04010,0.210818
EFNA4-EFNA3,gene,,path:hsa04010,
CSF1,gene,,path:hsa04010,0.055175
EFNA1,gene,,path:hsa04010,-0.0835823
EFNA2,gene,,path:hsa04010,0.140312
EFNA3,gene,,path:hsa04010,1.01428
EFNA4,gene,,path:hsa04010,0.515339
EFNA5,gene,,path:hsa04010,-1.40675
EGF,gene,,path:hsa04010,-1.51079
EREG,gene,,path:hsa04010,2.1937
FGF1,gene,,path:hsa04010,1.4326
FGF2,gene,,path:hsa04010,0.712201
FGF3,gene,,path:hsa04010,0.0648398
FGF4,gene,,path:hsa04010,0.0445503
FGF5,gene,,path:hsa04010,0.0728579
FGF6,gene,,path:hsa04010,-0.0177677
FGF7,gene,,path:hsa04010,-1.62033
FGF8,gene,,path:hsa04010,0.0147234
FGF9,gene,,path:hsa04010,-0.258844
FGF10,gene,,path:hsa04010,-1.92348
VEGFD,gene,,path:hsa04010,
FLT3LG,gene,,path:hsa04010,-0.0542521
FGF20,gene,,path:hsa04010,0.89448
FGF21,gene,,path:hsa04010,-0.00271036
GDNF,gene,,path:hsa04010,0.211255
FGF22,gene,,path:hsa04010,-0.0118982
ANGPT1,gene,,path:hsa04010,-0.435111
ANGPT2,gene,,path:hsa04010,0.546182
HGF,gene,,path:hsa04010,-1.41665
IGF1,gene,,path:hsa04010,-1.55866
IGF2,gene,,path:hsa04010,-1.00932
INS,gene,,path:hsa04010,-0.0397988
AREG,gene,,path:hsa04010,1.02876
KITLG,gene,,path:hsa04010,-0.363473
NGF,gene,,path:hsa04010,0.135368
NRTN,gene,,path:hsa04010,0.788385
NTF3,gene,,path:hsa04010,-0.233913
NTF4,gene,,path:hsa04010,0.136894
ANGPT4,gene,,path:hsa04010,-1.19173
PDGFA,gene,,path:hsa04010,1.27297
PDGFB,gene,,path:hsa04010,0.850601
PGF,gene,,path:hsa04010,-1.38452
PDGFC,gene,,path:hsa04010,0.672015
PSPN,gene,,path:hsa04010,-0.269315
BDNF,gene,,path:hsa04010,0.0979117
TGFA,gene,,path:hsa04010,2.3034
VEGFA,gene,,path:hsa04010,-0.610786
VEGFB,gene,,path:hsa04010,-0.212938
VEGFC,gene,,path:hsa04010,-0.187872
PDGFD,gene,,path:hsa04010,-0.0104381
FGF23,gene,,path:hsa04010,-0.290166
FGF18,gene,,path:hsa04010,-0.0143111
FGF17,gene,,path:hsa04010,-0.836944
FGF16,gene,,path:hsa04010,-0.143424
ARTN,gene,,path:hsa04010,0.56589
FGF19,gene,,path:hsa04010,0.400257
TRADD,gene,,path:hsa04010,0.122426
MYD88,gene,,path:hsa04010,0.48038
IRAK1,gene,,path:hsa04010,-0.567205
IRAK4,gene,,path:hsa04010,-0.134117
ARAF,gene,,path:hsa04010,-0.110567
MIMAT0000430,miR,,,-1.74416
MIMAT0002809,miR,,,4.77846
MIMAT0000461,miR,,,-1.41384
MIMAT0000232,miR,,,-1.43493
MIMAT0004563,miR,,,-1.43438
MIMAT0000263,miR,,,-2.52597
MIMAT0000265,miR,,,-2.92486
MIMAT0001413,miR,,,-1.42071
MIMAT0000076,miR,,,1.4834
MIMAT0000271,miR,,,-1.42539
MIMAT0000278,miR,,,2.87209
MIMAT0000279,miR,,,2.66827
MIMAT0004501,miR,,,-1.40305
MIMAT0000089,miR,,,1.49095
MIMAT0000255,miR,,,1.91218
MIMAT0003322,miR,,,-1.42782
MIMAT0000252,miR,,,-2.56718
MIMAT0000441,miR,,,-2.30199
RASGRF_f,functional_unit,OR,path:hsa04010,
DUSPs_f,functional_unit,OR,path:hsa04010,
MAPKReg_f,functional_unit,OR,path:hsa04010,
PPM1B_f,functional_unit,SINGLE,path:hsa04010,
FASLG_f,functional_unit,SINGLE,path:hsa04010,
MAP4K4_f,functional_unit,SINGLE,path:hsa04010,
PLA2G4_f,functional_unit,OR,path:hsa04010,
STMN1_f,functional_unit,SINGLE,path:hsa04010,
MAPT_f,functional_unit,SINGLE,path:hsa04010,
NFKB_f,functional_unit,OR,path:hsa04010,
IKK_f,functional_unit,OR,path:hsa04010,
MAP3K14_f,functional_unit,SINGLE,path:hsa04010,
MAPK1_3_f,functional_unit,OR,path:hsa04010,
LAMTOR3_f,functional_unit,SINGLE,path:hsa04010,
MAP2K2_f,functional_unit,SINGLE,path:hsa04010,
MAP2K1_f,functional_unit,SINGLE,path:hsa04010,
RAF1_f,functional_unit,SINGLE,path:hsa04010,
BRAF_f,functional_unit,SINGLE,path:hsa04010,
RASA1_f,functional_unit,SINGLE,path:hsa04010,
NF1_f,functional_unit,SINGLE,path:hsa04010,
PKC_f,functional_unit,OR,path:hsa04010,
RAP1_f,functional_unit,OR,path:hsa04010,
PKA_f,functional_unit,OR,path:hsa04010,
RAPGEF2_f,functional_unit,SINGLE,path:hsa04010,
RASA2_f,functional_unit,SINGLE,path:hsa04010,
RAS_f,functional_unit,OR,path:hsa04010,
RASGRP_f,functional_unit,OR,path:hsa04010,
SOS_f,functional_unit,OR,path:hsa04010,
GNA_f,functional_unit,OR,path:hsa04010,
GRB2_f,functional_unit,SINGLE,path:hsa04010,
RTK_f,functional_unit,OR,path:hsa04010,
CACNA_f,functional_unit,OR,path:hsa04010,
NR4A1_f,functional_unit,SINGLE,path:hsa04010,
MAPK7_f,functional_unit,SINGLE,path:hsa04010,
MAP2K5_f,functional_unit,SINGLE,path:hsa04010,
NLK_f,functional_unit,SINGLE,path:hsa04010,
CDC25B_f,functional_unit,SINGLE,path:hsa04010,
RPS6KA_f,functional_unit,OR,path:hsa04010,
MAPKAPK_f,functional_unit,OR,path:hsa04010,
ATF_f,functional_unit,SINGLE,path:hsa04010,
MEF2C_f,functional_unit,SINGLE,path:hsa04010,
MAX_f,functional_unit,SINGLE,path:hsa04010,
DDIT3_f,functional_unit,SINGLE,path:hsa04010,
ELK4_f,functional_unit,SINGLE,path:hsa04010,
TP53_f,functional_unit,SINGLE,path:hsa04010,
ELK_f,functional_unit,SINGLE,path:hsa04010,
ATF2_f,functional_unit,SINGLE,path:hsa04010,
MAPK11_14_f,functional_unit,OR,path:hsa04010,
PPP5C_f,functional_unit,SINGLE,path:hsa04010,
MAP2K6_f,functional_unit,SINGLE,path:hsa04010,
MAP2K3_f,functional_unit,SINGLE,path:hsa04010,
DUSP_f,functional_unit,OR,path:hsa04010,
PPM1A_f,functional_unit,SINGLE,path:hsa04010,
AKT_f,functional_unit,OR,path:hsa04010,
TAOK_f,functional_unit,OR,path:hsa04010,
MAP3K4_f,functional_unit,SINGLE,path:hsa04010,
HSPB1_f,functional_unit,SINGLE,path:hsa04010,
MAP3K7_f,functional_unit,SINGLE,path:hsa04010,
MAP3K5_f,functional_unit,SINGLE,path:hsa04010,
MAP3K6_f,functional_unit,SINGLE,path:hsa04010,
MAP3K20_f,functional_unit,SINGLE,path:hsa04010,
MAPKKK12_13_f,functional_unit,OR,path:hsa04010,
MAPKKK9_21_f,functional_unit,OR,path:hsa04010,
MAP4K2_f,functional_unit,SINGLE,path:hsa04010,
SFRP1_f,functional_unit,OR,path:hsa04010,
ECSIT_f,functional_unit,SINGLE,path:hsa04010,
TAB2_f,functional_unit,SINGLE,path:hsa04010,
TAB1_f,functional_unit,SINGLE,path:hsa04010,
GADD45_f,functional_unit,OR,path:hsa04010,
TRAF6_f,functional_unit,SINGLE,path:hsa04010,
DAXX_f,functional_unit,SINGLE,path:hsa04010,
TRAF2_f,functional_unit,SINGLE,path:hsa04010,
CASP3_f,functional_unit,SINGLE,path:hsa04010,
CD14_f,functional_unit,SINGLE,path:hsa04010,
TGFBR_f,functional_unit,OR,path:hsa04010,
FAS_f,functional_unit,SINGLE,path:hsa04010,
IL1R_f,functional_unit,OR,path:hsa04010,
TNFRSF1A_f,functional_unit,SINGLE,path:hsa04010,
TGFB_f,functional_unit,OR,path:hsa04010,
IL1A_B_f,functional_unit,OR,path:hsa04010,
TNF_f,functional_unit,SINGLE,path:hsa04010,
MAPKAPK5_f,functional_unit,SINGLE,path:hsa04010,
RAC_f,functional_unit,OR,path:hsa04010,
PAK12_f,functional_unit,OR,path:hsa04010,
MAPKKK2_3_f,functional_unit,OR,path:hsa04010,
MAPK8IP_f,functional_unit,OR,path:hsa04010,
MAP3K11_f,functional_unit,SINGLE,path:hsa04010,
MAP2K7_f,functional_unit,SINGLE,path:hsa04010,
MAPK8_10_f,functional_unit,OR,path:hsa04010,
MAP2K4_f,functional_unit,SINGLE,path:hsa04010,
CRK_f,functional_unit,OR,path:hsa04010,
ARRK_f,functional_unit,OR,path:hsa04010,
MECOM_f,functional_unit,SINGLE,path:hsa04010,
HSP70_f,functional_unit,OR,path:hsa04010,
JUND_f,functional_unit,SINGLE,path:hsa04010,
AP-1_f,functional_unit,OR,path:hsa04010,
NFATC3_f,functional_unit,SINGLE,path:hsa04010,
NFATC1_f,functional_unit,SINGLE,path:hsa04010,
p38MAPK_f,functional_unit,OR,path:hsa04010,
MAPK8IP3_f,functional_unit,SINGLE,path:hsa04010,
FLNA_f,functional_unit,SINGLE,path:hsa04010,
MAP3K1_f,functional_unit,SINGLE,path:hsa04010,
MAP3K8_f,functional_unit,SINGLE,path:hsa04010,
MAP4K1_f,functional_unit,SINGLE,path:hsa04010,
MAP4K3_f,functional_unit,SINGLE,path:hsa04010,
FOS_f,functional_unit,SINGLE,path:hsa04010,
SRF_f,functional_unit,SINGLE,path:hsa04010,
MYC_f,functional_unit,SINGLE,path:hsa04010,
S6K_f,functional_unit,OR,path:hsa04010,
MAPKK_f,functional_unit,OR,path:hsa04010,
VEGFR_f,functional_unit,OR,path:hsa04010,
TRADD_f,functional_unit,SINGLE,path:hsa04010,
MYD88_f,functional_unit,SINGLE,path:hsa04010,
IRAK_f,functional_unit,OR,path:hsa04010,
ARAF_f,functional_unit,SINGLE,path:hsa04010,
MYC_MAX_f,functional_unit,AND,path:hsa04010,
bHLH_f,functional_unit,AND,path:hsa04010,
