logFC,id,type
-0.975649,ZBTB20,mRNA
1.73915,CTSC,mRNA
-0.0610276,CLNK,mRNA
-0.533173,NR3C1,mRNA
0.538445,ENAH,mRNA
0.111397,LRRC55,mRNA
0.623082,CDH11,mRNA
-0.480974,TCF4,mRNA
-0.105088,SRGAP1,mRNA
0.0527575,POU2F1,mRNA
-2.89314,TRPM3,mRNA
0.330778,SYT6,mRNA
-0.424423,ATP2B1,mRNA
-0.221165,CAMK2G,mRNA
0.172575,PRKAR1A,mRNA
1.83252,RUNX2,mRNA
-0.579938,NTRK2,mRNA
-1.20319,WNK3,mRNA
0.96619,CDH8,mRNA
-0.400839,POU2F2,mRNA
0.19012,AGAP1,mRNA
0.769816,IKZF2,mRNA
-0.646403,ZNF385D,mRNA
0.196429,ZNF362,mRNA
0.509872,PHF13,mRNA
-2.02004,ALDH1A2,mRNA
-0.192752,ST3GAL1,mRNA
1.31619,B4GALNT3,mRNA
0.482101,OPN5,mRNA
-0.124949,ZSCAN22,mRNA
0.0382854,BCL9L,mRNA
-0.842315,GALNT10,mRNA
-0.162871,SFT2D2,mRNA
-0.225102,CREB1,mRNA
-0.134469,MBNL1,mRNA
0.206579,SEMA4G,mRNA
-0.651898,PTPRT,mRNA
-0.307014,CCR5,mRNA
-0.820698,MAPRE2,mRNA
-0.294284,SERP1,mRNA
-0.193297,USP47,mRNA
0.082853,ZWILCH,mRNA
-0.147816,PRLR,mRNA
0.302794,ZNF48,mRNA
-0.386706,AKAP1,mRNA
-1.04022,SPIB,mRNA
-0.114291,CDX2,mRNA
0.746771,IL11,mRNA
0.0630915,AKAP13,mRNA
0.0340874,DPF3,mRNA
-0.197354,ETF1,mRNA
0.69945,AP1S1,mRNA
-0.0898471,GTDC1,mRNA
0.344207,FARP1,mRNA
-0.509453,SYNJ2BP,mRNA
-0.238477,VN1R1,mRNA
0.356086,BCL7A,mRNA
-0.182436,BACH2,mRNA
-0.32434,MCL1,mRNA
1.31303,LRRC4,mRNA
-0.248997,WWC2,mRNA
-0.719833,SOST,mRNA
0.0979117,BDNF,mRNA
-0.0537714,USP14,mRNA
2.20957,MDFI,mRNA
0.0993138,IPO7,mRNA
-0.446299,TXNIP,mRNA
0.0659652,ERF,mRNA
-0.23228,WDR3,mRNA
-0.0256155,SERINC3,mRNA
-2.52717,TPPP,mRNA
0.619941,PADI2,mRNA
0.484917,ANGPTL2,mRNA
-0.164374,G3BP2,mRNA
-1.27801,ASGR1,mRNA
0.4685,GLP1R,mRNA
1.475,SOX4,mRNA
-0.0450747,SP1,mRNA
0.889242,SPARC,mRNA
5.83426,HMGA2,mRNA
0.529931,STC2,mRNA
0.302913,SGPL1,mRNA
0.673255,EFNB2,mRNA
-0.736185,BMPR1A,mRNA
-0.209127,CDH1,mRNA
0.62274,CPT1B,mRNA
0.0612335,ATF6B,mRNA
0.686078,EFNB1,mRNA
0.885534,MUC4,mRNA
-1.07067,SYNGR1,mRNA
0.117643,CHCHD5,mRNA
0.381166,SORCS2,mRNA
1.41878,TGFBR1,mRNA
-0.491054,SLC39A11,mRNA
1.77594,PLAG1,mRNA
0.860822,ELOVL6,mRNA
0.0348528,CACNG8,mRNA
0.313298,RAB11FIP4,mRNA
0.0454554,CDC42,mRNA
-0.339609,MYO18A,mRNA
1.24642,IGFBP2,mRNA
0.508233,CYBB,mRNA
0.181195,IGFBP5,mRNA
0.0243301,PPP3R1,mRNA
-1.28241,PLCXD3,mRNA
-2.08512,SAMD5,mRNA
-1.4201,SMOC1,mRNA
-0.119986,WDR89,mRNA
-0.120856,ZNF264,mRNA
-0.372707,ACBD5,mRNA
-0.550299,GPRIN3,mRNA
-0.054878,FMNL3,mRNA
0.183503,TRAPPC2,mRNA
-0.0364313,DCAF8,mRNA
0.0804068,SH3GLB1,mRNA
0.292944,GNPTAB,mRNA
0.355607,F2RL3,mRNA
0.0285425,VPS53,mRNA
0.399105,ITGB1,mRNA
-0.401846,NHLRC3,mRNA
-0.00159994,SEC16A,mRNA
1.28678,QSOX1,mRNA
-0.692438,CNKSR3,mRNA
-0.43501,POFUT1,mRNA
0.170627,F2RL1,mRNA
-0.101309,SERF1A,mRNA
-0.148922,IQSEC1,mRNA
-0.683156,RABGAP1L,mRNA
-0.128779,WDR53,mRNA
0.0182508,USP28,mRNA
0.190762,CAMTA1,mRNA
0.239907,SAMD12,mRNA
-0.722374,KLRD1,mRNA
-1.67824,KIF6,mRNA
1.80611,PSD3,mRNA
-0.399399,REST,mRNA
-0.224817,MFSD8,mRNA
-0.506494,SLC12A6,mRNA
0.061881,RGMB,mRNA
-0.974509,SOCS7,mRNA
-0.239476,OCIAD1,mRNA
0.0467424,AGFG2,mRNA
-0.604994,TMEM67,mRNA
0.42457,INPP5F,mRNA
-0.395874,WAC,mRNA
-0.265821,WEE1,mRNA
-0.313733,PAFAH1B1,mRNA
-0.206517,GRK7,mRNA
-0.267505,NR2C2,mRNA
-0.179725,GAB1,mRNA
-0.38147,DUSP18,mRNA
-0.39428,ABHD2,mRNA
-0.102893,N4BP1,mRNA
-0.208377,MTMR3,mRNA
-0.0142851,ZDHHC20,mRNA
0.61168,PGM2L1,mRNA
-0.16472,NCOA3,mRNA
-0.0654842,UBXN2A,mRNA
0.19242,PRNP,mRNA
0.0855985,BTN3A1,mRNA
-0.151991,ABHD15,mRNA
0.866831,STAC2,mRNA
0.629307,POLQ,mRNA
-0.0215455,DSTYK,mRNA
-0.916083,ZBTB37,mRNA
-0.0205377,A1CF,mRNA
-1.64205,FHDC1,mRNA
-1.11739,AAK1,mRNA
-0.468584,MAP3K2,mRNA
-0.557172,RBM12B,mRNA
0.936419,HIP1,mRNA
-0.484828,CAPRIN2,mRNA
-0.0661757,ELAVL2,mRNA
0.0834157,DPYSL2,mRNA
-0.100189,SLC7A11,mRNA
0.0346098,RNF115,mRNA
-0.385101,SLK,mRNA
0.221249,PLEKHM1,mRNA
-0.66439,MLXIP,mRNA
0.127299,FBXO21,mRNA
-0.498296,TNRC6B,mRNA
0.324236,WSB1,mRNA
-0.134117,IRAK4,mRNA
0.122252,GNB5,mRNA
0.351202,TLR7,mRNA
0.18483,ERGIC2,mRNA
0.130441,WDR1,mRNA
-0.119762,HIF1AN,mRNA
-0.205684,FKBP14,mRNA
-0.354199,RAB42,mRNA
0.685661,LDLR,mRNA
0.12458,BTN3A2,mRNA
-0.0160366,C18orf32,mRNA
-0.208948,DCTN5,mRNA
-0.75891,DNAL1,mRNA
-1.09383,BCL2L11,mRNA
-0.563752,CFL2,mRNA
-0.0181867,BTF3L4,mRNA
0.0151979,RAB5B,mRNA
0.0160892,SLC4A7,mRNA
-0.572706,CDK6,mRNA
-0.218683,TTPAL,mRNA
-0.353414,GTF2H3,mRNA
0.497382,ISCA2,mRNA
-0.238237,YOD1,mRNA
-0.0493656,MIXL1,mRNA
-0.0522566,PTGES3,mRNA
0.410841,FBXO31,mRNA
0.443937,MFSD2A,mRNA
0.298634,ICA1L,mRNA
-0.160688,ENPP5,mRNA
-0.663578,CYCS,mRNA
0.431882,UBFD1,mRNA
-0.397937,ENTPD7,mRNA
0.0568841,NRIP3,mRNA
0.0331967,ZNFX1,mRNA
-0.216472,GATAD1,mRNA
-0.336207,SLC30A1,mRNA
-0.13975,C17orf75,mRNA
-0.01883,ABCG8,mRNA
-0.522543,PANK3,mRNA
-0.535276,GPR157,mRNA
-0.302202,SLC35F5,mRNA
-0.46963,KLHL15,mRNA
-0.00859572,DDHD1,mRNA
0.316693,TRIM8,mRNA
-0.351465,SLCO5A1,mRNA
0.138602,ZNF805,mRNA
1.60479,SLC1A5,mRNA
0.0348885,TRAF3IP2,mRNA
-0.0431743,ZBED1,mRNA
-0.537267,ZNF347,mRNA
-0.224004,SAMD8,mRNA
-0.0491197,ARL1,mRNA
0.924824,KCNK6,mRNA
0.107152,SPTLC2,mRNA
0.0228997,VPS26A,mRNA
0.0773057,FEZ2,mRNA
0.243622,HMGB3,mRNA
0.373599,CHAF1A,mRNA
-0.598036,MTF1,mRNA
-0.443559,MXI1,mRNA
0.751134,LASP1,mRNA
-0.122343,PVR,mRNA
-0.197965,NFAT5,mRNA
-0.294332,ZBTB6,mRNA
0.416111,NUDT3,mRNA
-0.09589,GLO1,mRNA
-0.501166,ZBTB25,mRNA
-0.231982,BRCA1,mRNA
-0.199312,CBX5,mRNA
0.128105,SF3B3,mRNA
-0.478086,WDR37,mRNA
0.0723525,OSTM1,mRNA
0.035054,SPCS1,mRNA
-0.237721,E2F5,mRNA
0.0796319,HMGB1,mRNA
2.42653,ITGA2,mRNA
0.177621,JAK1,mRNA
-0.219898,MSH3,mRNA
-0.832713,PPP1R12B,mRNA
-0.310168,PPP6C,mRNA
-0.248566,RNASEH1,mRNA
-0.658683,CCL5,mRNA
0.594424,E2F2,mRNA
-0.136934,EIF2S1,mRNA
0.792592,KCNMB1,mRNA
-0.15787,BNIP2,mRNA
-0.562012,DUSP2,mRNA
-0.697426,PKNOX1,mRNA
-0.167564,WIPF2,mRNA
-0.238567,ANKRD13C,mRNA
-0.108909,MAPRE3,mRNA
-0.126678,MFN1,mRNA
-1.48843,KCND3,mRNA
0.0606573,ESR1,mRNA
0.607662,ORAI2,mRNA
-0.0552906,YIPF4,mRNA
-0.0519205,GINS4,mRNA
-0.0477086,PURB,mRNA
-0.571603,ZNF280B,mRNA
-0.228327,C15orf40,mRNA
-0.514622,CXorf38,mRNA
-0.21531,VTI1A,mRNA
0.0166127,ANKS4B,mRNA
-0.0559409,RRN3,mRNA
-1.05227,ZYG11A,mRNA
0.135137,NME6,mRNA
-0.648091,RUNX3,mRNA
-2.03313,RPS6KA5,mRNA
-0.564461,ALDH9A1,mRNA
0.267565,REEP3,mRNA
-0.0474762,AKTIP,mRNA
-0.76155,FBXO48,mRNA
-0.178844,COX19,mRNA
-1.29555,GPR155,mRNA
0.0678834,MUC17,mRNA
-0.0337738,CRCP,mRNA
-0.0193007,MGAT4A,mRNA
-0.483836,ZNF292,mRNA
-0.228443,PBX1,mRNA
0.588375,DDAH1,mRNA
0.150076,LMBR1,mRNA
-0.336053,NT5C2,mRNA
-0.689023,PHF20L1,mRNA
-0.267155,RSF1,mRNA
-2.20017,SOX5,mRNA
1.69213,LONRF2,mRNA
-0.478903,RALGPS2,mRNA
-0.568821,HOXA9,mRNA
-0.686997,FAM126B,mRNA
-0.824439,ANKRD46,mRNA
0.135741,CKAP5,mRNA
-0.713014,LPGAT1,mRNA
-0.0751225,ERP44,mRNA
-0.313244,DDHD2,mRNA
-0.0144638,SATB1,mRNA
0.590485,PPP1R3B,mRNA
-0.286898,MDM4,mRNA
-0.196577,DNM1L,mRNA
-0.152744,NUFIP2,mRNA
-0.68231,NFIA,mRNA
0.120248,FMR1,mRNA
0.616597,ZNF217,mRNA
-0.210502,EXOC5,mRNA
-0.813082,ATF2,mRNA
0.79056,THBS1,mRNA
-0.0657908,EIF4EBP2,mRNA
-0.306102,B3GNT5,mRNA
-0.294138,SOCS4,mRNA
0.374876,PLAT,mRNA
1.21523,OXTR,mRNA
0.0876605,ATP2B4,mRNA
0.124762,ZNF207,mRNA
-0.126419,RLIM,mRNA
-0.165414,HIGD1A,mRNA
0.0577803,AP2B1,mRNA
-0.176385,RASSF4,mRNA
-0.217501,AP3M1,mRNA
-0.903794,ABLIM3,mRNA
-0.18511,GDPD5,mRNA
-0.338525,FGFR1,mRNA
-0.00331037,BCL2L13,mRNA
0.0056196,KIF1B,mRNA
0.188848,ZNRF1,mRNA
0.554633,CTNNB1,mRNA
-0.471185,MAPK8,mRNA
0.534511,UBE2I,mRNA
-0.279159,GMEB2,mRNA
-0.45432,SH3BP4,mRNA
-0.0293779,PSMD10,mRNA
-0.999873,SCN4B,mRNA
-0.274966,ERC1,mRNA
-0.397631,CNNM2,mRNA
-0.466186,MEF2C,mRNA
-0.0239958,GSR,mRNA
0.0960209,CLEC2D,mRNA
0.13137,CALU,mRNA
0.57516,CPD,mRNA
-0.599056,NFIC,mRNA
-0.45681,TBPL1,mRNA
-0.534656,TRPS1,mRNA
-0.835542,PHLPP2,mRNA
0.735038,RASA1,mRNA
0.983621,ZBTB8B,mRNA
-0.122838,PPARGC1B,mRNA
0.536389,ZBTB33,mRNA
-0.0631999,SUGT1,mRNA
-0.107911,WASF2,mRNA
0.0417655,AHSA1,mRNA
-0.0998643,CD274,mRNA
-0.156599,NRAS,mRNA
0.484508,PLXNB1,mRNA
0.443864,FLOT2,mRNA
0.0372693,POU4F2,mRNA
-0.533136,ASH1L,mRNA
-0.101397,SRD5A3,mRNA
-0.35783,ALPK2,mRNA
1.06989,BAX,mRNA
0.133947,MAPK14,mRNA
-0.315556,PGAM4,mRNA
-0.947964,LRTM2,mRNA
-0.121779,SSX2IP,mRNA
-1.78306,ERBB4,mRNA
-0.0394024,POU3F2,mRNA
-0.263071,AMMECR1L,mRNA
2.9109,TIAM1,mRNA
-0.480979,MAPK10,mRNA
-0.481095,ZNF652,mRNA
-0.407682,IQCE,mRNA
0.658639,PTPRF,mRNA
-0.945602,DYRK3,mRNA
-0.0527485,STAMBP,mRNA
-0.503791,SLC19A3,mRNA
0.705338,CABYR,mRNA
0.490782,CAMKK1,mRNA
-0.561671,UBN2,mRNA
0.12273,MIDN,mRNA
-0.0729472,AKT3,mRNA
-1.45901,PRDM16,mRNA
-0.713264,LIMS1,mRNA
-0.310628,BRD1,mRNA
0.237929,EEF1A1,mRNA
0.208635,DKK2,mRNA
-0.188867,POGZ,mRNA
-0.184955,ANKRD28,mRNA
-0.0728914,PHF21A,mRNA
-0.260792,NDUFS1,mRNA
-0.372906,CROT,mRNA
-0.00083736,C19orf12,mRNA
-0.296581,GPR107,mRNA
-0.253834,TNKS2,mRNA
-0.207723,NDFIP1,mRNA
-0.383186,SIRT1,mRNA
0.0821664,SLC30A7,mRNA
0.759864,STMN1,mRNA
-1.09544,VANGL1,mRNA
0.102063,PEG10,mRNA
-0.385933,TNFSF10,mRNA
-0.264412,ARID1A,mRNA
-0.402148,ZNF236,mRNA
0.152607,KPNA6,mRNA
0.06119,RHOA,mRNA
-0.122403,HNRNPD,mRNA
-0.778041,ABLIM1,mRNA
0.0384986,DENR,mRNA
-0.79675,SNX4,mRNA
-0.309548,DDX6,mRNA
-0.29535,TCEAL1,mRNA
-0.612487,LRP6,mRNA
-0.62694,SLC10A7,mRNA
0.609761,PCDHA3,mRNA
0.836249,PCDHAC1,mRNA
0.47988,BMF,mRNA
-0.266599,BRWD1,mRNA
-0.242518,RBM33,mRNA
-0.0233009,TMEM183A,mRNA
-0.995698,SELE,mRNA
0.137227,HNRNPA1,mRNA
2.19662,SDC4,mRNA
0.112576,TMEM101,mRNA
0.513895,CKAP2L,mRNA
0.0899091,VKORC1L1,mRNA
-0.379076,MYLK3,mRNA
-0.0775525,RCOR1,mRNA
-0.259554,RRP15,mRNA
0.0853886,MRPS16,mRNA
0.145995,RPL15,mRNA
0.824784,SLC39A10,mRNA
2.78244,DSC3,mRNA
-0.256694,CARD8,mRNA
-0.19548,ABL1,mRNA
0.36174,PABPC1,mRNA
-1.02813,CYP1A2,mRNA
0.0869173,RPL27A,mRNA
-0.396368,ZNF749,mRNA
-1.02275,TRAT1,mRNA
0.321272,LGALS3BP,mRNA
-0.0299785,GNAI3,mRNA
-0.0543502,TOP3A,mRNA
-0.339544,ZNF131,mRNA
-0.347155,TRMT5,mRNA
0.439127,ABCG2,mRNA
0.208784,TMCC1,mRNA
0.788612,GRB10,mRNA
3.51248,SPTBN2,mRNA
-0.272806,SMAD5,mRNA
0.0177122,PPP2R2A,mRNA
0.606839,SMARCA4,mRNA
1.06571,MGAT4B,mRNA
0.85798,OSBPL10,mRNA
-0.169269,UBR7,mRNA
0.227418,ZNF714,mRNA
0.36452,EIF3I,mRNA
-0.265093,ZFYVE16,mRNA
-0.32138,LUC7L2,mRNA
-0.648486,TRIM44,mRNA
0.679992,PGPEP1,mRNA
0.185313,WDR6,mRNA
0.108547,NLE1,mRNA
-0.378374,DDX21,mRNA
0.557349,MDM2,mRNA
0.0465132,SLC35A2,mRNA
0.350172,TLE3,mRNA
-0.977873,SERTAD4,mRNA
-1.36788,STOX2,mRNA
-0.338028,NFS1,mRNA
-0.676564,RECK,mRNA
-1.09613,PELI2,mRNA
-0.576367,CSNK1G1,mRNA
0.180357,HIPK2,mRNA
-0.430263,PHACTR4,mRNA
-0.782684,DOCK5,mRNA
-0.574156,FBXL18,mRNA
-0.226084,ZNF772,mRNA
-0.536622,COG5,mRNA
-0.37483,KIF3B,mRNA
0.209835,SART1,mRNA
0.0308079,SS18,mRNA
0.0386887,DCAF7,mRNA
0.0711507,CAPRIN1,mRNA
0.247666,POLE,mRNA
0.168665,RNPS1,mRNA
-0.372358,QKI,mRNA
-0.0515579,CPSF6,mRNA
-0.6091,FICD,mRNA
0.114445,VCP,mRNA
0.153777,LRP10,mRNA
0.224861,ZNF770,mRNA
0.0802124,MGMT,mRNA
-0.0420094,PBX2,mRNA
0.415856,RBMS2,mRNA
-0.0802319,SORT1,mRNA
-0.199208,SDHA,mRNA
-0.092342,ZW10,mRNA
2.28584,PIWIL1,mRNA
2.16725,BBC3,mRNA
-0.0200242,TOM1,mRNA
0.138613,FYTTD1,mRNA
1.42342,CBX2,mRNA
-0.180882,C18orf25,mRNA
-0.917123,CDKL5,mRNA
-0.241037,UBIAD1,mRNA
0.220265,TIMM50,mRNA
0.153189,RNF215,mRNA
-0.0965994,TP53BP2,mRNA
-0.0305134,POLL,mRNA
0.0862244,ADD1,mRNA
-0.316145,SPIN3,mRNA
-0.440728,PPARA,mRNA
-0.17287,UFM1,mRNA
0.0236313,EGFR,mRNA
-0.64976,NPTX1,mRNA
-0.342522,STX7,mRNA
-1.20925,CLEC4E,mRNA
-0.222747,UBXN2B,mRNA
-2.53391,NLGN1,mRNA
0.409023,CBX3,mRNA
-0.444727,FRS2,mRNA
-0.899705,SLC38A1,mRNA
0.27444,INHBA,mRNA
0.0163718,DCK,mRNA
-0.256216,OTUD4,mRNA
-0.29603,PHLDA1,mRNA
0.282241,BAHD1,mRNA
0.208247,NPM1,mRNA
-0.330639,RPL7L1,mRNA
-1.52721,SLC1A2,mRNA
0.616808,SRC,mRNA
0.43027,MYO1D,mRNA
-0.671534,ZNF331,mRNA
-0.0407706,RPS4Y1,mRNA
0.441027,SATB2,mRNA
0.307802,SPRED1,mRNA
-0.981092,IL5RA,mRNA
0.142953,NF2,mRNA
1.46114,RAB27A,mRNA
-1.40605,CXCL12,mRNA
0.210384,NDFIP2,mRNA
1.08609,SRPX2,mRNA
0.373425,SERTAD2,mRNA
-0.569001,KLHDC10,mRNA
-0.197265,XPO6,mRNA
-0.200035,INTU,mRNA
-0.0277854,UBA6,mRNA
-0.567497,RDX,mRNA
-0.0948778,JARID2,mRNA
-0.0844373,ARPC5,mRNA
-0.352832,STK40,mRNA
-0.116648,SFXN1,mRNA
0.0864004,EDC3,mRNA
0.14395,ETS1,mRNA
0.307581,CDK1,mRNA
-0.0859411,SP7,mRNA
-1.19233,CASR,mRNA
2.2683,MMP16,mRNA
-0.856433,FRK,mRNA
0.777075,ABCB9,mRNA
-0.206395,QSER1,mRNA
-0.0256052,NFATC2IP,mRNA
-1.67778,PPM1L,mRNA
-0.213101,PPIL2,mRNA
-0.251136,NFE2L1,mRNA
-2.33554,AR,mRNA
0.250237,RPL37A,mRNA
0.163756,MXRA7,mRNA
