node_index,id,type,logic,embedding_l2_norm
49,MAPK3,gene,,0.0
50,fu:7c6d4d4a,functional_unit,OR,0.01437353901565075
51,LAMTOR3,gene,,0.0
52,fu:93eeec94,functional_unit,SINGLE,0.014406654052436352
53,MAP2K2,gene,,0.0
54,fu:4781eb07,functional_unit,SINGLE,0.012313136830925941
55,MAP2K1,gene,,0.0
56,fu:ee804b17,functional_unit,SINGLE,0.014366128481924534
57,RAF1,gene,,0.0
58,fu:5324c493,functional_unit,SINGLE,0.01439628005027771
59,BRAF,gene,,0.0
60,fu:7cec7b64,functional_unit,SINGLE,0.014403077773749828
61,RASA1,gene,,0.0
62,fu:30ad397b,functional_unit,SINGLE,0.014385388232767582
63,NF1,gene,,0.0
64,fu:3968d652,functional_unit,SINGLE,0.014385388232767582
65,PRKCA,gene,,0.0
66,PRKCB,gene,,0.0
67,PRKCG,gene,,0.0
68,fu:6fc31f40,functional_unit,OR,0.009593614377081394
69,RAP1A,gene,,0.0
70,RAP1B,gene,,0.0
71,fu:5264ac6f,functional_unit,OR,0.014395514503121376
72,PRKACA,gene,,0.0
73,PRKACB,gene,,0.0
74,PRKACG,gene,,0.0
75,fu:0ddd2c17,functional_unit,OR,0.009593660943210125
76,RAPGEF2,gene,,0.0
77,fu:cbc27d79,functional_unit,SINGLE,0.014385388232767582
78,RASA2,gene,,0.0
79,fu:7d8d1672,functional_unit,SINGLE,0.014296568930149078
80,RRAS2,gene,,0.0
81,MRAS,gene,,0.0
82,HRAS,gene,,0.0
83,KRAS,gene,,0.0
84,NRAS,gene,,0.0
85,RRAS,gene,,0.0
86,fu:cb603216,functional_unit,OR,0.013350779190659523
87,RASGRP1,gene,,0.0
88,RASGRP2,gene,,0.0
89,RASGRP4,gene,,0.0
90,RASGRP3,gene,,0.0
91,fu:a6602c7f,functional_unit,OR,0.008619474247097969
92,SOS1,gene,,0.0
93,SOS2,gene,,0.0
94,fu:9bd0df30,functional_unit,OR,0.014385388232767582
95,GNA12,gene,,0.0
96,GNG12,gene,,0.0
97,fu:c3d880e8,functional_unit,OR,0.014385388232767582
98,GRB2,gene,,0.0
99,fu:0d65318d,functional_unit,SINGLE,0.014376219362020493
100,CSF1R,gene,,0.0
101,EGFR,gene,,0.0
102,EPHA2,gene,,0.0
103,ERBB2,gene,,0.0
104,ERBB3,gene,,0.0
105,ERBB4,gene,,0.0
106,FGFR1,gene,,0.0
107,FGFR3,gene,,0.0
108,FGFR2,gene,,0.0
109,FGFR4,gene,,0.0
110,FLT1,gene,,0.0
111,FLT3,gene,,0.0
112,FLT4,gene,,0.0
113,IGF1R,gene,,0.0
114,INSR,gene,,0.0
115,KDR,gene,,0.0
116,KIT,gene,,0.0
117,MET,gene,,0.0
118,NGFR,gene,,0.0
119,NTRK1,gene,,0.0
120,NTRK2,gene,,0.0
121,PDGFRA,gene,,0.0
122,PDGFRB,gene,,0.0
123,RET,gene,,0.0
124,TEK,gene,,0.0
125,fu:727cb396,functional_unit,OR,0.011723298579454422
126,CACNG3,gene,,0.0
127,CACNG2,gene,,0.0
128,CACNG5,gene,,0.0
129,CACNG4,gene,,0.0
130,CACNA2D3,gene,,0.0
131,CACNG8,gene,,0.0
132,CACNG7,gene,,0.0
133,CACNG6,gene,,0.0
134,CACNA1A,gene,,0.0
135,CACNA1B,gene,,0.0
136,CACNA1C,gene,,0.0
137,CACNA1D,gene,,0.0
138,CACNA1E,gene,,0.0
139,CACNA1F,gene,,0.0
140,CACNA1S,gene,,0.0
141,CACNA2D1,gene,,0.0
142,CACNB1,gene,,0.0
143,CACNB2,gene,,0.0
144,CACNB3,gene,,0.0
145,CACNB4,gene,,0.0
146,CACNG1,gene,,0.0
147,CACNA1I,gene,,0.0
148,CACNA1H,gene,,0.0
149,CACNA1G,gene,,0.0
150,CACNA2D2,gene,,0.0
151,CACNA2D4,gene,,0.0
152,fu:bd379c39,functional_unit,OR,0.008302918635308743
153,NR4A1,gene,,0.0
154,fu:14d50a78,functional_unit,SINGLE,0.007211421150714159
155,MAPK7,gene,,0.0
156,fu:f05aba10,functional_unit,SINGLE,0.014358509331941605
157,MAP2K5,gene,,0.0
158,fu:faf1b7e0,functional_unit,SINGLE,0.0
159,NLK,gene,,0.0
160,fu:db8a4a8a,functional_unit,SINGLE,0.014373772777616978
161,CDC25B,gene,,0.0
162,fu:e45fbd5c,functional_unit,SINGLE,0.014399000443518162
163,RPS6KA4,gene,,0.0
164,RPS6KA5,gene,,0.0
165,fu:b8ada536,functional_unit,OR,0.014394314959645271
166,MAPKAPK3,gene,,0.0
167,MAPKAPK2,gene,,0.0
168,fu:8c7ba104,functional_unit,OR,0.014394315890967846
169,ATF4,gene,,0.0
170,fu:7bca3a7b,functional_unit,SINGLE,0.009605096653103828
171,MEF2C,gene,,0.0
172,fu:f101a6f1,functional_unit,SINGLE,0.014399000443518162
173,MAX,gene,,0.0
174,fu:45df5340,functional_unit,SINGLE,0.014399001374840736
175,DDIT3,gene,,0.0
176,fu:dda08e08,functional_unit,SINGLE,0.014399001374840736
177,ELK4,gene,,0.0
178,fu:0a37beb9,functional_unit,SINGLE,0.014399001374840736
179,TP53,gene,,0.0
180,fu:31725aa3,functional_unit,SINGLE,0.014387372881174088
181,ELK1,gene,,0.0
182,fu:5fde3828,functional_unit,SINGLE,0.014387374743819237
183,ATF2,gene,,0.0
184,fu:bfc9ae48,functional_unit,SINGLE,0.014399001374840736
185,MAPK14,gene,,0.0
186,MAPK11,gene,,0.0
187,MAPK13,gene,,0.0
188,MAPK12,gene,,0.0
189,fu:5800992d,functional_unit,OR,0.010775148868560791
190,PPP5C,gene,,0.0
191,fu:306b6021,functional_unit,SINGLE,0.0
192,MAP2K6,gene,,0.0
193,fu:5e60e9dc,functional_unit,SINGLE,0.014368248172104359
194,MAP2K3,gene,,0.0
195,fu:416a5afd,functional_unit,SINGLE,0.014368248172104359
196,fu:da3df1ca,functional_unit,OR,0.012588859535753727
197,fu:7da6eba5,functional_unit,OR,0.003599202958866954
198,PPM1A,gene,,0.0
199,fu:5dc42453,functional_unit,SINGLE,0.014385388232767582
200,AKT3,gene,,0.0
201,AKT1,gene,,0.0
202,AKT2,gene,,0.0
203,fu:41203a8a,functional_unit,OR,0.014385389164090157
204,TAOK3,gene,,0.0
205,TAOK1,gene,,0.0
206,TAOK2,gene,,0.0
207,fu:0c8f7154,functional_unit,OR,0.009593572467565536
208,MAP3K4,gene,,0.0
209,fu:8cf03d63,functional_unit,SINGLE,0.014277618378400803
210,HSPB1,gene,,0.0
211,fu:6953fac9,functional_unit,SINGLE,0.00954336766153574
212,MAP3K7,gene,,0.0
213,fu:cabad419,functional_unit,SINGLE,0.014341778121888638
214,MAP3K5,gene,,0.0
215,fu:aacf07bb,functional_unit,SINGLE,0.01145404763519764
216,MAP3K6,gene,,0.0
217,fu:e9c5128e,functional_unit,SINGLE,0.0
218,MAP3K20,gene,,0.0
219,fu:8ce177b4,functional_unit,SINGLE,0.014385388232767582
220,MAP3K12,gene,,0.0
221,MAP3K13,gene,,0.0
222,fu:1ee1c600,functional_unit,OR,0.007196509279310703
223,MAP3K9,gene,,0.0
224,MAP3K10,gene,,0.0
225,MAP3K21,gene,,0.0
226,fu:e7b77b07,functional_unit,OR,0.009593590162694454
227,MAP4K2,gene,,0.0
228,fu:b8f9f795,functional_unit,SINGLE,0.014361203648149967
229,STK3,gene,,0.0
230,STK4,gene,,0.0
231,fu:b9db94ef,functional_unit,OR,0.0143661480396986
232,ECSIT,gene,,0.0
233,fu:3285e573,functional_unit,SINGLE,0.014385388232767582
234,TAB2,gene,,0.0
235,fu:545ebf7d,functional_unit,SINGLE,0.014385388232767582
236,TAB1,gene,,0.0
237,fu:d7d24a4c,functional_unit,SINGLE,0.014345724135637283
238,GADD45G,gene,,0.0
239,GADD45A,gene,,0.0
240,GADD45B,gene,,0.0
241,fu:41822415,functional_unit,OR,0.0
242,TRAF6,gene,,0.0
243,fu:4d346bcc,functional_unit,SINGLE,0.014416826888918877
244,DAXX,gene,,0.0
245,fu:02465256,functional_unit,SINGLE,0.009556252509355545
246,TRAF2,gene,,0.0
247,fu:af1b2d2f,functional_unit,SINGLE,0.014408942312002182
248,CASP3,gene,,0.0
249,fu:eda4acea,functional_unit,SINGLE,0.014408942312002182
250,CD14,gene,,0.0
251,fu:cec976f1,functional_unit,SINGLE,0.0
252,TGFBR1,gene,,0.0
253,TGFBR2,gene,,0.0
254,fu:e1dd59a5,functional_unit,OR,0.014328018762171268
255,FAS,gene,,0.0
256,fu:12950895,functional_unit,SINGLE,0.014255263842642307
257,IL1R1,gene,,0.0
258,IL1RAP,gene,,0.0
259,fu:9274968e,functional_unit,OR,0.009536945261061192
260,TNFRSF1A,gene,,0.0
261,fu:cb1c88d1,functional_unit,SINGLE,0.007147207390516996
262,TGFB1,gene,,0.0
263,TGFB2,gene,,0.0
264,TGFB3,gene,,0.0
265,fu:619d8916,functional_unit,OR,0.014385388232767582
266,IL1A,gene,,0.0
267,IL1B,gene,,0.0
268,fu:5b3ce1d9,functional_unit,OR,0.007196495309472084
269,TNF,gene,,0.0
270,fu:93677f06,functional_unit,SINGLE,0.014385388232767582
271,MAPKAPK5,gene,,0.0
272,fu:9ac97dd2,functional_unit,SINGLE,0.014399002306163311
273,RAC1,gene,,0.0
274,RAC2,gene,,0.0
275,RAC3,gene,,0.0
276,CDC42,gene,,0.0
277,fu:e2794b69,functional_unit,OR,0.010791896842420101
278,PAK1,gene,,0.0
279,PAK2,gene,,0.0
280,fu:9a263ecd,functional_unit,OR,0.014436093159019947
281,MAP3K2,gene,,0.0
282,MAP3K3,gene,,0.0
283,fu:6dc0c7f6,functional_unit,OR,0.014406424947082996
284,MAPK8IP2,gene,,0.0
285,MAPK8IP1,gene,,0.0
286,fu:92589075,functional_unit,OR,0.007196457590907812
287,MAP3K11,gene,,0.0
288,fu:28d07664,functional_unit,SINGLE,0.009553566575050354
289,MAP2K7,gene,,0.0
290,fu:66672553,functional_unit,SINGLE,0.014378905296325684
291,MAPK8,gene,,0.0
292,MAPK9,gene,,0.0
293,MAPK10,gene,,0.0
294,fu:fefb3eac,functional_unit,OR,0.01436200737953186
295,MAP2K4,gene,,0.0
296,fu:d7921de4,functional_unit,SINGLE,0.01429720502346754
297,CRK,gene,,0.0
298,CRKL,gene,,0.0
299,fu:5d3f8d6d,functional_unit,OR,0.014377166517078876
300,ARRB1,gene,,0.0
301,ARRB2,gene,,0.0
302,fu:05519816,functional_unit,OR,0.014381634071469307
303,MECOM,gene,,0.0
304,fu:6a22a160,functional_unit,SINGLE,0.0
305,HSPA1A,gene,,0.0
306,HSPA1B,gene,,0.0
307,HSPA1L,gene,,0.0
308,HSPA6,gene,,0.0
309,HSPA8,gene,,0.0
310,fu:5fff24cf,functional_unit,OR,0.008634896948933601
311,JUND,gene,,0.0
312,fu:f5686479,functional_unit,SINGLE,0.007186171133071184
313,FOS,gene,,0.0
314,JUN,gene,,0.0
315,fu:1b813b45,functional_unit,OR,0.01437818631529808
316,NFATC3,gene,,0.0
317,fu:55bfa81d,functional_unit,SINGLE,0.014437123201787472
318,NFATC1,gene,,0.0
319,fu:73b76124,functional_unit,SINGLE,0.014437123201787472
320,PPP3CA,gene,,0.0
321,PPP3CB,gene,,0.0
322,PPP3CC,gene,,0.0
323,PPP3R1,gene,,0.0
324,PPP3R2,gene,,0.0
325,fu:ff2e7a0f,functional_unit,OR,0.00863491278141737
326,MAPK8IP3,gene,,0.0
327,fu:be5424aa,functional_unit,SINGLE,0.014368636533617973
328,FLNA,gene,,0.0
329,fu:d00c086a,functional_unit,SINGLE,0.007191294804215431
330,MAP3K1,gene,,0.0
331,fu:210acb65,functional_unit,SINGLE,0.014387128874659538
332,MAP3K8,gene,,0.0
333,fu:eadbb23d,functional_unit,SINGLE,0.014385388232767582
334,MAP4K1,gene,,0.0
335,fu:c7fdd986,functional_unit,SINGLE,0.007175094913691282
336,MAP4K3,gene,,0.0
337,fu:d0d79cd1,functional_unit,SINGLE,0.0
338,fu:5926e68e,functional_unit,SINGLE,0.014405257999897003
339,SRF,gene,,0.0
340,fu:dc542d4d,functional_unit,SINGLE,0.014385389164090157
341,MYC,gene,,0.0
342,fu:fc6a389a,functional_unit,SINGLE,0.014385389164090157
343,fu:f449b983,functional_unit,SINGLE,0.014494359493255615
344,fu:7b593a5c,functional_unit,SINGLE,0.014494359493255615
345,fu:f64183b7,functional_unit,SINGLE,0.009664162993431091
346,RPS6KA6,gene,,0.0
347,RPS6KA1,gene,,0.0
348,RPS6KA2,gene,,0.0
349,RPS6KA3,gene,,0.0
350,fu:99084968,functional_unit,OR,0.014393805526196957
351,MKNK2,gene,,0.0
352,MKNK1,gene,,0.0
353,fu:642e62d6,functional_unit,OR,0.00960778258740902
354,EFNA4-EFNA3,gene,,0.0
355,CSF1,gene,,0.0
356,EFNA1,gene,,0.0
357,EFNA2,gene,,0.0
358,EFNA3,gene,,0.0
359,EFNA4,gene,,0.0
360,EFNA5,gene,,0.0
361,EGF,gene,,0.0
362,EREG,gene,,0.0
363,FGF1,gene,,0.0
364,FGF2,gene,,0.0
365,FGF3,gene,,0.0
366,FGF4,gene,,0.0
367,FGF5,gene,,0.0
368,FGF6,gene,,0.0
369,FGF7,gene,,0.0
370,FGF8,gene,,0.0
371,FGF9,gene,,0.0
372,FGF10,gene,,0.0
373,VEGFD,gene,,0.0
374,FLT3LG,gene,,0.0
375,FGF20,gene,,0.0
376,FGF21,gene,,0.0
377,GDNF,gene,,0.0
378,FGF22,gene,,0.0
379,ANGPT1,gene,,0.0
380,ANGPT2,gene,,0.0
381,HGF,gene,,0.0
382,IGF1,gene,,0.0
383,IGF2,gene,,0.0
384,INS,gene,,0.0
385,AREG,gene,,0.0
386,KITLG,gene,,0.0
387,NGF,gene,,0.0
388,NRTN,gene,,0.0
389,NTF3,gene,,0.0
390,NTF4,gene,,0.0
391,ANGPT4,gene,,0.0
392,PDGFA,gene,,0.0
393,PDGFB,gene,,0.0
394,PGF,gene,,0.0
395,PDGFC,gene,,0.0
396,PSPN,gene,,0.0
397,BDNF,gene,,0.0
398,TGFA,gene,,0.0
399,VEGFA,gene,,0.0
400,VEGFB,gene,,0.0
401,VEGFC,gene,,0.0
402,PDGFD,gene,,0.0
403,FGF23,gene,,0.0
404,FGF18,gene,,0.0
405,FGF17,gene,,0.0
406,FGF16,gene,,0.0
407,ARTN,gene,,0.0
408,FGF19,gene,,0.0
409,fu:0d329cca,functional_unit,OR,0.0073272171430289745
410,TRADD,gene,,0.0
411,fu:fd78464d,functional_unit,SINGLE,0.014297638088464737
412,MYD88,gene,,0.0
413,fu:c2e0c4ae,functional_unit,SINGLE,0.014317451976239681
414,IRAK1,gene,,0.0
415,IRAK4,gene,,0.0
416,fu:622bda7f,functional_unit,OR,0.014435363002121449
417,ARAF,gene,,0.0
418,fu:d0ad993a,functional_unit,SINGLE,0.00718614412471652
419,fu:0b389115,functional_unit,SINGLE,0.014385388232767582
420,fu:8f8c2fbf,functional_unit,AND,0.014399482868611813
421,fu:839c82c3,functional_unit,AND,0.014385389164090157
422,MIMAT0000680,mir,,0.0
423,MIMAT0002875,mir,,0.0
424,MIMAT0000456,mir,,0.0
425,MIMAT0002819,mir,,0.0
426,MIMAT0019025,mir,,0.0
427,MIMAT0000075,mir,,0.0
428,MIMAT0000263,mir,,0.0
429,MIMAT0000278,mir,,0.0
430,MIMAT0000232,mir,,0.0
431,MIMAT0000243,mir,,0.0
432,MIMAT0004563,mir,,0.0
433,MIMAT0000646,mir,,0.0
434,MIMAT0019042,mir,,0.0
435,MIMAT0019799,mir,,0.0
436,MIMAT0000073,mir,,0.0
437,MIMAT0000074,mir,,0.0
438,MIMAT0000722,mir,,0.0
439,MIMAT0001629,mir,,0.0
440,MIMAT0002171,mir,,0.0
441,MIMAT0003221,mir,,0.0
442,MIMAT0016854,mir,,0.0
443,MIMAT0016860,mir,,0.0
444,MIMAT0004495,mir,,0.0
445,MIMAT0004597,mir,,0.0
446,MIMAT0002879,mir,,0.0
447,MIMAT0004507,mir,,0.0
448,MIMAT0000245,mir,,0.0
449,MIMAT0000451,mir,,0.0
450,MIMAT0000761,mir,,0.0
451,MIMAT0005573,mir,,0.0
452,MIMAT0005876,mir,,0.0
453,MIMAT0022721,mir,,0.0
454,MIMAT0032029,mir,,0.0
455,MIMAT0016901,mir,,0.0
456,MIMAT0016916,mir,,0.0
457,MIMAT0019844,mir,,0.0
458,MIMAT0021129,mir,,0.0
459,MIMAT0022290,mir,,0.0
460,MIMAT0022496,mir,,0.0
461,MIMAT0024614,mir,,0.0
462,MIMAT0027402,mir,,0.0
463,MIMAT0027506,mir,,0.0
464,MIMAT0027572,mir,,0.0
465,MIMAT0028117,mir,,0.0
466,MIMAT0031012,mir,,0.0
467,MIMAT0000092,mir,,0.0
468,MIMAT0002175,mir,,0.0
469,MIMAT0003280,mir,,0.0
470,MIMAT0022938,mir,,0.0
471,MIMAT0005583,mir,,0.0
472,MIMAT0019862,mir,,0.0
473,MIMAT0021124,mir,,0.0
474,MIMAT0027456,mir,,0.0
475,MIMAT0027470,mir,,0.0
476,MIMAT0027666,mir,,0.0
477,MIMAT0028211,mir,,0.0
478,MIMAT0030998,mir,,0.0
479,MIMAT0004609,mir,,0.0
480,MIMAT0019047,mir,,0.0
481,MIMAT0024613,mir,,0.0
482,MIMAT0027494,mir,,0.0
483,MIMAT0000072,mir,,0.0
484,MIMAT0004592,mir,,0.0
485,MIMAT0004671,mir,,0.0
486,MIMAT0019849,mir,,0.0
487,MIMAT0024617,mir,,0.0
488,MIMAT0004776,mir,,0.0
489,MIMAT0022741,mir,,0.0
490,MIMAT0027550,mir,,0.0
491,MIMAT0004697,mir,,0.0
492,MIMAT0021025,mir,,0.0
493,MIMAT0000080,mir,,0.0
494,MIMAT0000070,mir,,0.0
495,MIMAT0000255,mir,,0.0
496,MIMAT0005459,mir,,0.0
497,MIMAT0006764,mir,,0.0
498,MIMAT0018004,mir,,0.0
499,MIMAT0027377,mir,,0.0
500,MIMAT0027481,mir,,0.0
501,MIMAT0027682,mir,,0.0
502,MIMAT0000093,mir,,0.0
503,MIMAT0004949,mir,,0.0
504,MIMAT0005867,mir,,0.0
505,MIMAT0019213,mir,,0.0
506,MIMAT0015085,mir,,0.0
507,MIMAT0027626,mir,,0.0
508,MIMAT0000423,mir,,0.0
509,MIMAT0005792,mir,,0.0
510,MIMAT0018943,mir,,0.0
511,MIMAT0000066,mir,,0.0
512,MIMAT0000242,mir,,0.0
513,MIMAT0004550,mir,,0.0
514,MIMAT0004589,mir,,0.0
515,MIMAT0000424,mir,,0.0
516,MIMAT0001412,mir,,0.0
517,MIMAT0002876,mir,,0.0
518,MIMAT0026720,mir,,0.0
519,MIMAT0014984,mir,,0.0
520,MIMAT0018118,mir,,0.0
521,MIMAT0018181,mir,,0.0
522,MIMAT0018206,mir,,0.0
523,MIMAT0019006,mir,,0.0
524,MIMAT0019007,mir,,0.0
525,MIMAT0023711,mir,,0.0
526,MIMAT0024618,mir,,0.0
527,MIMAT0025485,mir,,0.0
528,MIMAT0027380,mir,,0.0
529,MIMAT0027443,mir,,0.0
530,MIMAT0027458,mir,,0.0
531,MIMAT0027460,mir,,0.0
532,MIMAT0027476,mir,,0.0
533,MIMAT0027498,mir,,0.0
534,MIMAT0027660,mir,,0.0
535,MIMAT0027668,mir,,0.0
536,MIMAT0028109,mir,,0.0
537,MIMAT0030415,mir,,0.0
538,MIMAT0030417,mir,,0.0
539,MIMAT0030422,mir,,0.0
540,MIMAT0004952,mir,,0.0
541,MIMAT0016903,mir,,0.0
542,MIMAT0025482,mir,,0.0
543,MIMAT0027430,mir,,0.0
544,MIMAT0027583,mir,,0.0
545,MIMAT0027595,mir,,0.0
546,MIMAT0027634,mir,,0.0
547,MIMAT0003271,mir,,0.0
548,MIMAT0000103,mir,,0.0
549,MIMAT0019778,mir,,0.0
550,MIMAT0000427,mir,,0.0
551,MIMAT0015023,mir,,0.0
552,MIMAT0015052,mir,,0.0
553,MIMAT0016853,mir,,0.0
554,MIMAT0016900,mir,,0.0
555,MIMAT0018940,mir,,0.0
556,MIMAT0019023,mir,,0.0
557,MIMAT0019895,mir,,0.0
558,MIMAT0027353,mir,,0.0
559,MIMAT0027408,mir,,0.0
560,MIMAT0027520,mir,,0.0
561,MIMAT0027573,mir,,0.0
562,MIMAT0000086,mir,,0.0
563,MIMAT0019021,mir,,0.0
564,MIMAT0021034,mir,,0.0
565,MIMAT0019853,mir,,0.0
566,MIMAT0000088,mir,,0.0
567,MIMAT0004703,mir,,0.0
568,MIMAT0027582,mir,,0.0
569,MIMAT0003273,mir,,0.0
570,MIMAT0004918,mir,,0.0
571,MIMAT0019233,mir,,0.0
572,MIMAT0019977,mir,,0.0
573,MIMAT0019854,mir,,0.0
574,MIMAT0015089,mir,,0.0
575,MIMAT0019882,mir,,0.0
576,MIMAT0021128,mir,,0.0
577,MIMAT0027491,mir,,0.0
578,MIMAT0027507,mir,,0.0
579,MIMAT0027675,mir,,0.0
580,MIMAT0004491,mir,,0.0
581,MIMAT0004492,mir,,0.0
582,MIMAT0000731,mir,,0.0
583,MIMAT0018971,mir,,0.0
584,MIMAT0019814,mir,,0.0
585,MIMAT0022260,mir,,0.0
586,MIMAT0027426,mir,,0.0
587,MIMAT0027614,mir,,0.0
588,MIMAT0027631,mir,,0.0
589,MIMAT0000069,mir,,0.0
590,MIMAT0016881,mir,,0.0
591,MIMAT0018349,mir,,0.0
592,MIMAT0027543,mir,,0.0
593,MIMAT0001080,mir,,0.0
594,MIMAT0000083,mir,,0.0
595,MIMAT0009206,mir,,0.0
596,MIMAT0019361,mir,,0.0
597,MIMAT0022714,mir,,0.0
598,MIMAT0005871,mir,,0.0
599,MIMAT0022273,mir,,0.0
600,MIMAT0027688,mir,,0.0
601,MIMAT0000454,mir,,0.0
602,MIMAT0003945,mir,,0.0
603,MIMAT0000422,mir,,0.0
604,MIMAT0000756,mir,,0.0
605,MIMAT0019050,mir,,0.0
606,MIMAT0022293,mir,,0.0
607,MIMAT0027358,mir,,0.0
608,MIMAT0027539,mir,,0.0
609,MIMAT0027655,mir,,0.0
610,MIMAT0028116,mir,,0.0
611,MIMAT0003256,mir,,0.0
612,MIMAT0027032,mir,,0.0
613,MIMAT0019928,mir,,0.0
614,MIMAT0023694,mir,,0.0
615,MIMAT0010195,mir,,0.0
616,MIMAT0000064,mir,,0.0
617,MIMAT0000095,mir,,0.0
618,MIMAT0004564,mir,,0.0
619,MIMAT0000432,mir,,0.0
620,MIMAT0000455,mir,,0.0
621,MIMAT0003385,mir,,0.0
622,MIMAT0000720,mir,,0.0
623,MIMAT0004692,mir,,0.0
624,MIMAT0000770,mir,,0.0
625,MIMAT0002833,mir,,0.0
626,MIMAT0002856,mir,,0.0
627,MIMAT0002874,mir,,0.0
628,MIMAT0003163,mir,,0.0
629,MIMAT0003255,mir,,0.0
630,MIMAT0003294,mir,,0.0
631,MIMAT0003298,mir,,0.0
632,MIMAT0004948,mir,,0.0
633,MIMAT0005929,mir,,0.0
634,MIMAT0006767,mir,,0.0
635,MIMAT0026917,mir,,0.0
636,MIMAT0013517,mir,,0.0
637,MIMAT0019200,mir,,0.0
638,MIMAT0014988,mir,,0.0
639,MIMAT0015021,mir,,0.0
640,MIMAT0018083,mir,,0.0
641,MIMAT0018980,mir,,0.0
642,MIMAT0019698,mir,,0.0
643,MIMAT0019721,mir,,0.0
644,MIMAT0019815,mir,,0.0
645,MIMAT0019838,mir,,0.0
646,MIMAT0019896,mir,,0.0
647,MIMAT0019953,mir,,0.0
648,MIMAT0019960,mir,,0.0
649,MIMAT0019978,mir,,0.0
650,MIMAT0022288,mir,,0.0
651,MIMAT0022491,mir,,0.0
652,MIMAT0024597,mir,,0.0
653,MIMAT0027363,mir,,0.0
654,MIMAT0027381,mir,,0.0
655,MIMAT0027391,mir,,0.0
656,MIMAT0027429,mir,,0.0
657,MIMAT0027508,mir,,0.0
658,MIMAT0027535,mir,,0.0
659,MIMAT0027562,mir,,0.0
660,MIMAT0027640,mir,,0.0
661,MIMAT0027647,mir,,0.0
662,MIMAT0028118,mir,,0.0
663,MIMAT0028119,mir,,0.0
664,MIMAT0028212,mir,,0.0
665,MIMAT0028224,mir,,0.0
666,MIMAT0033692,mir,,0.0
667,MIMAT0000261,mir,,0.0
668,MIMAT0000415,mir,,0.0
669,MIMAT0000435,mir,,0.0
670,MIMAT0000437,mir,,0.0
671,MIMAT0002811,mir,,0.0
672,MIMAT0002834,mir,,0.0
673,MIMAT0002838,mir,,0.0
674,MIMAT0004794,mir,,0.0
675,MIMAT0003248,mir,,0.0
676,MIMAT0003299,mir,,0.0
677,MIMAT0022710,mir,,0.0
678,MIMAT0015002,mir,,0.0
679,MIMAT0016851,mir,,0.0
680,MIMAT0018978,mir,,0.0
681,MIMAT0019082,mir,,0.0
682,MIMAT0019847,mir,,0.0
683,MIMAT0021043,mir,,0.0
684,MIMAT0021045,mir,,0.0
685,MIMAT0025478,mir,,0.0
686,MIMAT0027425,mir,,0.0
687,MIMAT0027448,mir,,0.0
688,MIMAT0027549,mir,,0.0
689,MIMAT0027624,mir,,0.0
690,MIMAT0027686,mir,,0.0
691,MIMAT0028115,mir,,0.0
692,MIMAT0030413,mir,,0.0
693,MIMAT0031181,mir,,0.0
694,MIMAT0004515,mir,,0.0
695,MIMAT0005457,mir,,0.0
696,MIMAT0002862,mir,,0.0
697,MIMAT0000265,mir,,0.0
698,MIMAT0000268,mir,,0.0
699,MIMAT0004780,mir,,0.0
700,MIMAT0027370,mir,,0.0
701,MIMAT0027427,mir,,0.0
702,MIMAT0000762,mir,,0.0
703,MIMAT0004762,mir,,0.0
704,MIMAT0025852,mir,,0.0
