#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ADAM19	TSC22D2	9606.ENSP00000257527	9606.ENSP00000354543	0	0.423	0	0	0.422
ARG2	DHCR24	9606.ENSP00000261783	9606.ENSP00000360316	0	0	0	0.426	0.426
ARHGEF12	IGF1R	9606.ENSP00000380942	9606.ENSP00000497069	0	0.292	0	0.402	0.558
ARHGEF40	SMC3	9606.ENSP00000298694	9606.ENSP00000354720	0	0	0	0.412	0.412
BCL2L1	CLU	9606.ENSP00000365230	9606.ENSP00000315130	0	0.618	0	0	0.618
BCL2L1	MCL1	9606.ENSP00000365230	9606.ENSP00000358022	0	0.362	0.900	0.748	0.982
BCL2L1	PLAU	9606.ENSP00000365230	9606.ENSP00000361850	0	0	0	0.423	0.422
BCL6	CDKN1B	9606.ENSP00000384371	9606.ENSP00000228872	0	0.292	0	0.370	0.534
BHLHE41	NFIL3	9606.ENSP00000242728	9606.ENSP00000297689	0	0	0.900	0	0.900
BLM	RAD51AP1	9606.ENSP00000347232	9606.ENSP00000228843	0	0	0.500	0	0.499
BLM	BRIP1	9606.ENSP00000347232	9606.ENSP00000259008	0	0.457	0.500	0.155	0.750
BLM	RMI1	9606.ENSP00000347232	9606.ENSP00000317039	0	0.735	0.800	0.933	0.996
BLM	RAD51C	9606.ENSP00000347232	9606.ENSP00000336701	0	0	0.500	0	0.499
BLM	RAD17	9606.ENSP00000347232	9606.ENSP00000426191	0	0	0.500	0	0.499
BLM	RFC4	9606.ENSP00000347232	9606.ENSP00000376272	0	0	0.500	0	0.499
BLM	XRCC2	9606.ENSP00000347232	9606.ENSP00000352271	0	0.292	0.500	0	0.630
BLM	BRCA1	9606.ENSP00000347232	9606.ENSP00000418960	0	0.566	0.500	0	0.773
BLM	RAD51	9606.ENSP00000347232	9606.ENSP00000493712	0	0.457	0.500	0.314	0.797
BLM	DNA2	9606.ENSP00000347232	9606.ENSP00000351185	0	0.292	0.500	0.739	0.899
BRCA1	RAD51AP1	9606.ENSP00000418960	9606.ENSP00000228843	0	0	0.500	0.327	0.649
BRCA1	NMI	9606.ENSP00000418960	9606.ENSP00000243346	0	0.292	0	0.377	0.540
BRCA1	BRIP1	9606.ENSP00000418960	9606.ENSP00000259008	0	0.972	0.900	0.982	0.999
BRCA1	MID2	9606.ENSP00000418960	9606.ENSP00000262843	0	0	0	0.552	0.552
BRCA1	SLF1	9606.ENSP00000418960	9606.ENSP00000265140	0	0.439	0	0.106	0.477
BRCA1	SKP2	9606.ENSP00000418960	9606.ENSP00000274255	0	0.457	0	0	0.457
BRCA1	CENPU	9606.ENSP00000418960	9606.ENSP00000281453	0	0.421	0	0	0.420
BRCA1	PCLAF	9606.ENSP00000418960	9606.ENSP00000300035	0	0.292	0	0.550	0.667
BRCA1	FANCI	9606.ENSP00000418960	9606.ENSP00000310842	0	0.439	0.540	0.806	0.945
BRCA1	RMI1	9606.ENSP00000418960	9606.ENSP00000317039	0	0.439	0.500	0.361	0.805
BRCA1	EGR3	9606.ENSP00000418960	9606.ENSP00000318057	0	0.421	0	0	0.420
BRCA1	H2AC14	9606.ENSP00000418960	9606.ENSP00000328484	0	0	0.500	0.084	0.522
BRCA1	KNL1	9606.ENSP00000418960	9606.ENSP00000335463	0	0.421	0	0.084	0.446
BRCA1	RAD51C	9606.ENSP00000418960	9606.ENSP00000336701	0	0	0.500	0.330	0.650
BRCA1	DNA2	9606.ENSP00000418960	9606.ENSP00000351185	0	0	0.500	0	0.499
BRCA1	XRCC2	9606.ENSP00000418960	9606.ENSP00000352271	0	0	0.500	0.697	0.842
BRCA1	SMC3	9606.ENSP00000418960	9606.ENSP00000354720	0	0.164	0.500	0	0.564
BRCA1	DCLRE1C	9606.ENSP00000418960	9606.ENSP00000367527	0	0.292	0.540	0	0.660
BRCA1	CENPJ	9606.ENSP00000418960	9606.ENSP00000371308	0	0	0.900	0	0.900
BRCA1	RFC4	9606.ENSP00000418960	9606.ENSP00000376272	0	0.164	0.500	0.411	0.732
BRCA1	TTC28	9606.ENSP00000418960	9606.ENSP00000381003	0	0	0	0.577	0.577
BRCA1	CDKN1A	9606.ENSP00000418960	9606.ENSP00000384849	0	0.292	0	0.195	0.405
BRCA1	CHEK1	9606.ENSP00000418960	9606.ENSP00000391090	0	0.457	0	0.718	0.840
BRCA1	SMC6	9606.ENSP00000418960	9606.ENSP00000404092	0	0.439	0	0	0.439
BRCA1	POLR2H	9606.ENSP00000418960	9606.ENSP00000415536	0	0.457	0	0	0.457
BRCA1	MCM10	9606.ENSP00000418960	9606.ENSP00000418268	0	0.439	0	0.233	0.551
BRCA1	UHRF1	9606.ENSP00000418960	9606.ENSP00000479617	0	0.292	0	0.408	0.562
BRCA1	RAD17	9606.ENSP00000418960	9606.ENSP00000426191	0	0	0.500	0.368	0.670
BRCA1	RAD51	9606.ENSP00000418960	9606.ENSP00000493712	0	0.642	0.800	0.982	0.998
BRIP1	RAD51AP1	9606.ENSP00000259008	9606.ENSP00000228843	0	0	0.500	0	0.499
BRIP1	DNA2	9606.ENSP00000259008	9606.ENSP00000351185	0	0	0.500	0	0.499
BRIP1	XRCC2	9606.ENSP00000259008	9606.ENSP00000352271	0	0	0.500	0	0.499
BRIP1	RMI1	9606.ENSP00000259008	9606.ENSP00000317039	0	0	0.500	0	0.499
BRIP1	RAD51C	9606.ENSP00000259008	9606.ENSP00000336701	0	0	0.500	0	0.499
BRIP1	RAD17	9606.ENSP00000259008	9606.ENSP00000426191	0	0	0.500	0	0.499
BRIP1	RFC4	9606.ENSP00000259008	9606.ENSP00000376272	0	0	0.500	0	0.499
BRIP1	RAD51	9606.ENSP00000259008	9606.ENSP00000493712	0	0	0.500	0.534	0.757
BRIP1	CHEK1	9606.ENSP00000259008	9606.ENSP00000391090	0	0	0.800	0	0.800
BRIP1	FANCI	9606.ENSP00000259008	9606.ENSP00000310842	0	0	0	0.823	0.823
BTK	TEC	9606.ENSP00000483570	9606.ENSP00000370912	0	0	0.900	0	0.900
BTK	SOS1	9606.ENSP00000483570	9606.ENSP00000384675	0	0	0.400	0	0.400
BUB3	CCT5	9606.ENSP00000357858	9606.ENSP00000280326	0	0.415	0	0	0.414
BUB3	KNL1	9606.ENSP00000357858	9606.ENSP00000335463	0	0.267	0	0.961	0.970
BUB3	TTK	9606.ENSP00000357858	9606.ENSP00000358813	0	0	0	0.658	0.658
CABLES1	DLK1	9606.ENSP00000256925	9606.ENSP00000340292	0	0.439	0	0	0.439
CACNA1D	CACNB2	9606.ENSP00000288139	9606.ENSP00000320025	0	0.461	0.800	0.374	0.926
CCL5	SERPINE1	9606.ENSP00000474412	9606.ENSP00000223095	0	0	0	0.453	0.453
CCL5	PTGS2	9606.ENSP00000474412	9606.ENSP00000356438	0	0	0	0.559	0.559
CCL5	CXCR4	9606.ENSP00000474412	9606.ENSP00000386884	0	0	0.650	0.981	0.993
CCL5	CXCL2	9606.ENSP00000474412	9606.ENSP00000427279	0	0.734	0	0.150	0.764
CCT5	HSPE1	9606.ENSP00000280326	9606.ENSP00000233893	0	0.422	0	0.172	0.501
CCT5	WDR76	9606.ENSP00000280326	9606.ENSP00000263795	0	0.457	0	0	0.457
CCT5	DCAF12	9606.ENSP00000280326	9606.ENSP00000355114	0	0.916	0	0	0.916
CD33	SOCS3	9606.ENSP00000262262	9606.ENSP00000330341	0	0	0	0.546	0.546
CD36	TIMP1	9606.ENSP00000415743	9606.ENSP00000218388	0	0	0	0.426	0.426
CD36	EMP1	9606.ENSP00000415743	9606.ENSP00000256951	0	0	0	0.641	0.641
CD36	ICAM1	9606.ENSP00000415743	9606.ENSP00000264832	0	0	0	0.413	0.412
CD36	FCER1G	9606.ENSP00000415743	9606.ENSP00000289902	0	0	0	0.530	0.530
CD36	ITGB3	9606.ENSP00000415743	9606.ENSP00000452786	0	0.292	0	0.258	0.452
CDC45	CDC6	9606.ENSP00000405726	9606.ENSP00000209728	0	0	0.500	0.817	0.904
CDC45	MCM5	9606.ENSP00000405726	9606.ENSP00000216122	0	0.979	0.540	0.852	0.998
CDC45	POLE2	9606.ENSP00000405726	9606.ENSP00000216367	0	0.902	0	0.052	0.903
CDC45	GINS2	9606.ENSP00000405726	9606.ENSP00000253462	0	0.983	0.540	0.459	0.995
CDC45	MCM4	9606.ENSP00000405726	9606.ENSP00000262105	0	0.969	0.540	0.180	0.987
CDC45	GINS1	9606.ENSP00000405726	9606.ENSP00000262460	0	0.983	0.540	0.593	0.996
CDC45	MCM6	9606.ENSP00000405726	9606.ENSP00000264156	0	0.981	0.540	0.622	0.996
CDC45	MCM2	9606.ENSP00000405726	9606.ENSP00000265056	0	0.985	0.540	0.353	0.995
CDC45	SLF1	9606.ENSP00000405726	9606.ENSP00000265140	0	0.350	0	0.349	0.558
CDC45	TICRR	9606.ENSP00000405726	9606.ENSP00000268138	0	0	0	0.525	0.525
CDC45	WDHD1	9606.ENSP00000405726	9606.ENSP00000353793	0	0.968	0	0.867	0.995
CDC45	SMC3	9606.ENSP00000405726	9606.ENSP00000354720	0	0	0	0.568	0.568
CDC45	ORC1	9606.ENSP00000405726	9606.ENSP00000360623	0	0.617	0.500	0	0.800
CDC45	PCNA	9606.ENSP00000405726	9606.ENSP00000368458	0	0.451	0	0	0.451
CDC45	CDKN1A	9606.ENSP00000405726	9606.ENSP00000384849	0	0.708	0	0	0.708
CDC45	CDC7	9606.ENSP00000405726	9606.ENSP00000393139	0	0	0.500	0.756	0.872
CDC45	MCM10	9606.ENSP00000405726	9606.ENSP00000418268	0	0.822	0.500	0.982	0.998
CDC45	MCM3	9606.ENSP00000405726	9606.ENSP00000480987	0	0.981	0.540	0.868	0.998
CDC6	CDKN1A	9606.ENSP00000209728	9606.ENSP00000384849	0	0.708	0	0.095	0.724
CDC6	CDC7	9606.ENSP00000209728	9606.ENSP00000393139	0	0	0.500	0.651	0.818
CDC6	MCM6	9606.ENSP00000209728	9606.ENSP00000264156	0	0.749	0.500	0.336	0.909
CDC6	MCM5	9606.ENSP00000209728	9606.ENSP00000216122	0	0.647	0.500	0.611	0.925
CDC6	MCM4	9606.ENSP00000209728	9606.ENSP00000262105	0	0.523	0.500	0.728	0.929
CDC6	MCM10	9606.ENSP00000209728	9606.ENSP00000418268	0	0.689	0.500	0.696	0.948
CDC6	MCM2	9606.ENSP00000209728	9606.ENSP00000265056	0	0.860	0.500	0.730	0.979
CDC6	ORC1	9606.ENSP00000209728	9606.ENSP00000360623	0	0.890	0.900	0.468	0.993
CDC6	MCM3	9606.ENSP00000209728	9606.ENSP00000480987	0	0.915	0.500	0.971	0.998
CDC7	MCM5	9606.ENSP00000393139	9606.ENSP00000216122	0	0.758	0.500	0.401	0.921
CDC7	MCM4	9606.ENSP00000393139	9606.ENSP00000262105	0	0.861	0.500	0.557	0.966
CDC7	MCM6	9606.ENSP00000393139	9606.ENSP00000264156	0	0.656	0.500	0.140	0.839
CDC7	MCM2	9606.ENSP00000393139	9606.ENSP00000265056	0	0.841	0.500	0	0.917
CDC7	ORC1	9606.ENSP00000393139	9606.ENSP00000360623	0	0.616	0.500	0	0.799
CDC7	CDKN1A	9606.ENSP00000393139	9606.ENSP00000384849	0	0.689	0	0.166	0.729
CDC7	MCM10	9606.ENSP00000393139	9606.ENSP00000418268	0	0.735	0.500	0.284	0.896
CDC7	MCM3	9606.ENSP00000393139	9606.ENSP00000480987	0	0.814	0.500	0.089	0.908
CDH2	CDH9	9606.ENSP00000269141	9606.ENSP00000231021	0	0	0.540	0.335	0.681
CDH2	KLRG1	9606.ENSP00000269141	9606.ENSP00000266551	0	0	0	0.909	0.909
CDH2	MTHFD1	9606.ENSP00000269141	9606.ENSP00000498336	0	0.451	0	0	0.451
CDH2	NLGN1	9606.ENSP00000269141	9606.ENSP00000392500	0	0	0	0.485	0.485
CDH2	FGF9	9606.ENSP00000269141	9606.ENSP00000371790	0	0	0	0.764	0.764
CDKN1A	CDKN1B	9606.ENSP00000384849	9606.ENSP00000228872	0	0.642	0.900	0.224	0.969
CDKN1A	GMNN	9606.ENSP00000384849	9606.ENSP00000230056	0	0.620	0	0	0.620
CDKN1A	SKP2	9606.ENSP00000384849	9606.ENSP00000274255	0	0.550	0.500	0	0.765
CDKN1A	PCLAF	9606.ENSP00000384849	9606.ENSP00000300035	0	0.454	0	0	0.454
CDKN1A	DTL	9606.ENSP00000384849	9606.ENSP00000355958	0	0.457	0	0	0.457
CDKN1A	PCNA	9606.ENSP00000384849	9606.ENSP00000368458	0	0.966	0.900	0	0.996
CDKN1A	MCM10	9606.ENSP00000384849	9606.ENSP00000418268	0	0.689	0	0	0.689
CDKN1B	XPO1	9606.ENSP00000228872	9606.ENSP00000384863	0	0.457	0	0.259	0.580
CDKN1B	DTL	9606.ENSP00000228872	9606.ENSP00000355958	0	0	0.900	0	0.900
CDKN1B	DCAF12	9606.ENSP00000228872	9606.ENSP00000355114	0	0	0.900	0	0.900
CDKN1B	SKP2	9606.ENSP00000228872	9606.ENSP00000274255	0	0.960	0.500	0.597	0.991
CEBPB	FOSL1	9606.ENSP00000305422	9606.ENSP00000310170	0	0	0	0.637	0.637
CENPJ	PLK4	9606.ENSP00000371308	9606.ENSP00000270861	0	0.457	0.540	0.319	0.815
CENPJ	HAUS6	9606.ENSP00000371308	9606.ENSP00000369871	0	0.089	0.500	0	0.525
CENPK	CENPU	9606.ENSP00000379911	9606.ENSP00000281453	0	0.920	0.800	0.662	0.994
CENPK	KNL1	9606.ENSP00000379911	9606.ENSP00000335463	0	0	0.500	0	0.499
CENPU	KNL1	9606.ENSP00000281453	9606.ENSP00000335463	0	0	0.500	0.261	0.614
CENPU	MLF1	9606.ENSP00000281453	9606.ENSP00000376568	0	0.292	0	0.605	0.708
CFH	PLAU	9606.ENSP00000356399	9606.ENSP00000361850	0	0	0.540	0	0.540
CFH	SPP1	9606.ENSP00000356399	9606.ENSP00000378517	0	0	0	0.619	0.619
CFH	STX2	9606.ENSP00000356399	9606.ENSP00000376178	0	0	0	0.679	0.679
CHEK1	RAD51AP1	9606.ENSP00000391090	9606.ENSP00000228843	0	0	0	0.429	0.428
CHEK1	DTL	9606.ENSP00000391090	9606.ENSP00000355958	0	0.457	0	0	0.457
CHEK1	MCM3	9606.ENSP00000391090	9606.ENSP00000480987	0	0.292	0	0.387	0.547
CHEK1	RAD51	9606.ENSP00000391090	9606.ENSP00000493712	0	0.457	0	0.829	0.903
CHMP1B	VPS25	9606.ENSP00000432279	9606.ENSP00000253794	0	0	0.900	0	0.900
CNTN1	PRNP	9606.ENSP00000447006	9606.ENSP00000399376	0	0.065	0	0.457	0.471
COX7B	NDUFA2	9606.ENSP00000497474	9606.ENSP00000252102	0	0.814	0	0	0.814
CXCL2	DPP4	9606.ENSP00000427279	9606.ENSP00000353731	0	0.292	0	0.579	0.689
CXCL2	CXCR4	9606.ENSP00000427279	9606.ENSP00000386884	0	0	0.650	0.956	0.984
CXCR4	IL1B	9606.ENSP00000386884	9606.ENSP00000263341	0	0	0	0.428	0.428
CXCR4	ICAM1	9606.ENSP00000386884	9606.ENSP00000264832	0	0	0	0.492	0.491
CXCR4	DPP4	9606.ENSP00000386884	9606.ENSP00000353731	0	0	0	0.965	0.965
CXCR4	IGF1R	9606.ENSP00000386884	9606.ENSP00000497069	0	0	0	0.445	0.445
DCAF12	DTL	9606.ENSP00000355114	9606.ENSP00000355958	0	0	0.900	0	0.900
DCLRE1C	FANCI	9606.ENSP00000367527	9606.ENSP00000310842	0	0	0.540	0	0.540
DCUN1D5	DTL	9606.ENSP00000260247	9606.ENSP00000355958	0	0	0.500	0	0.499
DHCR24	DHCR7	9606.ENSP00000360316	9606.ENSP00000347717	0	0.292	0	0.229	0.430
DHFR	TYMS	9606.ENSP00000396308	9606.ENSP00000315644	0	0	0	0.968	0.968
DLAT	PDK1	9606.ENSP00000280346	9606.ENSP00000376352	0	0.519	0.360	0	0.679
DNA2	RAD51AP1	9606.ENSP00000351185	9606.ENSP00000228843	0	0	0.500	0	0.499
DNA2	RMI1	9606.ENSP00000351185	9606.ENSP00000317039	0	0	0.500	0.946	0.972
DNA2	RAD51C	9606.ENSP00000351185	9606.ENSP00000336701	0	0	0.500	0	0.499
DNA2	XRCC2	9606.ENSP00000351185	9606.ENSP00000352271	0	0	0.500	0	0.499
DNA2	PCNA	9606.ENSP00000351185	9606.ENSP00000368458	0	0	0.500	0	0.499
DNA2	RFC4	9606.ENSP00000351185	9606.ENSP00000376272	0	0	0.500	0	0.499
DNA2	RAD17	9606.ENSP00000351185	9606.ENSP00000426191	0	0	0.500	0	0.499
DNA2	RAD51	9606.ENSP00000351185	9606.ENSP00000493712	0	0.185	0.500	0	0.575
DNA2	MCM10	9606.ENSP00000351185	9606.ENSP00000418268	0	0	0	0.597	0.597
DNA2	WDHD1	9606.ENSP00000351185	9606.ENSP00000353793	0	0.702	0	0.610	0.879
DNM3	SNX9	9606.ENSP00000347457	9606.ENSP00000376024	0	0.611	0	0.223	0.684
DPP4	TIMP1	9606.ENSP00000353731	9606.ENSP00000218388	0	0	0	0.414	0.414
DPYSL3	PDLIM1	9606.ENSP00000343690	9606.ENSP00000360305	0	0	0.540	0	0.540
DPYSL3	NCKAP1	9606.ENSP00000343690	9606.ENSP00000354251	0	0	0.540	0	0.540
DSN1	KNL1	9606.ENSP00000389810	9606.ENSP00000335463	0	0.638	0.540	0.542	0.917
DSN1	MLF1	9606.ENSP00000389810	9606.ENSP00000376568	0	0.498	0	0	0.497
DTL	POLE2	9606.ENSP00000355958	9606.ENSP00000216367	0	0	0.500	0	0.499
DTL	RFC4	9606.ENSP00000355958	9606.ENSP00000376272	0	0	0.500	0	0.499
DTL	PCNA	9606.ENSP00000355958	9606.ENSP00000368458	0	0.960	0.500	0	0.979
EIPR1	GINS2	9606.ENSP00000381652	9606.ENSP00000253462	0	0.409	0	0	0.408
ELOVL6	HACD3	9606.ENSP00000378105	9606.ENSP00000261875	0	0	0.900	0	0.900
ELOVL6	SCD	9606.ENSP00000378105	9606.ENSP00000359380	0	0	0.900	0	0.900
EMP1	ICAM1	9606.ENSP00000256951	9606.ENSP00000264832	0	0	0	0.404	0.404
EPB41L3	PRMT3	9606.ENSP00000343158	9606.ENSP00000331879	0	0	0	0.833	0.833
EPB41L3	NLGN1	9606.ENSP00000343158	9606.ENSP00000392500	0	0	0.500	0	0.499
ERAL1	MTERF3	9606.ENSP00000254928	9606.ENSP00000287025	0	0.225	0	0.265	0.406
ESCO2	PCNA	9606.ENSP00000306999	9606.ENSP00000368458	0	0.359	0	0.224	0.481
ESCO2	SMC3	9606.ENSP00000306999	9606.ENSP00000354720	0	0.531	0	0.223	0.620
FADS1	HACD3	9606.ENSP00000322229	9606.ENSP00000261875	0	0	0.900	0	0.900
FANCI	RAD51C	9606.ENSP00000310842	9606.ENSP00000336701	0	0	0	0.446	0.446
FANCI	RAD51	9606.ENSP00000310842	9606.ENSP00000493712	0	0.292	0	0.552	0.669
FCER1G	FCGR2A	9606.ENSP00000289902	9606.ENSP00000271450	0	0	0	0.418	0.418
FGF9	SOS1	9606.ENSP00000371790	9606.ENSP00000384675	0	0	0.400	0	0.400
FKBP4	NR3C2	9606.ENSP00000001008	9606.ENSP00000350815	0	0.089	0.800	0.452	0.891
FLT3	SOS1	9606.ENSP00000241453	9606.ENSP00000384675	0	0	0.400	0	0.400
GABARAPL1	WDFY3	9606.ENSP00000411256	9606.ENSP00000295888	0	0.423	0	0.290	0.572
GINS1	MCM5	9606.ENSP00000262460	9606.ENSP00000216122	0	0.976	0.540	0	0.988
GINS1	POLE2	9606.ENSP00000262460	9606.ENSP00000216367	0	0.941	0	0	0.941
GINS1	GINS2	9606.ENSP00000262460	9606.ENSP00000253462	0	0.972	0.800	0.954	0.999
GINS1	MCM4	9606.ENSP00000262460	9606.ENSP00000262105	0	0.945	0.540	0.245	0.979
GINS1	MCM10	9606.ENSP00000262460	9606.ENSP00000418268	0	0.081	0	0.581	0.598
GINS1	WDHD1	9606.ENSP00000262460	9606.ENSP00000353793	0	0.916	0	0	0.916
GINS1	MCM6	9606.ENSP00000262460	9606.ENSP00000264156	0	0.945	0.540	0	0.973
GINS1	MCM2	9606.ENSP00000262460	9606.ENSP00000265056	0	0.946	0.540	0	0.974
GINS1	MCM3	9606.ENSP00000262460	9606.ENSP00000480987	0	0.947	0.540	0	0.974
GINS2	MCM5	9606.ENSP00000253462	9606.ENSP00000216122	0	0.973	0.540	0.353	0.991
GINS2	POLE2	9606.ENSP00000253462	9606.ENSP00000216367	0	0.901	0	0	0.901
GINS2	WDHD1	9606.ENSP00000253462	9606.ENSP00000353793	0	0.971	0	0	0.971
GINS2	MCM2	9606.ENSP00000253462	9606.ENSP00000265056	0	0.947	0.540	0	0.974
GINS2	MCM3	9606.ENSP00000253462	9606.ENSP00000480987	0	0.946	0.540	0.303	0.981
GINS2	MCM4	9606.ENSP00000253462	9606.ENSP00000262105	0	0.947	0.540	0.351	0.982
GINS2	MCM6	9606.ENSP00000253462	9606.ENSP00000264156	0	0.946	0.540	0.352	0.982
GLI2	KDM6B	9606.ENSP00000390436	9606.ENSP00000254846	0	0	0	0.427	0.426
GMNN	MCM3	9606.ENSP00000230056	9606.ENSP00000480987	0	0	0	0.408	0.408
GMNN	MCM6	9606.ENSP00000230056	9606.ENSP00000264156	0	0.620	0	0	0.620
GP1BA	SELPLG	9606.ENSP00000329380	9606.ENSP00000228463	0	0	0	0.528	0.528
GP1BA	SELP	9606.ENSP00000329380	9606.ENSP00000263686	0	0.292	0	0.982	0.986
GP1BA	PGM5	9606.ENSP00000329380	9606.ENSP00000379678	0	0	0.540	0	0.540
GSTM3	HPGDS	9606.ENSP00000354357	9606.ENSP00000295256	0	0	0.500	0	0.499
GTF2A2	POLR2H	9606.ENSP00000379372	9606.ENSP00000415536	0	0.869	0.500	0	0.931
GTF3C6	POLR2H	9606.ENSP00000357863	9606.ENSP00000415536	0	0	0.500	0	0.499
H2AC14	SMC2	9606.ENSP00000328484	9606.ENSP00000286398	0	0	0.500	0	0.499
H2AC14	H3C12	9606.ENSP00000328484	9606.ENSP00000352252	0	0.071	0.400	0.076	0.439
H2AC14	UHRF1	9606.ENSP00000328484	9606.ENSP00000479617	0	0	0.500	0	0.499
H2AC14	ORC1	9606.ENSP00000328484	9606.ENSP00000360623	0	0.091	0.500	0	0.526
H2AC14	POLR2H	9606.ENSP00000328484	9606.ENSP00000415536	0	0.181	0.500	0	0.572
H3C12	MCM4	9606.ENSP00000352252	9606.ENSP00000262105	0	0.564	0	0.130	0.604
H3C12	MCM6	9606.ENSP00000352252	9606.ENSP00000264156	0	0.404	0	0.047	0.407
H3C12	MCM2	9606.ENSP00000352252	9606.ENSP00000265056	0	0.954	0	0.045	0.954
H3C12	SMC2	9606.ENSP00000352252	9606.ENSP00000286398	0	0	0.500	0	0.499
H3C12	POLR2H	9606.ENSP00000352252	9606.ENSP00000415536	0	0.206	0.500	0	0.586
H3C12	MCM3	9606.ENSP00000352252	9606.ENSP00000480987	0	0.457	0	0.301	0.604
H3C12	ORC1	9606.ENSP00000352252	9606.ENSP00000360623	0	0.189	0.500	0.116	0.610
H3C12	UHRF1	9606.ENSP00000352252	9606.ENSP00000479617	0	0.912	0.500	0.712	0.986
HACD3	SCD	9606.ENSP00000261875	9606.ENSP00000359380	0	0	0.900	0	0.900
HAUS6	PLK4	9606.ENSP00000369871	9606.ENSP00000270861	0	0	0.500	0	0.499
HAVCR2	PDCD1LG2	9606.ENSP00000312002	9606.ENSP00000380855	0	0	0	0.654	0.654
HELLS	WDR76	9606.ENSP00000377601	9606.ENSP00000263795	0	0.457	0	0.678	0.817
HLF	NFIL3	9606.ENSP00000226067	9606.ENSP00000297689	0	0.319	0	0.169	0.410
ICAM1	TIMP1	9606.ENSP00000264832	9606.ENSP00000218388	0	0	0	0.442	0.442
ICAM1	SELPLG	9606.ENSP00000264832	9606.ENSP00000228463	0	0	0	0.975	0.975
ICAM1	RASGEF1B	9606.ENSP00000264832	9606.ENSP00000264400	0	0	0	0.417	0.416
ICAM1	IL2RA	9606.ENSP00000264832	9606.ENSP00000369293	0	0.292	0	0.312	0.492
ICAM1	ITGAL	9606.ENSP00000264832	9606.ENSP00000349252	0	0.960	0.900	0.982	0.999
ICOS	TNFSF13B	9606.ENSP00000319476	9606.ENSP00000365048	0	0	0	0.706	0.706
ICOS	PDCD1LG2	9606.ENSP00000319476	9606.ENSP00000380855	0	0	0	0.828	0.828
IDH1	PEX12	9606.ENSP00000390265	9606.ENSP00000482609	0	0	0.500	0	0.499
IGF1R	PTK2	9606.ENSP00000497069	9606.ENSP00000341189	0	0.292	0	0.626	0.723
IGF1R	PCNA	9606.ENSP00000497069	9606.ENSP00000368458	0	0.457	0	0	0.457
IGF1R	ITGB3	9606.ENSP00000497069	9606.ENSP00000452786	0	0	0.900	0.047	0.900
IL1B	IL1RL1	9606.ENSP00000263341	9606.ENSP00000233954	0	0	0	0.539	0.539
IL1B	TRIM16	9606.ENSP00000263341	9606.ENSP00000497185	0	0	0	0.557	0.557
IL1B	IL1RAP	9606.ENSP00000263341	9606.ENSP00000314807	0	0.960	0.500	0.982	0.999
IL1B	IL1R1	9606.ENSP00000263341	9606.ENSP00000386380	0	0.960	0.700	0.982	0.999
IL1R1	IL1RL1	9606.ENSP00000386380	9606.ENSP00000233954	0	0	0	0.908	0.908
IL1R1	IL1RAP	9606.ENSP00000386380	9606.ENSP00000314807	0	0.960	0.500	0.982	0.999
IL1R1	IL2RA	9606.ENSP00000386380	9606.ENSP00000369293	0	0	0	0.530	0.530
IL1RAP	IL1RL1	9606.ENSP00000314807	9606.ENSP00000233954	0	0.521	0.500	0.982	0.995
