node_index,node_id,node_type,node_name,node_source
64774,2345,anatomy,descending thoracic aorta,UBERON
64775,2346,anatomy,neurectoderm,UBERON
64776,2347,anatomy,thoracic vertebra,UBERON
64777,2348,anatomy,epicardium,UBERON
64778,2349,anatomy,myocardium,UBERON
64779,2350,anatomy,conducting system of heart,UBERON
64780,2351,anatomy,sinoatrial node,UBERON
64781,2352,anatomy,atrioventricular node,UBERON
64782,2353,anatomy,bundle of His,UBERON
125078,1990665,cellular_component,AnxA2-p11 complex,GO
125079,8074,cellular_component,"guanylate cyclase complex, soluble",GO
125080,2199,cellular_component,zona pellucida receptor complex,GO
125081,31422,cellular_component,RecQ family helicase-topoisomerase III complex,GO
125082,70745,cellular_component,interleukin-35 complex,GO
125083,61576,cellular_component,acyl-CoA ceramide synthase complex,GO
125084,61703,cellular_component,pyroptosome complex,GO
125085,5862,cellular_component,muscle thin filament tropomyosin,GO
125086,35693,cellular_component,NOS2-CD74 complex,GO
125087,33551,cellular_component,monopolin complex,GO
125088,33596,cellular_component,TSC1-TSC2 complex,GO
125089,98820,cellular_component,trans-synaptic protein complex,GO
127635,R-HSA-264642,pathway,Acetylcholine Neurotransmitter Release Cycle,REACTOME
127636,R-HSA-210455,pathway,Astrocytic Glutamate-Glutamine Uptake And Metabolism,REACTOME
127637,R-HSA-112308,pathway,Presynaptic depolarization and calcium channel opening,REACTOME
127638,R-HSA-112412,pathway,SOS-mediated signalling,REACTOME
127639,R-HSA-110056,pathway,MAPK3 (ERK1) activation,REACTOME
127640,R-HSA-112411,pathway,MAPK1 (ERK2) activation,REACTOME
127641,R-HSA-113501,pathway,Inhibition of replication initiation of damaged DNA by RB1/E2F1,REACTOME
127642,R-HSA-113507,pathway,E2F-enabled inhibition of pre-replication complex formation,REACTOME
127643,R-HSA-111446,pathway,Activation of BIM and translocation to mitochondria ,REACTOME
127644,R-HSA-111447,pathway,Activation of BAD and translocation to mitochondria ,REACTOME
127645,R-HSA-111448,pathway,Activation of NOXA and translocation to mitochondria,REACTOME
127646,R-HSA-139910,pathway,Activation of BMF and translocation to mitochondria,REACTOME
127647,R-HSA-139915,pathway,Activation of PUMA and translocation to mitochondria,REACTOME
