MeSH Disease Term source	MeSH Disease Term target	symptom similarity score
Niemann-Pick Disease, Type C	Tauopathies	0.821935
Hyperparathyroidism	Hypocalcemia	0.855151
Hyperparathyroidism	Rickets	0.869083
Hyperparathyroidism	Hypoparathyroidism	0.846416
Tetany	Magnesium Deficiency	0.878784
Eczema	Keratosis	0.814481
Skin Diseases	Eczema	0.830179
Skin Diseases	Dermatitis, Exfoliative	0.844568
Skin Diseases	Dermatitis, Allergic Contact	0.815584
Skin Diseases	Drug Eruptions	0.873497
Skin Diseases	Dermatitis, Contact	0.818113
Skin Diseases	Dermatitis	0.908545
Skin Diseases	Psoriasis	0.86083
Skin Diseases	Urticaria	0.887011
Skin Diseases	Folliculitis	0.821728
Skin Diseases	Dermatitis, Atopic	0.844804
Skin Diseases	Keratosis	0.805688
Mitochondrial Diseases	Mitochondrial Myopathies	0.91771
Mitochondrial Diseases	Mitochondrial Encephalomyopathies	0.883747
Multiple Sclerosis, Relapsing-Remitting	Multiple Sclerosis, Chronic Progressive	0.825854
Hypertension, Pulmonary	Reperfusion Injury	0.879453
Hypertension, Pulmonary	Polycythemia	0.952198
Hypertension, Pulmonary	Myocardial Reperfusion Injury	0.931289
Neural Tube Defects	Spinal Dysraphism	0.942302
Neural Tube Defects	Vesico-Ureteral Reflux	0.872858
Neural Tube Defects	Spina Bifida Cystica	0.876442
Neural Tube Defects	Urinary Tract Infections	0.882048
Neural Tube Defects	Meningomyelocele	0.936152
Athetosis	Purine-Pyrimidine Metabolism, Inborn Errors	0.869029
Psychoses, Substance-Induced	Lewy Body Disease	0.923026
Lung Diseases	Bronchiectasis	0.847954
Lung Diseases	Pulmonary Veno-Occlusive Disease	0.802837
Angina Pectoris	Coronary Disease	0.974088
Angina Pectoris	Coronary Restenosis	0.806039
Pain	Breast Diseases	0.869456
Vipoma	Gastrinoma	0.883794
Syncope	Sick Sinus Syndrome	0.985687
Syncope	Long QT Syndrome	0.990177
Syncope	Arrhythmogenic Right Ventricular Dysplasia	0.971353
Syncope	Torsades de Pointes	0.946438
Syncope	Arrhythmias, Cardiac	0.83903
Syncope	Heart Block	0.959356
Syncope	Death, Sudden, Cardiac	0.900983
Syncope	Tachycardia, Ventricular	0.978593
Syncope	Ventricular Fibrillation	0.851043
Syncope	Brugada Syndrome	0.917034
Syncope	Bundle-Branch Block	0.885295
Dementia	Alzheimer Disease	0.973312
Dementia	Dementia, Vascular	0.899399
Dementia	Cognition Disorders	0.839475
Hyperlipidemias	Obesity	0.930571
Hyperlipidemias	Metabolic Diseases	0.915116
Hyperlipidemias	Hypercholesterolemia	0.926976
Hyperlipidemias	Glucose Intolerance	0.917449
Hyperlipidemias	Hyperlipoproteinemias	0.943095
Hyperlipidemias	Endometrial Hyperplasia	0.877495
Hyperlipidemias	Gout	0.899649
Hyperlipidemias	Endometrial Neoplasms	0.898368
Hyperlipidemias	Diabetes Mellitus	0.958687
Hyperlipidemias	Lipid Metabolism Disorders	0.844791
Hyperlipidemias	Hyperinsulinism	0.941196
Hyperlipidemias	Hyperlipoproteinemia Type IV	0.916981
Hyperlipidemias	Hypothalamic Diseases	0.800608
Hyperlipidemias	Bardet-Biedl Syndrome	0.858062
Hyperlipidemias	Hypertriglyceridemia	0.951506
Hyperlipidemias	Hyperlipidemia, Familial Combined	0.934206
Hyperlipidemias	Hypoalphalipoproteinemias	0.906766
Hyperlipidemias	Dyslipidemias	0.91877
Mucocutaneous Lymph Node Syndrome	Neutropenia	0.850718
Wilms Tumor	Congenital Abnormalities	0.826973
Immunologic Deficiency Syndromes	Candidiasis, Chronic Mucocutaneous	0.863775
Spinal Dysraphism	Vesico-Ureteral Reflux	0.915712
Spinal Dysraphism	Spina Bifida Cystica	0.932274
Spinal Dysraphism	Urinary Tract Infections	0.87717
Spinal Dysraphism	Urologic Diseases	0.831504
Deafness	Waardenburg's Syndrome	0.852985
Deafness	Ichthyosiform Erythroderma, Congenital	0.965103
Nails, Malformed	Orofaciodigital Syndromes	0.80345
Nails, Malformed	Hypertelorism	0.830505
Nails, Malformed	Xeroderma Pigmentosum	0.852395
Nails, Malformed	Chromosome Breakage	0.85154
Tooth Abnormalities	Coloboma	0.826382
Tooth Abnormalities	Cleidocranial Dysplasia	0.805322
Tooth Abnormalities	Nails, Malformed	0.816293
Tooth Abnormalities	Chromosome Disorders	0.83802
Tooth Abnormalities	Craniofacial Dysostosis	0.911513
Tooth Abnormalities	Orofaciodigital Syndromes	0.841926
Tooth Abnormalities	Amino Acid Metabolism, Inborn Errors	0.819822
Tooth Abnormalities	Fibromatosis, Gingival	0.861603
Tooth Abnormalities	Klinefelter Syndrome	0.806181
Tooth Abnormalities	Hypertelorism	0.880406
Tooth Abnormalities	Chromosome Aberrations	0.857584
Tooth Abnormalities	Syndactyly	0.85116
Tooth Abnormalities	Craniosynostoses	0.858504
Tooth Abnormalities	Xeroderma Pigmentosum	0.839769
Tooth Abnormalities	Hand Deformities, Congenital	0.889383
Tooth Abnormalities	Ectodermal Dysplasia	0.866963
Tooth Abnormalities	Chromosome Breakage	0.841658
Tooth Abnormalities	Exostoses, Multiple Hereditary	0.802335
Tooth Abnormalities	Foot Deformities, Congenital	0.83333
Macrocephaly	Fibromatosis, Gingival	0.810971
Macrocephaly	Xeroderma Pigmentosum	0.809368
Sick Sinus Syndrome	Long QT Syndrome	0.980121
Sick Sinus Syndrome	Arrhythmogenic Right Ventricular Dysplasia	0.959018
Sick Sinus Syndrome	Torsades de Pointes	0.934632
Sick Sinus Syndrome	Heart Block	0.961804
Sick Sinus Syndrome	Death, Sudden, Cardiac	0.913077
Sick Sinus Syndrome	Tachycardia, Ventricular	0.973254
Sick Sinus Syndrome	Ventricular Fibrillation	0.866258
Sick Sinus Syndrome	Brugada Syndrome	0.926217
Sick Sinus Syndrome	Bundle-Branch Block	0.897959
Lymphoma, B-Cell	Lymphoma, Large B-Cell, Diffuse	0.810507
Chromosome Disorders	Smith-Lemli-Opitz Syndrome	0.878149
Chromosome Disorders	Blepharophimosis	0.89062
Chromosome Disorders	Silver-Russell Syndrome	0.814441
Chromosome Disorders	Nails, Malformed	0.806374
Chromosome Disorders	Macrocephaly	0.865174
Chromosome Disorders	Craniofacial Dysostosis	0.898374
Chromosome Disorders	Rubinstein-Taybi Syndrome	0.814917
Chromosome Disorders	Orofaciodigital Syndromes	0.828905
Chromosome Disorders	Amino Acid Metabolism, Inborn Errors	0.942561
Chromosome Disorders	Fibromatosis, Gingival	0.898142
Chromosome Disorders	Hallermann's Syndrome	0.855382
Chromosome Disorders	Hypertelorism	0.841913
Chromosome Disorders	Chromosome Aberrations	0.966804
Chromosome Disorders	Syndactyly	0.884968
Chromosome Disorders	Craniosynostoses	0.904449
Chromosome Disorders	Polydactyly	0.910174
Chromosome Disorders	Xeroderma Pigmentosum	0.898716
Chromosome Disorders	Hand Deformities, Congenital	0.857796
Chromosome Disorders	Stereotypic Movement Disorder	0.815405
Chromosome Disorders	Anophthalmos	0.861052
Chromosome Disorders	Chromosome Breakage	0.920472
Chromosome Disorders	Cri-du-Chat Syndrome	0.874653
Chromosome Disorders	Exostoses, Multiple Hereditary	0.858417
Chromosome Disorders	Sebaceous Gland Neoplasms	0.850913
Chromosome Disorders	Wolf-Hirschhorn Syndrome	0.901952
Asthma	Pallister-Hall Syndrome	0.822611
Asthma	Asbestosis	0.851873
Asthma	Bronchial Hyperreactivity	0.934145
Asthma	Respiratory Hypersensitivity	0.822967
Asthma	Hypersensitivity, Immediate	0.847723
Craniofacial Dysostosis	Smith-Lemli-Opitz Syndrome	0.813079
Craniofacial Dysostosis	Nails, Malformed	0.856321
Craniofacial Dysostosis	Orofaciodigital Syndromes	0.905371
Craniofacial Dysostosis	Fibromatosis, Gingival	0.90061
Craniofacial Dysostosis	Hypertelorism	0.907174
Craniofacial Dysostosis	Syndactyly	0.903609
Craniofacial Dysostosis	Craniosynostoses	0.884326
Craniofacial Dysostosis	Polydactyly	0.831693
Craniofacial Dysostosis	Hand Deformities, Congenital	0.912122
Craniofacial Dysostosis	Chromosome Breakage	0.895601
Craniofacial Dysostosis	Foot Deformities, Congenital	0.838922
Colitis, Ulcerative	Crohn Disease	0.887839
Exocrine Pancreatic Insufficiency	Celiac Disease	0.856154
Premature Birth	Hernia, Umbilical	0.83326
Microcephaly	Nails, Malformed	0.839976
Microcephaly	Tooth Abnormalities	0.844628
Microcephaly	Macrocephaly	0.892118
Microcephaly	Chromosome Disorders	0.965221
Microcephaly	Craniofacial Dysostosis	0.925011
Microcephaly	Rubinstein-Taybi Syndrome	0.83428
Microcephaly	Dwarfism	0.940785
Microcephaly	Orofaciodigital Syndromes	0.863708
Microcephaly	Abnormalities, Multiple	0.978853
Microcephaly	Amino Acid Metabolism, Inborn Errors	0.967066
Microcephaly	Mental Retardation	0.983096
Microcephaly	Fibromatosis, Gingival	0.937276
Microcephaly	Piebaldism	0.846214
Microcephaly	Phenylketonurias	0.974757
Microcephaly	De Lange Syndrome	0.883006
Microcephaly	Klinefelter Syndrome	0.905274
Microcephaly	Tuberous Sclerosis	0.817487
Microcephaly	Hallermann's Syndrome	0.902019
Microcephaly	Down Syndrome	0.848082
Microcephaly	Hypertelorism	0.851148
Microcephaly	Skin Abnormalities	0.904462
Microcephaly	Metabolism, Inborn Errors	0.914369
Microcephaly	Mucopolysaccharidosis IV	0.849707
Microcephaly	Chromosome Aberrations	0.993475
Microcephaly	Syndactyly	0.907776
Microcephaly	Craniosynostoses	0.900289
Microcephaly	Carbohydrate Metabolism, Inborn Errors	0.8019
Microcephaly	Polydactyly	0.889254
Microcephaly	Xeroderma Pigmentosum	0.926552
Microcephaly	Hand Deformities, Congenital	0.872956
Microcephaly	Congenital Hypothyroidism	0.806525
Microcephaly	Stereotypic Movement Disorder	0.830957
Microcephaly	Homocystinuria	0.825348
Microcephaly	Ectodermal Dysplasia	0.827292
Microcephaly	Chromosome Breakage	0.961531
Microcephaly	Cri-du-Chat Syndrome	0.857707
Microcephaly	Exostoses, Multiple Hereditary	0.875325
Microcephaly	Sebaceous Gland Neoplasms	0.889659
Microcephaly	Pain Insensitivity, Congenital	0.818675
Microcephaly	Wolf-Hirschhorn Syndrome	0.904739
Microcephaly	Maple Syrup Urine Disease	0.879136
Brain Injuries	Craniocerebral Trauma	0.82421
Fibrous Dysplasia, Polyostotic	Cafe-au-Lait Spots	0.978085
Fibrous Dysplasia, Polyostotic	Colorectal Neoplasms, Hereditary Nonpolyposis	0.971549
HIV Infections	Acquired Immunodeficiency Syndrome	0.883855
HIV Infections	HIV Seropositivity	0.836684
HIV Infections	Graft vs Host Disease	0.835855
Kidney Failure, Chronic	Nephrotic Syndrome	0.867491
Kidney Failure, Chronic	Proteinuria	0.861198
Kidney Failure, Chronic	Glomerulosclerosis, Focal Segmental	0.874438
Kidney Failure, Chronic	Renal Insufficiency	0.895418
Glioma	Glioblastoma	0.834058
Glioma	Brain Neoplasms	0.813162
Fanconi Syndrome	Nephrotic Syndrome	0.895261
Fanconi Syndrome	Glomerulosclerosis, Focal Segmental	0.900077
Rubinstein-Taybi Syndrome	Xeroderma Pigmentosum	0.813549
Rubinstein-Taybi Syndrome	Chromosome Breakage	0.819144
Rubinstein-Taybi Syndrome	Cri-du-Chat Syndrome	0.805176
Night Blindness	Leber Congenital Amaurosis	0.861592
Night Blindness	Color Vision Defects	0.816022
Pulmonary Disease, Chronic Obstructive	Lung Diseases, Obstructive	0.814914
Pulmonary Disease, Chronic Obstructive	Lung Diseases, Interstitial	0.856005
Pulmonary Disease, Chronic Obstructive	Pulmonary Emphysema	0.911327
Pulmonary Disease, Chronic Obstructive	Pulmonary Alveolar Proteinosis	0.860354
Pulmonary Disease, Chronic Obstructive	Pulmonary Fibrosis	0.879701
Pulmonary Disease, Chronic Obstructive	Idiopathic Pulmonary Fibrosis	0.889265
Pulmonary Disease, Chronic Obstructive	Emphysema	0.89069
Dwarfism	Nails, Malformed	0.826348
Dwarfism	Tooth Abnormalities	0.835338
Dwarfism	Macrocephaly	0.853549
Dwarfism	Chromosome Disorders	0.909306
Dwarfism	Craniofacial Dysostosis	0.92303
Dwarfism	Orofaciodigital Syndromes	0.834105
Dwarfism	Amino Acid Metabolism, Inborn Errors	0.904533
Dwarfism	Fibromatosis, Gingival	0.885747
Dwarfism	Phenylketonurias	0.960984
Dwarfism	Klinefelter Syndrome	0.888597
Dwarfism	Hypertelorism	0.83598
Dwarfism	Congenital Abnormalities	0.800599
Dwarfism	Chromosome Aberrations	0.938677
Dwarfism	Syndactyly	0.861736
Dwarfism	Craniosynostoses	0.863195
Dwarfism	Polydactyly	0.858144
Dwarfism	Xeroderma Pigmentosum	0.890627
Dwarfism	Hand Deformities, Congenital	0.852296
Dwarfism	Congenital Hypothyroidism	0.867208
Dwarfism	Ectodermal Dysplasia	0.814742
Dwarfism	Chromosome Breakage	0.908098
Dwarfism	Cri-du-Chat Syndrome	0.822761
Dwarfism	Exostoses, Multiple Hereditary	0.839405
Dwarfism	Cryptorchidism	0.821354
Dwarfism	Wolf-Hirschhorn Syndrome	0.821065
Incontinentia Pigmenti	Classical Lissencephalies and Subcortical Band Heterotopias	0.957708
Learning Disorders	Attention Deficit Disorder with Hyperactivity	0.82312
Long QT Syndrome	Arrhythmogenic Right Ventricular Dysplasia	0.962687
Long QT Syndrome	Torsades de Pointes	0.948457
Long QT Syndrome	Coffin-Lowry Syndrome	0.845241
Long QT Syndrome	Romano-Ward Syndrome	0.854134
Long QT Syndrome	Death, Sudden, Cardiac	0.911538
Long QT Syndrome	Tachycardia, Ventricular	0.974926
Long QT Syndrome	Ventricular Fibrillation	0.869009
Long QT Syndrome	Atrioventricular Block	0.956243
Stomach Neoplasms	Stomach Ulcer	0.847311
Stomach Neoplasms	Duodenal Ulcer	0.820097
Stomach Neoplasms	Stomach Diseases	0.879209
Cardiomyopathies	Heart Diseases	0.853721
Cerebellar Diseases	Spinocerebellar Degenerations	0.835998
Psychotic Disorders	Psychoses, Substance-Induced	0.919284
Psychotic Disorders	Schizophrenia	0.920766
Psychotic Disorders	Lewy Body Disease	0.875952
Gilbert Disease	Crigler-Najjar Syndrome	0.929786
Orofaciodigital Syndromes	Blepharophimosis	0.82289
Liver Cirrhosis	Liver Diseases	0.824042
Dermatitis, Seborrheic	Alopecia	0.859898
Torsades de Pointes	Arrhythmogenic Right Ventricular Dysplasia	0.935133
Torsades de Pointes	Coffin-Lowry Syndrome	0.805717
Torsades de Pointes	Death, Sudden, Cardiac	0.918052
Torsades de Pointes	Ventricular Fibrillation	0.886234
Hypokalemic Periodic Paralysis	Myotonic Disorders	0.835832
Adrenocortical Carcinoma	46, XY Disorders of Sex Development	0.862558
Adrenocortical Carcinoma	46, XX Disorders of Sex Development	0.862558
Adrenocortical Carcinoma	Antley-Bixler Syndrome Phenotype	0.862558
Adrenocortical Carcinoma	Gonadal Dysgenesis, 46,XX	0.821428
Carcinoma, Hepatocellular	Liver Neoplasms	0.926237
Neoplasms, Experimental	Liver Neoplasms, Experimental	0.90754
Epilepsy, Absence	Epilepsies, Myoclonic	0.871005
Tetralogy of Fallot	Transposition of Great Vessels	0.97236
Obesity	Metabolic Diseases	0.941822
Obesity	Glucose Intolerance	0.939292
Obesity	Hyperlipoproteinemias	0.92309
Obesity	Endometrial Hyperplasia	0.928949
Obesity	Gout	0.874082
Obesity	Endometrial Neoplasms	0.943922
Obesity	Diabetes Mellitus	0.963128
Obesity	Lipid Metabolism Disorders	0.893968
Obesity	Hyperinsulinism	0.979443
Obesity	Bardet-Biedl Syndrome	0.928762
Obesity	Hyperlipidemia, Familial Combined	0.987497
Obesity	Hypoalphalipoproteinemias	0.988107
Obesity	Dyslipidemias	0.945105
Intestinal Neoplasms	Intestinal Polyps	0.825961
Intestinal Neoplasms	Gastrinoma	0.848222
Intestinal Neoplasms	Crohn Disease	0.823269
Nephrotic Syndrome	Nephrosis	0.985884
Nephrotic Syndrome	Denys-Drash Syndrome	0.955773
Nephrotic Syndrome	Lecithin Acyltransferase Deficiency	0.992435
Nephrotic Syndrome	Immune Complex Diseases	0.918671
Nephrotic Syndrome	Oculocerebrorenal Syndrome	0.868777
Nephrotic Syndrome	Anemia, Macrocytic	0.836105
Metabolic Diseases	Glucose Intolerance	0.92519
Metabolic Diseases	Hyperlipoproteinemias	0.898854
Metabolic Diseases	Diabetes Mellitus	0.933382
Metabolic Diseases	Lipid Metabolism Disorders	0.872182
Metabolic Diseases	Bardet-Biedl Syndrome	0.911989
Metabolic Diseases	Hyperlipidemia, Familial Combined	0.932871
Metabolic Diseases	Hypoalphalipoproteinemias	0.926101
Metabolic Diseases	Dyslipidemias	0.912953
Supranuclear Palsy, Progressive	Striatonigral Degeneration	0.967389
Gram-Negative Bacterial Infections	AIDS-Related Opportunistic Infections	0.918953
Gram-Negative Bacterial Infections	Celiac Disease	0.876898
Hypercholesterolemia	Glucose Intolerance	0.819358
Hypercholesterolemia	Hyperlipoproteinemias	0.854487
Hypercholesterolemia	Diabetes Mellitus	0.837473
Hypercholesterolemia	Dyslipidemias	0.812242
Essential Tremor	Tremor	0.895442
Keloid	Candidiasis, Vulvovaginal	0.880891
Keloid	Keratosis	0.804279
Myositis Ossificans	Oral Submucous Fibrosis	0.870321
Myositis Ossificans	Ankylosis	0.844912
Citrullinemia	Carbamoyl-Phosphate Synthase I Deficiency Disease	0.947027
Photosensitivity Disorders	Keratosis	0.800245
Fibromatosis, Abdominal	Hereditary Angioedema Type III	0.883577
Abnormalities, Multiple	Coloboma	0.850732
Abnormalities, Multiple	Smith-Lemli-Opitz Syndrome	0.870029
Abnormalities, Multiple	Nails, Malformed	0.872301
Abnormalities, Multiple	Tooth Abnormalities	0.890831
Abnormalities, Multiple	Macrocephaly	0.88443
Abnormalities, Multiple	Chromosome Disorders	0.963684
Abnormalities, Multiple	Craniofacial Dysostosis	0.958652
Abnormalities, Multiple	Rubinstein-Taybi Syndrome	0.828028
Abnormalities, Multiple	Dwarfism	0.940949
Abnormalities, Multiple	Orofaciodigital Syndromes	0.900247
Abnormalities, Multiple	Amino Acid Metabolism, Inborn Errors	0.945316
Abnormalities, Multiple	Fibromatosis, Gingival	0.944149
Abnormalities, Multiple	Piebaldism	0.844621
Abnormalities, Multiple	Phenylketonurias	0.946845
Abnormalities, Multiple	Klinefelter Syndrome	0.903543
Abnormalities, Multiple	Fragile X Syndrome	0.884108
Abnormalities, Multiple	Hypertelorism	0.906117
Abnormalities, Multiple	Skin Abnormalities	0.894069
Abnormalities, Multiple	Metabolism, Inborn Errors	0.910495
Abnormalities, Multiple	Chromosome Aberrations	0.987045
Abnormalities, Multiple	Syndactyly	0.922725
Abnormalities, Multiple	Craniosynostoses	0.91102
Abnormalities, Multiple	Carbohydrate Metabolism, Inborn Errors	0.800037
Abnormalities, Multiple	Polydactyly	0.901875
Abnormalities, Multiple	Xeroderma Pigmentosum	0.939818
Abnormalities, Multiple	Hand Deformities, Congenital	0.921072
Abnormalities, Multiple	Congenital Hypothyroidism	0.861029
Abnormalities, Multiple	Stereotypic Movement Disorder	0.814544
Abnormalities, Multiple	Ectodermal Dysplasia	0.858448
Abnormalities, Multiple	Chromosome Breakage	0.955497
Abnormalities, Multiple	Cri-du-Chat Syndrome	0.862531
Abnormalities, Multiple	Exostoses, Multiple Hereditary	0.876769
Abnormalities, Multiple	Sebaceous Gland Neoplasms	0.855438
Abnormalities, Multiple	Pain Insensitivity, Congenital	0.811358
Abnormalities, Multiple	Wolf-Hirschhorn Syndrome	0.898583
Abnormalities, Multiple	Foot Deformities, Congenital	0.831197
Abnormalities, Multiple	Genetic Diseases, Inborn	0.861832
Abnormalities, Multiple	Maple Syrup Urine Disease	0.855798
Amino Acid Metabolism, Inborn Errors	Nails, Malformed	0.817837
Amino Acid Metabolism, Inborn Errors	Macrocephaly	0.847506
Amino Acid Metabolism, Inborn Errors	Rubinstein-Taybi Syndrome	0.813234
Amino Acid Metabolism, Inborn Errors	Orofaciodigital Syndromes	0.845941
Amino Acid Metabolism, Inborn Errors	Fibromatosis, Gingival	0.927864
Amino Acid Metabolism, Inborn Errors	Hypertelorism	0.821261
Amino Acid Metabolism, Inborn Errors	Syndactyly	0.87183
Amino Acid Metabolism, Inborn Errors	Craniosynostoses	0.873052
Amino Acid Metabolism, Inborn Errors	Polydactyly	0.862173
Amino Acid Metabolism, Inborn Errors	Xeroderma Pigmentosum	0.921086
Amino Acid Metabolism, Inborn Errors	Hand Deformities, Congenital	0.837732
Amino Acid Metabolism, Inborn Errors	Chromosome Breakage	0.92285
Amino Acid Metabolism, Inborn Errors	Cri-du-Chat Syndrome	0.839858
Amino Acid Metabolism, Inborn Errors	Exostoses, Multiple Hereditary	0.853997
Amino Acid Metabolism, Inborn Errors	Maple Syrup Urine Disease	0.90712
Paralyses, Familial Periodic	Paralysis, Hyperkalemic Periodic	0.949703
Anemia, Dyserythropoietic, Congenital	Anemia, Diamond-Blackfan	0.903629
Pituitary ACTH Hypersecretion	Acanthosis Nigricans	0.81438
Lung Diseases, Interstitial	Pulmonary Alveolar Proteinosis	0.922376
Lung Diseases, Interstitial	Pulmonary Fibrosis	0.932657
Lung Diseases, Interstitial	Idiopathic Pulmonary Fibrosis	0.938887
Myotonia Congenita	Myotonic Dystrophy	0.824606
Osteoarthritis	Osteoarthritis, Hip	0.938528
Osteoarthritis	Osteoarthritis, Knee	0.924619
Neurofibromatoses	Cafe-au-Lait Spots	0.977045
Neurofibromatoses	Fibrous Dysplasia, Polyostotic	0.966539
Neurofibromatoses	Neurofibromatosis 1	0.913221
Mental Retardation	Smith-Lemli-Opitz Syndrome	0.829603
Mental Retardation	Blepharophimosis	0.92045
Mental Retardation	Nails, Malformed	0.846442
Mental Retardation	Tooth Abnormalities	0.835582
Mental Retardation	Macrocephaly	0.872913
Mental Retardation	Chromosome Disorders	0.946493
Mental Retardation	Craniofacial Dysostosis	0.908062
Mental Retardation	Rubinstein-Taybi Syndrome	0.840844
Mental Retardation	Dwarfism	0.922102
Mental Retardation	Orofaciodigital Syndromes	0.863916
Mental Retardation	Abnormalities, Multiple	0.969765
Mental Retardation	Amino Acid Metabolism, Inborn Errors	0.948897
Mental Retardation	Fibromatosis, Gingival	0.943041
Mental Retardation	Piebaldism	0.854463
Mental Retardation	Phenylketonurias	0.968913
Mental Retardation	De Lange Syndrome	0.870633
Mental Retardation	Klinefelter Syndrome	0.909358
Mental Retardation	Fragile X Syndrome	0.906021
Mental Retardation	Hallermann's Syndrome	0.921674
Mental Retardation	Down Syndrome	0.83959
Mental Retardation	Hypertelorism	0.845178
Mental Retardation	Skin Abnormalities	0.902062
Mental Retardation	Metabolism, Inborn Errors	0.880525
Mental Retardation	Mucopolysaccharidosis IV	0.84801
Mental Retardation	Chromosome Aberrations	0.985722
Mental Retardation	Syndactyly	0.900638
Mental Retardation	Craniosynostoses	0.899153
Mental Retardation	Polydactyly	0.857152
Mental Retardation	Xeroderma Pigmentosum	0.939746
Mental Retardation	Hand Deformities, Congenital	0.865881
Mental Retardation	Stereotypic Movement Disorder	0.83707
Mental Retardation	Homocystinuria	0.808275
Mental Retardation	Anophthalmos	0.894077
Mental Retardation	Ectodermal Dysplasia	0.816113
Mental Retardation	Chromosome Breakage	0.980734
Mental Retardation	Cri-du-Chat Syndrome	0.858345
Mental Retardation	Exostoses, Multiple Hereditary	0.88644
Mental Retardation	Sebaceous Gland Neoplasms	0.865116
Mental Retardation	Pain Insensitivity, Congenital	0.832016
Mental Retardation	Wolf-Hirschhorn Syndrome	0.871457
Mental Retardation	Genetic Diseases, Inborn	0.80461
Mental Retardation	Maple Syrup Urine Disease	0.846795
Optic Atrophy	Glaucoma	0.862475
Optic Atrophy	Retinal Diseases	0.908315
Memory Disorders	Cognition Disorders	0.857234
Mammary Neoplasms, Experimental	Cardiomegaly	0.813048
Mammary Neoplasms, Experimental	Liver Cirrhosis, Experimental	0.908068
Glucose Intolerance	Hyperlipoproteinemias	0.883439
Glucose Intolerance	Hypoalphalipoproteinemias	0.908757
Glucose Intolerance	Dyslipidemias	0.917061
Hyperlipoproteinemias	Hypoalphalipoproteinemias	0.913898
Bone Diseases, Developmental	Coloboma	0.875183
Bone Diseases, Developmental	Blepharophimosis	0.813879
Bone Diseases, Developmental	Nails, Malformed	0.839199
Bone Diseases, Developmental	Tooth Abnormalities	0.896931
Bone Diseases, Developmental	Chromosome Disorders	0.848944
Bone Diseases, Developmental	Craniofacial Dysostosis	0.928046
Bone Diseases, Developmental	Microcephaly	0.858181
Bone Diseases, Developmental	Dwarfism	0.867007
Bone Diseases, Developmental	Orofaciodigital Syndromes	0.884709
Bone Diseases, Developmental	Abnormalities, Multiple	0.913408
Bone Diseases, Developmental	Amino Acid Metabolism, Inborn Errors	0.826481
Bone Diseases, Developmental	Mental Retardation	0.841023
Bone Diseases, Developmental	Fibromatosis, Gingival	0.85239
Bone Diseases, Developmental	Phenylketonurias	0.823841
Bone Diseases, Developmental	De Lange Syndrome	0.84362
Bone Diseases, Developmental	Klinefelter Syndrome	0.812614
Bone Diseases, Developmental	Down Syndrome	0.823455
Bone Diseases, Developmental	Hypertelorism	0.879399
