MeSH Disease Term source	MeSH Disease Term target	symptom similarity score
Leukemia, Myeloid, Acute	Hodgkin Disease	0.708841
Leukemia, Myeloid, Acute	Lymphoma, Non-Hodgkin	0.789389
Leukemia, Myeloid, Acute	Hematologic Neoplasms	0.79508
Leukemia, Myeloid, Acute	Dengue	0.724136
Leukemia, Myeloid, Acute	Agranulocytosis	0.70958
Adrenocortical Hyperfunction	Dermatitis, Seborrheic	0.781724
Adrenocortical Hyperfunction	Pituitary ACTH Hypersecretion	0.758956
Adrenocortical Hyperfunction	Lipodystrophy, Familial Partial	0.713933
Adrenocortical Hyperfunction	Acanthosis Nigricans	0.846727
Adrenocortical Hyperfunction	Cushing Syndrome	0.831758
Adrenocortical Hyperfunction	Alopecia	0.818868
Adrenocortical Hyperfunction	Amenorrhea	0.708168
Lung Diseases, Obstructive	Respiratory Distress Syndrome, Adult	0.895346
Lung Diseases, Obstructive	Pulmonary Emphysema	0.908151
Lung Diseases, Obstructive	Emphysema	0.884171
Respiratory Tract Infections	Asthma	0.850807
Respiratory Tract Infections	Hypersensitivity	0.742742
Disorders of Sex Development	46, XY Disorders of Sex Development	0.862454
Disorders of Sex Development	Leydig Cell Tumor	0.932499
Disorders of Sex Development	Adrenocortical Carcinoma	0.977895
Disorders of Sex Development	46, XX Disorders of Sex Development	0.862454
Disorders of Sex Development	Antley-Bixler Syndrome Phenotype	0.862454
Disorders of Sex Development	Androgen-Insensitivity Syndrome	0.803916
Disorders of Sex Development	Gonadal Dysgenesis, 46,XX	0.823281
Disorders of Sex Development	Gonadal Dysgenesis, 46,XY	0.733123
Myocardial Stunning	Coronary Restenosis	0.840244
Macular Degeneration	Myopia, Degenerative	0.720173
Macular Degeneration	Choroid Diseases	0.829216
Macular Degeneration	Retinal Drusen	0.840675
Macular Degeneration	Optic Atrophy, Hereditary, Leber	0.738131
Macular Degeneration	Retinal Diseases	0.83974
Macular Degeneration	Choroidal Neovascularization	0.899181
Macular Degeneration	Optic Neuropathy, Ischemic	0.724833
Marfan Syndrome	Rubinstein-Taybi Syndrome	0.710521
Marfan Syndrome	Xeroderma Pigmentosum	0.728523
Muscular Diseases	Myositis	0.828127
Muscular Diseases	Muscular Dystrophies	0.816695
Common Variable Immunodeficiency	Bernard-Soulier Syndrome	0.76938
Common Variable Immunodeficiency	Autoimmune Lymphoproliferative Syndrome	0.795771
Common Variable Immunodeficiency	IgA Deficiency	0.727209
Diabetic Nephropathies	Diabetic Retinopathy	0.73436
Diabetic Nephropathies	Hypertrophy, Left Ventricular	0.759457
Diabetic Nephropathies	Diabetic Angiopathies	0.918446
Diabetic Nephropathies	Polycystic Kidney, Autosomal Dominant	0.872883
Diabetic Nephropathies	Renal Insufficiency	0.805042
Smith-Lemli-Opitz Syndrome	Macrocephaly	0.774866
Smith-Lemli-Opitz Syndrome	Hypertelorism	0.754688
Smith-Lemli-Opitz Syndrome	Chromosome Breakage	0.813486
Niemann-Pick Disease, Type C	Supranuclear Palsy, Progressive	0.832963
Niemann-Pick Disease, Type C	Tauopathies	0.821935
Hyperparathyroidism	Hypocalcemia	0.855151
Hyperparathyroidism	Rickets	0.869083
Hyperparathyroidism	Hypoparathyroidism	0.846416
Tetany	Magnesium Deficiency	0.878784
Eczema	Keloid	0.743033
Eczema	Keratosis	0.814481
Skin Diseases	Eczema	0.830179
Skin Diseases	Dermatitis, Exfoliative	0.844568
Skin Diseases	Dermatitis, Allergic Contact	0.815584
Skin Diseases	Keloid	0.7754
Skin Diseases	Photosensitivity Disorders	0.768467
Skin Diseases	Drug Eruptions	0.873497
Skin Diseases	Dermatitis, Contact	0.818113
Skin Diseases	Dermatitis	0.908545
Skin Diseases	Facial Dermatoses	0.763369
Skin Diseases	Porokeratosis	0.784421
Skin Diseases	Psoriasis	0.86083
Skin Diseases	Urticaria	0.887011
Skin Diseases	Liver Cirrhosis, Biliary	0.730677
Skin Diseases	Erythema	0.75002
Skin Diseases	Folliculitis	0.821728
Skin Diseases	Staphylococcal Skin Infections	0.767563
Skin Diseases	Erythrokeratodermia Variabilis	0.788097
Skin Diseases	Cholestasis, Intrahepatic	0.743108
Skin Diseases	Pruritus	0.794618
Skin Diseases	Vulvar Neoplasms	0.783448
Skin Diseases	Parapsoriasis	0.758631
Skin Diseases	Dermatitis, Atopic	0.844804
Skin Diseases	Keratosis	0.805688
Skin Diseases	Lymphoma, T-Cell, Cutaneous	0.759367
Mitochondrial Diseases	Mitochondrial Myopathies	0.91771
Mitochondrial Diseases	Mitochondrial Encephalomyopathies	0.883747
Multiple Sclerosis, Relapsing-Remitting	Multiple Sclerosis, Chronic Progressive	0.825854
Pancytopenia	Hereditary Autoinflammatory Diseases	0.743127
Hypertension, Pulmonary	Respiratory Distress Syndrome, Adult	0.716471
Hypertension, Pulmonary	Lung Diseases, Obstructive	0.741607
Hypertension, Pulmonary	Reperfusion Injury	0.879453
Hypertension, Pulmonary	Polycythemia	0.952198
Hypertension, Pulmonary	Persistent Fetal Circulation Syndrome	0.757804
Hypertension, Pulmonary	Myocardial Reperfusion Injury	0.931289
Neural Tube Defects	Spinal Dysraphism	0.942302
Neural Tube Defects	Vesico-Ureteral Reflux	0.872858
Neural Tube Defects	Spina Bifida Cystica	0.876442
Neural Tube Defects	Urinary Tract Infections	0.882048
Neural Tube Defects	Urinary Bladder Neoplasms	0.746622
Neural Tube Defects	Meningomyelocele	0.936152
Neural Tube Defects	Urologic Diseases	0.795362
Melanoma, Experimental	Mammary Neoplasms, Experimental	0.71042
Athetosis	Purine-Pyrimidine Metabolism, Inborn Errors	0.869029
Psychoses, Substance-Induced	Lewy Body Disease	0.923026
Hypoproteinemia	Lymphedema	0.725381
Intestinal Polyps	Gastrinoma	0.757902
Lung Diseases	Pneumonia	0.759943
Lung Diseases	Bronchiectasis	0.847954
Lung Diseases	Lung Diseases, Interstitial	0.723439
Lung Diseases	Hemangiosarcoma	0.737239
Lung Diseases	Pneumothorax	0.70804
Lung Diseases	Lung Neoplasms	0.755821
Lung Diseases	Cystic Fibrosis	0.782699
Lung Diseases	Pulmonary Embolism	0.717645
Lung Diseases	Pulmonary Veno-Occlusive Disease	0.802837
Lung Diseases	Pleural Diseases	0.738619
Lung Diseases	Pulmonary Fibrosis	0.711382
Lung Diseases	Respiratory System Abnormalities	0.73284
Lung Diseases	Lymphangioleiomyomatosis	0.716345
Legg-Perthes Disease	Osteochondritis Dissecans	0.771717
Cleidocranial Dysplasia	Orofaciodigital Syndromes	0.732002
Cleidocranial Dysplasia	Mandibulofacial Dysostosis	0.740441
Cleidocranial Dysplasia	Synostosis	0.762466
Cleidocranial Dysplasia	Hand Deformities, Congenital	0.728612
Lipid Metabolism, Inborn Errors	Amino Acid Metabolism, Inborn Errors	0.727196
Lipid Metabolism, Inborn Errors	Polydactyly	0.717251
Angina Pectoris	Thoracic Diseases	0.755931
Angina Pectoris	Coronary Disease	0.974088
Angina Pectoris	Coronary Restenosis	0.806039
Pain	Osteoarthritis	0.728332
Pain	Bone Neoplasms	0.708093
Pain	Opioid-Related Disorders	0.76594
Pain	Breast Diseases	0.869456
Vipoma	Gastrinoma	0.883794
Syncope	Sick Sinus Syndrome	0.985687
Syncope	Long QT Syndrome	0.990177
Syncope	Arrhythmogenic Right Ventricular Dysplasia	0.971353
Syncope	Torsades de Pointes	0.946438
Syncope	Arrhythmias, Cardiac	0.83903
Syncope	Heart Block	0.959356
Syncope	Death, Sudden, Cardiac	0.900983
Syncope	Tachycardia, Ventricular	0.978593
Syncope	Ventricular Fibrillation	0.851043
Syncope	Brugada Syndrome	0.917034
Syncope	Bundle-Branch Block	0.885295
Dementia	Alzheimer Disease	0.973312
Dementia	Memory Disorders	0.749656
Dementia	Dementia, Vascular	0.899399
Dementia	Cognition Disorders	0.839475
Dementia	Atrophy	0.781751
Liver Cirrhosis, Alcoholic	Liver Diseases, Alcoholic	0.70263
Basal Ganglia Diseases	Movement Disorders	0.734477
Hodgkin Disease	Lymphoma, Non-Hodgkin	0.736328
Hodgkin Disease	Drug Hypersensitivity	0.763536
Hodgkin Disease	Splenomegaly	0.70427
Hyperlipidemias	Obesity	0.930571
Hyperlipidemias	Metabolic Diseases	0.915116
Hyperlipidemias	Hypercholesterolemia	0.926976
Hyperlipidemias	Glucose Intolerance	0.917449
Hyperlipidemias	Hyperlipoproteinemias	0.943095
Hyperlipidemias	Endometrial Hyperplasia	0.877495
Hyperlipidemias	Gout	0.899649
Hyperlipidemias	Prader-Willi Syndrome	0.724029
Hyperlipidemias	Endometrial Neoplasms	0.898368
Hyperlipidemias	Hyperuricemia	0.794148
Hyperlipidemias	Diabetes Mellitus	0.958687
Hyperlipidemias	Cushing Syndrome	0.727315
Hyperlipidemias	Lipid Metabolism Disorders	0.844791
Hyperlipidemias	Hyperinsulinism	0.941196
Hyperlipidemias	Hyperlipoproteinemia Type IV	0.916981
Hyperlipidemias	Hypothalamic Diseases	0.800608
Hyperlipidemias	Bardet-Biedl Syndrome	0.858062
Hyperlipidemias	Hypertriglyceridemia	0.951506
Hyperlipidemias	Hyperlipidemia, Familial Combined	0.934206
Hyperlipidemias	Hypoalphalipoproteinemias	0.906766
Hyperlipidemias	Dyslipidemias	0.91877
Mucocutaneous Lymph Node Syndrome	Neutropenia	0.850718
Leukemia, Lymphoid	Leukemia, Myeloid, Acute	0.752659
Leukemia, Lymphoid	Leukemia, Myeloid	0.784599
Leukemia, Lymphoid	Lymphoma	0.734223
Myxoma	Cardiomyopathy, Hypertrophic	0.702738
Wilms Tumor	Smith-Lemli-Opitz Syndrome	0.716796
Wilms Tumor	Dwarfism	0.798046
Wilms Tumor	Amino Acid Metabolism, Inborn Errors	0.710238
Wilms Tumor	Phenylketonurias	0.7825
Wilms Tumor	Congenital Abnormalities	0.826973
Wilms Tumor	Chromosome Aberrations	0.723509
Wilms Tumor	Polydactyly	0.713037
Wilms Tumor	Cryptorchidism	0.749194
Arthritis, Psoriatic	Osteoarthritis, Knee	0.718056
Galactosemias	Phenylketonurias	0.725
Immunologic Deficiency Syndromes	Candidiasis, Chronic Mucocutaneous	0.863775
Spinal Dysraphism	Vesico-Ureteral Reflux	0.915712
Spinal Dysraphism	Spina Bifida Cystica	0.932274
Spinal Dysraphism	Urinary Tract Infections	0.87717
Spinal Dysraphism	Urinary Bladder Neoplasms	0.74614
Spinal Dysraphism	Anus, Imperforate	0.721018
Spinal Dysraphism	Urologic Diseases	0.831504
Deafness	Keratoderma, Palmoplantar	0.70951
Deafness	Waardenburg's Syndrome	0.852985
Deafness	Klippel-Feil Syndrome	0.767078
Deafness	Ichthyosiform Erythroderma, Congenital	0.965103
Nails, Malformed	Macrocephaly	0.727994
Nails, Malformed	Orofaciodigital Syndromes	0.80345
Nails, Malformed	Hypertelorism	0.830505
Nails, Malformed	Xeroderma Pigmentosum	0.852395
Nails, Malformed	Chromosome Breakage	0.85154
Nails, Malformed	Wolf-Hirschhorn Syndrome	0.76578
Nails, Malformed	Foot Deformities, Congenital	0.799192
Bradycardia	Long QT Syndrome	0.719526
Bradycardia	Heart Block	0.731342
Bradycardia	Tachycardia, Ventricular	0.716113
Tooth Abnormalities	Coloboma	0.826382
Tooth Abnormalities	Cleidocranial Dysplasia	0.805322
Tooth Abnormalities	Nails, Malformed	0.816293
Tooth Abnormalities	Macrocephaly	0.726646
Tooth Abnormalities	Chromosome Disorders	0.83802
Tooth Abnormalities	Craniofacial Dysostosis	0.911513
Tooth Abnormalities	Ichthyosis	0.706536
Tooth Abnormalities	Rubinstein-Taybi Syndrome	0.726077
Tooth Abnormalities	Orofaciodigital Syndromes	0.841926
Tooth Abnormalities	Amino Acid Metabolism, Inborn Errors	0.819822
Tooth Abnormalities	Fibromatosis, Gingival	0.861603
Tooth Abnormalities	Piebaldism	0.785619
Tooth Abnormalities	Klinefelter Syndrome	0.806181
Tooth Abnormalities	Hallermann's Syndrome	0.759978
Tooth Abnormalities	Hypertelorism	0.880406
Tooth Abnormalities	Chromosome Aberrations	0.857584
Tooth Abnormalities	Syndactyly	0.85116
Tooth Abnormalities	Craniosynostoses	0.858504
Tooth Abnormalities	Polydactyly	0.76236
Tooth Abnormalities	Xeroderma Pigmentosum	0.839769
Tooth Abnormalities	Hand Deformities, Congenital	0.889383
Tooth Abnormalities	Anophthalmos	0.747642
Tooth Abnormalities	Ectodermal Dysplasia	0.866963
Tooth Abnormalities	Chromosome Breakage	0.841658
Tooth Abnormalities	Cri-du-Chat Syndrome	0.783273
Tooth Abnormalities	Exostoses, Multiple Hereditary	0.802335
Tooth Abnormalities	Sebaceous Gland Neoplasms	0.724211
Tooth Abnormalities	Pain Insensitivity, Congenital	0.702983
Tooth Abnormalities	Wolf-Hirschhorn Syndrome	0.774935
Tooth Abnormalities	Foot Deformities, Congenital	0.83333
Macrocephaly	Orofaciodigital Syndromes	0.798256
Macrocephaly	Fibromatosis, Gingival	0.810971
Macrocephaly	Hypertelorism	0.724303
Macrocephaly	Xeroderma Pigmentosum	0.809368
Sick Sinus Syndrome	Bradycardia	0.7313
Sick Sinus Syndrome	Long QT Syndrome	0.980121
Sick Sinus Syndrome	Arrhythmogenic Right Ventricular Dysplasia	0.959018
Sick Sinus Syndrome	Torsades de Pointes	0.934632
Sick Sinus Syndrome	Atrial Fibrillation	0.732183
Sick Sinus Syndrome	Heart Block	0.961804
Sick Sinus Syndrome	Death, Sudden, Cardiac	0.913077
Sick Sinus Syndrome	Tachycardia, Ventricular	0.973254
Sick Sinus Syndrome	Ventricular Fibrillation	0.866258
Sick Sinus Syndrome	Brugada Syndrome	0.926217
Sick Sinus Syndrome	Bundle-Branch Block	0.897959
Lymphoma, B-Cell	Lymphoma, T-Cell	0.727758
Lymphoma, B-Cell	Lymphoma, Large B-Cell, Diffuse	0.810507
Hypertension, Pregnancy-Induced	Lecithin Acyltransferase Deficiency	0.772162
Chromosome Disorders	Coloboma	0.763767
Chromosome Disorders	Smith-Lemli-Opitz Syndrome	0.878149
Chromosome Disorders	Blepharophimosis	0.89062
Chromosome Disorders	Lipid Metabolism, Inborn Errors	0.750999
Chromosome Disorders	Silver-Russell Syndrome	0.814441
Chromosome Disorders	Nails, Malformed	0.806374
Chromosome Disorders	Macrocephaly	0.865174
Chromosome Disorders	Craniofacial Dysostosis	0.898374
Chromosome Disorders	Smith-Magenis Syndrome	0.747712
Chromosome Disorders	Rubinstein-Taybi Syndrome	0.814917
Chromosome Disorders	Orofaciodigital Syndromes	0.828905
Chromosome Disorders	Nevus	0.740074
Chromosome Disorders	Amino Acid Metabolism, Inborn Errors	0.942561
Chromosome Disorders	Fibromatosis, Gingival	0.898142
Chromosome Disorders	Hallermann's Syndrome	0.855382
Chromosome Disorders	Hypertelorism	0.841913
Chromosome Disorders	Chromosome Aberrations	0.966804
Chromosome Disorders	Syndactyly	0.884968
Chromosome Disorders	Craniosynostoses	0.904449
Chromosome Disorders	Carbohydrate Metabolism, Inborn Errors	0.780622
Chromosome Disorders	Polydactyly	0.910174
Chromosome Disorders	Xeroderma Pigmentosum	0.898716
Chromosome Disorders	Hand Deformities, Congenital	0.857796
Chromosome Disorders	Stereotypic Movement Disorder	0.815405
Chromosome Disorders	Anophthalmos	0.861052
Chromosome Disorders	Chromosome Breakage	0.920472
Chromosome Disorders	Cri-du-Chat Syndrome	0.874653
Chromosome Disorders	Exostoses, Multiple Hereditary	0.858417
Chromosome Disorders	Sebaceous Gland Neoplasms	0.850913
Chromosome Disorders	Pierre Robin Syndrome	0.728041
Chromosome Disorders	Wolf-Hirschhorn Syndrome	0.901952
Chromosome Disorders	Foot Deformities, Congenital	0.765655
Eosinophilia	Hypereosinophilic Syndrome	0.773625
Agammaglobulinemia	Vipoma	0.768737
Agammaglobulinemia	Immunologic Deficiency Syndromes	0.738378
Agammaglobulinemia	Graft vs Host Disease	0.702414
Rhinitis	Respiratory Hypersensitivity	0.73831
Spondylitis, Ankylosing	Sarcoma, Ewing's	0.729194
Asthma	Pallister-Hall Syndrome	0.822611
Asthma	Hypersensitivity	0.799856
Asthma	Asbestosis	0.851873
Asthma	Bronchial Hyperreactivity	0.934145
Asthma	Respiratory Hypersensitivity	0.822967
Asthma	Hypersensitivity, Immediate	0.847723
Multiple Sclerosis	Multiple Sclerosis, Relapsing-Remitting	0.712631
Multiple Sclerosis	Multiple Sclerosis, Chronic Progressive	0.733602
Craniofacial Dysostosis	Smith-Lemli-Opitz Syndrome	0.813079
Craniofacial Dysostosis	Nails, Malformed	0.856321
Craniofacial Dysostosis	Rubinstein-Taybi Syndrome	0.766897
Craniofacial Dysostosis	Orofaciodigital Syndromes	0.905371
Craniofacial Dysostosis	Fibromatosis, Gingival	0.90061
Craniofacial Dysostosis	Hypertelorism	0.907174
Craniofacial Dysostosis	Synostosis	0.719665
Craniofacial Dysostosis	Syndactyly	0.903609
Craniofacial Dysostosis	Craniosynostoses	0.884326
Craniofacial Dysostosis	Polydactyly	0.831693
Craniofacial Dysostosis	Hand Deformities, Congenital	0.912122
Craniofacial Dysostosis	Chromosome Breakage	0.895601
Craniofacial Dysostosis	Cri-du-Chat Syndrome	0.797924
Craniofacial Dysostosis	Foot Deformities, Congenital	0.838922
Colitis, Ulcerative	Inflammatory Bowel Diseases	0.788582
Colitis, Ulcerative	Crohn Disease	0.887839
Colitis, Ulcerative	Celiac Disease	0.702818
Exocrine Pancreatic Insufficiency	Celiac Disease	0.856154
Exocrine Pancreatic Insufficiency	Graft vs Host Disease	0.707341
Premature Birth	Bronchopulmonary Dysplasia	0.793081
Premature Birth	Hernia, Umbilical	0.83326
Microcephaly	Coloboma	0.777818
Microcephaly	Silver-Russell Syndrome	0.779878
Microcephaly	Wilms Tumor	0.728002
Microcephaly	Nails, Malformed	0.839976
Microcephaly	Tooth Abnormalities	0.844628
Microcephaly	Macrocephaly	0.892118
Microcephaly	Chromosome Disorders	0.965221
Microcephaly	Craniofacial Dysostosis	0.925011
Microcephaly	Smith-Magenis Syndrome	0.759978
Microcephaly	Rubinstein-Taybi Syndrome	0.83428
Microcephaly	Dwarfism	0.940785
Microcephaly	Orofaciodigital Syndromes	0.863708
Microcephaly	Brain Diseases, Metabolic, Inborn	0.701162
Microcephaly	Nevus	0.778686
Microcephaly	Abnormalities, Multiple	0.978853
Microcephaly	Amino Acid Metabolism, Inborn Errors	0.967066
Microcephaly	Mental Retardation	0.983096
Microcephaly	Fibromatosis, Gingival	0.937276
Microcephaly	Piebaldism	0.846214
Microcephaly	Phenylketonurias	0.974757
Microcephaly	Growth Disorders	0.768217
Microcephaly	De Lange Syndrome	0.883006
Microcephaly	Hypopigmentation	0.707399
Microcephaly	Klinefelter Syndrome	0.905274
Microcephaly	Spasms, Infantile	0.776737
Microcephaly	Tuberous Sclerosis	0.817487
Microcephaly	Hallermann's Syndrome	0.902019
Microcephaly	Down Syndrome	0.848082
Microcephaly	Hypertelorism	0.851148
Microcephaly	Skin Abnormalities	0.904462
Microcephaly	Metabolism, Inborn Errors	0.914369
Microcephaly	Mucopolysaccharidosis IV	0.849707
Microcephaly	Chromosome Aberrations	0.993475
Microcephaly	Syndactyly	0.907776
Microcephaly	Craniosynostoses	0.900289
Microcephaly	Carbohydrate Metabolism, Inborn Errors	0.8019
Microcephaly	Polydactyly	0.889254
Microcephaly	Xeroderma Pigmentosum	0.926552
Microcephaly	Hand Deformities, Congenital	0.872956
Microcephaly	Congenital Hypothyroidism	0.806525
Microcephaly	Stereotypic Movement Disorder	0.830957
Microcephaly	Homocystinuria	0.825348
Microcephaly	Ectodermal Dysplasia	0.827292
Microcephaly	Chromosome Breakage	0.961531
Microcephaly	Cri-du-Chat Syndrome	0.857707
Microcephaly	Exostoses, Multiple Hereditary	0.875325
Microcephaly	Cryptorchidism	0.746392
Microcephaly	Sebaceous Gland Neoplasms	0.889659
Microcephaly	Acrocephalosyndactylia	0.772857
Microcephaly	Pierre Robin Syndrome	0.733725
Microcephaly	Angelman Syndrome	0.750699
Microcephaly	Pain Insensitivity, Congenital	0.818675
Microcephaly	Wolf-Hirschhorn Syndrome	0.904739
Microcephaly	Foot Deformities, Congenital	0.769386
Microcephaly	Maple Syrup Urine Disease	0.879136
Microcephaly	Microphthalmos	0.713605
Brain Injuries	Craniocerebral Trauma	0.82421
Fibrous Dysplasia, Polyostotic	Cafe-au-Lait Spots	0.978085
Fibrous Dysplasia, Polyostotic	Colorectal Neoplasms, Hereditary Nonpolyposis	0.971549
HIV Infections	Exocrine Pancreatic Insufficiency	0.737715
HIV Infections	Gram-Negative Bacterial Infections	0.701023
HIV Infections	Acquired Immunodeficiency Syndrome	0.883855
HIV Infections	AIDS-Related Opportunistic Infections	0.775434
HIV Infections	Salmonella Infections, Animal	0.747963
HIV Infections	HIV Seropositivity	0.836684
HIV Infections	Colitis	0.727595
HIV Infections	Inflammatory Bowel Diseases	0.769884
HIV Infections	Crohn Disease	0.754711
HIV Infections	Celiac Disease	0.732275
HIV Infections	Colorectal Neoplasms	0.746624
HIV Infections	Graft vs Host Disease	0.835855
Kidney Failure, Chronic	Hypertension, Pregnancy-Induced	0.770181
Kidney Failure, Chronic	Nephrotic Syndrome	0.867491
Kidney Failure, Chronic	Denys-Drash Syndrome	0.790601
Kidney Failure, Chronic	Anemia, Macrocytic	0.758819
Kidney Failure, Chronic	Proteinuria	0.861198
Kidney Failure, Chronic	Glomerulosclerosis, Focal Segmental	0.874438
Kidney Failure, Chronic	Renal Insufficiency	0.895418
Kidney Failure, Chronic	Amyloidosis	0.758663
Ichthyosis	Nails, Malformed	0.718165
Ichthyosis	Keratoderma, Palmoplantar	0.74511
Ichthyosis	Hypertelorism	0.731936
Ichthyosis	Hand Deformities, Congenital	0.745976
Ichthyosis	Hypotrichosis	0.786833
Glioma	Glioblastoma	0.834058
Glioma	Brain Neoplasms	0.813162
Glioma	Astrocytoma	0.728133
Fanconi Syndrome	Nephrotic Syndrome	0.895261
Fanconi Syndrome	Glomerulosclerosis, Focal Segmental	0.900077
Pseudohypoaldosteronism	Dent Disease	0.728181
Creutzfeldt-Jakob Syndrome	Epilepsies, Myoclonic	0.734471
Gangliosidosis, GM1	Dystonia	0.703964
Rubinstein-Taybi Syndrome	Blepharophimosis	0.765626
Rubinstein-Taybi Syndrome	Nails, Malformed	0.714257
Rubinstein-Taybi Syndrome	Macrocephaly	0.756008
Rubinstein-Taybi Syndrome	Orofaciodigital Syndromes	0.724931
Rubinstein-Taybi Syndrome	Fibromatosis, Gingival	0.780525
Rubinstein-Taybi Syndrome	Hallermann's Syndrome	0.780362
Rubinstein-Taybi Syndrome	Hypertelorism	0.729109
Rubinstein-Taybi Syndrome	Mucopolysaccharidosis II	0.736709
Rubinstein-Taybi Syndrome	Syndactyly	0.786532
Rubinstein-Taybi Syndrome	Craniosynostoses	0.769816
Rubinstein-Taybi Syndrome	Polydactyly	0.755958
Rubinstein-Taybi Syndrome	Xeroderma Pigmentosum	0.813549
Rubinstein-Taybi Syndrome	Hand Deformities, Congenital	0.74445
Rubinstein-Taybi Syndrome	Stereotypic Movement Disorder	0.704813
Rubinstein-Taybi Syndrome	Anophthalmos	0.749781
Rubinstein-Taybi Syndrome	Chromosome Breakage	0.819144
Rubinstein-Taybi Syndrome	Cri-du-Chat Syndrome	0.805176
Rubinstein-Taybi Syndrome	Wolf-Hirschhorn Syndrome	0.718374
Rubinstein-Taybi Syndrome	Maple Syrup Urine Disease	0.720408
Night Blindness	Leber Congenital Amaurosis	0.861592
Night Blindness	Color Vision Defects	0.816022
Pulmonary Disease, Chronic Obstructive	Lung Diseases, Obstructive	0.814914
Pulmonary Disease, Chronic Obstructive	Lung Diseases, Interstitial	0.856005
Pulmonary Disease, Chronic Obstructive	Pulmonary Emphysema	0.911327
Pulmonary Disease, Chronic Obstructive	Pulmonary Alveolar Proteinosis	0.860354
Pulmonary Disease, Chronic Obstructive	Mesothelioma	0.710267
Pulmonary Disease, Chronic Obstructive	Pulmonary Embolism	0.768506
Pulmonary Disease, Chronic Obstructive	Pleural Diseases	0.712399
Pulmonary Disease, Chronic Obstructive	Pulmonary Fibrosis	0.879701
Pulmonary Disease, Chronic Obstructive	Idiopathic Pulmonary Fibrosis	0.889265
Pulmonary Disease, Chronic Obstructive	Lymphangioleiomyomatosis	0.767875
Pulmonary Disease, Chronic Obstructive	Emphysema	0.89069
Dwarfism	Coloboma	0.787794
Dwarfism	Nails, Malformed	0.826348
Dwarfism	Tooth Abnormalities	0.835338
Dwarfism	Macrocephaly	0.853549
Dwarfism	Chromosome Disorders	0.909306
Dwarfism	Craniofacial Dysostosis	0.92303
Dwarfism	Rubinstein-Taybi Syndrome	0.784958
Dwarfism	Orofaciodigital Syndromes	0.834105
Dwarfism	Nevus	0.719611
Dwarfism	Amino Acid Metabolism, Inborn Errors	0.904533
Dwarfism	Fibromatosis, Gingival	0.885747
Dwarfism	Piebaldism	0.796571
Dwarfism	Phenylketonurias	0.960984
Dwarfism	Klinefelter Syndrome	0.888597
Dwarfism	Hypertelorism	0.83598
Dwarfism	Congenital Abnormalities	0.800599
Dwarfism	Chromosome Aberrations	0.938677
Dwarfism	Syndactyly	0.861736
Dwarfism	Craniosynostoses	0.863195
