MeSH Disease ID,MeSH Symptom Term,TFIDF score
MESH:D008527,Body Weight,1.02896
MESH:D012175,Body Weight,0.685976
MESH:D011125,Body Weight,1.37195
MESH:D006528,Body Weight,35.3277
MESH:D018288,Body Weight,7.88872
MESH:D009456,Body Weight,2.05793
MESH:D009101,Body Weight,4.11585
MESH:D001943,Body Weight,127.934
MESH:D046152,Body Weight,1.71494
MESH:D015179,Body Weight,18.1784
MESH:D013274,Body Weight,44.5884
MESH:D010190,Body Weight,52.4771
MESH:D010051,Body Weight,22.6372
MESH:D008175,Body Weight,91.2348
MESH:D011471,Body Weight,56.593
MESH:D001749,Body Weight,37.7287
MESH:D016864,Body Weight,2.05793
MESH:D012415,Body Weight,0.342988
MESH:D004613,Body Weight,0.342988
MESH:D009634,Body Weight,0.685976
MESH:D006502,Body Weight,0.342988
MESH:D054990,Body Weight,25.0381
MESH:D001260,Body Weight,2.40091
MESH:D000741,Body Weight,3.77287
MESH:D005199,Body Weight,1.37195
MESH:D014923,Body Weight,0.342988
MESH:D013922,Body Weight,1.37195
MESH:D000361,Body Weight,2.7439
MESH:D009190,Body Weight,0.342988
MESH:D011087,Body Weight,0.685976
MESH:D055728,Body Weight,0.342988
MESH:D019851,Body Weight,0.342988
MESH:D001816,Body Weight,0.342988
MESH:D010505,Body Weight,0.685976
MESH:D008180,Body Weight,16.1204
MESH:D054198,Birth Weight,11.257
MESH:D015470,Birth Weight,9.84992
MESH:D009396,Birth Weight,19.6998
MESH:D012516,Birth Weight,4.22139
MESH:D005910,Birth Weight,1.40713
MESH:D009456,Birth Weight,4.22139
MESH:D001943,Birth Weight,77.3922
MESH:D015179,Birth Weight,5.62852
MESH:D010051,Birth Weight,4.22139
MESH:D008175,Birth Weight,1.40713
MESH:D011471,Birth Weight,7.03565
MESH:D016864,Birth Weight,1.40713
MESH:D009634,Birth Weight,5.62852
MESH:D000741,Birth Weight,5.62852
MESH:D005199,Birth Weight,2.81426
MESH:D000361,Birth Weight,2.81426
MESH:D019851,Birth Weight,14.0713
MESH:D010505,Birth Weight,1.40713
MESH:D008180,Birth Weight,19.6998
MESH:D054198,Fetal Macrosomia,3.33672
MESH:D009396,Fetal Macrosomia,3.33672
MESH:D006528,Fetal Macrosomia,3.33672
MESH:D001943,Fetal Macrosomia,6.67344
MESH:D015179,Fetal Macrosomia,3.33672
MESH:D001943,Body Weight Changes,0.844615
MESH:D054198,Weight Gain,14.8669
MESH:D015464,Weight Gain,5.94676
MESH:D015473,Weight Gain,5.94676
MESH:D005910,Weight Gain,2.97338
MESH:D008527,Weight Gain,1.48669
MESH:D006528,Weight Gain,4.46007
MESH:D009456,Weight Gain,1.48669
MESH:D009101,Weight Gain,1.48669
MESH:D001943,Weight Gain,202.19
MESH:D015179,Weight Gain,10.4068
MESH:D013274,Weight Gain,5.94676
MESH:D010190,Weight Gain,7.43345
MESH:D010051,Weight Gain,7.43345
MESH:D008175,Weight Gain,19.327
MESH:D011471,Weight Gain,19.327
MESH:D001749,Weight Gain,1.48669
MESH:D054990,Weight Gain,7.43345
MESH:D001260,Weight Gain,1.48669
MESH:D008180,Weight Gain,5.94676
MESH:D054198,Weight Loss,3.00016
MESH:D015464,Weight Loss,3.00016
MESH:D015470,Weight Loss,4.00021
MESH:D009396,Weight Loss,1.00005
MESH:D005910,Weight Loss,1.00005
MESH:D008527,Weight Loss,2.00011
MESH:D012175,Weight Loss,1.00005
MESH:D011125,Weight Loss,2.00011
MESH:D006528,Weight Loss,11.0006
MESH:D018288,Weight Loss,19.001
MESH:D009456,Weight Loss,3.00016
MESH:D009101,Weight Loss,12.0006
MESH:D008258,Weight Loss,2.00011
MESH:D001943,Weight Loss,46.0025
MESH:D046152,Weight Loss,5.00027
MESH:D015179,Weight Loss,29.0016
MESH:D013274,Weight Loss,54.0029
MESH:D010190,Weight Loss,77.0041
MESH:D010051,Weight Loss,11.0006
MESH:D008175,Weight Loss,106.006
MESH:D011471,Weight Loss,20.0011
MESH:D001749,Weight Loss,2.00011
MESH:D006502,Weight Loss,3.00016
MESH:D054990,Weight Loss,8.00043
MESH:D009190,Weight Loss,1.00005
MESH:D011087,Weight Loss,1.00005
MESH:D055728,Weight Loss,1.00005
MESH:D017681,Weight Loss,1.00005
MESH:D019851,Weight Loss,1.00005
MESH:D008180,Weight Loss,9.00048
MESH:D017492,Weight Loss,1.00005
MESH:D017074,Weight Loss,2.00011
MESH:D005910,Emaciation,18.3264
MESH:D006528,Emaciation,1.83264
MESH:D009456,Emaciation,1.83264
MESH:D013274,Emaciation,5.49792
MESH:D010190,Emaciation,5.49792
MESH:D000741,Emaciation,1.83264
MESH:D054198,Cachexia,3.98945
MESH:D012516,Cachexia,1.99472
MESH:D005910,Cachexia,15.9578
MESH:D011125,Cachexia,7.9789
MESH:D006528,Cachexia,19.9472
MESH:D018288,Cachexia,7.9789
MESH:D009101,Cachexia,7.9789
MESH:D001943,Cachexia,51.8628
MESH:D015179,Cachexia,29.9209
MESH:D013274,Cachexia,61.8364
MESH:D010190,Cachexia,121.678
MESH:D010051,Cachexia,39.8945
MESH:D008175,Cachexia,135.641
MESH:D011471,Cachexia,29.9209
MESH:D001749,Cachexia,1.99472
MESH:D014923,Cachexia,1.99472
MESH:D013922,Cachexia,1.99472
MESH:D000361,Cachexia,1.99472
MESH:D008180,Cachexia,3.98945
MESH:D017074,Cachexia,1.99472
MESH:D016864,Fetal Weight,3.57667
MESH:D008180,Fetal Weight,3.57667
MESH:D054198,Overweight,4.11936
MESH:D006528,Overweight,0.823872
MESH:D001943,Overweight,23.8923
MESH:D015179,Overweight,7.41485
MESH:D013274,Overweight,0.823872
MESH:D010190,Overweight,3.29549
MESH:D010051,Overweight,1.64774
MESH:D008175,Overweight,0.823872
MESH:D011471,Overweight,6.59098
MESH:D016864,Overweight,0.823872
MESH:D012415,Overweight,0.823872
MESH:D011087,Overweight,0.823872
MESH:D019851,Overweight,1.64774
MESH:D054198,Obesity,43.2928
MESH:D015464,Obesity,1.66511
MESH:D015470,Obesity,6.66043
MESH:D015473,Obesity,3.33021
MESH:D009396,Obesity,0.832554
MESH:D008415,Obesity,0.832554
MESH:D012516,Obesity,1.66511
MESH:D005910,Obesity,1.66511
MESH:D011125,Obesity,0.832554
MESH:D006528,Obesity,31.637
MESH:D018288,Obesity,0.832554
MESH:D009101,Obesity,5.82788
MESH:D001943,Obesity,374.649
MESH:D046152,Obesity,1.66511
MESH:D015179,Obesity,81.5903
MESH:D013274,Obesity,18.3162
MESH:D010190,Obesity,46.623
MESH:D010051,Obesity,43.2928
MESH:D008175,Obesity,10.8232
MESH:D011471,Obesity,165.678
MESH:D001749,Obesity,4.16277
MESH:D054990,Obesity,1.66511
MESH:D004916,Obesity,0.832554
MESH:D000741,Obesity,1.66511
MESH:D000361,Obesity,0.832554
MESH:D009190,Obesity,2.49766
MESH:D011087,Obesity,2.49766
MESH:D017681,Obesity,0.832554
MESH:D019851,Obesity,11.6558
MESH:D008180,Obesity,19.1487
MESH:D054198,"Obesity, Morbid",1.75294
MESH:D015464,"Obesity, Morbid",1.75294
MESH:D015470,"Obesity, Morbid",1.75294
MESH:D006528,"Obesity, Morbid",1.75294
MESH:D018288,"Obesity, Morbid",1.75294
MESH:D001943,"Obesity, Morbid",8.7647
MESH:D046152,"Obesity, Morbid",3.50588
MESH:D015179,"Obesity, Morbid",3.50588
MESH:D013274,"Obesity, Morbid",26.2941
MESH:D010190,"Obesity, Morbid",10.5176
MESH:D010051,"Obesity, Morbid",12.2706
MESH:D008175,"Obesity, Morbid",3.50588
MESH:D011471,"Obesity, Morbid",5.25882
MESH:D055728,"Obesity, Morbid",1.75294
MESH:D019851,"Obesity, Morbid",1.75294
MESH:D008180,"Obesity, Morbid",1.75294
MESH:D054198,Thinness,2.6706
MESH:D001943,Thinness,13.353
MESH:D013274,Thinness,2.6706
MESH:D008175,Thinness,10.6824
MESH:D011471,Thinness,5.3412
MESH:D001260,Thinness,2.6706
MESH:D000741,Thinness,2.6706
MESH:D008180,Thinness,5.3412
MESH:D009101,"Cardiac Output, High",7.67299
MESH:D015470,"Cardiac Output, Low",2.1428
MESH:D009456,"Cardiac Output, Low",2.1428
MESH:D008258,"Cardiac Output, Low",2.1428
MESH:D001943,"Cardiac Output, Low",6.42839
MESH:D010051,"Cardiac Output, Low",2.1428
MESH:D008175,"Cardiac Output, Low",14.9996
MESH:D011471,"Cardiac Output, Low",2.1428
MESH:D002538,"Cardiac Output, Low",8.57118
MESH:D017681,"Cardiac Output, Low",2.1428
MESH:D008180,"Cardiac Output, Low",4.28559
MESH:D015470,Chills,3.58518
MESH:D009101,Chills,3.58518
MESH:D001943,Chills,3.58518
MESH:D010190,Chills,3.58518
MESH:D001749,Chills,3.58518
MESH:D009190,Chills,3.58518
MESH:D054198,Cyanosis,3.48682
MESH:D015464,Cyanosis,3.48682
MESH:D005910,Cyanosis,1.74341
MESH:D009101,Cyanosis,3.48682
MESH:D008258,Cyanosis,1.74341
MESH:D013274,Cyanosis,1.74341
MESH:D010190,Cyanosis,3.48682
MESH:D010051,Cyanosis,5.23023
MESH:D008175,Cyanosis,8.71705
MESH:D009634,Cyanosis,1.74341
MESH:D006502,Cyanosis,3.48682
MESH:D054990,Cyanosis,27.8946
MESH:D002538,Cyanosis,1.74341
MESH:D004916,Cyanosis,15.6907
MESH:D000741,Cyanosis,1.74341
MESH:D013922,Cyanosis,3.48682
MESH:D011087,Cyanosis,13.9473
MESH:D017681,Cyanosis,1.74341
MESH:D019851,Cyanosis,1.74341
MESH:D019871,Cyanosis,3.48682
MESH:D008180,Cyanosis,6.97364
MESH:D054198,Edema,6.55466
MESH:D015464,Edema,11.3217
MESH:D015470,Edema,3.57527
MESH:D015473,Edema,1.78763
MESH:D009396,Edema,1.78763
MESH:D012516,Edema,5.3629
MESH:D005910,Edema,7.15054
MESH:D008527,Edema,0.595878
MESH:D012175,Edema,1.19176
MESH:D011125,Edema,0.595878
MESH:D006528,Edema,6.55466
MESH:D018288,Edema,5.3629
MESH:D009456,Edema,1.19176
MESH:D009101,Edema,10.1299
MESH:D008258,Edema,2.38351
MESH:D001943,Edema,81.0394
MESH:D046152,Edema,0.595878
MESH:D015179,Edema,1.19176
MESH:D013274,Edema,10.7258
MESH:D010190,Edema,7.15054
MESH:D010051,Edema,23.8351
MESH:D008175,Edema,23.2392
MESH:D011471,Edema,39.328
MESH:D001749,Edema,9.53405
MESH:D008557,Edema,0.595878
MESH:D009634,Edema,5.3629
MESH:D006502,Edema,5.95878
MESH:D054990,Edema,2.38351
MESH:D002538,Edema,2.38351
MESH:D004916,Edema,1.78763
MESH:D000741,Edema,4.17115
MESH:D029503,Edema,0.595878
MESH:D005199,Edema,0.595878
MESH:D014923,Edema,1.78763
MESH:D013922,Edema,1.19176
MESH:D000361,Edema,3.57527
MESH:D009190,Edema,1.78763
MESH:D011087,Edema,1.78763
MESH:D055728,Edema,1.78763
MESH:D017681,Edema,1.78763
MESH:D019851,Edema,1.19176
MESH:D010505,Edema,2.38351
MESH:D008180,Edema,36.9444
MESH:D001943,"Edema, Cardiac",7.03808
MESH:D018860,"Edema, Cardiac",3.51904
MESH:D008180,"Edema, Cardiac",3.51904
MESH:D054198,Hydrops Fetalis,2.341
MESH:D009396,Hydrops Fetalis,7.023
MESH:D006528,Hydrops Fetalis,2.341
MESH:D008175,Hydrops Fetalis,7.023
MESH:D012779,Hydrops Fetalis,2.341
MESH:D009634,Hydrops Fetalis,21.069
MESH:D002538,Hydrops Fetalis,4.682
MESH:D000741,Hydrops Fetalis,2.341
MESH:D029503,Hydrops Fetalis,7.023
MESH:D005199,Hydrops Fetalis,7.023
MESH:D013922,Hydrops Fetalis,2.341
MESH:D008180,Hydrops Fetalis,4.682
MESH:D015470,Eye Manifestations,4.52363
MESH:D005910,Eye Manifestations,12.063
MESH:D008527,Eye Manifestations,1.50788
MESH:D009456,Eye Manifestations,22.6182
MESH:D009101,Eye Manifestations,18.0945
MESH:D008258,Eye Manifestations,12.063
MESH:D012415,Eye Manifestations,3.01575
MESH:D054990,Eye Manifestations,1.50788
MESH:D001260,Eye Manifestations,10.5551
MESH:D000741,Eye Manifestations,6.03151
MESH:D014923,Eye Manifestations,3.01575
MESH:D013922,Eye Manifestations,1.50788
MESH:D000361,Eye Manifestations,1.50788
MESH:D011087,Eye Manifestations,6.03151
MESH:D011038,Eye Manifestations,1.50788
MESH:D010505,Eye Manifestations,4.52363
MESH:D008180,Eye Manifestations,24.126
MESH:D015464,Eye Hemorrhage,2.75264
MESH:D015470,Eye Hemorrhage,2.75264
MESH:D015473,Eye Hemorrhage,2.75264
MESH:D012175,Eye Hemorrhage,2.75264
MESH:D009101,Eye Hemorrhage,11.0106
MESH:D009190,Eye Hemorrhage,2.75264
MESH:D054198,Fatigue,12.5181
MESH:D015464,Fatigue,10.2421
MESH:D015470,Fatigue,18.2082
MESH:D015473,Fatigue,1.13801
MESH:D009396,Fatigue,1.13801
MESH:D005910,Fatigue,12.5181
MESH:D012175,Fatigue,1.13801
MESH:D011125,Fatigue,1.13801
MESH:D006528,Fatigue,17.0702
MESH:D018288,Fatigue,17.0702
MESH:D009456,Fatigue,2.27603
MESH:D009101,Fatigue,51.2106
MESH:D008258,Fatigue,5.69007
MESH:D001943,Fatigue,384.648
MESH:D046152,Fatigue,3.41404
MESH:D015179,Fatigue,31.8644
MESH:D013274,Fatigue,26.1743
MESH:D010190,Fatigue,29.5883
MESH:D010051,Fatigue,45.5205
MESH:D008175,Fatigue,146.804
MESH:D011471,Fatigue,91.0411
MESH:D001749,Fatigue,4.55205
MESH:D012415,Fatigue,1.13801
MESH:D054990,Fatigue,5.69007
MESH:D018860,Fatigue,1.13801
MESH:D000741,Fatigue,12.5181
MESH:D013922,Fatigue,1.13801
MESH:D000361,Fatigue,1.13801
MESH:D009190,Fatigue,27.3123
MESH:D011087,Fatigue,1.13801
MESH:D055728,Fatigue,3.41404
MESH:D017681,Fatigue,2.27603
MESH:D008180,Fatigue,81.9369
MESH:D017492,Fatigue,1.13801
MESH:D017074,Fatigue,2.27603
MESH:D001943,Mental Fatigue,14.3407
MESH:D008175,Mental Fatigue,3.58518
MESH:D006528,Feminization,7.52477
MESH:D001943,Feminization,3.76239
MESH:D013274,Feminization,11.2872
MESH:D010190,Feminization,7.52477
MESH:D010051,Feminization,18.8119
MESH:D011471,Feminization,30.0991
MESH:D008180,Feminization,3.76239
MESH:D009456,Fetal Distress,2.58845
MESH:D013922,Fetal Distress,2.58845
MESH:D017681,Fetal Distress,2.58845
MESH:D008180,Fetal Distress,7.76535
MESH:D008415,Flushing,26.1401
MESH:D009456,Flushing,2.61401
MESH:D001943,Flushing,28.7541
MESH:D046152,Flushing,2.61401
MESH:D013274,Flushing,7.84204
MESH:D010190,Flushing,5.22802
MESH:D010051,Flushing,2.61401
MESH:D008175,Flushing,15.6841
MESH:D011471,Flushing,41.8242
MESH:D002538,Flushing,2.61401
MESH:D009190,Flushing,2.61401
MESH:D009396,Heart Murmurs,2.36342
MESH:D006528,Heart Murmurs,2.36342
MESH:D009456,Heart Murmurs,4.72683
MESH:D008175,Heart Murmurs,4.72683
MESH:D012415,Heart Murmurs,2.36342
MESH:D009634,Heart Murmurs,4.72683
MESH:D006502,Heart Murmurs,2.36342
MESH:D002538,Heart Murmurs,4.72683
MESH:D008180,Heart Murmurs,11.8171
MESH:D001943,Hot Flashes,650.491
MESH:D011471,Hot Flashes,252.023
MESH:D008180,Hot Flashes,6.81142
MESH:D054198,Hypergammaglobulinemia,3.35825
MESH:D015470,Hypergammaglobulinemia,10.0748
MESH:D008415,Hypergammaglobulinemia,6.7165
MESH:D006528,Hypergammaglobulinemia,16.7913
MESH:D018288,Hypergammaglobulinemia,1.67913
MESH:D009456,Hypergammaglobulinemia,3.35825
MESH:D009101,Hypergammaglobulinemia,337.504
MESH:D008258,Hypergammaglobulinemia,82.2771
MESH:D001943,Hypergammaglobulinemia,6.7165
MESH:D015179,Hypergammaglobulinemia,1.67913
MESH:D013274,Hypergammaglobulinemia,6.7165
MESH:D010190,Hypergammaglobulinemia,1.67913
MESH:D010051,Hypergammaglobulinemia,1.67913
MESH:D008175,Hypergammaglobulinemia,21.8286
MESH:D011471,Hypergammaglobulinemia,3.35825
MESH:D054990,Hypergammaglobulinemia,26.866
MESH:D001260,Hypergammaglobulinemia,8.39563
MESH:D000741,Hypergammaglobulinemia,21.8286
MESH:D005199,Hypergammaglobulinemia,1.67913
MESH:D014923,Hypergammaglobulinemia,1.67913
MESH:D013922,Hypergammaglobulinemia,3.35825
MESH:D000361,Hypergammaglobulinemia,38.6199
MESH:D009190,Hypergammaglobulinemia,8.39563
MESH:D011087,Hypergammaglobulinemia,5.03738
MESH:D055728,Hypergammaglobulinemia,10.0748
MESH:D017681,Hypergammaglobulinemia,5.03738
MESH:D016116,Hypergammaglobulinemia,1.67913
MESH:D010505,Hypergammaglobulinemia,112.501
MESH:D008180,Hypergammaglobulinemia,92.3519
MESH:D017074,Hypergammaglobulinemia,8.39563
MESH:D015473,Intermittent Claudication,2.2183
MESH:D012516,Intermittent Claudication,2.2183
MESH:D009101,Intermittent Claudication,4.43661
MESH:D008258,Intermittent Claudication,2.2183
MESH:D001943,Intermittent Claudication,2.2183
MESH:D010190,Intermittent Claudication,2.2183
MESH:D011471,Intermittent Claudication,2.2183
MESH:D002538,Intermittent Claudication,2.2183
MESH:D000741,Intermittent Claudication,2.2183
MESH:D013922,Intermittent Claudication,2.2183
MESH:D011087,Intermittent Claudication,2.2183
MESH:D019851,Intermittent Claudication,2.2183
MESH:D008180,Intermittent Claudication,8.87321
MESH:D054198,Mobility Limitation,5.52771
MESH:D009456,Mobility Limitation,5.52771
MESH:D001943,Mobility Limitation,8.29157
MESH:D015179,Mobility Limitation,2.76386
MESH:D010190,Mobility Limitation,5.52771
MESH:D008175,Mobility Limitation,2.76386
MESH:D011471,Mobility Limitation,2.76386
MESH:D001943,Motion Sickness,10.486
MESH:D015470,Neurologic Manifestations,0.769356
MESH:D008415,Neurologic Manifestations,0.139883
MESH:D005910,Neurologic Manifestations,0.699414
MESH:D008527,Neurologic Manifestations,0.48959
MESH:D006528,Neurologic Manifestations,0.0699414
MESH:D009456,Neurologic Manifestations,1.189
MESH:D009101,Neurologic Manifestations,1.67859
MESH:D008258,Neurologic Manifestations,0.839297
MESH:D001943,Neurologic Manifestations,0.699414
MESH:D013274,Neurologic Manifestations,0.209824
MESH:D010190,Neurologic Manifestations,1.11906
MESH:D010051,Neurologic Manifestations,0.279766
MESH:D008175,Neurologic Manifestations,2.23813
MESH:D011471,Neurologic Manifestations,0.139883
MESH:D054990,Neurologic Manifestations,0.209824
MESH:D001260,Neurologic Manifestations,0.48959
MESH:D002538,Neurologic Manifestations,0.209824
MESH:D000741,Neurologic Manifestations,0.0699414
MESH:D013922,Neurologic Manifestations,0.209824
MESH:D000361,Neurologic Manifestations,0.139883
MESH:D011087,Neurologic Manifestations,0.699414
MESH:D010505,Neurologic Manifestations,0.139883
MESH:D008180,Neurologic Manifestations,4.68607
MESH:D002538,Cerebrospinal Fluid Otorrhea,3.1883
MESH:D005910,Cerebrospinal Fluid Rhinorrhea,13.3874
MESH:D009456,Cerebrospinal Fluid Rhinorrhea,5.35494
MESH:D001943,Cerebrospinal Fluid Rhinorrhea,10.7099
MESH:D020288,Cerebrospinal Fluid Rhinorrhea,2.67747
MESH:D011471,Cerebrospinal Fluid Rhinorrhea,8.03242
MESH:D002538,Cerebrospinal Fluid Rhinorrhea,10.7099
MESH:D008527,Decerebrate State,2.94468
MESH:D002538,Decerebrate State,2.94468
MESH:D008180,Decerebrate State,2.94468
MESH:D010051,Dyskinesias,2.24386
MESH:D012415,Dyskinesias,0.747952
MESH:D054198,Ataxia,3.65898
MESH:D015464,Ataxia,2.43932
MESH:D015473,Ataxia,1.21966
MESH:D005910,Ataxia,4.87864
MESH:D008527,Ataxia,8.53762
MESH:D006528,Ataxia,1.21966
MESH:D018288,Ataxia,6.0983
MESH:D009456,Ataxia,7.31796
MESH:D009101,Ataxia,2.43932
MESH:D008258,Ataxia,2.43932
MESH:D001943,Ataxia,8.53762
MESH:D015179,Ataxia,1.21966
MESH:D013274,Ataxia,1.21966
MESH:D010051,Ataxia,1.21966
MESH:D008175,Ataxia,8.53762
MESH:D011471,Ataxia,1.21966
MESH:D001749,Ataxia,1.21966
MESH:D001260,Ataxia,8.53762
MESH:D002538,Ataxia,4.87864
MESH:D014923,Ataxia,1.21966
MESH:D000361,Ataxia,6.0983
MESH:D008180,Ataxia,7.31796
MESH:D015470,Cerebellar Ataxia,6.83514
MESH:D015473,Cerebellar Ataxia,1.70879
MESH:D009396,Cerebellar Ataxia,1.70879
MESH:D005910,Cerebellar Ataxia,1.70879
MESH:D008527,Cerebellar Ataxia,5.12636
MESH:D006528,Cerebellar Ataxia,1.70879
MESH:D018288,Cerebellar Ataxia,11.9615
MESH:D009101,Cerebellar Ataxia,1.70879
MESH:D008258,Cerebellar Ataxia,1.70879
MESH:D001943,Cerebellar Ataxia,18.7966
MESH:D013274,Cerebellar Ataxia,5.12636
MESH:D010190,Cerebellar Ataxia,1.70879
MESH:D010051,Cerebellar Ataxia,8.54393
MESH:D008175,Cerebellar Ataxia,23.923
MESH:D001749,Cerebellar Ataxia,1.70879
MESH:D054990,Cerebellar Ataxia,1.70879
MESH:D001260,Cerebellar Ataxia,22.2142
MESH:D002538,Cerebellar Ataxia,3.41757
MESH:D000741,Cerebellar Ataxia,3.41757
MESH:D017681,Cerebellar Ataxia,1.70879
MESH:D019851,Cerebellar Ataxia,1.70879
MESH:D019871,Cerebellar Ataxia,1.70879
MESH:D008180,Cerebellar Ataxia,13.6703
MESH:D018288,Gait Ataxia,8.40653
MESH:D009456,Gait Ataxia,2.80218
MESH:D008258,Gait Ataxia,2.80218
MESH:D010051,Gait Ataxia,5.60435
MESH:D008175,Gait Ataxia,8.40653
MESH:D001260,Gait Ataxia,2.80218
MESH:D002538,Gait Ataxia,5.60435
MESH:D019851,Gait Ataxia,2.80218
MESH:D008180,Gait Ataxia,2.80218
MESH:D018288,Athetosis,2.58216
MESH:D008175,Athetosis,2.58216
MESH:D001260,Athetosis,15.493
MESH:D002538,Athetosis,7.74649
MESH:D011087,Athetosis,5.16432
MESH:D008180,Athetosis,15.493
MESH:D054198,Chorea,3.98597
MESH:D008415,Chorea,3.98597
MESH:D018288,Chorea,9.96492
MESH:D001943,Chorea,1.99298
MESH:D010190,Chorea,1.99298
MESH:D008175,Chorea,15.9439
MESH:D001260,Chorea,7.97193
MESH:D002538,Chorea,11.9579
MESH:D011087,Chorea,37.8667
MESH:D008180,Chorea,149.474
MESH:D005910,Dystonia,3.07222
MESH:D018288,Dystonia,3.07222
MESH:D009456,Dystonia,1.53611
MESH:D001943,Dystonia,3.07222
MESH:D010190,Dystonia,1.53611
MESH:D008175,Dystonia,3.07222
MESH:D001260,Dystonia,7.68055
MESH:D002538,Dystonia,4.60833
MESH:D055728,Dystonia,1.53611
MESH:D008180,Dystonia,6.14444
MESH:D005910,Torticollis,2.15499
MESH:D009456,Torticollis,2.15499
MESH:D008175,Torticollis,2.15499
MESH:D006502,Torticollis,2.15499
MESH:D001260,Torticollis,2.15499
MESH:D002538,Torticollis,4.30998
MESH:D019851,Torticollis,2.15499
